,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
186775,22.64,-2.4790470967494223,1.0,1.0,1.0,1.0
186776,22.78,-2.3600692314437666,1.0,1.0,1.0,1.0
186777,23.04,-2.121091366138113,-1.0,1.0,1.0,1.0
186778,22.28,-2.9021135008324563,-1.0,1.0,-1.0,1.0
186779,21.83,-3.3731356355268036,1.0,1.0,1.0,1.0
186780,22.34,-2.8841577702211474,1.0,1.0,1.0,1.0
186781,22.58,-2.665179904915494,0.0,1.0,0.0,1.0
186782,22.58,-2.6862020396098387,-1.0,1.0,-1.0,1.0
186783,21.56,-3.72722417430418,1.0,1.0,-1.0,1.0
186784,21.83,-3.478246308998525,1.0,1.0,1.0,1.0
186785,21.87,-3.4592684436928667,1.0,1.0,1.0,1.0
186786,23.24,-2.1102905783872146,-1.0,1.0,-1.0,1.0
186787,23.17,-2.201312713081556,1.0,1.0,1.0,1.0
186788,23.58,-1.8123348477759045,0.0,1.0,0.0,1.0
186789,23.58,-1.8333569824702491,1.0,1.0,1.0,1.0
186790,23.72,-1.7143791171645937,-1.0,1.0,-1.0,1.0
186791,23.6,-1.855401251858936,1.0,1.0,1.0,1.0
186792,23.65,-1.82642338655328,1.0,1.0,1.0,1.0
186793,23.76,-1.7374455212476219,-1.0,1.0,-1.0,1.0
186794,23.66,-1.8584676559419684,-1.0,1.0,-1.0,1.0
186795,23.61,-1.9294897906363138,1.0,1.0,1.0,1.0
186796,24.08,-1.48051192533066,0.0,1.0,0.0,1.0
186797,24.08,-1.5015340600250047,-1.0,1.0,-1.0,1.0
186798,24.06,-1.5425561947193491,1.0,1.0,1.0,1.0
186799,25.24,-0.3835783294136945,1.0,1.0,-1.0,1.0
186800,25.5,-0.14460046410803784,-1.0,1.0,-1.0,1.0
186801,24.92,-0.7456225988023775,-1.0,1.0,-1.0,1.0
186802,24.82,-0.8666447334967238,1.0,1.0,1.0,1.0
186803,25.34,-0.3676668681910691,-1.0,1.0,-1.0,1.0
186804,25.01,-0.7186890028854123,1.0,1.0,1.0,1.0
186805,25.14,-0.6097111375797581,1.0,1.0,1.0,1.0
186806,25.4,-0.37073327227410496,1.0,1.0,1.0,1.0
186807,25.5,-0.2917554069684485,-1.0,1.0,-1.0,1.0
186808,25.4,-0.4127775416627948,1.0,1.0,1.0,1.0
186809,25.42,-0.41379967635713655,1.0,1.0,1.0,1.0
186810,25.63,-0.22482181105148055,1.0,1.0,1.0,-1.0
186811,25.81,-0.06584394574582575,1.0,-1.0,1.0,-1.0
186812,25.92,0.02313391955983235,-1.0,1.0,-1.0,1.0
186813,25.62,-0.29788821513451325,1.0,1.0,1.0,1.0
186814,25.94,0.0010896501711421538,1.0,-1.0,1.0,-1.0
186815,26.26,0.30006751547679755,-1.0,-1.0,-1.0,-1.0
186816,25.96,-0.020954619217548043,-1.0,-1.0,-1.0,-1.0
186817,25.73,-0.2719767539118933,-1.0,1.0,-1.0,1.0
186818,25.54,-0.4829988886062395,1.0,1.0,1.0,1.0
186819,25.57,-0.4740210233005797,1.0,1.0,1.0,1.0
186820,25.73,-0.3350431579949245,-1.0,1.0,-1.0,-1.0
186821,25.49,-0.5960652926892713,1.0,-1.0,1.0,-1.0
186822,25.99,-0.11708742738361623,1.0,-1.0,1.0,-1.0
186823,26.12,-0.008109562077958543,-1.0,-1.0,-1.0,-1.0
186824,25.56,-0.5891316967723057,-1.0,-1.0,-1.0,-1.0
186825,25.44,-0.730153831466648,1.0,-1.0,1.0,-1.0
186826,25.86,-0.3311759661609948,1.0,-1.0,1.0,-1.0
186827,25.98,-0.23219810085533865,1.0,-1.0,1.0,-1.0
186828,26.84,0.6067797644503194,1.0,-1.0,-1.0,-1.0
186829,26.96,0.7057576297559756,-1.0,-1.0,-1.0,-1.0
186830,26.83,0.5547354950616281,-1.0,-1.0,-1.0,-1.0
186831,26.38,0.08371336036728394,-1.0,-1.0,-1.0,-1.0
186832,26.02,-0.2973087743270604,1.0,-1.0,1.0,-1.0
186833,26.51,0.17166909097859673,-1.0,-1.0,-1.0,-1.0
186834,26.38,0.020646956284249285,1.0,-1.0,1.0,-1.0
186835,26.84,0.4596248215899053,-1.0,-1.0,-1.0,-1.0
186836,26.66,0.25860268689556065,-1.0,-1.0,-1.0,-1.0
186837,26.6,0.1775805522012206,-1.0,-1.0,-1.0,-1.0
186838,25.74,-0.7034415824931273,-1.0,-1.0,-1.0,-1.0
186839,25.49,-0.9744637171874722,1.0,1.0,1.0,1.0
186840,26.02,-0.4654858518818159,-1.0,-1.0,-1.0,-1.0
186841,25.56,-0.9465079865761616,1.0,1.0,1.0,1.0
186842,26.01,-0.5175301212705037,-1.0,1.0,-1.0,1.0
186843,25.9,-0.6485522559648516,-1.0,1.0,-1.0,1.0
186844,25.5,-1.0695743906591948,-1.0,1.0,-1.0,1.0
186845,24.38,-2.210596525353541,-1.0,1.0,1.0,1.0
186846,23.76,-2.85161866004788,1.0,1.0,1.0,1.0
186847,25.9,-0.7326407947422275,-1.0,1.0,-1.0,1.0
186848,25.71,-0.9436629294365702,1.0,1.0,1.0,1.0
186849,26.24,-0.4346850641309175,-1.0,-1.0,-1.0,-1.0
186850,25.88,-0.8157071988252618,-1.0,1.0,-1.0,1.0
186851,24.94,-1.7767293335196044,-1.0,1.0,-1.0,1.0
186852,24.72,-2.017751468213952,-1.0,1.0,-1.0,1.0
186853,24.47,-2.288773602908297,-1.0,1.0,1.0,1.0
186854,24.26,-2.5197957376026388,-1.0,1.0,-1.0,1.0
186855,23.49,-3.3108178722969868,1.0,1.0,1.0,1.0
