,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
188641,20.58,-5.028090127451988,1.0,1.0,1.0,1.0
188642,21.04,-4.579798744023098,-1.0,1.0,-1.0,1.0
188643,20.99,-4.641507360594211,1.0,1.0,1.0,1.0
188644,21.36,-4.28321597716532,-1.0,1.0,-1.0,1.0
188645,20.78,-4.874924593736427,1.0,1.0,1.0,1.0
188646,21.16,-4.506633210307541,1.0,1.0,1.0,1.0
188647,21.18,-4.498341826878652,1.0,1.0,1.0,1.0
188648,21.23,-4.4600504434497585,-1.0,1.0,-1.0,1.0
188649,20.69,-5.011759060020872,1.0,1.0,1.0,1.0
188650,20.9,-4.813467676591984,1.0,1.0,-1.0,1.0
188651,21.06,-4.665176293163097,1.0,1.0,1.0,1.0
188652,21.6,-4.136884909734203,-1.0,1.0,-1.0,1.0
188653,21.45,-4.298593526305313,1.0,1.0,1.0,1.0
188654,21.54,-4.2203021428764265,1.0,1.0,1.0,1.0
188655,21.58,-4.1920107594475375,1.0,1.0,1.0,1.0
188656,21.81,-3.9737193760186464,1.0,1.0,1.0,1.0
188657,21.94,-3.8554279925897568,1.0,1.0,1.0,1.0
188658,22.58,-3.2271366091608686,-1.0,1.0,-1.0,1.0
188659,22.37,-3.4488452257319797,-1.0,1.0,-1.0,1.0
188660,22.06,-3.7705538423030913,-1.0,1.0,-1.0,1.0
188661,21.96,-3.882262458874198,-1.0,1.0,-1.0,1.0
188662,21.88,-3.973971075445313,-1.0,1.0,-1.0,1.0
188663,21.41,-4.455679692016421,1.0,1.0,1.0,1.0
188664,21.5,-4.377388308587534,1.0,1.0,1.0,1.0
188665,21.88,-4.0090969251586435,-1.0,1.0,-1.0,1.0
188666,21.66,-4.2408055417297525,1.0,1.0,1.0,1.0
188667,21.93,-3.9825141583008663,1.0,1.0,-1.0,1.0
188668,22.0,-3.9242227748719753,1.0,1.0,1.0,1.0
188669,22.3,-3.635931391443084,1.0,1.0,1.0,1.0
188670,22.5,-3.4476400080141967,1.0,1.0,1.0,1.0
188671,22.99,-2.969348624585308,1.0,1.0,1.0,1.0
188672,23.31,-2.6610572411564206,1.0,1.0,1.0,1.0
188673,23.63,-2.3527658577275297,1.0,1.0,1.0,1.0
188674,24.04,-1.9544744742986389,1.0,-1.0,1.0,-1.0
188675,24.5,-1.5061830908697509,-1.0,-1.0,-1.0,-1.0
188676,24.48,-1.5378917074408598,-1.0,-1.0,-1.0,-1.0
188677,23.72,-2.3096003240119742,1.0,-1.0,1.0,1.0
188678,24.03,-2.0113089405830813,1.0,-1.0,1.0,-1.0
188679,24.17,-1.8830175571541898,-1.0,-1.0,-1.0,-1.0
188680,24.1,-1.9647261737253032,-1.0,-1.0,-1.0,-1.0
188681,24.0,-2.076434790296414,1.0,-1.0,1.0,-1.0
188682,24.26,-1.8281434068675215,-1.0,-1.0,-1.0,-1.0
188683,24.02,-2.0798520234386366,1.0,-1.0,1.0,-1.0
188684,24.04,-2.0715606400097464,-1.0,-1.0,-1.0,-1.0
188685,23.99,-2.13326925658086,1.0,-1.0,1.0,-1.0
188686,24.0,-2.134977873151968,-1.0,1.0,-1.0,-1.0
188687,23.74,-2.406686489723078,-1.0,-1.0,-1.0,-1.0
188688,23.66,-2.49839510629419,-1.0,-1.0,-1.0,-1.0
188689,23.62,-2.5501037228652983,-1.0,-1.0,-1.0,-1.0
188690,23.6,-2.5818123394364108,-1.0,-1.0,-1.0,-1.0
188691,23.51,-2.68352095600752,1.0,-1.0,1.0,-1.0
188692,24.12,-2.08522957257863,1.0,-1.0,1.0,-1.0
188693,24.38,-1.8369381891497447,-1.0,-1.0,-1.0,-1.0
188694,24.03,-2.198646805720852,-1.0,-1.0,-1.0,-1.0
188695,24.02,-2.220355422291963,1.0,-1.0,1.0,-1.0
188696,24.32,-1.932064038863075,-1.0,-1.0,-1.0,-1.0
188697,24.24,-2.023772655434186,-1.0,-1.0,-1.0,-1.0
188698,23.86,-2.4154812720052985,1.0,-1.0,1.0,-1.0
188699,24.72,-1.5671898885764084,1.0,-1.0,1.0,-1.0
188700,24.92,-1.3788985051475144,-1.0,-1.0,-1.0,-1.0
188701,24.15,-2.1606071217186305,1.0,-1.0,1.0,-1.0
188702,24.22,-2.1023157382897395,1.0,-1.0,1.0,-1.0
188703,24.44,-1.8940243548608464,-1.0,-1.0,-1.0,-1.0
188704,23.76,-2.585732971431959,1.0,-1.0,1.0,-1.0
188705,23.86,-2.4974415880030705,1.0,-1.0,1.0,-1.0
188706,23.89,-2.4791502045741822,-1.0,-1.0,1.0,-1.0
188707,23.52,-2.860858821145293,1.0,-1.0,-1.0,-1.0
188708,23.95,-2.4425674377164017,-1.0,-1.0,-1.0,-1.0
188709,23.38,-3.024276054287516,-1.0,-1.0,-1.0,-1.0
188710,23.0,-3.415984670858624,-1.0,-1.0,-1.0,-1.0
188711,22.22,-4.207693287429734,-1.0,1.0,-1.0,1.0
188712,21.81,-4.629401904000847,1.0,1.0,-1.0,1.0
188713,23.48,-2.971110520571955,-1.0,-1.0,-1.0,-1.0
188714,23.32,-3.1428191371430683,1.0,-1.0,-1.0,-1.0
188715,23.82,-2.6545277537141767,1.0,-1.0,-1.0,-1.0
188716,24.02,-2.466236370285287,-1.0,-1.0,-1.0,-1.0
188717,23.26,-3.237944986856398,-1.0,-1.0,-1.0,-1.0
188718,23.15,-3.3596536034275104,-1.0,-1.0,-1.0,-1.0
188719,22.64,-3.881362219998621,-1.0,-1.0,-1.0,1.0
188720,22.38,-4.153070836569732,-1.0,-1.0,-1.0,-1.0
188721,22.0,-4.5447794531408405,1.0,-1.0,1.0,-1.0
188722,22.34,-4.216488069711954,-1.0,-1.0,-1.0,-1.0
188723,22.06,-4.508196686283063,-1.0,1.0,-1.0,1.0
188724,21.58,-4.999905302854174,-1.0,1.0,-1.0,1.0
188725,21.42,-5.171613919425283,1.0,1.0,-1.0,1.0
188726,22.02,-4.583322535996395,-1.0,1.0,-1.0,1.0
188727,21.8,-4.8150311525675065,-1.0,1.0,1.0,1.0
188728,21.58,-5.046739769138618,1.0,1.0,1.0,1.0
188729,22.2,-4.438448385709727,1.0,1.0,-1.0,1.0
188730,22.43,-4.220157002280839,-1.0,1.0,-1.0,1.0
188731,21.65,-5.0118656188519495,-1.0,1.0,-1.0,1.0
188732,21.3,-5.373574235423059,-1.0,1.0,1.0,1.0
188733,20.96,-5.7252828519941685,1.0,1.0,1.0,1.0
188734,21.34,-5.356991468565281,1.0,1.0,1.0,1.0
188735,21.89,-4.818700085136392,1.0,1.0,1.0,1.0
188736,21.98,-4.7404087017075005,-1.0,1.0,1.0,1.0
188737,21.94,-4.79211731827861,1.0,1.0,1.0,1.0
188738,22.51,-4.2338259348497225,1.0,1.0,1.0,1.0
188739,22.54,-4.215534551420834,1.0,1.0,1.0,1.0
188740,22.87,-3.897243167991945,1.0,1.0,1.0,1.0
188741,23.04,-3.738951784563056,1.0,1.0,1.0,1.0
188742,23.1,-3.690660401134164,-1.0,1.0,-1.0,1.0
188743,22.76,-4.042369017705276,0.0,1.0,0.0,1.0
188744,22.76,-4.0540776342763865,-1.0,1.0,1.0,1.0
188745,22.18,-4.6457862508475,1.0,1.0,1.0,1.0
188746,22.56,-4.277494867418611,-1.0,1.0,-1.0,1.0
188747,22.32,-4.529203483989718,-1.0,1.0,-1.0,1.0
188748,21.42,-5.44091210056083,-1.0,1.0,-1.0,1.0
188749,21.12,-5.75262071713194,1.0,1.0,-1.0,1.0
