,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
190507,33.04,8.257399517071782,-1.0,1.0,-1.0,1.0
190508,32.81,7.984116923804276,-1.0,1.0,-1.0,1.0
190509,32.47,7.600834330536762,-1.0,1.0,-1.0,1.0
190510,32.33,7.417551737269252,1.0,1.0,1.0,1.0
190511,32.37,7.414269144001743,1.0,1.0,1.0,1.0
190512,32.92,7.920986550734241,1.0,1.0,1.0,1.0
190513,33.38,8.337703957466733,-1.0,1.0,-1.0,1.0
190514,32.42,7.334421364199223,-1.0,1.0,-1.0,-1.0
190515,31.15,6.02113877093171,-1.0,1.0,1.0,-1.0
190516,31.07,5.897856177664206,1.0,1.0,1.0,-1.0
190517,32.72,7.504573584396695,0.0,1.0,1.0,1.0
190518,32.72,7.461290991129186,1.0,1.0,-1.0,-1.0
190519,32.73,7.4280083978616736,1.0,1.0,1.0,1.0
190520,33.21,7.8647258045941735,-1.0,1.0,-1.0,1.0
190521,32.99,7.6014432113266635,1.0,1.0,1.0,1.0
190522,33.52,8.088160618059156,1.0,1.0,-1.0,1.0
190523,33.99,8.514878024791646,1.0,1.0,1.0,1.0
190524,34.12,8.601595431524132,1.0,1.0,1.0,1.0
190525,34.31,8.748312838256629,-1.0,1.0,-1.0,1.0
190526,34.22,8.615030244989118,-1.0,1.0,-1.0,1.0
190527,34.15,8.501747651721608,1.0,1.0,1.0,1.0
190528,34.51,8.818465058454098,-1.0,1.0,-1.0,1.0
190529,34.0,8.265182465186594,-1.0,1.0,-1.0,1.0
190530,33.75,7.971899871919085,1.0,1.0,1.0,1.0
190531,34.41,8.588617278651572,1.0,1.0,-1.0,1.0
190532,34.66,8.795334685384063,1.0,1.0,1.0,1.0
190533,34.74,8.832052092116562,1.0,1.0,1.0,1.0
190534,34.87,8.918769498849047,1.0,1.0,1.0,1.0
190535,35.03,9.035486905581543,-1.0,1.0,-1.0,-1.0
190536,34.83,8.79220431231403,-1.0,1.0,1.0,1.0
190537,34.68,8.598921719046523,1.0,1.0,1.0,1.0
190538,34.85,8.725639125779017,-1.0,1.0,-1.0,1.0
190539,34.66,8.492356532511504,-1.0,1.0,-1.0,1.0
190540,34.63,8.419073939243999,1.0,1.0,1.0,1.0
190541,34.73,8.475791345976486,1.0,1.0,1.0,1.0
190542,34.93,8.632508752708983,1.0,1.0,-1.0,1.0
190543,35.21,8.869226159441475,-1.0,1.0,-1.0,1.0
190544,35.09,8.705943566173968,-1.0,1.0,-1.0,1.0
190545,34.55,8.122660972906452,1.0,1.0,1.0,1.0
190546,35.19,8.719378379638947,1.0,1.0,1.0,1.0
190547,35.92,9.40609578637144,-1.0,1.0,-1.0,1.0
190548,35.51,8.952813193103927,1.0,-1.0,1.0,-1.0
190549,36.42,9.819530599836423,1.0,-1.0,1.0,-1.0
190550,36.79,10.14624800656891,1.0,-1.0,1.0,-1.0
190551,37.07,10.382965413301406,-1.0,-1.0,-1.0,-1.0
190552,37.03,10.299682820033896,-1.0,-1.0,-1.0,-1.0
190553,36.56,9.786400226766391,-1.0,-1.0,-1.0,-1.0
190554,36.23,9.413117633498873,-1.0,-1.0,-1.0,-1.0
190555,36.01,9.14983504023137,-1.0,-1.0,-1.0,-1.0
190556,35.85,8.946552446963864,-1.0,-1.0,-1.0,-1.0
190557,35.66,8.71326985369635,1.0,-1.0,1.0,-1.0
190558,36.47,9.479987260428842,1.0,-1.0,1.0,-1.0
190559,37.23,10.196704667161336,-1.0,-1.0,-1.0,-1.0
190560,36.98,9.903422073893823,1.0,-1.0,1.0,-1.0
190561,37.18,10.06013948062632,1.0,-1.0,1.0,-1.0
190562,37.26,10.096856887358806,1.0,-1.0,-1.0,-1.0
190563,37.37,10.163574294091298,-1.0,-1.0,-1.0,-1.0
190564,37.14,9.890291700823797,-1.0,-1.0,-1.0,-1.0
190565,37.03,9.737009107556288,1.0,-1.0,1.0,-1.0
190566,37.2,9.863726514288777,-1.0,-1.0,-1.0,-1.0
190567,36.9,9.520443921021267,-1.0,-1.0,-1.0,-1.0
190568,36.83,9.40716132775376,1.0,-1.0,-1.0,-1.0
190569,37.01,9.543878734486249,-1.0,-1.0,-1.0,-1.0
190570,36.87,9.360596141218739,-1.0,-1.0,-1.0,-1.0
190571,36.26,8.70731354795123,1.0,-1.0,1.0,-1.0
190572,37.11,9.514030954683728,1.0,-1.0,1.0,-1.0
190573,37.26,9.620748361416217,-1.0,-1.0,-1.0,-1.0
190574,36.92,9.237465768148711,1.0,-1.0,1.0,-1.0
190575,37.08,9.354183174881195,-1.0,-1.0,1.0,-1.0
190576,36.48,8.710900581613691,-1.0,-1.0,-1.0,-1.0
190577,36.06,8.247617988346185,-1.0,-1.0,1.0,-1.0
190578,35.24,7.384335395078676,-1.0,-1.0,-1.0,-1.0
190579,34.86,6.961052801811165,1.0,-1.0,1.0,-1.0
190580,36.17,8.22777020854366,-1.0,-1.0,-1.0,-1.0
190581,35.75,7.764487615276148,1.0,-1.0,1.0,-1.0
190582,36.32,8.29120502200864,1.0,-1.0,1.0,-1.0
190583,36.5,8.42792242874113,-1.0,-1.0,-1.0,-1.0
190584,35.78,7.664639835473622,1.0,-1.0,1.0,-1.0
190585,35.87,7.711357242206112,-1.0,-1.0,-1.0,-1.0
