,Close,Target(1),Target(30),Prediction(1),Prediction(30)
193477,44.08,-1.0,1.0,-1.0,1.0
193478,42.86,1.0,1.0,-1.0,1.0
193479,45.0,-1.0,1.0,-1.0,1.0
193480,44.98,-1.0,1.0,-1.0,1.0
193481,44.87,1.0,1.0,1.0,1.0
193482,46.16,1.0,1.0,1.0,1.0
193483,47.44,-1.0,1.0,-1.0,1.0
193484,46.38,-1.0,1.0,-1.0,1.0
193485,44.92,-1.0,1.0,1.0,1.0
193486,44.27,1.0,1.0,1.0,1.0
193487,44.59,1.0,1.0,1.0,1.0
193488,45.58,-1.0,1.0,1.0,1.0
193489,45.29,1.0,1.0,1.0,1.0
193490,46.0,-1.0,1.0,-1.0,1.0
193491,45.41,1.0,1.0,1.0,1.0
193492,46.68,1.0,1.0,-1.0,1.0
193493,46.96,1.0,1.0,1.0,1.0
193494,47.52,1.0,1.0,1.0,1.0
193495,47.75,-1.0,1.0,1.0,1.0
193496,45.76,-1.0,1.0,-1.0,1.0
193497,45.16,1.0,1.0,1.0,1.0
193498,45.48,1.0,1.0,1.0,1.0
193499,46.79,-1.0,1.0,-1.0,1.0
193500,46.45,1.0,1.0,1.0,1.0
193501,48.03,1.0,1.0,1.0,1.0
193502,49.05,1.0,1.0,1.0,1.0
193503,49.65,-1.0,1.0,-1.0,1.0
193504,48.77,1.0,1.0,1.0,1.0
193505,50.04,-1.0,1.0,-1.0,1.0
193506,48.45,1.0,1.0,1.0,1.0
193507,49.55,-1.0,1.0,-1.0,1.0
193508,49.53,1.0,1.0,1.0,1.0
193509,50.2,-1.0,1.0,-1.0,1.0
193510,50.16,-1.0,1.0,-1.0,1.0
193511,50.14,1.0,1.0,1.0,1.0
193512,50.17,1.0,1.0,-1.0,1.0
193513,51.34,-1.0,1.0,-1.0,1.0
193514,48.37,-1.0,1.0,1.0,1.0
193515,48.16,1.0,1.0,1.0,1.0
193516,48.93,1.0,1.0,1.0,1.0
193517,49.76,1.0,1.0,1.0,1.0
193518,49.77,-1.0,1.0,-1.0,1.0
193519,48.36,-1.0,1.0,-1.0,1.0
193520,48.26,1.0,1.0,1.0,1.0
193521,49.7,1.0,1.0,1.0,1.0
193522,49.77,1.0,1.0,1.0,1.0
193523,50.36,1.0,1.0,1.0,1.0
