,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
197211,32.82,-7.234414473295814,-1.0,1.0,-1.0,1.0
197212,32.8,-7.273295915175574,1.0,1.0,-1.0,1.0
197213,32.86,-7.232177357055327,-1.0,1.0,-1.0,1.0
197214,32.32,-7.791058798935082,1.0,1.0,1.0,1.0
197215,32.61,-7.519940240814848,1.0,1.0,1.0,1.0
197216,33.66,-6.488821682694606,-1.0,1.0,-1.0,1.0
197217,33.63,-6.5377031245743575,-1.0,1.0,1.0,1.0
197218,33.49,-6.6965845664541135,-1.0,1.0,-1.0,1.0
197219,32.52,-7.685466008333869,1.0,1.0,1.0,1.0
197220,32.73,-7.494347450213631,-1.0,1.0,-1.0,1.0
197221,32.19,-8.053228892093388,1.0,1.0,-1.0,1.0
197222,32.88,-7.382110333973144,-1.0,1.0,-1.0,1.0
197223,32.38,-7.900991775852902,1.0,1.0,1.0,1.0
197224,32.55,-7.749873217732662,-1.0,1.0,-1.0,1.0
197225,32.28,-8.038754659612415,1.0,1.0,1.0,1.0
197226,32.74,-7.597636101492172,1.0,1.0,1.0,1.0
197227,33.13,-7.2265175433719255,1.0,1.0,1.0,1.0
197228,33.62,-6.755398985251688,1.0,1.0,1.0,1.0
197229,34.03,-6.36428042713144,-1.0,1.0,-1.0,1.0
197230,33.98,-6.433161869011206,-1.0,1.0,1.0,1.0
197231,33.68,-6.7520433108909605,1.0,1.0,1.0,1.0
197232,33.98,-6.4709247527707205,-1.0,1.0,1.0,1.0
197233,33.52,-6.9498061946504714,1.0,1.0,1.0,1.0
197234,33.72,-6.768687636530231,1.0,1.0,1.0,1.0
197235,34.03,-6.477569078409985,0.0,1.0,0.0,1.0
197236,34.03,-6.496450520289741,1.0,1.0,1.0,1.0
197237,34.26,-6.285331962169508,1.0,1.0,1.0,1.0
197238,34.56,-6.00421340404926,1.0,1.0,1.0,1.0
197239,34.97,-5.61309484592902,1.0,1.0,1.0,1.0
197240,35.37,-5.231976287808777,-1.0,1.0,1.0,1.0
197241,35.25,-5.370857729688531,-1.0,1.0,-1.0,1.0
197242,35.2,-5.439739171568284,1.0,1.0,1.0,1.0
197243,35.35,-5.308620613448042,1.0,1.0,1.0,1.0
197244,35.49,-5.187502055327805,-1.0,1.0,-1.0,1.0
197245,35.48,-5.216383497207566,1.0,1.0,1.0,1.0
197246,35.94,-4.7752649390873225,1.0,1.0,1.0,1.0
197247,36.49,-4.244146380967074,1.0,1.0,1.0,1.0
197248,37.07,-3.683027822846832,-1.0,1.0,-1.0,1.0
197249,36.86,-3.9119092647265887,1.0,1.0,1.0,1.0
197250,37.79,-3.0007907066063453,1.0,1.0,1.0,1.0
197251,38.31,-2.4996721484860984,1.0,-1.0,1.0,-1.0
197252,38.77,-2.058553590365861,-1.0,-1.0,-1.0,-1.0
197253,37.83,-3.0174350322456225,-1.0,-1.0,-1.0,1.0
197254,37.69,-3.176316474125379,1.0,1.0,1.0,1.0
197255,37.72,-3.165197916005134,1.0,1.0,1.0,1.0
197256,37.78,-3.124079357884888,-1.0,1.0,-1.0,1.0
197257,37.24,-3.6829607997646434,1.0,1.0,1.0,1.0
197258,37.91,-3.0318422416444046,1.0,-1.0,1.0,-1.0
197259,38.42,-2.540723683524164,1.0,-1.0,1.0,-1.0
197260,38.81,-2.169605125403919,-1.0,-1.0,-1.0,-1.0
197261,38.79,-2.2084865672836784,1.0,-1.0,1.0,-1.0
197262,39.14,-1.8773680091634333,1.0,-1.0,1.0,-1.0
197263,39.19,-1.8462494510431924,-1.0,-1.0,-1.0,1.0
197264,38.9,-2.1551308929229482,-1.0,-1.0,-1.0,-1.0
197265,38.61,-2.464012334802703,1.0,-1.0,1.0,-1.0
197266,38.87,-2.222893776682461,1.0,-1.0,1.0,-1.0
197267,39.33,-1.7817752185622242,-1.0,-1.0,-1.0,-1.0
197268,38.66,-2.470656660441982,1.0,-1.0,1.0,-1.0
197269,39.37,-1.7795381023217374,-1.0,-1.0,-1.0,-1.0
197270,39.16,-2.0084195442014945,-1.0,-1.0,1.0,-1.0
197271,39.07,-2.1173009860812466,1.0,-1.0,1.0,-1.0
197272,39.47,-1.7361824279610047,1.0,-1.0,1.0,-1.0
197273,40.22,-1.005063869840761,1.0,-1.0,1.0,-1.0
197274,40.95,-0.2939453117205204,-1.0,-1.0,1.0,-1.0
197275,39.4,-1.862826753600281,1.0,-1.0,1.0,-1.0
197276,39.46,-1.821708195480035,1.0,-1.0,1.0,-1.0
197277,40.57,-0.7305896373597918,-1.0,-1.0,-1.0,-1.0
197278,39.84,-1.479471079239545,1.0,-1.0,1.0,-1.0
197279,40.12,-1.2183525211193071,-1.0,-1.0,-1.0,-1.0
197280,38.6,-2.7572339629990594,-1.0,-1.0,-1.0,-1.0
197281,37.87,-3.50611540487882,-1.0,-1.0,-1.0,-1.0
197282,36.69,-4.704996846758583,-1.0,1.0,-1.0,1.0
197283,36.23,-5.18387828863834,1.0,1.0,1.0,1.0
197284,38.24,-3.1927597305180915,-1.0,-1.0,-1.0,1.0
197285,38.1,-3.3516411723978483,1.0,-1.0,1.0,-1.0
197286,39.26,-2.2105226142776075,-1.0,-1.0,-1.0,-1.0
197287,38.59,-2.8994040561573584,-1.0,-1.0,-1.0,-1.0
197288,37.65,-3.85828549803712,0.0,-1.0,0.0,-1.0
197289,37.65,-3.8771669399168833,-1.0,-1.0,-1.0,-1.0
197290,37.08,-4.4660483817966385,-1.0,-1.0,-1.0,-1.0
197291,36.82,-4.744929823676394,-1.0,-1.0,-1.0,-1.0
197292,35.71,-5.8738112655561485,1.0,-1.0,1.0,1.0
197293,36.1,-5.502692707435905,-1.0,-1.0,-1.0,-1.0
197294,35.4,-6.221574149315663,1.0,-1.0,1.0,-1.0
197295,35.48,-6.160455591195422,-1.0,1.0,-1.0,1.0
197296,35.08,-6.579337033075183,1.0,1.0,1.0,1.0
197297,36.79,-4.88821847495494,-1.0,-1.0,-1.0,-1.0
197298,36.17,-5.527099916834693,-1.0,1.0,1.0,1.0
197299,35.24,-6.475981358714449,1.0,1.0,1.0,1.0
197300,36.19,-5.54486280059421,-1.0,1.0,-1.0,1.0
197301,35.78,-5.973744242473963,-1.0,1.0,-1.0,1.0
197302,34.41,-7.3626256843537226,-1.0,1.0,-1.0,1.0
197303,34.09,-7.70150712623348,1.0,1.0,1.0,1.0
197304,35.49,-6.320388568113238,1.0,1.0,1.0,1.0
197305,35.58,-6.249270009992998,1.0,1.0,1.0,1.0
197306,36.99,-4.85815145187275,1.0,1.0,1.0,1.0
197307,37.61,-4.257032893752509,-1.0,1.0,-1.0,1.0
197308,36.86,-5.025914335632264,1.0,1.0,1.0,1.0
197309,37.86,-4.0447957775120225,-1.0,1.0,-1.0,1.0
197310,37.76,-4.163677219391778,1.0,1.0,1.0,1.0
197311,37.8,-4.142558661271544,1.0,1.0,1.0,1.0
197312,38.36,-3.601440103151297,-1.0,1.0,-1.0,1.0
197313,38.31,-3.670321545031051,-1.0,1.0,-1.0,1.0
