,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
199078,53.69,-17.400077471051446,-1.0,1.0,-1.0,1.0
199079,53.41,-17.693459640698322,-1.0,1.0,-1.0,1.0
199080,52.39,-18.726841810345206,-1.0,1.0,-1.0,1.0
199081,51.11,-20.020223979992092,-1.0,1.0,-1.0,1.0
199082,49.95,-21.19360614963898,1.0,1.0,1.0,1.0
199083,51.35,-19.80698831928587,1.0,1.0,1.0,1.0
199084,52.45,-18.720370488932762,-1.0,1.0,-1.0,1.0
199085,51.84,-19.343752658579632,-1.0,1.0,-1.0,1.0
199086,49.87,-21.327134828226527,-1.0,1.0,-1.0,1.0
199087,49.82,-21.390516997873405,-1.0,1.0,1.0,1.0
199088,48.96,-22.2638991675203,1.0,1.0,1.0,1.0
199089,50.32,-20.917281337167193,-1.0,1.0,1.0,1.0
199090,50.05,-21.20066350681408,1.0,1.0,1.0,1.0
199091,52.32,-18.944045676460952,1.0,1.0,1.0,1.0
199092,53.11,-18.16742784610784,1.0,1.0,1.0,1.0
199093,53.78,-17.510810015754732,1.0,1.0,1.0,1.0
199094,56.48,-14.824192185401618,1.0,1.0,1.0,1.0
199095,57.26,-14.057574355048509,1.0,1.0,1.0,1.0
199096,57.28,-14.050956524695394,-1.0,1.0,1.0,1.0
199097,56.7,-14.644338694342267,-1.0,1.0,1.0,1.0
199098,56.09,-15.267720863989155,1.0,1.0,1.0,1.0
199099,56.18,-15.191103033636049,1.0,1.0,1.0,1.0
199100,56.96,-14.424485203282936,1.0,1.0,1.0,1.0
199101,57.3,-14.097867372929828,1.0,1.0,-1.0,1.0
199102,58.29,-13.121249542576713,-1.0,1.0,-1.0,1.0
199103,58.21,-13.214631712223587,1.0,1.0,1.0,1.0
199104,58.66,-12.778013881870477,-1.0,1.0,-1.0,1.0
199105,58.5,-12.951396051517365,1.0,1.0,1.0,1.0
199106,59.54,-11.924778221164253,-1.0,1.0,-1.0,1.0
199107,59.2,-12.278160390811136,1.0,1.0,1.0,1.0
199108,59.28,-12.211542560458028,-1.0,1.0,-1.0,1.0
199109,58.49,-13.014924730104902,-1.0,1.0,-1.0,1.0
199110,57.73,-13.788306899751793,1.0,1.0,1.0,1.0
199111,58.64,-12.89168906939868,-1.0,1.0,-1.0,1.0
199112,58.13,-13.415071239045567,1.0,1.0,-1.0,1.0
199113,58.92,-12.638453408692456,1.0,1.0,1.0,1.0
199114,59.59,-11.981835578339345,-1.0,1.0,-1.0,1.0
199115,59.25,-12.335217747986233,-1.0,1.0,-1.0,1.0
199116,58.99,-12.608599917633107,1.0,1.0,1.0,1.0
199117,60.02,-11.591982087279995,1.0,-1.0,1.0,-1.0
199118,61.96,-9.665364256926882,-1.0,-1.0,-1.0,-1.0
199119,60.49,-11.148746426573773,-1.0,-1.0,-1.0,-1.0
199120,60.2,-11.45212859622066,1.0,-1.0,1.0,-1.0
199121,60.56,-11.10551076586755,1.0,-1.0,1.0,-1.0
199122,61.35,-10.328892935514423,-1.0,-1.0,-1.0,-1.0
199123,61.11,-10.582275105161317,-1.0,1.0,-1.0,1.0
199124,59.46,-12.245657274808204,1.0,1.0,1.0,1.0
199125,59.74,-11.97903944445509,1.0,-1.0,1.0,-1.0
199126,60.64,-11.09242161410198,1.0,-1.0,1.0,-1.0
199127,60.68,-11.06580378374887,-1.0,-1.0,-1.0,-1.0
199128,60.4,-11.359185953395743,1.0,-1.0,1.0,-1.0
199129,60.62,-11.152568123042634,1.0,-1.0,1.0,-1.0
199130,61.68,-10.10595029268952,1.0,-1.0,1.0,-1.0
199131,62.04,-9.75933246233641,-1.0,-1.0,-1.0,-1.0
199132,61.54,-10.272714631983296,1.0,-1.0,1.0,-1.0
199133,61.77,-10.056096801630183,-1.0,-1.0,-1.0,-1.0
199134,61.76,-10.079478971277062,-1.0,-1.0,-1.0,-1.0
199135,60.51,-11.342861140923949,-1.0,-1.0,-1.0,-1.0
199136,60.47,-11.39624331057084,-1.0,-1.0,-1.0,-1.0
199137,60.2,-11.679625480217723,1.0,-1.0,1.0,-1.0
199138,60.5,-11.393007649864616,1.0,-1.0,1.0,-1.0
199139,60.96,-10.946389819511502,1.0,-1.0,1.0,-1.0
199140,61.79,-10.129771989158376,1.0,-1.0,-1.0,-1.0
199141,62.21,-9.723154158805265,-1.0,-1.0,-1.0,-1.0
199142,59.32,-12.626536328452152,1.0,-1.0,1.0,-1.0
199143,59.58,-12.379918498099046,1.0,-1.0,1.0,-1.0
199144,60.61,-11.36330066774593,-1.0,-1.0,-1.0,-1.0
199145,59.82,-12.166682837392822,1.0,-1.0,1.0,1.0
199146,61.32,-10.680065007039694,-1.0,-1.0,-1.0,-1.0
199147,58.42,-13.59344717668658,-1.0,1.0,-1.0,1.0
199148,57.51,-14.516829346333473,-1.0,1.0,-1.0,1.0
