,Close,Target(1),Target(30),Prediction(1),Prediction(30)
206546,11.37,-1.0,1.0,-1.0,1.0
206547,11.29,1.0,1.0,1.0,1.0
206548,11.67,1.0,1.0,1.0,-1.0
206549,11.79,0.0,1.0,0.0,1.0
206550,11.79,1.0,1.0,1.0,1.0
206551,11.91,1.0,1.0,1.0,1.0
206552,13.21,1.0,-1.0,1.0,1.0
206553,13.25,-1.0,-1.0,-1.0,-1.0
206554,13.21,-1.0,-1.0,-1.0,-1.0
206555,12.67,1.0,1.0,1.0,1.0
206556,12.92,1.0,-1.0,1.0,-1.0
206557,12.98,-1.0,-1.0,-1.0,-1.0
206558,12.85,1.0,1.0,1.0,1.0
206559,13.12,-1.0,1.0,-1.0,1.0
206560,13.07,1.0,-1.0,1.0,-1.0
206561,13.22,-1.0,-1.0,-1.0,-1.0
206562,13.12,-1.0,-1.0,-1.0,-1.0
206563,12.78,1.0,-1.0,1.0,-1.0
206564,12.95,-1.0,-1.0,1.0,-1.0
206565,12.92,-1.0,-1.0,-1.0,1.0
206566,12.57,-1.0,-1.0,-1.0,-1.0
206567,12.34,1.0,-1.0,1.0,-1.0
206568,12.35,1.0,-1.0,1.0,-1.0
206569,12.36,1.0,-1.0,-1.0,-1.0
206570,12.56,-1.0,-1.0,-1.0,-1.0
206571,12.47,1.0,1.0,1.0,1.0
206572,12.57,-1.0,1.0,-1.0,1.0
206573,12.49,1.0,-1.0,1.0,-1.0
206574,12.87,1.0,-1.0,1.0,1.0
206575,12.96,1.0,-1.0,1.0,-1.0
206576,13.09,-1.0,-1.0,1.0,-1.0
206577,13.01,-1.0,1.0,-1.0,1.0
206578,12.96,1.0,1.0,1.0,1.0
206579,13.0,-1.0,1.0,-1.0,1.0
206580,12.84,1.0,1.0,1.0,1.0
206581,13.03,-1.0,1.0,-1.0,1.0
206582,12.89,-1.0,1.0,-1.0,1.0
206583,12.76,-1.0,1.0,1.0,1.0
206584,12.51,1.0,1.0,1.0,1.0
206585,12.75,1.0,1.0,1.0,1.0
206586,12.76,1.0,1.0,1.0,1.0
206587,12.85,1.0,1.0,1.0,1.0
206588,12.97,1.0,1.0,1.0,1.0
206589,13.13,-1.0,1.0,-1.0,1.0
206590,13.03,-1.0,1.0,-1.0,1.0
206591,12.8,-1.0,1.0,-1.0,1.0
206592,12.6,-1.0,1.0,-1.0,1.0
206593,12.51,1.0,1.0,-1.0,1.0
206594,12.59,-1.0,1.0,-1.0,1.0
206595,12.52,-1.0,1.0,-1.0,1.0
206596,11.93,1.0,1.0,1.0,1.0
206597,12.01,1.0,1.0,1.0,1.0
206598,12.14,-1.0,1.0,-1.0,1.0
206599,12.03,1.0,1.0,1.0,1.0
206600,12.18,1.0,-1.0,1.0,-1.0
206601,12.65,-1.0,-1.0,-1.0,-1.0
206602,12.6,-1.0,-1.0,-1.0,-1.0
206603,12.37,-1.0,-1.0,-1.0,-1.0
206604,12.34,1.0,-1.0,1.0,-1.0
