,Close,Target(1),Target(30),Prediction(1),Prediction(30)
208420,22.34,-1.0,1.0,0.0,1.0
208421,22.29,0.0,1.0,0.0,1.0
208423,23.71,0.0,1.0,0.0,1.0
208427,23.35,-1.0,1.0,-1.0,1.0
208428,23.21,0.0,1.0,0.0,1.0
208435,22.68,1.0,1.0,1.0,1.0
208436,23.47,0.0,1.0,0.0,1.0
208438,23.56,0.0,1.0,0.0,1.0
208440,23.27,0.0,1.0,0.0,1.0
208451,24.21,0.0,1.0,0.0,1.0
208453,24.94,0.0,1.0,0.0,1.0
208456,25.02,1.0,-1.0,1.0,-1.0
208457,25.2,0.0,-1.0,0.0,-1.0
208460,25.21,0.0,-1.0,0.0,-1.0
208470,24.97,0.0,0.0,0.0,0.0
208539,22.1,0.0,1.0,0.0,1.0
208542,21.9,0.0,1.0,0.0,1.0
208555,22.43,0.0,1.0,0.0,1.0
208566,22.67,0.0,1.0,0.0,1.0
208568,23.7,0.0,-1.0,0.0,-1.0
208604,25.82,0.0,1.0,0.0,1.0
208609,24.55,1.0,1.0,1.0,1.0
208610,25.0,0.0,1.0,0.0,-1.0
208618,25.97,0.0,-1.0,0.0,-1.0
208620,26.76,0.0,-1.0,0.0,-1.0
208661,26.92,0.0,1.0,0.0,1.0
208669,28.05,0.0,-1.0,0.0,-1.0
208672,27.18,0.0,-1.0,0.0,-1.0
208675,28.48,0.0,-1.0,0.0,-1.0
208685,28.7,0.0,-1.0,0.0,-1.0
208688,28.74,0.0,-1.0,0.0,-1.0
208692,26.71,0.0,-1.0,0.0,-1.0
208698,26.0,0.0,1.0,0.0,1.0
208727,26.77,0.0,-1.0,0.0,-1.0
208733,26.57,0.0,0.0,0.0,0.0
208770,25.81,0.0,1.0,0.0,1.0
208774,27.2,0.0,1.0,0.0,1.0
208778,30.56,0.0,1.0,0.0,1.0
208781,32.6,0.0,1.0,0.0,1.0
208791,33.11,0.0,-1.0,0.0,1.0
208815,33.0,0.0,1.0,0.0,1.0
208820,33.07,0.0,-1.0,0.0,-1.0
208846,32.16,0.0,-1.0,0.0,-1.0
208856,32.35,0.0,-1.0,0.0,-1.0
208867,32.31,-1.0,1.0,-1.0,1.0
208868,30.9,0.0,1.0,0.0,1.0
208896,35.5,0.0,-1.0,0.0,1.0
208898,33.41,0.0,-1.0,0.0,-1.0
208902,32.29,0.0,-1.0,0.0,-1.0
208911,30.85,-1.0,-1.0,-1.0,-1.0
