,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
209235,30.83,-23.111057969609732,-1.0,1.0,-1.0,1.0
209236,30.81,-23.12250728135088,-1.0,1.0,-1.0,1.0
209237,30.21,-23.713956593092043,1.0,1.0,1.0,1.0
209238,30.27,-23.645405904833183,-1.0,1.0,-1.0,1.0
209239,29.66,-24.246855216574346,1.0,1.0,1.0,1.0
209240,29.79,-24.108304528315486,-1.0,1.0,-1.0,1.0
209241,29.51,-24.37975384005664,-1.0,1.0,-1.0,1.0
209242,29.35,-24.5312031517978,-1.0,1.0,-1.0,1.0
209243,28.62,-25.252652463538947,-1.0,1.0,-1.0,1.0
209244,28.46,-25.404101775280104,1.0,1.0,1.0,1.0
209245,28.51,-25.34555108702125,1.0,1.0,1.0,1.0
209246,29.27,-24.57700039876241,-1.0,1.0,-1.0,1.0
209247,27.88,-25.958449710503558,1.0,1.0,1.0,1.0
209248,28.01,-25.81989902224472,1.0,1.0,1.0,1.0
209249,28.69,-25.131348333985862,1.0,1.0,1.0,1.0
209250,28.94,-24.872797645727008,1.0,1.0,-1.0,1.0
209251,31.38,-22.42424695746817,1.0,1.0,1.0,1.0
209252,31.6,-22.195696269209318,1.0,1.0,1.0,1.0
209253,32.01,-21.777145580950478,1.0,1.0,1.0,1.0
209254,32.09,-21.688594892691626,-1.0,1.0,-1.0,1.0
209255,32.07,-21.700044204432782,-1.0,1.0,-1.0,1.0
209256,32.0,-21.761493516173935,-1.0,1.0,-1.0,1.0
209257,31.39,-22.36294282791509,-1.0,1.0,-1.0,1.0
209258,31.15,-22.594392139656247,-1.0,1.0,-1.0,1.0
209259,30.89,-22.84584145139739,-1.0,1.0,-1.0,1.0
209260,30.75,-22.97729076313855,-1.0,1.0,-1.0,1.0
209261,30.61,-23.108740074879695,1.0,1.0,1.0,1.0
209262,31.08,-22.630189386620856,1.0,1.0,1.0,1.0
209263,31.55,-22.151638698362003,1.0,1.0,1.0,1.0
209264,31.68,-22.013088010103157,1.0,1.0,1.0,1.0
209265,31.91,-21.77453732184431,-1.0,1.0,-1.0,1.0
209266,31.89,-21.785986633585463,1.0,1.0,1.0,1.0
209267,32.29,-21.377435945326614,1.0,1.0,1.0,1.0
209268,32.44,-21.218885257067765,-1.0,1.0,-1.0,1.0
209269,32.39,-21.260334568808922,1.0,1.0,1.0,1.0
209270,32.44,-21.201783880550074,1.0,1.0,-1.0,1.0
209271,32.57,-21.063233192291232,-1.0,1.0,-1.0,1.0
209272,32.55,-21.074682504032378,-1.0,1.0,-1.0,1.0
209273,32.5,-21.11613181577353,1.0,1.0,1.0,1.0
209274,33.18,-20.427581127514685,1.0,1.0,1.0,1.0
209275,33.35,-20.24903043925584,1.0,1.0,1.0,1.0
209276,33.46,-20.130479750996987,-1.0,1.0,-1.0,1.0
209277,33.4,-20.18192906273815,1.0,1.0,1.0,1.0
209278,33.59,-19.983378374479294,1.0,1.0,1.0,1.0
209279,33.6,-19.964827686220445,1.0,1.0,1.0,1.0
209280,34.24,-19.3162769979616,-1.0,1.0,-1.0,1.0
209281,33.79,-19.757726309702754,1.0,1.0,-1.0,1.0
209282,34.11,-19.42917562144391,1.0,1.0,1.0,1.0
209283,34.62,-18.910624933185066,-1.0,1.0,-1.0,1.0
209284,34.11,-19.412074244926213,-1.0,1.0,-1.0,1.0
209285,34.05,-19.463523556667372,1.0,1.0,1.0,1.0
209286,34.83,-18.674972868408524,-1.0,1.0,-1.0,1.0
209287,34.69,-18.806422180149678,1.0,1.0,1.0,1.0
209288,34.96,-18.52787149189082,1.0,1.0,1.0,1.0
209289,35.33,-18.14932080363198,-1.0,1.0,-1.0,1.0
209290,35.18,-18.290770115373128,1.0,1.0,1.0,1.0
209291,35.19,-18.27221942711429,1.0,1.0,1.0,1.0
209292,35.34,-18.113668738855427,1.0,1.0,1.0,1.0
209293,36.02,-17.425118050596588,1.0,1.0,1.0,1.0
209294,36.45,-16.98656736233774,1.0,1.0,1.0,1.0
209295,36.63,-16.798016674078895,1.0,1.0,-1.0,1.0
209296,37.3,-16.11946598582005,-1.0,-1.0,-1.0,-1.0
209297,37.0,-16.410915297561196,-1.0,-1.0,-1.0,-1.0
209298,36.09,-17.31236460930235,1.0,-1.0,1.0,-1.0
209299,36.25,-17.143813921043506,1.0,1.0,1.0,1.0
209300,37.5,-15.88526323278466,1.0,1.0,1.0,-1.0
209301,38.73,-14.646712544525812,1.0,-1.0,1.0,-1.0
209302,39.36,-14.008161856266966,-1.0,1.0,-1.0,1.0
209303,38.87,-14.489611168008118,-1.0,1.0,-1.0,1.0
209304,37.59,-15.761060479749267,-1.0,1.0,-1.0,1.0
209305,36.32,-17.022509791490418,-1.0,1.0,-1.0,-1.0
209306,35.25,-18.083959103231575,1.0,1.0,1.0,1.0
209307,37.75,-15.575408414972728,1.0,1.0,1.0,1.0
209308,38.15,-15.166857726713882,1.0,1.0,1.0,1.0
209309,38.72,-14.588307038455035,-1.0,-1.0,-1.0,-1.0
209310,38.09,-15.20975635019618,-1.0,-1.0,-1.0,-1.0
209311,37.49,-15.801205661937336,-1.0,-1.0,-1.0,-1.0
209312,37.2,-16.08265497367849,-1.0,-1.0,-1.0,-1.0
209313,37.08,-16.194104285419648,-1.0,-1.0,-1.0,-1.0
209314,37.05,-16.215553597160802,-1.0,-1.0,-1.0,-1.0
209315,35.79,-17.467002908901957,1.0,-1.0,1.0,-1.0
209316,36.42,-16.8284522206431,-1.0,-1.0,-1.0,-1.0
209317,36.39,-16.84990153238425,1.0,-1.0,1.0,-1.0
209318,36.46,-16.771350844125408,1.0,-1.0,1.0,-1.0
209319,37.22,-16.00280015586656,1.0,-1.0,1.0,-1.0
209320,38.71,-14.504249467607716,-1.0,-1.0,-1.0,1.0
209321,37.66,-15.545698779348866,-1.0,-1.0,-1.0,-1.0
209322,37.08,-16.117148091090026,1.0,-1.0,1.0,-1.0
209323,39.07,-14.11859740283117,-1.0,-1.0,-1.0,-1.0
209324,38.88,-14.300046714572325,-1.0,-1.0,-1.0,-1.0
209325,36.95,-16.221496026313474,-1.0,-1.0,-1.0,-1.0
209326,36.06,-17.102945338054624,-1.0,-1.0,-1.0,-1.0
209327,35.87,-17.284394649795786,-1.0,-1.0,-1.0,-1.0
209328,35.84,-17.30584396153693,1.0,1.0,-1.0,1.0
209329,37.98,-15.157293273278091,1.0,-1.0,-1.0,-1.0
209330,38.51,-14.618742585019241,-1.0,-1.0,-1.0,-1.0
209331,38.36,-14.760191896760395,1.0,-1.0,1.0,-1.0
209332,39.53,-13.581641208501544,-1.0,-1.0,-1.0,-1.0
209333,39.17,-13.933090520242699,1.0,-1.0,1.0,-1.0
209334,39.31,-13.78453983198385,-1.0,-1.0,-1.0,-1.0
209335,39.26,-13.825989143725009,1.0,1.0,-1.0,-1.0
209336,39.37,-13.70743845546616,-1.0,-1.0,-1.0,-1.0
209337,38.7,-14.368887767207305,-1.0,-1.0,-1.0,-1.0
209338,38.19,-14.870337078948467,-1.0,1.0,1.0,1.0
209339,37.3,-15.751786390689617,1.0,1.0,1.0,1.0
209340,37.63,-15.413235702430768,-1.0,1.0,-1.0,1.0
209341,37.44,-15.594685014171922,-1.0,1.0,-1.0,1.0
209342,35.46,-17.566134325913072,1.0,1.0,1.0,1.0
209343,35.71,-17.307583637654222,1.0,1.0,1.0,1.0
209344,36.09,-16.91903294939538,-1.0,1.0,-1.0,1.0
209345,35.39,-17.610482261136532,1.0,1.0,-1.0,1.0
209346,35.63,-17.36193157287768,1.0,1.0,1.0,1.0
209347,36.27,-16.713380884618836,1.0,1.0,1.0,1.0
209348,36.33,-16.64483019635999,-1.0,1.0,-1.0,1.0
209349,36.29,-16.676279508101143,-1.0,1.0,-1.0,1.0
209350,35.94,-17.017728819842297,1.0,1.0,1.0,1.0
209351,36.6,-16.34917813158345,1.0,1.0,1.0,1.0
209352,36.63,-16.3106274433246,-1.0,1.0,-1.0,1.0
209353,36.29,-16.642076755065762,-1.0,1.0,-1.0,-1.0
209354,34.99,-17.933526066806905,1.0,1.0,1.0,1.0
209355,35.43,-17.484975378548054,1.0,1.0,1.0,1.0
209356,35.81,-17.09642469028921,-1.0,1.0,-1.0,1.0
209357,34.98,-17.917874002030363,1.0,1.0,-1.0,1.0
209358,36.11,-16.77932331377152,1.0,1.0,1.0,1.0
209359,36.97,-15.910772625512669,1.0,1.0,1.0,1.0
209360,38.29,-14.582221937253829,-1.0,1.0,-1.0,1.0
