,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
211101,13.39,-6.489096876664847,1.0,1.0,1.0,1.0
211102,13.44,-6.446637034716558,-1.0,1.0,-1.0,1.0
211103,13.2,-6.694177192768265,1.0,1.0,1.0,1.0
211104,13.3,-6.601717350819976,-1.0,1.0,-1.0,1.0
211105,13.13,-6.779257508871683,1.0,1.0,-1.0,1.0
211106,13.26,-6.656797666923393,-1.0,1.0,-1.0,1.0
211107,13.25,-6.674337824975102,-1.0,1.0,-1.0,1.0
211108,13.2,-6.731877983026812,-1.0,1.0,-1.0,1.0
211109,12.88,-7.059418141078519,-1.0,1.0,-1.0,1.0
211110,12.82,-7.12695829913023,1.0,1.0,1.0,1.0
211111,12.86,-7.094498457181937,1.0,1.0,1.0,1.0
211112,13.11,-6.852038615233649,-1.0,1.0,-1.0,1.0
211113,12.66,-7.309578773285357,1.0,1.0,1.0,1.0
211114,12.7,-7.277118931337067,1.0,1.0,1.0,1.0
211115,12.85,-7.134659089388776,1.0,1.0,1.0,1.0
211116,12.92,-7.0721992474404844,1.0,1.0,1.0,1.0
211117,13.74,-6.259739405492192,1.0,1.0,1.0,1.0
211118,13.76,-6.247279563543904,1.0,1.0,1.0,1.0
211119,14.01,-6.004819721595611,1.0,1.0,1.0,1.0
211120,14.12,-5.902359879647322,-1.0,1.0,-1.0,1.0
211121,14.1,-5.9299000376990305,-1.0,1.0,-1.0,1.0
211122,14.06,-5.977440195750741,-1.0,1.0,1.0,1.0
211123,13.66,-6.384980353802447,-1.0,1.0,-1.0,1.0
211124,13.28,-6.772520511854158,1.0,1.0,1.0,1.0
211125,13.46,-6.600060669905865,-1.0,1.0,-1.0,1.0
211126,13.42,-6.647600827957578,-1.0,1.0,1.0,1.0
211127,13.38,-6.695140986009282,1.0,1.0,1.0,1.0
211128,13.62,-6.462681144060996,1.0,1.0,1.0,1.0
211129,13.86,-6.230221302112702,1.0,1.0,1.0,1.0
211130,13.98,-6.117761460164412,1.0,1.0,1.0,1.0
211131,14.1,-6.005301618216121,-1.0,1.0,1.0,1.0
211132,14.08,-6.032841776267833,1.0,1.0,1.0,1.0
211133,14.21,-5.9103819343195365,1.0,1.0,1.0,1.0
211134,14.37,-5.75792209237125,-1.0,1.0,-1.0,1.0
211135,14.32,-5.815462250422957,1.0,1.0,1.0,1.0
211136,14.39,-5.753002408474669,1.0,1.0,1.0,1.0
211137,14.43,-5.720542566526376,-1.0,1.0,-1.0,1.0
211138,14.38,-5.778082724578086,-1.0,1.0,-1.0,1.0
211139,14.35,-5.8156228826297935,1.0,1.0,1.0,1.0
211140,14.66,-5.513163040681505,1.0,1.0,1.0,1.0
211141,14.69,-5.490703198733213,1.0,1.0,1.0,1.0
211142,14.81,-5.378243356784923,-1.0,1.0,-1.0,1.0
211143,14.73,-5.465783514836629,1.0,1.0,-1.0,1.0
211144,14.77,-5.433323672888342,-1.0,1.0,-1.0,1.0
211145,14.72,-5.4908638309400475,1.0,1.0,1.0,1.0
211146,14.9,-5.31840398899176,-1.0,1.0,-1.0,1.0
211147,14.7,-5.525944147043468,1.0,1.0,1.0,1.0
211148,14.79,-5.443484305095179,1.0,1.0,-1.0,1.0
211149,14.96,-5.281024463146885,-1.0,1.0,-1.0,1.0
211150,14.8,-5.448564621198597,1.0,1.0,1.0,1.0
211151,14.82,-5.436104779250304,1.0,1.0,1.0,1.0
211152,15.05,-5.213644937302013,-1.0,1.0,-1.0,1.0
211153,14.96,-5.311185095353722,1.0,1.0,1.0,1.0
211154,15.02,-5.258725253405434,1.0,1.0,1.0,1.0
211155,15.08,-5.2062654114571405,1.0,1.0,1.0,1.0
211156,15.09,-5.203805569508852,-1.0,1.0,-1.0,1.0
211157,15.0,-5.301345727560558,0.0,1.0,0.0,1.0
211158,15.0,-5.30888588561227,1.0,1.0,1.0,1.0
211159,15.23,-5.086426043663977,1.0,1.0,1.0,1.0
211160,15.38,-4.9439662017156865,0.0,1.0,0.0,1.0
211161,15.38,-4.951506359767395,1.0,1.0,1.0,1.0
211162,15.69,-4.649046517819107,-1.0,-1.0,-1.0,-1.0
211163,15.56,-4.786586675870813,-1.0,-1.0,-1.0,-1.0
211164,15.3,-5.054126833922523,1.0,-1.0,1.0,-1.0
211165,15.5,-4.861666991974231,1.0,1.0,1.0,1.0
211166,16.1,-4.269207150025942,1.0,-1.0,1.0,-1.0
211167,16.69,-3.6867473080776487,1.0,-1.0,1.0,-1.0
211168,16.79,-3.5942874661293622,-1.0,-1.0,-1.0,-1.0
211169,16.59,-3.8018276241810693,-1.0,-1.0,1.0,-1.0
211170,15.86,-4.53936778223278,-1.0,1.0,-1.0,1.0
211171,15.38,-5.026907940284486,-1.0,1.0,1.0,1.0
211172,14.94,-5.474448098336199,1.0,1.0,1.0,1.0
211173,15.86,-4.561988256387906,1.0,1.0,1.0,1.0
211174,16.23,-4.199528414439616,1.0,1.0,1.0,1.0
211175,16.45,-3.987068572491325,-1.0,-1.0,-1.0,-1.0
211176,16.23,-4.214608730543033,-1.0,-1.0,-1.0,-1.0
211177,15.88,-4.572148888594741,-1.0,1.0,-1.0,1.0
211178,15.74,-4.719689046646453,-1.0,-1.0,-1.0,-1.0
211179,15.59,-4.8772292046981605,-1.0,-1.0,-1.0,1.0
211180,15.52,-4.954769362749873,-1.0,1.0,-1.0,1.0
211181,15.11,-5.372309520801579,1.0,1.0,1.0,1.0
211182,15.35,-5.13984967885329,1.0,1.0,1.0,1.0
211183,15.46,-5.037389836904996,1.0,1.0,1.0,1.0
211184,15.47,-5.034929994956706,1.0,1.0,1.0,1.0
211185,15.71,-4.8024701530084135,1.0,1.0,1.0,1.0
211186,16.36,-4.160010311060127,-1.0,-1.0,-1.0,-1.0
211187,15.87,-4.657550469111834,-1.0,1.0,-1.0,1.0
211188,15.62,-4.915090627163545,1.0,1.0,1.0,1.0
211189,16.34,-4.202630785215252,1.0,-1.0,1.0,-1.0
211190,16.42,-4.130170943266962,-1.0,-1.0,-1.0,-1.0
211191,15.54,-5.017711101318671,-1.0,-1.0,-1.0,-1.0
211192,15.06,-5.505251259370381,-1.0,1.0,-1.0,1.0
211193,14.95,-5.622791417422088,-1.0,1.0,-1.0,1.0
211194,14.85,-5.7303315754738,1.0,1.0,1.0,1.0
211195,15.64,-4.947871733525505,1.0,1.0,1.0,1.0
211196,16.04,-4.555411891577219,-1.0,1.0,-1.0,1.0
211197,15.98,-4.622952049628925,1.0,1.0,1.0,1.0
211198,16.38,-4.230492207680637,-1.0,1.0,-1.0,1.0
211199,16.28,-4.338032365732342,1.0,1.0,-1.0,1.0
211200,16.48,-4.145572523784054,1.0,1.0,1.0,1.0
211201,16.52,-4.113112681835761,1.0,1.0,-1.0,1.0
211202,16.82,-3.820652839887472,-1.0,1.0,-1.0,1.0
211203,16.62,-4.028192997939179,-1.0,1.0,-1.0,1.0
211204,16.52,-4.1357331559908905,-1.0,1.0,-1.0,1.0
211205,16.1,-4.563273314042597,1.0,1.0,1.0,1.0
211206,16.18,-4.49081347209431,1.0,1.0,1.0,1.0
211207,16.37,-4.308353630146016,-1.0,1.0,-1.0,1.0
211208,15.3,-5.385893788197726,1.0,1.0,1.0,1.0
211209,15.46,-5.233433946249434,1.0,1.0,1.0,1.0
211210,15.7,-5.000974104301147,-1.0,1.0,-1.0,1.0
211211,15.42,-5.288514262352853,1.0,1.0,1.0,1.0
211212,15.57,-5.146054420404564,1.0,1.0,1.0,1.0
211213,15.75,-4.973594578456272,1.0,1.0,1.0,1.0
211214,15.76,-4.971134736507983,-1.0,1.0,1.0,1.0
211215,15.74,-4.998674894559691,-1.0,1.0,-1.0,1.0
211216,15.58,-5.166215052611401,1.0,1.0,1.0,1.0
211217,15.94,-4.813755210663108,1.0,1.0,1.0,1.0
211218,16.05,-4.7112953687148185,-1.0,1.0,-1.0,1.0
211219,15.94,-4.828835526766527,-1.0,1.0,-1.0,1.0
211220,15.32,-5.456375684818237,1.0,1.0,1.0,1.0
211221,15.42,-5.363915842869945,1.0,1.0,1.0,1.0
211222,15.54,-5.251456000921657,-1.0,1.0,-1.0,1.0
211223,15.17,-5.628996158973363,1.0,1.0,1.0,1.0
211224,15.65,-5.156536317025075,1.0,1.0,1.0,1.0
211225,16.12,-4.6940764750767805,1.0,1.0,1.0,1.0
211226,16.84,-3.981616633128493,-1.0,1.0,-1.0,1.0
211227,16.66,-4.1691567911802,-1.0,1.0,-1.0,1.0
211228,16.62,-4.21669694923191,1.0,1.0,-1.0,1.0
211229,16.76,-4.0842371072836166,1.0,1.0,1.0,1.0
211230,17.19,-3.661777265335328,1.0,1.0,1.0,1.0
211231,17.43,-3.4293174233870367,-1.0,1.0,-1.0,1.0
211232,17.02,-3.8468575814387482,0.0,1.0,-1.0,1.0
211233,17.02,-3.8543977394904547,-1.0,1.0,-1.0,1.0
211234,16.92,-3.9619378975421635,-1.0,1.0,1.0,1.0
211235,16.74,-4.149478055593875,-1.0,1.0,-1.0,1.0
211236,16.68,-4.217018213645584,1.0,1.0,-1.0,1.0
211237,16.84,-4.064558371697292,-1.0,1.0,-1.0,1.0
211238,16.56,-4.352098529749004,-1.0,1.0,-1.0,1.0
211239,16.35,-4.569638687800708,1.0,1.0,1.0,1.0
211240,16.41,-4.5171788458524205,-1.0,1.0,-1.0,1.0
211241,16.36,-4.5747190039041286,1.0,1.0,1.0,1.0
211242,16.8,-4.142259161955837,1.0,1.0,1.0,1.0
211243,17.0,-3.9497993200075454,-1.0,1.0,-1.0,1.0
211244,16.64,-4.317339478059257,1.0,1.0,1.0,1.0
211245,16.78,-4.184879636110964,0.0,1.0,0.0,1.0
211246,16.78,-4.1924197941626735,-1.0,1.0,-1.0,1.0
211247,16.38,-4.599959952214384,-1.0,1.0,-1.0,1.0
211248,16.37,-4.617500110266093,1.0,1.0,1.0,1.0
211249,16.56,-4.4350402683178025,1.0,1.0,1.0,1.0
211250,16.96,-4.042580426369511,-1.0,1.0,-1.0,1.0
211251,16.86,-4.15012058442122,1.0,1.0,-1.0,1.0
211252,16.9,-4.117660742472932,1.0,1.0,1.0,1.0
211253,17.44,-3.5852009005246366,1.0,1.0,1.0,1.0
211254,17.68,-3.3527410585763486,1.0,1.0,1.0,1.0
211255,18.06,-2.980281216628057,-1.0,1.0,-1.0,1.0
211256,17.5,-3.547821374679767,-1.0,1.0,-1.0,1.0
211257,17.32,-3.7353615327314733,1.0,1.0,-1.0,1.0
211258,17.38,-3.6829016907831855,1.0,1.0,1.0,1.0
