,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
212967,19.01,0.6764212109789227,-1.0,1.0,-1.0,1.0
212968,18.7,0.3383872339288203,-1.0,1.0,-1.0,1.0
212969,18.66,0.2703532568787175,-1.0,1.0,-1.0,1.0
212970,18.44,0.02231927982861848,-1.0,1.0,-1.0,1.0
212971,18.26,-0.18571469722148135,1.0,1.0,1.0,1.0
212972,19.01,0.5362513257284149,-1.0,1.0,-1.0,1.0
212973,18.89,0.3882173486783138,-1.0,1.0,-1.0,1.0
212974,18.76,0.2301833716282147,-1.0,1.0,-1.0,1.0
212975,17.92,-0.6378506054218889,-1.0,1.0,-1.0,1.0
212976,17.75,-0.8358845824719907,0.0,1.0,0.0,1.0
212977,17.75,-0.8639185595220908,1.0,1.0,1.0,1.0
212978,18.07,-0.5719525365721942,-1.0,1.0,-1.0,1.0
212979,17.99,-0.6799865136222962,1.0,1.0,1.0,1.0
212980,18.23,-0.4680204906723944,1.0,1.0,1.0,1.0
212981,18.38,-0.3460544677224995,1.0,1.0,1.0,1.0
212982,19.06,0.3059115552274001,1.0,1.0,1.0,1.0
212983,19.4,0.6178775781772998,1.0,1.0,1.0,1.0
212984,19.63,0.8198436011271966,1.0,1.0,1.0,1.0
212985,19.68,0.8418096240770971,1.0,1.0,1.0,1.0
212986,19.84,0.9737756470269971,1.0,1.0,1.0,1.0
212987,19.89,0.9957416699768942,1.0,1.0,1.0,1.0
212988,19.96,1.0377076929267943,-1.0,1.0,-1.0,1.0
212989,19.87,0.9196737158766944,1.0,1.0,1.0,1.0
212990,19.97,0.9916397388265884,1.0,1.0,1.0,1.0
212991,21.5,2.493605761776489,-1.0,1.0,-1.0,1.0
212992,21.29,2.2555717847263885,1.0,1.0,1.0,1.0
212993,21.71,2.6475378076762865,-1.0,-1.0,-1.0,-1.0
212994,20.59,1.4995038306261854,1.0,1.0,1.0,1.0
212995,21.18,2.061469853576085,1.0,1.0,1.0,1.0
212996,21.37,2.2234358765259827,1.0,1.0,1.0,1.0
212997,21.54,2.3654018994758808,1.0,1.0,1.0,1.0
212998,21.8,2.5973679224257817,-1.0,1.0,-1.0,1.0
