,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
217854,16.27,-3.049667706492585,1.0,1.0,1.0,1.0
217855,16.36,-2.9972213568998605,-1.0,1.0,-1.0,1.0
217856,16.3,-3.094775007307131,1.0,1.0,1.0,1.0
217857,16.37,-3.0623286577144064,1.0,1.0,1.0,1.0
217858,16.51,-2.9598823081216783,1.0,1.0,1.0,1.0
217859,16.66,-2.8474359585289517,1.0,1.0,1.0,1.0
217860,16.97,-2.574989608936228,1.0,1.0,-1.0,1.0
217861,17.06,-2.5225432593435,-1.0,1.0,-1.0,1.0
217862,16.36,-3.260096909750775,-1.0,1.0,-1.0,1.0
217863,16.06,-3.597650560158048,-1.0,1.0,-1.0,1.0
217864,15.71,-3.9852042105653216,1.0,1.0,1.0,1.0
217865,15.99,-3.7427578609725938,-1.0,1.0,-1.0,1.0
217866,15.93,-3.8403115113798703,-1.0,1.0,-1.0,1.0
217867,15.9,-3.907865161787141,1.0,1.0,1.0,1.0
217868,16.12,-3.725418812194416,1.0,1.0,1.0,1.0
217869,16.44,-3.442972462601688,1.0,1.0,1.0,1.0
217870,16.7,-3.2205261130089653,-1.0,1.0,-1.0,1.0
217871,16.63,-3.3280797634162376,1.0,1.0,1.0,1.0
217872,16.67,-3.3256334138235104,-1.0,1.0,-1.0,1.0
217873,16.51,-3.5231870642307825,1.0,1.0,-1.0,1.0
217874,16.56,-3.510740714638061,1.0,1.0,1.0,1.0
217875,18.59,-1.5182943650453318,1.0,1.0,1.0,1.0
217876,18.69,-1.4558480154526023,-1.0,1.0,-1.0,1.0
217877,18.58,-1.6034016658598809,-1.0,1.0,-1.0,1.0
217878,18.43,-1.7909553162671514,1.0,1.0,1.0,1.0
217879,18.68,-1.5785089666744268,-1.0,1.0,-1.0,1.0
217880,18.54,-1.7560626170816995,1.0,1.0,-1.0,1.0
217881,18.73,-1.6036162674889738,1.0,1.0,1.0,1.0
217882,18.92,-1.4511699178962445,1.0,1.0,-1.0,1.0
217883,18.95,-1.4587235683035225,-1.0,1.0,-1.0,1.0
217884,18.68,-1.7662772187107938,1.0,1.0,1.0,1.0
217885,18.72,-1.7638308691180704,-1.0,1.0,-1.0,1.0
217886,18.68,-1.841384519525341,1.0,1.0,1.0,1.0
217887,18.77,-1.7889381699326172,1.0,1.0,1.0,1.0
217888,18.99,-1.6064918203398904,-1.0,1.0,-1.0,1.0
217889,18.91,-1.7240454707471642,-1.0,1.0,-1.0,1.0
217890,18.83,-1.8415991211544382,1.0,1.0,1.0,1.0
217891,18.92,-1.7891527715617102,-1.0,1.0,1.0,1.0
217892,18.81,-1.936706421968985,1.0,1.0,1.0,1.0
217893,19.83,-0.9542600723762577,1.0,1.0,-1.0,1.0
217894,19.93,-0.8918137227835317,-1.0,1.0,-1.0,1.0
217895,19.8,-1.0593673731908062,-1.0,-1.0,-1.0,1.0
217896,19.71,-1.1869210235980778,1.0,1.0,1.0,1.0
217897,19.9,-1.0344746740053523,-1.0,1.0,-1.0,1.0
217898,19.88,-1.0920283244126274,-1.0,1.0,-1.0,1.0
217899,19.86,-1.1495819748198992,-1.0,1.0,-1.0,1.0
217900,19.74,-1.3071356252271755,1.0,1.0,1.0,1.0
217901,19.83,-1.2546892756344477,0.0,1.0,0.0,1.0
217902,19.83,-1.2922429260417232,1.0,-1.0,1.0,1.0
217903,19.86,-1.299796576448994,-1.0,1.0,-1.0,1.0
217904,19.81,-1.3873502268562703,-1.0,1.0,-1.0,1.0
