,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
219720,43.25,-11.88556163348535,-1.0,1.0,-1.0,1.0
219721,42.96,-12.189165872758426,-1.0,1.0,-1.0,1.0
219722,42.81,-12.3527701120315,-1.0,1.0,-1.0,1.0
219723,42.52,-12.65637435130458,1.0,1.0,1.0,1.0
219724,42.88,-12.30997859057765,1.0,1.0,1.0,1.0
219725,43.47,-11.733582829850734,1.0,1.0,1.0,1.0
219726,44.32,-10.897187069123802,-1.0,1.0,-1.0,1.0
219727,44.13,-11.10079130839688,-1.0,1.0,-1.0,1.0
219728,42.76,-12.484395547669955,-1.0,1.0,-1.0,1.0
219729,41.49,-13.76799978694303,-1.0,1.0,-1.0,1.0
219730,41.05,-14.221604026216113,1.0,1.0,1.0,1.0
219731,42.06,-13.22520826548918,1.0,1.0,1.0,1.0
219732,42.09,-13.208812504762257,1.0,1.0,1.0,1.0
219733,42.88,-12.43241674403533,-1.0,1.0,-1.0,1.0
219734,42.72,-12.606020983308413,1.0,1.0,1.0,1.0
219735,43.65,-11.689625222581489,1.0,1.0,1.0,1.0
219736,44.45,-10.903229461854556,1.0,1.0,1.0,1.0
219737,45.44,-9.926833701127642,1.0,1.0,1.0,1.0
219738,46.08,-9.300437940400712,-1.0,1.0,-1.0,1.0
219739,46.02,-9.374042179673788,-1.0,1.0,-1.0,1.0
219740,44.94,-10.467646418946863,-1.0,1.0,1.0,1.0
219741,44.7,-10.721250658219937,-1.0,1.0,-1.0,1.0
219742,44.61,-10.824854897493019,1.0,1.0,1.0,1.0
219743,45.26,-10.188459136766092,1.0,1.0,1.0,1.0
219744,45.76,-9.70206337603917,1.0,1.0,-1.0,1.0
219745,46.15,-9.32566761531224,-1.0,1.0,-1.0,1.0
219746,45.92,-9.569271854585317,1.0,1.0,1.0,1.0
219747,46.07,-9.432876093858397,1.0,1.0,1.0,1.0
219748,47.02,-8.496480333131466,-1.0,1.0,-1.0,1.0
219749,46.67,-8.860084572404547,-1.0,1.0,-1.0,1.0
219750,46.52,-9.023688811677617,-1.0,1.0,-1.0,1.0
219751,46.33,-9.2272930509507,1.0,1.0,-1.0,1.0
219752,46.41,-9.160897290223774,1.0,1.0,1.0,1.0
219753,46.43,-9.154501529496848,-1.0,1.0,-1.0,1.0
219754,46.24,-9.358105768769924,1.0,1.0,1.0,1.0
219755,46.36,-9.251710008042998,1.0,1.0,1.0,1.0
219756,46.93,-8.695314247316077,1.0,1.0,1.0,1.0
219757,47.09,-8.548918486589145,-1.0,1.0,-1.0,1.0
219758,46.53,-9.122522725862224,-1.0,1.0,-1.0,1.0
219759,46.42,-9.246126965135305,1.0,1.0,1.0,1.0
219760,47.38,-8.299731204408374,-1.0,1.0,-1.0,1.0
219761,46.4,-9.293335443681457,-1.0,1.0,-1.0,1.0
219762,46.18,-9.526939682954527,-1.0,1.0,-1.0,1.0
219763,46.07,-9.650543922227603,1.0,1.0,1.0,1.0
219764,46.64,-9.094148161500684,1.0,1.0,1.0,1.0
219765,47.12,-8.627752400773758,-1.0,1.0,-1.0,1.0
219766,46.75,-9.011356640046834,1.0,1.0,1.0,1.0
219767,47.0,-8.774960879319906,1.0,1.0,1.0,1.0
219768,47.55,-8.238565118592987,1.0,1.0,1.0,1.0
219769,47.65,-8.152169357866057,-1.0,1.0,-1.0,1.0
219770,47.34,-8.475773597139131,-1.0,-1.0,-1.0,1.0
219771,47.14,-8.689377836412213,1.0,-1.0,1.0,-1.0
219772,48.02,-7.822982075685282,-1.0,-1.0,-1.0,-1.0
219773,47.82,-8.036586314958363,1.0,-1.0,-1.0,-1.0
219774,47.87,-8.000190554231438,1.0,-1.0,1.0,-1.0
219775,48.69,-7.193794793504517,-1.0,-1.0,-1.0,-1.0
219776,48.51,-7.387399032777594,-1.0,-1.0,-1.0,-1.0
219777,47.78,-8.131003272050663,-1.0,-1.0,-1.0,-1.0
219778,47.75,-8.174607511323742,1.0,-1.0,1.0,1.0
219779,48.25,-7.688211750596813,1.0,-1.0,-1.0,-1.0
219780,48.89,-7.061815989869893,1.0,-1.0,-1.0,-1.0
219781,50.25,-5.715420229142964,1.0,-1.0,1.0,-1.0
219782,54.2,-1.77902446841604,-1.0,-1.0,-1.0,-1.0
219783,53.61,-2.382628707689122,-1.0,-1.0,-1.0,-1.0
219784,51.74,-4.266232946962192,1.0,-1.0,1.0,-1.0
219785,52.04,-3.979837186235272,1.0,-1.0,-1.0,-1.0
219786,52.85,-3.1834414255083416,-1.0,-1.0,-1.0,-1.0
219787,52.22,-3.8270456647814233,1.0,-1.0,-1.0,-1.0
219788,53.41,-2.650649904054504,-1.0,-1.0,-1.0,-1.0
219789,51.92,-4.15425414332757,-1.0,-1.0,-1.0,-1.0
219790,51.6,-4.487858382600648,-1.0,-1.0,-1.0,-1.0
219791,48.74,-7.36146262187372,-1.0,-1.0,-1.0,-1.0
219792,48.03,-8.0850668611468,1.0,-1.0,1.0,-1.0
219793,50.94,-5.188671100419874,-1.0,-1.0,-1.0,-1.0
219794,50.47,-5.672275339692953,1.0,-1.0,1.0,-1.0
219795,51.77,-4.385879578966026,-1.0,-1.0,-1.0,-1.0
219796,50.82,-5.349483818239102,-1.0,-1.0,-1.0,-1.0
219797,49.49,-6.693088057512178,1.0,-1.0,1.0,-1.0
219798,49.5,-6.696692296785251,-1.0,-1.0,-1.0,-1.0
219799,48.24,-7.970296536058327,-1.0,-1.0,-1.0,-1.0
219800,47.18,-9.043900775331407,-1.0,-1.0,-1.0,-1.0
219801,44.21,-12.02750501460448,1.0,-1.0,1.0,-1.0
219802,44.45,-11.801109253877554,-1.0,-1.0,-1.0,1.0
219803,43.99,-12.274713493150628,-1.0,-1.0,-1.0,1.0
219804,43.66,-12.618317732423714,1.0,-1.0,1.0,-1.0
219805,43.75,-12.54192197169678,1.0,1.0,1.0,1.0
219806,45.61,-10.69552621096986,-1.0,-1.0,-1.0,1.0
219807,44.89,-11.429130450242937,-1.0,-1.0,-1.0,-1.0
219808,43.72,-12.61273468951601,1.0,1.0,1.0,1.0
219809,45.16,-11.186338928789091,1.0,-1.0,1.0,-1.0
219810,45.82,-10.53994316806216,-1.0,-1.0,-1.0,-1.0
219811,43.05,-13.32354740733524,-1.0,1.0,-1.0,1.0
219812,41.98,-14.40715164660832,1.0,1.0,1.0,1.0
219813,42.29,-14.110755885881385,1.0,1.0,1.0,1.0
219814,42.69,-13.724360125154467,1.0,1.0,1.0,1.0
219815,44.65,-11.777964364427538,1.0,1.0,1.0,1.0
219816,45.14,-11.301568603700616,1.0,1.0,1.0,1.0
219817,45.41,-11.045172842973699,1.0,1.0,1.0,1.0
219818,46.94,-9.52877708224677,-1.0,1.0,-1.0,1.0
219819,46.4,-10.082381321519849,-1.0,1.0,-1.0,1.0
219820,45.95,-10.545985560792914,-1.0,1.0,-1.0,1.0
219821,45.63,-10.879589800065991,1.0,1.0,1.0,1.0
219822,46.32,-10.203194039339069,-1.0,1.0,-1.0,1.0
219823,44.49,-12.046798278612144,-1.0,1.0,-1.0,1.0
219824,44.35,-12.200402517885225,-1.0,1.0,-1.0,1.0
219825,43.3,-13.2640067571583,1.0,1.0,1.0,1.0
219826,44.14,-12.437610996431374,-1.0,1.0,-1.0,1.0
