,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
225321,36.01,-3.400977441378238,1.0,1.0,1.0,1.0
225322,36.48,-2.9475016057735037,1.0,1.0,1.0,1.0
225323,36.62,-2.82402577016876,1.0,1.0,1.0,1.0
225324,37.45,-2.010549934564011,-1.0,1.0,-1.0,1.0
225325,36.96,-2.5170740989592773,1.0,1.0,1.0,1.0
225326,37.85,-1.6435982633545336,1.0,1.0,1.0,1.0
225327,38.29,-1.2201224277497928,-1.0,1.0,-1.0,1.0
225328,38.02,-1.5066465921450458,-1.0,1.0,-1.0,1.0
225329,37.4,-2.1431707565403144,1.0,1.0,1.0,1.0
225330,37.59,-1.9696949209355663,-1.0,1.0,-1.0,1.0
225331,37.53,-2.0462190853308257,1.0,1.0,1.0,1.0
225332,38.41,-1.1827432497260943,-1.0,1.0,-1.0,1.0
225333,38.05,-1.5592674141213507,1.0,1.0,-1.0,1.0
225334,38.76,-0.8657915785166068,1.0,1.0,1.0,1.0
225335,38.99,-0.6523157429118598,1.0,1.0,1.0,1.0
225336,40.41,0.7511600926928708,1.0,1.0,1.0,1.0
225337,40.59,0.9146359282976206,-1.0,1.0,-1.0,1.0
225338,40.52,0.8281117639023634,1.0,1.0,1.0,1.0
225339,41.05,1.3415875995070934,0.0,1.0,1.0,1.0
225340,41.05,1.3250634351118364,-1.0,1.0,-1.0,1.0
225341,40.62,0.8785392707165798,1.0,1.0,1.0,1.0
225342,40.99,1.2320151063213205,-1.0,1.0,1.0,1.0
225343,40.33,0.5554909419260596,1.0,1.0,1.0,1.0
225344,40.55,0.7589667775308016,1.0,1.0,1.0,1.0
225345,41.15,1.3424426131355458,-1.0,1.0,-1.0,1.0
225346,40.51,0.6859184487402814,1.0,1.0,1.0,1.0
225347,40.59,0.7493942843450299,-1.0,1.0,-1.0,1.0
225348,40.45,0.5928701199497723,1.0,1.0,-1.0,1.0
225349,40.98,1.1063459555545023,1.0,1.0,1.0,1.0
225350,41.99,2.0998217911592505,1.0,1.0,1.0,1.0
225351,42.03,2.1232976267639927,1.0,1.0,1.0,1.0
225352,42.25,2.3267734623687346,1.0,1.0,-1.0,1.0
225353,42.28,2.340249297973472,-1.0,1.0,-1.0,1.0
225354,42.02,2.0637251335782167,1.0,1.0,1.0,1.0
225355,42.44,2.4672009691829544,1.0,1.0,1.0,1.0
225356,42.6,2.610676804787694,1.0,1.0,-1.0,1.0
225357,43.49,3.4841526403924377,0.0,1.0,0.0,1.0
225358,43.49,3.4676284759971807,1.0,1.0,-1.0,1.0
225359,43.65,3.61110431160192,1.0,1.0,1.0,1.0
225360,44.13,4.07458014720666,-1.0,-1.0,1.0,-1.0
225361,43.91,3.838055982811397,1.0,-1.0,1.0,-1.0
225362,44.91,4.8215318184161395,-1.0,-1.0,-1.0,-1.0
225363,44.69,4.5850076540208775,-1.0,-1.0,-1.0,-1.0
225364,44.29,4.168483489625622,1.0,1.0,1.0,-1.0
225365,44.97,4.831959325230366,-1.0,-1.0,-1.0,-1.0
225366,44.8,4.645435160835099,-1.0,1.0,-1.0,1.0
225367,44.54,4.368910996439844,-1.0,-1.0,-1.0,-1.0
225368,44.5,4.312386832044588,1.0,-1.0,-1.0,-1.0
225369,45.51,5.305862667649329,-1.0,-1.0,-1.0,-1.0
225370,45.26,5.039338503254066,1.0,-1.0,1.0,-1.0
225371,46.39,6.1528143388588115,-1.0,-1.0,-1.0,-1.0
225372,46.38,6.126290174463557,1.0,-1.0,-1.0,-1.0
225373,46.8,6.529766010068287,1.0,-1.0,1.0,-1.0
225374,46.89,6.603241845673032,1.0,-1.0,1.0,-1.0
225375,47.0,6.696717681277776,1.0,-1.0,1.0,-1.0
225376,47.37,7.0501935168825165,-1.0,-1.0,-1.0,-1.0
225377,46.92,6.583669352487255,-1.0,-1.0,-1.0,-1.0
225378,46.86,6.507145188091997,1.0,-1.0,-1.0,-1.0
225379,47.21,6.840621023696741,-1.0,-1.0,1.0,-1.0
225380,47.12,6.7340968593014745,1.0,-1.0,1.0,-1.0
225381,47.4,6.997572694906218,1.0,-1.0,1.0,-1.0
225382,48.66,8.241048530510959,1.0,-1.0,1.0,-1.0
225383,48.68,8.244524366115705,-1.0,-1.0,-1.0,-1.0
225384,48.01,7.558000201720438,-1.0,-1.0,-1.0,-1.0
225385,47.01,6.541476037325183,-1.0,-1.0,-1.0,-1.0
225386,45.78,5.2949518729299285,1.0,-1.0,1.0,-1.0
225387,46.1,5.598427708534665,-1.0,-1.0,-1.0,-1.0
225388,44.75,4.231903544139406,1.0,-1.0,1.0,-1.0
225389,45.46,4.92537937974415,-1.0,-1.0,-1.0,-1.0
225390,43.84,3.288855215348889,-1.0,1.0,-1.0,1.0
225391,43.67,3.1023310509536297,-1.0,1.0,-1.0,1.0
225392,42.89,2.305806886558372,-1.0,1.0,-1.0,1.0
