,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
229055,49.98,-1.7016860906131157,1.0,-1.0,1.0,1.0
229056,50.43,-1.2692544298216362,-1.0,-1.0,-1.0,-1.0
229057,50.22,-1.4968227690301603,-1.0,-1.0,-1.0,-1.0
229058,49.86,-1.874391108238683,-1.0,-1.0,-1.0,-1.0
229059,49.59,-2.1619594474472024,1.0,-1.0,1.0,-1.0
229060,49.95,-1.8195277866557265,1.0,-1.0,1.0,1.0
229061,50.28,-1.5070961258642512,-1.0,-1.0,-1.0,-1.0
229062,49.92,-1.8846644650727669,-1.0,-1.0,-1.0,-1.0
229063,49.11,-2.7122328042812924,-1.0,1.0,-1.0,1.0
229064,48.96,-2.8798011434898143,0.0,1.0,0.0,1.0
229065,48.96,-2.8973694826983376,1.0,1.0,1.0,1.0
229066,49.68,-2.194937821906862,-1.0,-1.0,-1.0,1.0
229067,48.66,-3.2325061611153885,-1.0,1.0,-1.0,1.0
229068,48.63,-3.2800745003239067,-1.0,1.0,-1.0,1.0
229069,48.45,-3.477642839532429,1.0,1.0,1.0,1.0
229070,48.75,-3.195211178740955,-1.0,1.0,-1.0,1.0
229071,48.54,-3.4227795179494787,1.0,1.0,1.0,1.0
229072,48.99,-2.990347857158,1.0,1.0,1.0,1.0
229073,49.83,-2.1679161963665265,-1.0,-1.0,-1.0,-1.0
229074,49.29,-2.725484535575049,-1.0,1.0,-1.0,1.0
229075,49.05,-2.9830528747835743,1.0,1.0,1.0,1.0
229076,49.35,-2.7006212139920933,-1.0,-1.0,-1.0,-1.0
229077,49.14,-2.928189553200617,-1.0,-1.0,1.0,-1.0
229078,49.05,-3.0357578924091433,1.0,-1.0,1.0,-1.0
229079,49.47,-2.6333262316176658,-1.0,-1.0,-1.0,1.0
229080,49.32,-2.800894570826188,-1.0,-1.0,-1.0,-1.0
229081,49.2,-2.9384629100347084,-1.0,-1.0,-1.0,-1.0
229082,48.99,-3.1660312492432325,1.0,-1.0,1.0,-1.0
229083,49.38,-2.7935995884517557,1.0,-1.0,1.0,-1.0
229084,49.59,-2.6011679276602777,-1.0,-1.0,-1.0,-1.0
229085,49.41,-2.7987362668688083,0.0,-1.0,0.0,-1.0
229086,49.41,-2.816304606077331,1.0,-1.0,1.0,-1.0
229087,49.44,-2.8038729452858533,-1.0,-1.0,-1.0,-1.0
229088,48.99,-3.2714412844943723,1.0,-1.0,1.0,-1.0
229089,49.38,-2.899009623702895,1.0,-1.0,1.0,-1.0
229090,49.83,-2.4665779629114226,1.0,1.0,1.0,1.0
229091,49.86,-2.454146302119945,-1.0,-1.0,-1.0,-1.0
229092,49.74,-2.591714641328465,0.0,1.0,0.0,1.0
229093,49.74,-2.6092829805369893,-1.0,1.0,-1.0,1.0
229094,49.32,-3.046851319745514,1.0,1.0,-1.0,1.0
229095,49.38,-3.004419658954035,-1.0,1.0,-1.0,1.0
229096,48.96,-3.44198799816256,-1.0,1.0,-1.0,1.0
229097,48.9,-3.5195563373710854,1.0,1.0,1.0,1.0
229098,49.26,-3.1771246765796093,1.0,1.0,1.0,1.0
229099,49.77,-2.6846930157881275,-1.0,1.0,-1.0,1.0
229100,49.2,-3.2722613549966515,-1.0,1.0,-1.0,1.0
229101,48.96,-3.5298296942051763,1.0,1.0,-1.0,1.0
229102,49.23,-3.277398033413704,1.0,1.0,1.0,1.0
229103,49.26,-3.2649663726222258,1.0,1.0,-1.0,1.0
229104,49.65,-2.8925347118307414,-1.0,1.0,-1.0,1.0
229105,49.11,-3.4501030510392634,-1.0,1.0,-1.0,1.0
229106,48.72,-3.857671390247788,1.0,-1.0,-1.0,-1.0
229107,48.99,-3.605239729456308,-1.0,-1.0,-1.0,-1.0
229108,48.78,-3.832808068664832,-1.0,-1.0,-1.0,-1.0
229109,48.66,-3.97037640787336,-1.0,-1.0,-1.0,-1.0
229110,48.63,-4.017944747081877,-1.0,-1.0,-1.0,-1.0
229111,48.39,-4.2755130862904025,-1.0,-1.0,-1.0,-1.0
229112,48.03,-4.653081425498925,1.0,-1.0,1.0,-1.0
229113,48.21,-4.490649764707449,1.0,-1.0,1.0,-1.0
229114,49.05,-3.6682181039159762,-1.0,-1.0,1.0,-1.0
229115,48.9,-3.8357864431244977,-1.0,-1.0,-1.0,-1.0
229116,48.63,-4.123354782333017,1.0,-1.0,-1.0,-1.0
229117,48.75,-4.020923121541543,-1.0,-1.0,-1.0,-1.0
229118,48.72,-4.068491460750066,-1.0,-1.0,-1.0,-1.0
229119,48.03,-4.776059799958588,1.0,-1.0,1.0,-1.0
