,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
232789,70.97,-5.497714474842198,-1.0,-1.0,1.0,-1.0
232790,69.76,-6.688480594297077,-1.0,1.0,-1.0,1.0
232791,69.35,-7.079246713751972,-1.0,1.0,-1.0,1.0
232792,68.52,-7.890012833206852,-1.0,1.0,-1.0,1.0
232793,66.91,-9.480778952661751,1.0,1.0,1.0,1.0
232794,69.76,-6.611545072116628,1.0,-1.0,-1.0,-1.0
232795,71.32,-5.032311191571524,-1.0,-1.0,-1.0,-1.0
232796,70.49,-5.8430773110264065,-1.0,-1.0,-1.0,-1.0
232797,66.86,-9.453843430481284,-1.0,-1.0,-1.0,-1.0
232798,66.73,-9.564609549936181,-1.0,-1.0,-1.0,-1.0
232799,66.14,-10.135375669391069,1.0,-1.0,1.0,-1.0
232800,67.3,-8.956141788845953,-1.0,-1.0,-1.0,-1.0
232801,66.41,-9.82690790830084,1.0,-1.0,1.0,-1.0
232802,67.11,-9.10767402775572,-1.0,-1.0,1.0,-1.0
232803,67.08,-9.118440147210606,1.0,-1.0,1.0,-1.0
232804,69.1,-7.0792062666655085,1.0,-1.0,1.0,-1.0
232805,69.79,-6.369972386120382,1.0,-1.0,1.0,-1.0
232806,70.21,-5.9307385055752775,1.0,-1.0,1.0,-1.0
232807,71.42,-4.701504625030154,-1.0,-1.0,-1.0,-1.0
232808,70.02,-6.082270744485045,-1.0,-1.0,-1.0,-1.0
232809,68.04,-8.043036863939932,1.0,-1.0,1.0,-1.0
232810,68.39,-7.673802983394822,1.0,-1.0,1.0,1.0
232811,68.81,-7.234569102849704,1.0,-1.0,1.0,-1.0
232812,68.86,-7.1653352223045905,1.0,-1.0,1.0,-1.0
232813,69.38,-6.6261013417594805,1.0,-1.0,1.0,-1.0
232814,70.16,-5.826867461214378,1.0,-1.0,-1.0,-1.0
232815,70.44,-5.52763358066926,-1.0,-1.0,-1.0,-1.0
232816,69.55,-6.398399700124145,1.0,-1.0,1.0,-1.0
232817,69.95,-5.979165819579022,-1.0,-1.0,-1.0,-1.0
232818,69.69,-6.219931939033913,1.0,-1.0,1.0,-1.0
232819,70.85,-5.0406980584888155,1.0,-1.0,-1.0,-1.0
232820,71.85,-4.021464177943699,1.0,-1.0,-1.0,-1.0
232821,72.04,-3.8122302973985716,-1.0,-1.0,-1.0,-1.0
232822,70.53,-5.3029964168534605,-1.0,-1.0,-1.0,-1.0
232823,68.73,-7.083762536308342,-1.0,-1.0,-1.0,-1.0
232824,67.79,-8.004528655763224,-1.0,-1.0,-1.0,-1.0
232825,67.17,-8.605294775218129,-1.0,1.0,-1.0,1.0
232826,65.39,-10.366060894673012,-1.0,1.0,1.0,1.0
232827,64.31,-11.426827014127893,-1.0,1.0,-1.0,1.0
232828,64.0,-11.717593133582781,1.0,1.0,1.0,1.0
232829,64.98,-10.71835925303766,1.0,1.0,1.0,1.0
232830,65.12,-10.55912537249256,-1.0,1.0,1.0,1.0
232831,62.93,-12.729891491947448,1.0,1.0,1.0,1.0
232832,63.2,-12.440657611402331,1.0,1.0,-1.0,1.0
232833,64.57,-11.051423730857225,-1.0,1.0,-1.0,1.0
232834,64.41,-11.192189850312104,1.0,1.0,1.0,1.0
232835,64.43,-11.15295596976699,1.0,1.0,1.0,1.0
232836,65.83,-9.733722089221883,1.0,1.0,1.0,1.0
232837,67.21,-8.334488208676774,-1.0,-1.0,-1.0,-1.0
232838,66.49,-9.035254328131657,-1.0,-1.0,-1.0,-1.0
232839,65.83,-9.676020447586538,1.0,-1.0,1.0,-1.0
232840,65.92,-9.56678656704142,1.0,-1.0,1.0,-1.0
232841,67.26,-8.207552686496314,1.0,-1.0,1.0,-1.0
232842,67.32,-8.12831880595121,-1.0,-1.0,-1.0,-1.0
232843,66.45,-8.979084925406084,1.0,-1.0,1.0,-1.0
232844,67.13,-8.279851044860976,-1.0,-1.0,1.0,-1.0
232845,66.59,-8.800617164315852,-1.0,-1.0,-1.0,-1.0
232846,65.19,-10.181383283770755,0.0,-1.0,0.0,-1.0
232847,65.19,-10.16214940322564,1.0,-1.0,1.0,-1.0
232848,67.4,-7.932915522680517,1.0,-1.0,1.0,-1.0
232849,67.59,-7.7236816421354035,1.0,-1.0,1.0,-1.0
232850,67.72,-7.574447761590292,1.0,-1.0,1.0,-1.0
232851,70.04,-5.235213881045183,-1.0,-1.0,-1.0,-1.0
232852,68.54,-6.715980000500068,-1.0,-1.0,-1.0,-1.0
232853,66.58,-8.65674611995496,1.0,-1.0,1.0,-1.0
232854,67.45,-7.767512239409839,-1.0,1.0,-1.0,1.0
232855,67.35,-7.848278358864733,-1.0,1.0,-1.0,1.0
232856,67.33,-7.8490444783196125,1.0,1.0,1.0,1.0
232857,68.13,-7.029810597774514,-1.0,1.0,-1.0,1.0
232858,66.35,-8.790576717229401,1.0,1.0,1.0,1.0
232859,67.51,-7.611342836684273,-1.0,1.0,-1.0,1.0
232860,66.1,-9.002108956139168,-1.0,1.0,-1.0,1.0
232861,64.58,-10.502875075594048,1.0,1.0,-1.0,1.0
232862,67.82,-7.2436411950489505,1.0,-1.0,1.0,-1.0
232863,67.87,-7.174407314503824,1.0,-1.0,1.0,-1.0
232864,69.57,-5.45517343395872,-1.0,-1.0,-1.0,-1.0
232865,67.62,-7.385939553413593,-1.0,-1.0,-1.0,-1.0
232866,66.06,-8.926705672868481,-1.0,-1.0,1.0,-1.0
232867,65.37,-9.597471792323377,-1.0,-1.0,-1.0,-1.0
232868,64.75,-10.198237911778264,-1.0,-1.0,-1.0,-1.0
232869,64.58,-10.34900403123315,-1.0,-1.0,-1.0,-1.0
232870,61.5,-13.409770150688033,1.0,-1.0,1.0,1.0
232871,63.07,-11.820536270142915,-1.0,-1.0,1.0,-1.0
232872,60.99,-13.881302389597812,-1.0,1.0,-1.0,1.0
232873,60.87,-13.982068509052704,-1.0,1.0,-1.0,1.0
232874,60.29,-14.542834628507585,1.0,1.0,1.0,1.0
232875,63.38,-11.433600747962466,1.0,1.0,1.0,1.0
232876,63.85,-10.944366867417349,-1.0,-1.0,-1.0,-1.0
232877,61.63,-13.145132986872234,1.0,1.0,1.0,1.0
232878,65.05,-9.705899106327136,1.0,-1.0,1.0,1.0
232879,66.39,-8.346665225782019,-1.0,-1.0,1.0,-1.0
232880,65.11,-9.607431345236904,-1.0,-1.0,-1.0,-1.0
232881,63.01,-11.68819746469179,1.0,-1.0,1.0,-1.0
232882,64.94,-9.738963584146674,-1.0,-1.0,-1.0,-1.0
232883,64.55,-10.109729703601573,1.0,-1.0,1.0,-1.0
232884,67.83,-6.810495823056456,1.0,-1.0,1.0,-1.0
232885,68.16,-6.461261942511343,-1.0,-1.0,-1.0,-1.0
232886,67.71,-6.892028061966228,1.0,-1.0,1.0,-1.0
232887,70.13,-4.452794181421113,-1.0,-1.0,-1.0,-1.0
232888,69.31,-5.253560300876004,1.0,-1.0,1.0,-1.0
232889,69.49,-5.054326420330894,1.0,-1.0,-1.0,-1.0
232890,69.92,-4.6050925397857725,-1.0,-1.0,-1.0,-1.0
232891,69.01,-5.495858659240653,-1.0,-1.0,-1.0,-1.0
232892,67.17,-7.31662477869554,-1.0,-1.0,-1.0,-1.0
232893,65.96,-8.507390898150431,-1.0,-1.0,-1.0,-1.0
232894,63.96,-10.488157017605324,-1.0,1.0,-1.0,1.0
232895,63.65,-10.778923137060213,-1.0,1.0,-1.0,1.0
232896,62.91,-11.499689256515095,-1.0,1.0,-1.0,1.0
232897,61.03,-13.360455375969975,-1.0,1.0,-1.0,1.0
232898,60.92,-13.451221495424859,-1.0,1.0,-1.0,1.0
232899,60.68,-13.671987614879761,1.0,1.0,1.0,1.0
232900,60.71,-13.622753734334646,1.0,1.0,1.0,1.0
232901,61.13,-13.183519853789527,1.0,1.0,1.0,1.0
232902,62.45,-11.844285973244409,1.0,1.0,1.0,1.0
232903,63.25,-11.025052092699296,1.0,-1.0,1.0,-1.0
232904,63.35,-10.905818212154195,1.0,-1.0,1.0,-1.0
232905,63.5,-10.73658433160908,-1.0,-1.0,-1.0,-1.0
232906,63.49,-10.727350451063963,1.0,-1.0,1.0,-1.0
232907,63.68,-10.518116570518847,-1.0,-1.0,-1.0,-1.0
232908,63.35,-10.828882689973733,-1.0,-1.0,-1.0,-1.0
232909,61.16,-12.999648809428635,-1.0,1.0,-1.0,1.0
232910,61.11,-13.030414928883516,1.0,-1.0,1.0,1.0
232911,62.87,-11.2511810483384,-1.0,-1.0,-1.0,1.0
232912,62.67,-11.431947167793284,1.0,-1.0,1.0,-1.0
232913,63.78,-10.302713287248167,1.0,-1.0,-1.0,1.0
232914,63.94,-10.123479406703057,1.0,-1.0,1.0,-1.0
232915,64.33,-9.714245526157953,-1.0,-1.0,-1.0,-1.0
232916,63.44,-10.585011645612838,-1.0,-1.0,-1.0,-1.0
232917,62.65,-11.355777765067721,-1.0,1.0,-1.0,1.0
232918,62.5,-11.486543884522606,-1.0,1.0,1.0,1.0
232919,62.49,-11.477310003977484,1.0,-1.0,1.0,-1.0
232920,64.4,-9.54807612343238,-1.0,-1.0,-1.0,1.0
232921,64.34,-9.588842242887267,1.0,-1.0,1.0,-1.0
232922,65.68,-8.229608362342148,0.0,-1.0,-1.0,-1.0
232923,65.68,-8.210374481797032,-1.0,-1.0,-1.0,-1.0
232924,64.75,-9.121140601251923,1.0,-1.0,1.0,1.0
232925,65.23,-8.621906720706816,1.0,-1.0,1.0,1.0
232926,65.57,-8.262672840161713,-1.0,-1.0,-1.0,-1.0
232927,63.98,-9.833438959616592,-1.0,-1.0,-1.0,-1.0
232928,63.52,-10.274205079071473,1.0,1.0,1.0,1.0
232929,63.7,-10.074971198526354,-1.0,1.0,-1.0,1.0
232930,63.48,-10.275737317981246,1.0,1.0,1.0,1.0
232931,63.8,-9.936503437436144,-1.0,1.0,-1.0,-1.0
232932,62.92,-10.797269556891024,1.0,1.0,-1.0,1.0
232933,63.0,-10.69803567634591,-1.0,1.0,-1.0,1.0
232934,62.14,-11.538801795800795,1.0,1.0,1.0,1.0
232935,62.27,-11.389567915255675,-1.0,1.0,-1.0,1.0
232936,60.96,-12.680334034710574,-1.0,1.0,1.0,1.0
232937,60.44,-13.181100154165465,-1.0,1.0,1.0,1.0
232938,59.79,-13.811866273620346,1.0,1.0,-1.0,1.0
232939,61.18,-12.40263239307523,-1.0,1.0,-1.0,1.0
232940,60.47,-13.093398512530115,-1.0,1.0,1.0,1.0
