,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
238058,23.69,-11.764700060526293,1.0,1.0,1.0,1.0
238059,24.07,-11.388656502910194,-1.0,1.0,-1.0,1.0
238060,23.97,-11.492612945294091,-1.0,1.0,-1.0,1.0
238061,23.33,-12.136569387677994,-1.0,1.0,-1.0,1.0
238062,23.02,-12.450525830061894,1.0,1.0,1.0,1.0
238063,23.17,-12.304482272445796,-1.0,1.0,-1.0,1.0
238064,23.08,-12.398438714829702,1.0,1.0,-1.0,1.0
238065,23.23,-12.252395157213595,-1.0,1.0,-1.0,1.0
238066,22.45,-13.036351599597499,1.0,1.0,1.0,1.0
238067,22.71,-12.780308041981401,-1.0,1.0,-1.0,1.0
238068,22.49,-13.004264484365304,-1.0,1.0,-1.0,1.0
238069,22.37,-13.128220926749206,-1.0,1.0,-1.0,-1.0
238070,21.96,-13.5421773691331,1.0,1.0,1.0,1.0
238071,22.13,-13.376133811517004,-1.0,1.0,-1.0,1.0
238072,21.77,-13.740090253900904,1.0,1.0,1.0,1.0
238073,22.52,-12.994046696284807,1.0,1.0,-1.0,1.0
238074,22.68,-12.83800313866871,1.0,1.0,1.0,1.0
238075,22.84,-12.681959581052606,1.0,1.0,1.0,1.0
238076,23.42,-12.105916023436508,-1.0,1.0,-1.0,1.0
238077,23.28,-12.24987246582041,-1.0,1.0,-1.0,1.0
238078,22.89,-12.643828908204313,1.0,1.0,1.0,1.0
238079,23.26,-12.277785350588214,-1.0,1.0,-1.0,1.0
238080,23.0,-12.541741792972115,1.0,1.0,1.0,1.0
238081,23.02,-12.525698235356016,1.0,1.0,1.0,1.0
238082,23.88,-11.669654677739913,1.0,1.0,-1.0,1.0
238083,23.99,-11.56361112012382,-1.0,1.0,-1.0,1.0
238084,23.51,-12.04756756250772,1.0,1.0,1.0,1.0
238085,23.78,-11.781524004891615,1.0,1.0,1.0,1.0
238086,24.63,-10.93548044727552,1.0,1.0,1.0,1.0
238087,24.84,-10.72943688965942,1.0,1.0,1.0,1.0
238088,25.51,-10.063393332043322,1.0,-1.0,1.0,-1.0
238089,25.56,-10.01734977442722,-1.0,-1.0,-1.0,-1.0
238090,25.44,-10.141306216811119,1.0,-1.0,1.0,-1.0
238091,25.97,-9.615262659195023,1.0,-1.0,1.0,-1.0
238092,26.28,-9.309219101578924,1.0,-1.0,1.0,-1.0
238093,26.79,-8.80317554396283,1.0,-1.0,1.0,-1.0
238094,26.98,-8.617131986346724,1.0,-1.0,1.0,-1.0
238095,27.46,-8.141088428730626,-1.0,-1.0,-1.0,-1.0
238096,27.19,-8.415044871114526,-1.0,-1.0,-1.0,-1.0
238097,27.07,-8.539001313498433,-1.0,-1.0,-1.0,-1.0
238098,27.05,-8.562957755882334,-1.0,-1.0,-1.0,-1.0
238099,26.94,-8.676914198266227,1.0,-1.0,-1.0,-1.0
238100,27.56,-8.060870640650133,-1.0,-1.0,-1.0,-1.0
