,Close,Target(1),Target(30),Prediction(1),Prediction(30)
239924,45.07,-1.0,-1.0,-1.0,1.0
239925,44.51,1.0,-1.0,-1.0,-1.0
239926,44.65,-1.0,-1.0,-1.0,-1.0
239927,43.9,0.0,-1.0,0.0,-1.0
239928,43.9,1.0,-1.0,1.0,-1.0
239929,44.37,1.0,-1.0,1.0,-1.0
239930,44.68,-1.0,-1.0,1.0,-1.0
239931,44.52,-1.0,-1.0,-1.0,-1.0
239932,43.16,1.0,1.0,1.0,1.0
239933,43.37,1.0,1.0,1.0,1.0
239934,43.52,1.0,-1.0,1.0,-1.0
239935,44.16,-1.0,-1.0,-1.0,-1.0
239936,43.78,-1.0,-1.0,-1.0,-1.0
239937,41.33,1.0,1.0,1.0,1.0
239938,41.79,1.0,1.0,1.0,1.0
239939,42.38,-1.0,1.0,-1.0,1.0
239940,42.36,1.0,1.0,1.0,1.0
239941,42.72,-1.0,1.0,-1.0,1.0
239942,42.57,-1.0,1.0,-1.0,1.0
239943,42.12,-1.0,1.0,-1.0,1.0
239944,41.58,1.0,1.0,1.0,1.0
239945,42.01,1.0,1.0,1.0,1.0
239946,42.16,-1.0,1.0,-1.0,1.0
239947,42.14,1.0,1.0,-1.0,1.0
239948,42.36,-1.0,1.0,1.0,1.0
239949,42.2,1.0,1.0,1.0,1.0
239950,42.67,1.0,1.0,-1.0,1.0
239951,42.68,1.0,1.0,1.0,1.0
239952,43.1,-1.0,1.0,-1.0,1.0
239953,42.7,-1.0,1.0,1.0,1.0
239954,42.55,1.0,1.0,1.0,1.0
239955,42.58,1.0,1.0,1.0,1.0
239956,42.7,1.0,1.0,1.0,1.0
239957,43.62,-1.0,1.0,-1.0,1.0
239958,43.53,1.0,1.0,1.0,1.0
239959,43.71,-1.0,1.0,-1.0,1.0
239960,43.6,-1.0,1.0,-1.0,1.0
239961,43.14,1.0,1.0,1.0,1.0
239962,43.19,1.0,1.0,1.0,1.0
239963,43.39,1.0,1.0,1.0,1.0
239964,43.42,-1.0,1.0,-1.0,1.0
239965,43.29,-1.0,1.0,-1.0,1.0
239966,43.1,1.0,1.0,1.0,1.0
239967,43.49,1.0,1.0,1.0,1.0
239968,43.63,1.0,1.0,1.0,1.0
239969,43.9,1.0,1.0,1.0,1.0
239970,43.95,1.0,1.0,1.0,1.0
239971,44.43,1.0,1.0,1.0,1.0
239972,44.56,0.0,1.0,0.0,1.0
239973,44.56,1.0,1.0,1.0,1.0
239974,44.7,-1.0,1.0,-1.0,1.0
239975,44.4,1.0,1.0,1.0,1.0
239976,45.02,-1.0,1.0,1.0,1.0
239977,45.0,1.0,1.0,1.0,1.0
239978,45.12,1.0,1.0,1.0,1.0
239979,45.31,1.0,1.0,1.0,1.0
239980,45.41,-1.0,1.0,-1.0,1.0
239981,45.28,1.0,1.0,1.0,1.0
239982,45.51,1.0,1.0,1.0,1.0
239983,45.95,1.0,1.0,1.0,1.0
239984,46.38,1.0,1.0,1.0,1.0
239985,46.9,1.0,-1.0,1.0,-1.0
239986,47.62,1.0,-1.0,-1.0,-1.0
239987,47.71,-1.0,-1.0,-1.0,-1.0
239988,46.93,1.0,-1.0,1.0,-1.0
239989,47.46,1.0,-1.0,1.0,-1.0
239990,49.0,-1.0,-1.0,-1.0,-1.0
239991,48.84,1.0,-1.0,1.0,-1.0
239992,49.34,-1.0,-1.0,-1.0,-1.0
239993,48.59,0.0,-1.0,0.0,-1.0
239994,48.59,-1.0,-1.0,-1.0,-1.0
239995,47.5,1.0,-1.0,1.0,-1.0
239996,47.74,1.0,-1.0,1.0,-1.0
239997,49.03,-1.0,-1.0,1.0,-1.0
239998,48.85,-1.0,-1.0,-1.0,-1.0
239999,48.51,-1.0,-1.0,-1.0,-1.0
240000,48.1,-1.0,-1.0,-1.0,-1.0
240001,47.48,1.0,-1.0,1.0,1.0
240002,47.89,-1.0,-1.0,-1.0,-1.0
240003,47.66,-1.0,-1.0,-1.0,-1.0
240004,47.49,-1.0,-1.0,-1.0,-1.0
240005,45.55,1.0,-1.0,1.0,-1.0
240006,46.65,-1.0,-1.0,1.0,-1.0
240007,46.05,1.0,1.0,1.0,1.0
240008,46.6,-1.0,1.0,-1.0,1.0
240009,46.18,1.0,1.0,1.0,1.0
240010,47.52,-1.0,-1.0,-1.0,1.0
240011,47.23,-1.0,1.0,-1.0,1.0
240012,46.65,1.0,1.0,1.0,1.0
240013,47.59,1.0,1.0,-1.0,1.0
240014,47.64,-1.0,-1.0,-1.0,1.0
240015,46.19,-1.0,1.0,-1.0,1.0
240016,45.43,1.0,1.0,1.0,1.0
240017,45.89,-1.0,1.0,1.0,1.0
240018,45.52,1.0,1.0,1.0,1.0
240019,46.47,-1.0,1.0,-1.0,1.0
240020,46.44,-1.0,1.0,-1.0,1.0
240021,45.98,1.0,1.0,1.0,1.0
240022,47.21,-1.0,1.0,-1.0,1.0
240023,47.05,1.0,1.0,1.0,1.0
240024,47.25,-1.0,1.0,-1.0,1.0
240025,47.0,-1.0,1.0,-1.0,1.0
240026,46.98,-1.0,1.0,-1.0,1.0
240027,46.62,0.0,1.0,0.0,1.0
240028,46.62,-1.0,1.0,-1.0,1.0
240029,45.66,1.0,1.0,1.0,1.0
240030,45.67,-1.0,1.0,-1.0,1.0
240031,45.58,-1.0,1.0,-1.0,1.0
240032,45.06,-1.0,1.0,-1.0,1.0
240033,44.91,1.0,1.0,1.0,1.0
240034,45.09,-1.0,1.0,-1.0,1.0
240035,44.92,1.0,1.0,1.0,1.0
240036,45.25,1.0,1.0,1.0,1.0
240037,47.06,1.0,1.0,1.0,1.0
240038,47.63,1.0,-1.0,1.0,-1.0
240039,47.86,-1.0,-1.0,-1.0,1.0
240040,47.38,1.0,-1.0,1.0,-1.0
