,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
243658,26.46,16.082018959393793,-1.0,-1.0,-1.0,-1.0
243783,24.07,5.4852223352328275,1.0,-1.0,1.0,-1.0
243790,23.66,4.615641724279816,1.0,-1.0,-1.0,-1.0
243862,26.0,2.228526868763097,-1.0,1.0,-1.0,1.0
243870,26.42,2.1232918848167976,-1.0,1.0,-1.0,1.0
243881,27.7,2.681093781890634,1.0,1.0,-1.0,1.0
243945,31.79,2.5692139103202147,-1.0,1.0,-1.0,1.0
243951,32.61,2.9952876723604898,1.0,1.0,-1.0,1.0
243982,34.75,3.100002109568578,-1.0,1.0,-1.0,1.0
244003,36.9,3.871260276709535,-1.0,1.0,-1.0,1.0
244007,35.94,2.6486427847363814,-1.0,1.0,-1.0,1.0
244022,37.18,2.9038271898370667,-1.0,-1.0,-1.0,-1.0
244034,38.76,3.6959747139176153,-1.0,-1.0,-1.0,-1.0
244036,38.92,3.7246659679310383,-1.0,-1.0,-1.0,-1.0
244038,40.31,4.983357221944465,-1.0,-1.0,-1.0,-1.0
244041,39.92,4.3963941029645985,-1.0,-1.0,-1.0,-1.0
244047,37.44,1.5224678650048702,1.0,-1.0,1.0,-1.0
244068,37.53,0.23372603214583165,-1.0,1.0,-1.0,1.0
244081,35.57,-2.5797808167669056,1.0,1.0,1.0,1.0
244129,39.11,-2.191190720444723,1.0,1.0,1.0,1.0
244130,39.32,-2.0468450934380087,1.0,1.0,1.0,1.0
244156,41.53,-1.5438587912634816,1.0,-1.0,1.0,-1.0
244175,43.53,-0.7912918781359508,-1.0,-1.0,-1.0,1.0
244180,44.06,-0.5895637431023886,-1.0,-1.0,-1.0,-1.0
244196,41.31,-4.390033710994992,1.0,1.0,1.0,1.0
244197,41.99,-3.7756880839882783,1.0,1.0,1.0,1.0
244198,42.67,-3.161342456981572,1.0,1.0,1.0,1.0
244199,43.28,-2.616996829974859,1.0,1.0,1.0,1.0
244200,43.33,-2.632651202968148,1.0,1.0,1.0,1.0
244201,43.59,-2.4383055759614294,-1.0,1.0,-1.0,1.0
244202,43.08,-3.0139599489547213,1.0,1.0,1.0,1.0
244203,43.49,-2.6696143219480035,-1.0,1.0,-1.0,1.0
244204,43.4,-2.8252686949413004,-1.0,1.0,-1.0,1.0
244205,43.25,-3.0409230679345853,1.0,1.0,1.0,1.0
244206,43.5,-2.856577440927872,-1.0,1.0,-1.0,1.0
244207,43.31,-3.112231813921156,-1.0,1.0,-1.0,1.0
244208,43.14,-3.347886186914444,1.0,1.0,1.0,1.0
244209,43.29,-3.263540559907732,1.0,1.0,1.0,1.0
244210,43.53,-3.089194932901023,1.0,1.0,1.0,1.0
244211,43.84,-2.8448493058943067,-1.0,1.0,-1.0,1.0
244212,43.72,-3.030503678887598,-1.0,1.0,-1.0,1.0
244213,43.35,-3.466158051880882,1.0,1.0,1.0,1.0
244214,43.61,-3.2718124248741702,1.0,1.0,1.0,1.0
244215,43.88,-3.067466797867453,1.0,1.0,1.0,1.0
244216,43.99,-3.0231211708607475,1.0,1.0,1.0,1.0
244217,44.05,-3.0287755438540387,1.0,1.0,-1.0,1.0
244218,44.76,-2.384429916847324,-1.0,1.0,-1.0,1.0
244219,43.81,-3.4000842898406063,-1.0,1.0,-1.0,1.0
