,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
247154,26.58,-8.245675982147631,1.0,1.0,1.0,1.0
247155,26.78,-8.079397694134784,1.0,1.0,1.0,1.0
247156,26.82,-8.073119406121933,-1.0,1.0,-1.0,1.0
247157,26.52,-8.406841118109082,-1.0,1.0,-1.0,1.0
247158,26.26,-8.700562830096235,1.0,1.0,1.0,1.0
247159,26.9,-8.094284542083386,1.0,1.0,1.0,1.0
247160,28.0,-7.028006254070539,1.0,1.0,1.0,1.0
247161,28.28,-6.781727966057688,-1.0,1.0,-1.0,1.0
247162,27.92,-7.175449678044843,-1.0,1.0,-1.0,1.0
247163,27.7,-7.429171390031992,1.0,1.0,1.0,1.0
247164,27.84,-7.3228931020191395,1.0,1.0,1.0,1.0
247165,28.12,-7.076614814006295,-1.0,1.0,-1.0,1.0
247166,28.03,-7.200336525993443,1.0,1.0,1.0,1.0
247167,28.44,-6.824058237980598,-1.0,1.0,1.0,1.0
247168,28.33,-6.967779949967749,1.0,1.0,1.0,1.0
247169,29.18,-6.151501661954897,1.0,1.0,1.0,1.0
247170,29.43,-5.935223373942051,1.0,1.0,1.0,1.0
247171,29.76,-5.638945085929197,-1.0,1.0,-1.0,1.0
247172,29.42,-6.012666797916353,1.0,1.0,-1.0,1.0
247173,29.54,-5.926388509903504,-1.0,1.0,-1.0,1.0
247174,29.33,-6.170110221890652,1.0,1.0,1.0,1.0
247175,30.0,-5.533831933877806,1.0,1.0,1.0,1.0
247176,30.28,-5.2875536458649535,-1.0,1.0,-1.0,1.0
247177,30.06,-5.541275357852111,1.0,1.0,1.0,1.0
247178,31.08,-4.55499706983926,-1.0,1.0,-1.0,1.0
247179,30.86,-4.808718781826414,-1.0,1.0,-1.0,-1.0
247180,30.59,-5.112440493813562,-1.0,1.0,1.0,1.0
247181,30.54,-5.196162205800711,1.0,1.0,1.0,1.0
247182,30.83,-4.939883917787867,1.0,1.0,1.0,1.0
247183,31.17,-4.633605629775012,-1.0,1.0,-1.0,1.0
247184,30.82,-5.017327341762169,1.0,1.0,1.0,1.0
247185,30.93,-4.9410490537493175,1.0,1.0,1.0,1.0
247186,31.6,-4.304770765736464,1.0,1.0,1.0,1.0
247187,31.76,-4.178492477723618,-1.0,1.0,-1.0,-1.0
247188,31.56,-4.412214189710769,1.0,1.0,-1.0,1.0
247189,31.72,-4.2859359016979255,1.0,1.0,1.0,1.0
247190,31.96,-4.079657613685072,-1.0,1.0,-1.0,1.0
247191,31.9,-4.1733793256722285,-1.0,1.0,-1.0,1.0
247192,31.56,-4.5471010376593775,1.0,1.0,1.0,-1.0
247193,32.48,-3.660822749646528,1.0,1.0,1.0,1.0
247194,32.65,-3.524544461633681,-1.0,-1.0,-1.0,-1.0
247195,31.84,-4.368266173620828,-1.0,-1.0,-1.0,-1.0
247196,31.7,-4.541987885607983,1.0,-1.0,1.0,-1.0
247197,31.96,-4.315709597595132,1.0,-1.0,1.0,-1.0
247198,32.54,-3.7694313095822807,1.0,-1.0,1.0,-1.0
247199,32.75,-3.593153021569435,-1.0,-1.0,1.0,-1.0
247200,32.44,-3.9368747335565857,1.0,-1.0,1.0,-1.0
