,Close,Target(1),Target(30),Prediction(1),Prediction(30)
249021,29.06,-1.0,1.0,-1.0,1.0
249022,28.85,1.0,1.0,1.0,1.0
249023,29.03,-1.0,1.0,1.0,1.0
249024,28.49,-1.0,1.0,1.0,1.0
249025,28.26,1.0,1.0,1.0,1.0
249026,29.98,-1.0,1.0,-1.0,1.0
249027,29.8,-1.0,1.0,-1.0,1.0
249028,29.64,-1.0,1.0,-1.0,1.0
249029,28.74,1.0,1.0,-1.0,1.0
249030,28.82,-1.0,1.0,1.0,1.0
249031,28.3,1.0,1.0,1.0,1.0
249032,28.93,-1.0,1.0,-1.0,1.0
249033,28.68,1.0,1.0,1.0,1.0
249034,28.92,1.0,1.0,1.0,1.0
249035,29.0,1.0,1.0,1.0,1.0
249036,29.66,-1.0,1.0,-1.0,1.0
249037,29.65,1.0,1.0,1.0,1.0
249038,29.93,1.0,1.0,1.0,1.0
249039,30.01,1.0,1.0,1.0,1.0
249040,30.14,-1.0,1.0,-1.0,1.0
249041,29.5,1.0,1.0,1.0,1.0
249042,29.78,-1.0,1.0,-1.0,1.0
249043,29.7,1.0,1.0,1.0,1.0
249044,29.78,1.0,1.0,1.0,1.0
249045,30.03,1.0,1.0,-1.0,1.0
249046,30.26,1.0,1.0,1.0,1.0
249047,30.52,1.0,1.0,1.0,1.0
249048,30.63,1.0,1.0,1.0,1.0
249049,30.88,0.0,1.0,1.0,1.0
249050,30.88,-1.0,1.0,1.0,1.0
249051,30.72,1.0,1.0,1.0,1.0
249052,30.79,1.0,1.0,1.0,1.0
249053,30.9,1.0,1.0,1.0,1.0
249054,30.96,-1.0,1.0,-1.0,1.0
249055,30.78,1.0,1.0,1.0,1.0
249056,31.11,1.0,1.0,1.0,1.0
249057,31.56,-1.0,1.0,1.0,1.0
249058,31.18,-1.0,1.0,-1.0,1.0
249059,30.6,1.0,1.0,1.0,1.0
249060,31.29,1.0,1.0,1.0,1.0
249061,31.43,1.0,1.0,1.0,1.0
249062,31.69,-1.0,-1.0,-1.0,-1.0
249063,31.48,1.0,-1.0,-1.0,-1.0
249064,31.68,1.0,1.0,1.0,1.0
249065,32.0,1.0,1.0,1.0,1.0
249066,32.18,-1.0,1.0,-1.0,1.0
249067,31.84,1.0,1.0,1.0,1.0
249068,32.48,1.0,-1.0,1.0,1.0
249069,33.1,-1.0,-1.0,-1.0,-1.0
249070,32.88,1.0,-1.0,1.0,-1.0
249071,32.92,-1.0,-1.0,-1.0,-1.0
249072,32.91,1.0,-1.0,1.0,-1.0
249073,33.45,-1.0,-1.0,1.0,-1.0
249074,33.01,-1.0,-1.0,-1.0,-1.0
249075,32.92,1.0,-1.0,1.0,-1.0
249076,33.2,1.0,-1.0,1.0,-1.0
249077,33.36,-1.0,-1.0,1.0,-1.0
249078,32.65,1.0,-1.0,1.0,1.0
249079,32.78,1.0,-1.0,1.0,-1.0
249080,33.26,1.0,-1.0,1.0,-1.0
249081,33.34,1.0,-1.0,1.0,-1.0
249082,33.56,1.0,-1.0,1.0,-1.0
249083,35.56,-1.0,-1.0,-1.0,1.0
249084,34.45,-1.0,-1.0,-1.0,-1.0
249085,33.7,1.0,-1.0,1.0,-1.0
249086,34.06,1.0,-1.0,1.0,-1.0
249087,34.3,-1.0,-1.0,-1.0,-1.0
249088,33.46,1.0,-1.0,1.0,-1.0
249089,33.74,-1.0,-1.0,-1.0,-1.0
249090,32.71,-1.0,-1.0,-1.0,-1.0
249091,32.62,-1.0,-1.0,-1.0,-1.0
249092,31.38,-1.0,-1.0,-1.0,-1.0
249093,30.82,1.0,1.0,1.0,1.0
249094,32.72,-1.0,-1.0,-1.0,-1.0
249095,32.3,1.0,-1.0,1.0,-1.0
249096,33.24,-1.0,-1.0,-1.0,-1.0
249097,32.42,-1.0,-1.0,-1.0,-1.0
249098,31.39,1.0,-1.0,1.0,-1.0
249099,31.63,-1.0,-1.0,-1.0,-1.0
249100,31.25,-1.0,-1.0,-1.0,-1.0
249101,30.66,-1.0,-1.0,-1.0,-1.0
249102,29.08,1.0,-1.0,1.0,-1.0
249103,29.78,-1.0,-1.0,-1.0,-1.0
249104,29.42,1.0,-1.0,1.0,-1.0
249105,29.56,-1.0,-1.0,-1.0,-1.0
249106,29.32,1.0,-1.0,1.0,-1.0
249107,30.85,-1.0,-1.0,-1.0,1.0
249108,30.2,-1.0,-1.0,-1.0,1.0
249109,29.15,1.0,-1.0,1.0,-1.0
249110,30.32,-1.0,-1.0,-1.0,-1.0
249111,30.15,-1.0,-1.0,-1.0,-1.0
249112,28.59,-1.0,-1.0,-1.0,-1.0
249113,28.4,1.0,-1.0,1.0,1.0
249114,29.04,1.0,-1.0,-1.0,-1.0
249115,29.06,1.0,-1.0,1.0,-1.0
249116,29.81,1.0,-1.0,1.0,-1.0
249117,30.36,-1.0,-1.0,-1.0,1.0
249118,30.2,1.0,-1.0,1.0,-1.0
249119,30.98,1.0,-1.0,1.0,1.0
249120,31.03,-1.0,-1.0,1.0,1.0
249121,30.72,1.0,1.0,1.0,1.0
249122,31.34,-1.0,1.0,-1.0,1.0
249123,31.18,-1.0,1.0,-1.0,1.0
249124,30.46,-1.0,1.0,-1.0,1.0
249125,30.0,-1.0,1.0,1.0,1.0
249126,29.04,-1.0,1.0,-1.0,1.0
249127,28.99,-1.0,1.0,-1.0,1.0
249128,28.53,-1.0,1.0,-1.0,1.0
249129,27.48,-1.0,1.0,-1.0,1.0
249130,26.68,-1.0,1.0,1.0,1.0
249131,26.52,-1.0,1.0,1.0,1.0
249132,26.03,-1.0,1.0,1.0,1.0
249133,25.82,1.0,1.0,1.0,1.0
249134,27.08,1.0,1.0,1.0,1.0
249135,28.12,1.0,1.0,1.0,1.0
249136,28.16,-1.0,1.0,-1.0,1.0
249137,27.73,1.0,1.0,1.0,1.0
249138,28.5,-1.0,1.0,-1.0,1.0
249139,28.17,-1.0,1.0,-1.0,1.0
249140,28.02,-1.0,1.0,-1.0,1.0
249141,27.1,-1.0,1.0,-1.0,1.0
249142,26.75,1.0,1.0,1.0,1.0
249143,27.0,1.0,1.0,1.0,1.0
249144,27.84,1.0,1.0,1.0,1.0
249145,28.77,1.0,1.0,1.0,1.0
249146,29.48,1.0,1.0,1.0,1.0
249147,29.93,-1.0,1.0,-1.0,1.0
249148,29.8,1.0,1.0,1.0,1.0
249149,29.81,1.0,1.0,1.0,1.0
249150,29.88,1.0,1.0,1.0,1.0
249151,31.32,1.0,1.0,1.0,1.0
249152,31.9,-1.0,1.0,-1.0,1.0
249153,31.78,1.0,1.0,1.0,1.0
249154,31.98,-1.0,1.0,-1.0,1.0
249155,31.84,0.0,1.0,1.0,1.0
249156,31.84,1.0,1.0,1.0,1.0
249157,32.04,-1.0,1.0,-1.0,1.0
249158,31.59,-1.0,1.0,-1.0,1.0
249159,30.46,-1.0,1.0,-1.0,1.0
249160,30.32,-1.0,1.0,-1.0,1.0
249161,30.06,1.0,1.0,1.0,1.0
249162,30.29,1.0,1.0,1.0,1.0
249163,31.18,-1.0,1.0,-1.0,1.0
249164,31.12,-1.0,1.0,-1.0,1.0
249165,30.32,1.0,1.0,1.0,1.0
249166,30.47,-1.0,1.0,-1.0,1.0
249167,30.18,-1.0,1.0,1.0,1.0
249168,29.48,1.0,1.0,1.0,1.0
249169,29.54,1.0,1.0,1.0,1.0
249170,29.84,1.0,1.0,1.0,1.0
249171,30.56,-1.0,1.0,-1.0,1.0
249172,30.08,1.0,1.0,1.0,1.0
249173,30.78,1.0,1.0,1.0,1.0
249174,32.12,-1.0,1.0,-1.0,1.0
249175,32.08,1.0,1.0,1.0,1.0
249176,32.96,-1.0,1.0,-1.0,1.0
249177,32.3,1.0,1.0,1.0,1.0
249178,32.53,1.0,1.0,1.0,1.0
249179,32.76,-1.0,1.0,-1.0,-1.0
249180,32.58,1.0,1.0,1.0,1.0
249181,33.75,-1.0,1.0,-1.0,-1.0
249182,33.54,-1.0,1.0,1.0,1.0
249183,33.46,1.0,1.0,1.0,1.0
249184,34.7,1.0,1.0,1.0,1.0
249185,35.04,1.0,1.0,1.0,1.0
249186,35.68,-1.0,1.0,1.0,1.0
249187,35.58,1.0,1.0,1.0,1.0
249188,35.67,-1.0,1.0,1.0,1.0
249189,35.53,1.0,1.0,1.0,1.0
249190,36.37,-1.0,1.0,-1.0,1.0
249191,36.23,1.0,1.0,1.0,1.0
249192,36.74,1.0,1.0,1.0,1.0
249193,36.76,1.0,1.0,1.0,1.0
249194,37.0,1.0,1.0,1.0,1.0
249195,37.28,-1.0,1.0,-1.0,1.0
249196,37.04,1.0,1.0,1.0,1.0
249197,38.08,-1.0,1.0,-1.0,1.0
249198,38.01,1.0,1.0,1.0,1.0
249199,38.39,1.0,1.0,1.0,1.0
249200,38.96,1.0,1.0,1.0,1.0
249201,39.18,-1.0,1.0,-1.0,1.0
249202,38.94,1.0,-1.0,1.0,-1.0
249203,39.34,-1.0,1.0,1.0,1.0
249204,39.04,1.0,1.0,1.0,1.0
249205,39.25,1.0,1.0,1.0,1.0
249206,39.44,-1.0,-1.0,-1.0,-1.0
249207,38.58,1.0,1.0,1.0,1.0
249208,39.54,1.0,1.0,1.0,1.0
249209,39.68,-1.0,1.0,1.0,1.0
249210,39.3,1.0,1.0,1.0,1.0
249211,41.3,-1.0,-1.0,-1.0,1.0
249212,40.75,-1.0,1.0,-1.0,1.0
249213,40.15,-1.0,1.0,-1.0,1.0
249214,39.52,-1.0,1.0,-1.0,1.0
249215,39.28,1.0,1.0,1.0,1.0
249216,39.58,1.0,1.0,-1.0,1.0
249217,39.84,-1.0,1.0,-1.0,1.0
249218,39.78,1.0,1.0,1.0,1.0
249219,40.35,-1.0,-1.0,-1.0,-1.0
249220,39.86,1.0,1.0,1.0,1.0
249221,39.88,-1.0,1.0,-1.0,1.0
249222,39.4,-1.0,1.0,-1.0,1.0
249223,39.2,1.0,1.0,1.0,1.0
249224,39.65,-1.0,1.0,-1.0,1.0
249225,38.7,1.0,1.0,1.0,1.0
249226,38.72,-1.0,1.0,-1.0,-1.0
249227,38.2,1.0,1.0,1.0,-1.0
249228,38.54,1.0,1.0,1.0,1.0
249229,39.48,1.0,1.0,1.0,1.0
249230,39.55,1.0,1.0,1.0,1.0
249231,39.7,-1.0,1.0,-1.0,1.0
249232,38.88,1.0,1.0,1.0,1.0
249233,39.74,1.0,1.0,-1.0,1.0
249234,39.76,-1.0,1.0,-1.0,1.0
249235,39.64,-1.0,1.0,-1.0,1.0
249236,38.9,1.0,1.0,1.0,1.0
249237,40.6,-1.0,1.0,-1.0,-1.0
249238,40.48,1.0,1.0,1.0,-1.0
249239,41.03,1.0,1.0,1.0,1.0
249240,41.08,1.0,1.0,1.0,1.0
249241,41.24,-1.0,1.0,-1.0,1.0
249242,41.06,-1.0,1.0,-1.0,1.0
249243,40.7,-1.0,1.0,-1.0,1.0
249244,40.58,-1.0,1.0,-1.0,1.0
249245,40.53,1.0,1.0,1.0,1.0
249246,40.72,-1.0,1.0,-1.0,1.0
249247,40.15,1.0,1.0,1.0,1.0
249248,40.2,-1.0,1.0,-1.0,1.0
249249,40.12,1.0,1.0,1.0,1.0
249250,40.39,1.0,1.0,1.0,1.0
249251,40.95,1.0,1.0,1.0,1.0
249252,41.05,1.0,1.0,1.0,1.0
249253,41.2,1.0,1.0,1.0,1.0
249254,41.4,1.0,1.0,1.0,1.0
249255,41.62,1.0,1.0,1.0,1.0
249256,42.0,-1.0,1.0,-1.0,1.0
249257,41.98,1.0,1.0,1.0,1.0
249258,42.04,1.0,1.0,1.0,1.0
249259,42.68,1.0,1.0,1.0,1.0
249260,43.42,1.0,1.0,1.0,1.0
249261,43.74,-1.0,1.0,1.0,1.0
249262,43.62,0.0,1.0,0.0,1.0
249263,43.62,1.0,1.0,1.0,1.0
249264,44.14,1.0,1.0,1.0,1.0
249265,44.28,1.0,1.0,1.0,1.0
249266,46.45,-1.0,-1.0,-1.0,-1.0
249267,46.14,1.0,1.0,1.0,1.0
249268,46.38,1.0,-1.0,1.0,-1.0
249269,47.08,-1.0,1.0,-1.0,1.0
249270,46.06,-1.0,1.0,-1.0,1.0
249271,45.29,-1.0,1.0,-1.0,1.0
249272,45.28,1.0,1.0,1.0,1.0
249273,45.92,-1.0,1.0,-1.0,1.0
249274,45.16,1.0,1.0,1.0,1.0
249275,46.94,-1.0,-1.0,-1.0,-1.0
249276,46.44,-1.0,1.0,-1.0,1.0
249277,45.92,1.0,1.0,1.0,1.0
249278,46.43,-1.0,-1.0,-1.0,-1.0
249279,45.74,1.0,1.0,1.0,1.0
249280,45.8,-1.0,1.0,-1.0,1.0
249281,45.61,1.0,1.0,1.0,1.0
249282,45.86,1.0,1.0,1.0,1.0
249283,46.14,1.0,1.0,1.0,1.0
249284,46.58,-1.0,1.0,-1.0,1.0
249285,45.9,1.0,1.0,1.0,1.0
249286,46.18,1.0,1.0,1.0,1.0
249287,46.66,1.0,1.0,-1.0,1.0
249288,46.84,-1.0,1.0,-1.0,1.0
249289,45.83,1.0,1.0,1.0,1.0
249290,46.9,1.0,1.0,1.0,1.0
249291,48.14,-1.0,1.0,-1.0,1.0
249292,47.7,-1.0,1.0,-1.0,1.0
249293,45.26,-1.0,1.0,-1.0,1.0
249294,44.8,1.0,1.0,1.0,1.0
249295,44.99,1.0,1.0,1.0,1.0
249296,45.68,1.0,1.0,1.0,1.0
249297,46.7,-1.0,1.0,1.0,1.0
249298,45.56,1.0,1.0,1.0,1.0
249299,47.26,1.0,1.0,1.0,1.0
249300,48.65,-1.0,-1.0,-1.0,-1.0
249301,48.18,-1.0,1.0,-1.0,1.0
249302,47.62,1.0,1.0,1.0,1.0
249303,48.72,-1.0,1.0,-1.0,1.0
249304,47.74,-1.0,1.0,-1.0,1.0
249305,46.62,1.0,1.0,1.0,1.0
249306,47.07,-1.0,1.0,-1.0,1.0
249307,46.92,-1.0,1.0,-1.0,1.0
249308,46.24,-1.0,1.0,-1.0,1.0
249309,46.08,1.0,1.0,1.0,1.0
249310,47.17,-1.0,1.0,-1.0,1.0
249311,46.9,1.0,1.0,1.0,1.0
249312,47.96,-1.0,1.0,-1.0,1.0
249313,47.78,1.0,1.0,1.0,1.0
249314,48.4,1.0,1.0,1.0,1.0
249315,48.7,1.0,1.0,1.0,1.0
249316,49.06,-1.0,1.0,-1.0,1.0
249317,48.62,1.0,1.0,1.0,1.0
249318,49.38,1.0,1.0,1.0,1.0
249319,49.44,1.0,1.0,1.0,1.0
249320,49.66,1.0,1.0,1.0,1.0
249321,50.2,1.0,1.0,1.0,1.0
249322,50.32,1.0,1.0,1.0,1.0
249323,50.44,-1.0,1.0,-1.0,1.0
249324,49.98,1.0,1.0,1.0,1.0
249325,50.14,-1.0,1.0,-1.0,1.0
249326,50.0,-1.0,0.0,-1.0,1.0
249327,48.86,-1.0,1.0,-1.0,1.0
249328,48.18,-1.0,1.0,-1.0,1.0
249329,48.12,1.0,1.0,1.0,1.0
249330,48.51,1.0,1.0,1.0,1.0
249331,49.33,-1.0,1.0,-1.0,1.0
249332,48.93,1.0,1.0,1.0,1.0
249333,49.56,1.0,1.0,1.0,1.0
249334,50.0,1.0,1.0,1.0,1.0
249335,50.38,1.0,-1.0,1.0,-1.0
249336,50.51,1.0,1.0,1.0,-1.0
249337,50.74,1.0,-1.0,1.0,-1.0
249338,51.14,1.0,-1.0,1.0,-1.0
249339,51.46,1.0,-1.0,1.0,-1.0
249340,53.62,-1.0,-1.0,-1.0,-1.0
249341,52.74,-1.0,-1.0,-1.0,-1.0
249342,51.6,-1.0,-1.0,-1.0,-1.0
249343,51.0,-1.0,-1.0,-1.0,-1.0
249344,50.72,1.0,-1.0,1.0,-1.0
249345,51.73,1.0,-1.0,1.0,-1.0
249346,52.96,1.0,-1.0,1.0,-1.0
249347,54.08,-1.0,-1.0,-1.0,-1.0
249348,53.0,-1.0,-1.0,-1.0,-1.0
249349,52.46,-1.0,-1.0,-1.0,-1.0
249350,52.28,-1.0,-1.0,-1.0,-1.0
249351,51.64,-1.0,-1.0,-1.0,-1.0
249352,50.9,1.0,-1.0,1.0,-1.0
249353,52.36,1.0,-1.0,1.0,-1.0
249354,52.58,-1.0,-1.0,-1.0,-1.0
249355,51.68,-1.0,1.0,-1.0,1.0
249356,50.0,1.0,1.0,1.0,1.0
249357,50.1,1.0,1.0,1.0,1.0
249358,51.4,1.0,1.0,1.0,1.0
249359,51.61,1.0,-1.0,1.0,-1.0
249360,52.23,1.0,-1.0,1.0,-1.0
249361,52.92,-1.0,-1.0,-1.0,-1.0
249362,51.1,1.0,-1.0,1.0,-1.0
249363,51.5,-1.0,-1.0,-1.0,-1.0
249364,50.34,-1.0,-1.0,-1.0,-1.0
249365,50.06,1.0,1.0,1.0,1.0
249366,50.76,-1.0,1.0,-1.0,1.0
249367,50.3,1.0,1.0,1.0,1.0
249368,50.57,-1.0,1.0,-1.0,1.0
249369,49.86,-1.0,1.0,-1.0,1.0
249370,49.37,1.0,1.0,1.0,1.0
249371,50.38,-1.0,1.0,-1.0,1.0
249372,48.35,-1.0,1.0,-1.0,1.0
249373,47.62,-1.0,1.0,-1.0,1.0
249374,47.51,1.0,1.0,-1.0,1.0
249375,48.24,1.0,-1.0,1.0,-1.0
249376,50.05,-1.0,-1.0,1.0,-1.0
249377,49.87,-1.0,-1.0,-1.0,-1.0
249378,49.48,-1.0,-1.0,-1.0,-1.0
249379,49.29,1.0,-1.0,1.0,-1.0
249380,49.43,1.0,-1.0,-1.0,-1.0
249381,49.72,1.0,-1.0,-1.0,-1.0
249382,50.54,1.0,-1.0,1.0,-1.0
249383,51.04,1.0,-1.0,1.0,-1.0
249384,52.0,-1.0,-1.0,-1.0,-1.0
249385,51.71,1.0,-1.0,1.0,-1.0
249386,51.93,1.0,-1.0,1.0,-1.0
249387,52.84,-1.0,-1.0,1.0,-1.0
249388,52.33,-1.0,-1.0,-1.0,-1.0
249389,51.24,-1.0,-1.0,-1.0,-1.0
249390,50.95,-1.0,-1.0,-1.0,-1.0
249391,50.72,-1.0,-1.0,-1.0,-1.0
249392,50.2,1.0,-1.0,1.0,-1.0
249393,50.42,-1.0,-1.0,-1.0,-1.0
249394,49.8,1.0,-1.0,1.0,1.0
249395,51.01,1.0,-1.0,1.0,1.0
249396,51.32,1.0,-1.0,1.0,-1.0
249397,52.24,-1.0,-1.0,-1.0,-1.0
249398,52.22,-1.0,-1.0,-1.0,-1.0
249399,52.15,-1.0,-1.0,-1.0,-1.0
249400,52.08,-1.0,-1.0,-1.0,-1.0
249401,50.66,-1.0,-1.0,-1.0,-1.0
249402,50.08,-1.0,-1.0,-1.0,-1.0
249403,48.3,1.0,-1.0,1.0,1.0
249404,48.4,-1.0,-1.0,-1.0,-1.0
249405,46.49,-1.0,-1.0,-1.0,-1.0
249406,46.1,-1.0,-1.0,1.0,-1.0
249407,42.9,1.0,-1.0,1.0,-1.0
249408,43.0,-1.0,-1.0,-1.0,-1.0
249409,39.04,1.0,-1.0,1.0,-1.0
249410,41.9,-1.0,-1.0,1.0,-1.0
249411,40.38,1.0,-1.0,1.0,-1.0
249412,42.01,1.0,-1.0,1.0,-1.0
249413,42.48,1.0,-1.0,1.0,-1.0
249414,43.07,-1.0,-1.0,-1.0,-1.0
249415,42.08,-1.0,-1.0,-1.0,-1.0
249416,41.71,-1.0,-1.0,-1.0,-1.0
249417,38.7,-1.0,-1.0,-1.0,-1.0
249418,38.0,-1.0,-1.0,-1.0,-1.0
249419,37.43,1.0,-1.0,1.0,-1.0
249420,38.76,1.0,-1.0,-1.0,-1.0
249421,39.02,-1.0,-1.0,-1.0,-1.0
249422,38.62,1.0,-1.0,1.0,-1.0
249423,39.52,1.0,-1.0,1.0,1.0
249424,41.12,1.0,-1.0,1.0,-1.0
249425,41.5,-1.0,-1.0,-1.0,-1.0
249426,41.36,-1.0,-1.0,-1.0,1.0
249427,40.48,-1.0,-1.0,-1.0,1.0
249428,39.11,-1.0,-1.0,-1.0,-1.0
249429,37.41,1.0,1.0,1.0,-1.0
249430,38.4,-1.0,-1.0,-1.0,-1.0
249431,37.76,-1.0,-1.0,-1.0,-1.0
249432,36.25,-1.0,1.0,-1.0,1.0
249433,36.02,1.0,1.0,1.0,1.0
249434,36.74,1.0,1.0,1.0,1.0
249435,37.18,1.0,1.0,1.0,1.0
249436,38.11,1.0,1.0,1.0,1.0
249437,38.12,-1.0,1.0,-1.0,1.0
249438,37.59,-1.0,1.0,-1.0,1.0
249439,36.6,-1.0,1.0,-1.0,1.0
249440,35.51,-1.0,1.0,-1.0,1.0
249441,33.3,1.0,1.0,1.0,1.0
249442,33.48,1.0,1.0,1.0,1.0
249443,35.38,1.0,1.0,1.0,1.0
249444,35.86,-1.0,1.0,-1.0,1.0
249445,34.79,1.0,1.0,1.0,1.0
249446,35.37,-1.0,1.0,-1.0,1.0
249447,34.26,-1.0,1.0,1.0,1.0
249448,34.23,1.0,1.0,1.0,1.0
249449,35.8,-1.0,1.0,1.0,1.0
249450,35.57,1.0,1.0,1.0,1.0
249451,35.91,-1.0,1.0,-1.0,1.0
249452,35.48,1.0,1.0,1.0,1.0
249453,36.87,1.0,1.0,1.0,1.0
249454,37.04,1.0,-1.0,1.0,-1.0
249455,37.36,-1.0,-1.0,-1.0,-1.0
249456,37.15,1.0,-1.0,1.0,1.0
249457,38.19,-1.0,-1.0,-1.0,-1.0
249458,37.24,1.0,-1.0,1.0,-1.0
249459,37.87,-1.0,1.0,-1.0,1.0
249460,36.14,1.0,1.0,1.0,1.0
249461,36.19,1.0,1.0,-1.0,1.0
249462,37.46,1.0,1.0,1.0,1.0
249463,38.82,-1.0,1.0,-1.0,1.0
249464,36.96,1.0,1.0,1.0,1.0
249465,37.62,1.0,1.0,1.0,1.0
249466,40.16,1.0,-1.0,1.0,-1.0
249467,41.92,-1.0,-1.0,-1.0,-1.0
