,Close,Target(1),Target(30),Prediction(1),Prediction(30)
250888,42.74,-1.0,-1.0,-1.0,-1.0
250889,42.6,-1.0,-1.0,-1.0,-1.0
250892,42.95,-1.0,1.0,-1.0,1.0
250894,41.81,1.0,-1.0,1.0,-1.0
250895,42.82,1.0,-1.0,1.0,-1.0
250897,43.71,1.0,-1.0,1.0,-1.0
250899,44.62,1.0,-1.0,1.0,-1.0
250900,44.76,-1.0,-1.0,-1.0,-1.0
250906,45.5,1.0,-1.0,1.0,-1.0
250907,45.52,-1.0,-1.0,-1.0,-1.0
250909,45.18,-1.0,-1.0,-1.0,-1.0
250914,43.47,1.0,-1.0,-1.0,1.0
250915,43.5,-1.0,-1.0,-1.0,1.0
250916,42.65,-1.0,-1.0,-1.0,-1.0
250918,42.5,-1.0,-1.0,-1.0,-1.0
250919,42.38,1.0,-1.0,1.0,-1.0
250920,42.7,1.0,-1.0,1.0,-1.0
250921,43.0,-1.0,-1.0,-1.0,-1.0
250922,42.99,-1.0,-1.0,-1.0,-1.0
250923,42.81,-1.0,-1.0,-1.0,-1.0
250924,41.8,-1.0,-1.0,-1.0,1.0
250925,41.38,-1.0,-1.0,1.0,-1.0
250926,40.83,1.0,-1.0,1.0,-1.0
250927,40.99,-1.0,1.0,-1.0,1.0
250928,40.97,1.0,-1.0,1.0,-1.0
250929,41.13,-1.0,-1.0,1.0,-1.0
250930,40.56,-1.0,-1.0,-1.0,-1.0
250933,40.72,1.0,-1.0,-1.0,-1.0
250935,40.5,1.0,-1.0,1.0,1.0
250936,40.9,1.0,-1.0,-1.0,1.0
250937,41.12,1.0,-1.0,1.0,-1.0
250938,41.5,1.0,-1.0,1.0,-1.0
250939,41.54,1.0,-1.0,1.0,1.0
250940,41.7,-1.0,-1.0,-1.0,-1.0
250941,41.0,1.0,-1.0,1.0,-1.0
250942,41.09,-1.0,-1.0,1.0,-1.0
250943,40.4,-1.0,-1.0,-1.0,-1.0
250944,40.0,-1.0,-1.0,-1.0,-1.0
250945,39.54,-1.0,-1.0,-1.0,-1.0
250947,39.4,1.0,-1.0,1.0,-1.0
250948,39.52,1.0,-1.0,1.0,1.0
250949,40.1,-1.0,-1.0,-1.0,-1.0
250957,41.2,-1.0,-1.0,-1.0,-1.0
250958,39.44,-1.0,-1.0,-1.0,-1.0
250959,38.27,1.0,-1.0,1.0,-1.0
250960,38.28,1.0,-1.0,1.0,-1.0
250961,38.5,1.0,-1.0,1.0,-1.0
250963,39.1,-1.0,-1.0,-1.0,1.0
250965,38.47,-1.0,-1.0,-1.0,-1.0
250967,37.69,-1.0,-1.0,-1.0,-1.0
250968,37.54,-1.0,-1.0,-1.0,-1.0
250969,37.02,1.0,1.0,1.0,1.0
250970,38.44,-1.0,-1.0,-1.0,-1.0
250972,38.39,-1.0,1.0,-1.0,1.0
250973,38.08,-1.0,1.0,1.0,1.0
250975,37.9,-1.0,1.0,-1.0,1.0
250979,37.2,-1.0,1.0,-1.0,1.0
250981,35.6,-1.0,1.0,-1.0,1.0
250983,35.38,-1.0,1.0,-1.0,1.0
250987,35.69,-1.0,1.0,-1.0,1.0
250989,36.72,-1.0,-1.0,-1.0,-1.0
250991,37.12,-1.0,-1.0,-1.0,-1.0
250992,36.54,1.0,-1.0,1.0,-1.0
250994,37.39,-1.0,-1.0,1.0,-1.0
250996,38.15,-1.0,-1.0,-1.0,-1.0
250998,37.5,1.0,-1.0,1.0,-1.0
251001,38.62,1.0,-1.0,-1.0,-1.0
251002,39.04,1.0,-1.0,1.0,-1.0
251004,39.94,1.0,-1.0,1.0,-1.0
251005,40.44,-1.0,-1.0,-1.0,-1.0
251006,39.88,-1.0,-1.0,-1.0,-1.0
251008,40.04,1.0,-1.0,1.0,-1.0
251009,40.29,-1.0,-1.0,-1.0,-1.0
251010,39.72,-1.0,-1.0,-1.0,-1.0
251011,39.2,-1.0,-1.0,-1.0,-1.0
251013,39.09,1.0,-1.0,1.0,-1.0
251019,35.24,-1.0,-1.0,-1.0,-1.0
251020,34.98,-1.0,-1.0,1.0,-1.0
251021,34.5,-1.0,-1.0,-1.0,-1.0
251022,34.1,-1.0,-1.0,1.0,-1.0
251024,33.1,1.0,-1.0,1.0,-1.0
251025,33.91,-1.0,-1.0,-1.0,-1.0
251026,31.74,-1.0,1.0,-1.0,1.0
251027,31.08,-1.0,1.0,-1.0,1.0
251028,30.22,1.0,1.0,1.0,1.0
251029,30.97,-1.0,1.0,-1.0,1.0
251030,30.02,1.0,1.0,1.0,1.0
251031,32.06,1.0,-1.0,1.0,1.0
251032,32.76,-1.0,-1.0,-1.0,1.0
251033,32.27,-1.0,1.0,-1.0,1.0
251034,32.12,-1.0,1.0,-1.0,1.0
251035,30.83,-1.0,1.0,-1.0,1.0
251036,29.68,1.0,1.0,1.0,1.0
251037,29.71,1.0,1.0,1.0,1.0
251042,32.02,1.0,1.0,-1.0,1.0
251044,32.99,-1.0,1.0,-1.0,1.0
251045,32.36,-1.0,1.0,-1.0,1.0
251048,30.54,1.0,1.0,1.0,1.0
251049,31.64,-1.0,1.0,-1.0,1.0
251053,32.48,-1.0,1.0,-1.0,1.0
251058,33.67,-1.0,1.0,-1.0,1.0
251059,33.5,-1.0,1.0,-1.0,1.0
251060,31.72,-1.0,1.0,-1.0,1.0
251062,31.46,1.0,1.0,1.0,1.0
251067,30.89,-1.0,1.0,-1.0,1.0
251068,30.3,1.0,1.0,1.0,1.0
251069,31.73,1.0,1.0,1.0,1.0
251071,33.24,-1.0,1.0,-1.0,1.0
251076,33.97,1.0,1.0,1.0,1.0
251078,33.9,1.0,1.0,1.0,1.0
251079,34.28,-1.0,1.0,-1.0,1.0
251082,34.28,-1.0,1.0,-1.0,1.0
251083,33.53,-1.0,1.0,-1.0,1.0
