,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
252516,47.48,3.699634871402523,-1.0,1.0,-1.0,1.0
252517,46.57,2.7588734080242645,-1.0,1.0,-1.0,1.0
252518,46.2,2.3581119446460046,-1.0,1.0,-1.0,1.0
252519,45.76,1.8873504812677384,-1.0,1.0,-1.0,1.0
252520,45.21,1.306589017889486,1.0,1.0,1.0,1.0
252521,47.78,3.845827554511224,1.0,1.0,1.0,1.0
252522,48.52,4.5550660911329635,1.0,-1.0,1.0,-1.0
252523,48.6,4.6043046277547015,-1.0,-1.0,-1.0,1.0
252524,46.45,2.42354316437644,-1.0,-1.0,-1.0,-1.0
252525,46.43,2.3727817009981815,-1.0,-1.0,-1.0,-1.0
252526,45.79,1.7020202376199194,1.0,1.0,1.0,1.0
252527,47.27,3.1512587742416613,-1.0,-1.0,1.0,1.0
252528,44.12,-0.029502689136606364,1.0,1.0,1.0,1.0
252529,45.53,1.3497358474851353,-1.0,-1.0,-1.0,-1.0
252530,45.49,1.2789743841068812,1.0,1.0,1.0,1.0
252531,46.41,2.168212920728614,1.0,1.0,1.0,1.0
252532,46.43,2.157451457350355,1.0,1.0,1.0,1.0
252533,47.17,2.8666899939720953,1.0,1.0,1.0,1.0
252534,47.32,2.9859285305938315,-1.0,1.0,-1.0,1.0
252535,46.06,1.6951670672155714,-1.0,1.0,-1.0,1.0
252536,44.96,0.5644056038373151,1.0,1.0,1.0,1.0
252537,46.34,1.913644140459056,1.0,1.0,1.0,1.0
252538,46.61,2.1528826770807896,1.0,1.0,1.0,1.0
252539,47.02,2.5321212137025317,1.0,1.0,1.0,1.0
252540,47.32,2.8013597503242664,1.0,1.0,-1.0,1.0
252541,47.42,2.870598286946013,1.0,1.0,1.0,1.0
252542,47.91,3.3298368235677462,-1.0,1.0,-1.0,1.0
252543,47.6,2.9890753601894886,1.0,1.0,-1.0,1.0
252544,48.69,4.048313896811223,-1.0,1.0,-1.0,1.0
252545,48.68,4.007552433432963,1.0,1.0,1.0,1.0
252546,49.02,4.316790970054711,1.0,1.0,1.0,1.0
252547,49.42,4.686029506676448,-1.0,1.0,-1.0,1.0
252548,48.89,4.125268043298185,-1.0,1.0,-1.0,1.0
252549,48.79,3.994506579919921,-1.0,1.0,-1.0,1.0
252550,48.44,3.613745116541658,-1.0,1.0,-1.0,1.0
252551,48.24,3.3829836531633997,-1.0,1.0,-1.0,1.0
252552,47.9,3.012222189785142,-1.0,1.0,1.0,1.0
252553,46.64,1.7214607264068815,-1.0,1.0,-1.0,1.0
252554,45.85,0.9006992630286206,-1.0,1.0,-1.0,1.0
252555,45.75,0.7699377996503571,1.0,1.0,1.0,1.0
252556,47.07,2.0591763362720954,-1.0,1.0,-1.0,1.0
252557,46.28,1.2384148728938411,-1.0,1.0,-1.0,1.0
252558,44.71,-0.36234659048442097,1.0,1.0,1.0,1.0
252559,44.8,-0.3031080538626867,1.0,1.0,1.0,1.0
252560,46.48,1.346130482759051,1.0,1.0,1.0,1.0
252561,46.67,1.5053690193807938,-1.0,1.0,-1.0,1.0
252562,46.47,1.2746075560025358,1.0,1.0,1.0,1.0
252563,47.79,2.5638460926242743,1.0,1.0,1.0,1.0
252564,48.88,3.623084629246016,-1.0,1.0,-1.0,1.0
252565,48.69,3.4023231658677484,1.0,1.0,1.0,1.0
252566,51.87,6.551561702489487,1.0,-1.0,1.0,-1.0
252567,53.48,8.130800239111231,-1.0,-1.0,-1.0,-1.0
252568,52.38,7.000038775732975,1.0,-1.0,1.0,-1.0
252569,53.59,8.179277312354714,1.0,-1.0,1.0,-1.0
252570,53.69,8.248515848976446,1.0,-1.0,1.0,-1.0
252571,54.64,9.167754385598187,1.0,-1.0,1.0,-1.0
252572,55.25,9.746992922219933,-1.0,-1.0,1.0,-1.0
252573,53.74,8.206231458841671,1.0,-1.0,1.0,-1.0
252574,54.0,8.435469995463407,1.0,-1.0,1.0,-1.0
252575,55.76,10.164708532085145,1.0,-1.0,1.0,-1.0
252576,55.94,10.31394706870688,1.0,-1.0,1.0,-1.0
252577,56.5,10.84318560532862,1.0,-1.0,1.0,-1.0
252578,56.86,11.172424141950367,-1.0,-1.0,-1.0,-1.0
252579,56.24,10.521662678572104,-1.0,-1.0,1.0,-1.0
252580,54.32,8.570901215193842,1.0,-1.0,1.0,-1.0
252581,54.71,8.930139751815583,1.0,-1.0,1.0,-1.0
252582,55.63,9.81937828843732,1.0,-1.0,1.0,-1.0
252583,56.06,10.218616825059065,1.0,-1.0,1.0,-1.0
252584,56.78,10.907855361680804,-1.0,-1.0,-1.0,-1.0
252585,55.12,9.217093898302537,-1.0,1.0,-1.0,1.0
252586,52.58,6.646332434924276,-1.0,1.0,1.0,-1.0
252587,51.18,5.215570971546015,-1.0,1.0,-1.0,1.0
252588,50.42,4.424809508167762,1.0,1.0,1.0,-1.0
252589,53.24,7.2140480447895,-1.0,-1.0,-1.0,-1.0
252590,52.37,6.3132865814112336,1.0,1.0,-1.0,-1.0
252591,54.19,8.102525118032974,-1.0,-1.0,-1.0,-1.0
252592,54.04,7.921763654654711,-1.0,1.0,-1.0,-1.0
252593,53.04,6.891002191276449,-1.0,-1.0,-1.0,-1.0
252594,51.62,5.4402407278981935,-1.0,-1.0,-1.0,-1.0
252595,51.42,5.209479264519935,-1.0,-1.0,-1.0,-1.0
252596,51.12,4.8787178011416685,-1.0,-1.0,-1.0,-1.0
252597,48.14,1.8679563377634096,1.0,1.0,1.0,1.0
252598,50.3,3.9971948743851433,-1.0,-1.0,-1.0,-1.0
252599,48.68,2.346433411006892,1.0,1.0,-1.0,1.0
252600,49.36,2.995671947628629,1.0,1.0,1.0,-1.0
252601,49.87,3.474910484250365,1.0,1.0,-1.0,1.0
252602,53.26,6.834149020872103,-1.0,-1.0,-1.0,-1.0
252603,52.42,5.963387557493847,-1.0,1.0,-1.0,1.0
252604,50.42,3.932626094115591,1.0,1.0,-1.0,-1.0
252605,53.88,7.36186463073733,1.0,-1.0,1.0,-1.0
252606,54.86,8.311103167359066,-1.0,-1.0,-1.0,-1.0
252607,51.5,4.920341703980803,-1.0,-1.0,-1.0,-1.0
252608,50.57,3.959580240602541,1.0,1.0,1.0,1.0
252609,52.68,6.038818777224286,-1.0,-1.0,-1.0,-1.0
252610,51.9,5.228057313846024,1.0,-1.0,1.0,-1.0
252611,54.38,7.677295850467764,1.0,-1.0,1.0,-1.0
252612,54.93,8.1965343870895,-1.0,-1.0,-1.0,-1.0
252613,54.48,7.715772923711236,1.0,-1.0,1.0,-1.0
252614,55.18,8.385011460332983,1.0,-1.0,1.0,-1.0
252615,55.2,8.374249996954724,-1.0,-1.0,1.0,-1.0
252616,55.03,8.17348853357646,1.0,-1.0,1.0,-1.0
252617,55.11,8.222727070198196,1.0,-1.0,1.0,-1.0
252618,55.3,8.381965606819932,-1.0,-1.0,-1.0,-1.0
252619,53.22,6.271204143441673,1.0,-1.0,1.0,-1.0
252620,53.42,6.440442680063419,-1.0,-1.0,-1.0,-1.0
252621,52.3,5.289681216685153,1.0,-1.0,1.0,-1.0
252622,54.89,7.848919753306895,-1.0,-1.0,-1.0,-1.0
252623,52.71,5.638158289928633,-1.0,-1.0,-1.0,-1.0
252624,50.12,3.0173968265503675,-1.0,-1.0,-1.0,-1.0
252625,49.18,2.0466353631721153,1.0,-1.0,1.0,-1.0
252626,49.54,2.3758738997938518,-1.0,-1.0,-1.0,-1.0
252627,49.17,1.9751124364155928,1.0,-1.0,1.0,-1.0
252628,49.92,2.6943509730373307,1.0,-1.0,1.0,-1.0
252629,51.9,4.6435895096590665,1.0,-1.0,1.0,-1.0
252630,53.11,5.822828046280812,-1.0,-1.0,-1.0,-1.0
252631,52.78,5.46206658290255,-1.0,-1.0,-1.0,-1.0
252632,52.77,5.42130511952429,1.0,-1.0,-1.0,-1.0
252633,53.4,6.0205436561460255,-1.0,-1.0,-1.0,-1.0
252634,53.32,5.909782192767763,-1.0,-1.0,-1.0,-1.0
252635,53.1,5.659020729389503,-1.0,-1.0,-1.0,-1.0
252636,51.14,3.668259266011248,-1.0,-1.0,-1.0,-1.0
252637,51.0,3.497497802632985,1.0,-1.0,1.0,-1.0
252638,52.08,4.546736339254721,-1.0,-1.0,-1.0,-1.0
252639,51.21,3.645974875876462,1.0,-1.0,1.0,-1.0
252640,51.6,4.0052134124981995,-1.0,-1.0,-1.0,-1.0
252641,51.16,3.5344519491199407,1.0,-1.0,1.0,-1.0
252642,51.86,4.2036904857416815,-1.0,-1.0,-1.0,-1.0
252643,50.28,2.592929022363421,0.0,-1.0,0.0,-1.0
252644,50.28,2.562167558985159,1.0,-1.0,1.0,-1.0
252645,50.29,2.541406095606895,-1.0,-1.0,1.0,-1.0
252646,48.75,0.9706446322286412,1.0,-1.0,1.0,-1.0
252647,51.26,3.449883168850377,-1.0,-1.0,-1.0,-1.0
252648,50.85,3.0091217054721184,1.0,-1.0,-1.0,-1.0
252649,51.5,3.628360242093855,-1.0,-1.0,-1.0,-1.0
252650,51.22,3.317598778715592,-1.0,-1.0,-1.0,-1.0
252651,49.63,1.6968373153373406,1.0,-1.0,1.0,-1.0
252652,49.97,2.006075851959075,1.0,-1.0,-1.0,-1.0
252653,50.35,2.3553143885808154,-1.0,-1.0,-1.0,-1.0
252654,48.58,0.5545529252025503,-1.0,-1.0,-1.0,-1.0
252655,47.68,-0.3762085381757103,-1.0,-1.0,-1.0,-1.0
252656,47.08,-1.0069700015539738,-1.0,-1.0,-1.0,-1.0
252657,47.04,-1.0777314649322278,1.0,-1.0,1.0,-1.0
252658,47.58,-0.5684929283104907,-1.0,-1.0,-1.0,-1.0
252659,46.68,-1.4992543916887513,-1.0,-1.0,-1.0,-1.0
252660,45.76,-2.450015855067015,-1.0,1.0,-1.0,1.0
252661,45.71,-2.530777318445267,1.0,1.0,1.0,1.0
252662,45.86,-2.4115387818235305,-1.0,1.0,-1.0,1.0
252663,44.3,-4.002300245201795,-1.0,1.0,-1.0,1.0
252664,43.73,-4.603061708580056,-1.0,1.0,-1.0,1.0
252665,43.31,-5.053823171958314,1.0,1.0,1.0,1.0
252666,44.7,-3.6945846353365748,-1.0,1.0,1.0,1.0
252667,43.78,-4.645346098714839,-1.0,1.0,-1.0,1.0
252668,43.44,-5.016107562093097,1.0,1.0,1.0,1.0
252669,44.97,-3.5168690254713577,-1.0,1.0,-1.0,1.0
252670,44.74,-3.7776304888496166,1.0,1.0,1.0,1.0
252671,45.16,-3.3883919522278845,-1.0,1.0,1.0,1.0
252672,44.36,-4.219153415606144,1.0,1.0,1.0,1.0
252673,45.14,-3.469914878984397,-1.0,1.0,1.0,1.0
252674,44.68,-3.96067634236266,1.0,1.0,1.0,1.0
252675,46.1,-2.5714378057409206,1.0,1.0,1.0,1.0
252676,46.14,-2.5621992691191835,-1.0,1.0,-1.0,1.0
252677,46.1,-2.6329607324974447,-1.0,1.0,-1.0,1.0
252678,45.79,-2.973722195875702,-1.0,1.0,-1.0,1.0
252679,45.5,-3.2944836592539626,-1.0,1.0,-1.0,1.0
