,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
256924,22.16,-10.61307476006029,1.0,1.0,-1.0,1.0
256925,22.18,-10.637019409933842,-1.0,1.0,-1.0,1.0
256991,28.06,-7.657366301588478,1.0,-1.0,1.0,-1.0
256992,28.47,-7.291310951462037,1.0,-1.0,-1.0,-1.0
256993,29.34,-6.4652556013355875,1.0,-1.0,1.0,-1.0
256994,29.82,-6.02920025120914,1.0,-1.0,1.0,-1.0
256995,29.99,-5.903144901082702,1.0,-1.0,1.0,-1.0
256996,30.19,-5.74708955095625,-1.0,-1.0,-1.0,-1.0
256997,29.88,-6.101034200829813,1.0,-1.0,1.0,-1.0
256998,30.34,-5.684978850703362,-1.0,-1.0,-1.0,-1.0
256999,30.02,-6.048923500576914,-1.0,-1.0,1.0,-1.0
257000,29.15,-6.962868150450476,1.0,1.0,1.0,1.0
257001,29.6,-6.556812800324026,1.0,1.0,1.0,1.0
257002,29.68,-6.520757450197586,1.0,1.0,1.0,1.0
257003,30.0,-6.244702100071138,1.0,1.0,1.0,1.0
257004,30.07,-6.218646749944696,-1.0,1.0,-1.0,1.0
257005,29.64,-6.692591399818247,-1.0,1.0,-1.0,1.0
257006,29.51,-6.866536049691799,-1.0,1.0,-1.0,1.0
257007,29.42,-7.000480699565357,-1.0,1.0,1.0,1.0
257008,29.4,-7.0644253494389115,1.0,1.0,1.0,1.0
257009,29.7,-6.808369999312473,1.0,1.0,1.0,1.0
257010,30.14,-6.412314649186023,-1.0,1.0,-1.0,1.0
257011,29.46,-7.1362592990595815,1.0,1.0,-1.0,1.0
257012,29.64,-7.000203948933134,-1.0,1.0,-1.0,1.0
257013,29.44,-7.244148598806684,-1.0,1.0,-1.0,1.0
257014,28.94,-7.788093248680244,-1.0,1.0,-1.0,1.0
257015,28.63,-8.142037898553799,-1.0,1.0,1.0,1.0
257016,28.59,-8.225982548427357,1.0,1.0,-1.0,1.0
257017,28.91,-7.949927198300909,-1.0,1.0,-1.0,1.0
257018,28.52,-8.383871848174461,-1.0,1.0,1.0,1.0
257019,28.47,-8.477816498048021,-1.0,1.0,-1.0,1.0
257020,28.36,-8.631761147921571,-1.0,1.0,-1.0,1.0
257021,28.05,-8.98570579779513,-1.0,1.0,-1.0,1.0
257022,27.72,-9.359650447668683,1.0,1.0,1.0,1.0
257023,28.21,-8.913595097542235,1.0,1.0,1.0,1.0
257024,28.28,-8.887539747415794,-1.0,1.0,-1.0,1.0
257025,28.21,-9.001484397289351,-1.0,1.0,-1.0,1.0
257026,27.82,-9.435429047162906,1.0,1.0,1.0,1.0
257027,28.62,-8.679373697036457,1.0,1.0,1.0,1.0
257028,29.23,-8.11331834691001,1.0,1.0,1.0,1.0
257029,29.36,-8.02726299678357,1.0,1.0,1.0,1.0
257030,31.06,-6.37120764665713,1.0,1.0,1.0,1.0
257031,32.42,-5.055152296530679,1.0,1.0,1.0,1.0
257032,32.88,-4.639096946404231,1.0,1.0,1.0,1.0
257033,33.9,-3.663041596277786,1.0,-1.0,1.0,-1.0
257034,34.26,-3.3469862461513458,1.0,-1.0,1.0,-1.0
257035,34.66,-2.9909308960249064,1.0,1.0,1.0,1.0
257036,35.67,-2.0248755458984533,-1.0,1.0,-1.0,1.0
257037,35.32,-2.418820195772007,0.0,1.0,0.0,1.0
257038,35.32,-2.462764845645566,1.0,1.0,1.0,1.0
257039,35.71,-2.116709495519117,1.0,1.0,1.0,1.0
257040,36.29,-1.5806541453926783,-1.0,1.0,-1.0,1.0
257041,36.2,-1.7145987952662267,-1.0,1.0,-1.0,1.0
257042,36.08,-1.8785434451397836,1.0,1.0,1.0,1.0
257043,36.58,-1.4224880950133425,1.0,1.0,1.0,1.0
257044,36.75,-1.2964327448868929,1.0,1.0,1.0,1.0
257045,37.16,-0.9303773947604554,1.0,-1.0,1.0,-1.0
257046,37.35,-0.7843220446340027,1.0,-1.0,1.0,-1.0
257047,37.76,-0.41826669450755816,1.0,-1.0,1.0,-1.0
257048,38.09,-0.13221134438111193,-1.0,-1.0,-1.0,-1.0
257049,37.89,-0.3761559942546739,1.0,-1.0,1.0,-1.0
257050,38.18,-0.13010064412822686,1.0,-1.0,1.0,-1.0
257051,38.2,-0.1540452940017758,1.0,-1.0,-1.0,-1.0
257052,38.42,0.022010056124671,-1.0,-1.0,-1.0,-1.0
257053,37.19,-1.2519345937488922,1.0,-1.0,1.0,-1.0
257054,37.31,-1.1758792436224468,-1.0,-1.0,-1.0,-1.0
257055,36.96,-1.5698238934960005,-1.0,-1.0,-1.0,-1.0
257056,35.68,-2.893768543369553,-1.0,-1.0,-1.0,-1.0
257057,34.65,-3.967713193243114,-1.0,-1.0,-1.0,-1.0
257058,34.0,-4.661657843116664,-1.0,1.0,-1.0,1.0
257059,33.74,-4.965602492990222,1.0,1.0,1.0,1.0
257060,34.01,-4.7395471428637785,1.0,1.0,1.0,1.0
257061,34.72,-4.073491792737328,-1.0,-1.0,-1.0,-1.0
257062,34.07,-4.767436442610887,-1.0,-1.0,-1.0,-1.0
257063,33.87,-5.0113810924844415,1.0,-1.0,1.0,-1.0
257064,34.24,-4.685325742357996,1.0,-1.0,1.0,-1.0
257065,36.28,-2.689270392231549,1.0,-1.0,1.0,-1.0
257066,37.18,-1.8332150421051023,-1.0,-1.0,-1.0,-1.0
257067,37.02,-2.0371596919786583,1.0,-1.0,1.0,-1.0
257068,37.54,-1.5611043418522144,-1.0,-1.0,-1.0,-1.0
257069,37.4,-1.745048991725774,-1.0,-1.0,-1.0,-1.0
257070,37.32,-1.8689936415993245,-1.0,-1.0,-1.0,-1.0
257071,36.57,-2.662938291472884,1.0,-1.0,-1.0,-1.0
257072,36.91,-2.3668829413464394,1.0,-1.0,1.0,-1.0
257073,37.59,-1.7308275912199915,1.0,-1.0,1.0,-1.0
257074,37.86,-1.5047722410935478,-1.0,-1.0,-1.0,-1.0
257075,36.76,-2.6487168909671013,-1.0,-1.0,-1.0,-1.0
257076,35.88,-3.5726615408406563,-1.0,-1.0,-1.0,-1.0
257077,35.44,-4.056606190714213,-1.0,-1.0,-1.0,-1.0
257078,35.25,-4.29055084058777,1.0,-1.0,-1.0,-1.0
257079,35.77,-3.814495490461319,1.0,-1.0,1.0,-1.0
257080,36.08,-3.5484401403348755,1.0,-1.0,-1.0,-1.0
257081,36.11,-3.5623847902084336,-1.0,-1.0,-1.0,-1.0
257082,34.76,-4.956329440081987,-1.0,-1.0,-1.0,-1.0
257083,32.84,-6.920274089955541,1.0,1.0,1.0,1.0
257084,33.38,-6.424218739829093,1.0,-1.0,1.0,1.0
257085,34.65,-5.198163389702658,1.0,-1.0,1.0,-1.0
257086,34.76,-5.1321080395762095,-1.0,-1.0,-1.0,-1.0
257087,32.53,-7.4060526894497585,1.0,1.0,1.0,1.0
257088,34.28,-5.699997339323317,-1.0,1.0,-1.0,1.0
257089,34.12,-5.903941989196872,1.0,1.0,1.0,1.0
257090,34.36,-5.707886639070432,-1.0,1.0,-1.0,1.0
257091,34.25,-5.861831288943982,-1.0,1.0,-1.0,1.0
257092,33.86,-6.295775938817536,-1.0,1.0,-1.0,1.0
257093,33.6,-6.599720588691093,1.0,1.0,1.0,1.0
257094,33.66,-6.583665238564649,1.0,1.0,1.0,1.0
257095,35.35,-4.937609888438203,1.0,1.0,1.0,-1.0
257096,35.54,-4.7915545383117575,-1.0,1.0,-1.0,1.0
257097,35.45,-4.925499188185313,-1.0,1.0,-1.0,1.0
257098,34.62,-5.7994438380588695,1.0,1.0,1.0,1.0
257099,35.09,-5.3733884879324165,1.0,1.0,-1.0,1.0
257100,35.16,-5.347333137805983,-1.0,1.0,-1.0,1.0
257101,34.76,-5.791277787679533,-1.0,1.0,-1.0,1.0
257102,34.52,-6.075222437553087,-1.0,1.0,-1.0,1.0
257103,34.0,-6.639167087426642,-1.0,1.0,-1.0,1.0
257104,33.87,-6.813111737300197,-1.0,1.0,1.0,1.0
257105,33.67,-7.057056387173753,1.0,1.0,1.0,1.0
257106,34.62,-6.151001037047307,-1.0,1.0,-1.0,1.0
257107,34.41,-6.404945686920867,-1.0,1.0,-1.0,1.0
257108,33.75,-7.108890336794418,-1.0,1.0,-1.0,1.0
257109,33.62,-7.2828349866679725,-1.0,1.0,-1.0,1.0
257110,33.22,-7.726779636541528,-1.0,1.0,-1.0,1.0
257111,32.14,-8.850724286415089,1.0,1.0,1.0,1.0
257112,32.8,-8.234668936288642,1.0,1.0,1.0,1.0
257113,32.88,-8.198613586162189,1.0,1.0,1.0,1.0
257114,33.08,-8.042558236035754,1.0,1.0,1.0,1.0
257115,33.25,-7.916502885909302,1.0,1.0,1.0,1.0
257116,33.41,-7.800447535782865,1.0,1.0,1.0,1.0
257117,33.83,-7.424392185656417,1.0,1.0,1.0,1.0
257118,34.62,-6.678336835529969,1.0,1.0,1.0,1.0
257119,35.17,-6.172281485403524,1.0,1.0,1.0,1.0
257120,35.72,-5.666226135277077,1.0,1.0,1.0,1.0
257121,35.89,-5.540170785150637,-1.0,-1.0,-1.0,1.0
257122,34.84,-6.634115435024184,1.0,1.0,1.0,1.0
257123,35.6,-5.918060084897738,1.0,1.0,1.0,1.0
257124,35.8,-5.762004734771303,-1.0,1.0,-1.0,1.0
257125,35.69,-5.915949384644861,1.0,1.0,1.0,1.0
257126,36.0,-5.649894034518411,1.0,1.0,1.0,1.0
257127,36.64,-5.0538386843919625,-1.0,-1.0,-1.0,-1.0
257128,36.23,-5.507783334265518,1.0,1.0,1.0,1.0
257129,36.27,-5.511727984139072,1.0,1.0,1.0,1.0
257130,36.48,-5.345672634012637,-1.0,1.0,-1.0,1.0
257131,36.16,-5.709617283886188,-1.0,1.0,-1.0,1.0
257132,35.93,-5.983561933759737,-1.0,1.0,-1.0,1.0
257133,35.92,-6.037506583633287,1.0,1.0,-1.0,1.0
257134,36.12,-5.881451233506851,-1.0,1.0,-1.0,1.0
257135,35.86,-6.1853958833804095,-1.0,1.0,-1.0,1.0
257136,35.66,-6.429340533253964,-1.0,1.0,-1.0,1.0
257137,35.16,-6.973285183127516,1.0,1.0,1.0,1.0
257138,36.0,-6.177229833001071,-1.0,1.0,-1.0,1.0
257139,34.91,-7.311174482874629,1.0,1.0,1.0,1.0
257140,35.53,-6.735119132748181,1.0,1.0,1.0,1.0
257141,36.18,-6.129063782621735,1.0,1.0,1.0,1.0
257142,36.66,-5.69300843249529,-1.0,1.0,-1.0,1.0
257143,36.0,-6.396953082368847,1.0,1.0,1.0,1.0
257144,36.16,-6.2808977322424075,1.0,1.0,-1.0,1.0
257145,36.29,-6.194842382115956,-1.0,1.0,-1.0,1.0
257146,35.98,-6.548787031989512,1.0,1.0,1.0,1.0
257147,36.23,-6.3427316818630635,-1.0,1.0,-1.0,1.0
257148,35.43,-7.186676331736621,1.0,1.0,1.0,1.0
257149,37.19,-5.470620981610181,-1.0,1.0,-1.0,1.0
257150,36.56,-6.1445656314837285,-1.0,1.0,-1.0,1.0
257151,35.42,-7.328510281357282,1.0,1.0,1.0,1.0
257152,36.28,-6.512454931230835,1.0,1.0,1.0,1.0
257153,36.55,-6.286399581104398,1.0,1.0,1.0,1.0
257154,38.59,-4.290344230977952,-1.0,1.0,-1.0,1.0
257155,37.09,-5.834288880851503,-1.0,1.0,-1.0,1.0
257156,37.05,-5.918233530725062,-1.0,1.0,-1.0,1.0
257157,36.28,-6.732178180598608,1.0,1.0,-1.0,1.0
257158,36.72,-6.3361228304721715,1.0,1.0,1.0,1.0
257159,37.04,-6.0600674803457295,1.0,1.0,-1.0,1.0
257160,39.69,-3.454012130219283,-1.0,-1.0,-1.0,1.0
257161,38.59,-4.5979567800928285,-1.0,-1.0,-1.0,1.0
257162,37.78,-5.451901429966392,1.0,1.0,1.0,1.0
257163,38.06,-5.215846079839941,1.0,-1.0,-1.0,-1.0
257168,38.68,-4.815569329207727,0.0,-1.0,0.0,-1.0
257172,40.11,-3.5613479287019416,0.0,1.0,0.0,1.0
257175,40.5,-3.3031818783226043,-1.0,1.0,-1.0,1.0
257176,40.29,-3.5571265281961573,0.0,1.0,0.0,1.0
257179,40.6,-3.3789604778168254,0.0,1.0,0.0,1.0
257186,39.62,-4.666573026931715,-1.0,1.0,-1.0,1.0
257187,38.98,-5.350517676805269,0.0,1.0,0.0,1.0
257191,37.87,-6.63629627629949,0.0,1.0,0.0,1.0
257199,41.61,-3.2478534752879256,0.0,1.0,0.0,1.0
257204,42.7,-2.3775767246556967,0.0,1.0,0.0,1.0
257216,44.84,-0.7649125231383636,0.0,0.0,0.0,0.0
257262,50.35,2.7236335826781044,0.0,1.0,0.0,1.0
257273,51.46,3.350242434068996,0.0,1.0,0.0,1.0
257282,54.4,5.894740585207003,0.0,1.0,0.0,1.0
257286,54.18,5.498961985712782,0.0,1.0,0.0,1.0
257288,53.05,4.281072685965668,0.0,1.0,0.0,1.0
257296,56.47,7.349515486977233,0.0,1.0,0.0,1.0
257303,59.31,9.88190293786235,0.0,1.0,0.0,1.0
257305,60.12,10.604013638115234,0.0,1.0,0.0,1.0
257312,67.2,17.37640108900035,-1.0,1.0,-1.0,1.0
257313,66.28,16.412456439126803,0.0,1.0,0.0,1.0
257315,70.18,20.22456713937969,0.0,-1.0,0.0,-1.0
257316,70.18,20.18062248950613,0.0,-1.0,0.0,-1.0
257318,69.0,18.912733189759024,0.0,-1.0,0.0,-1.0
257320,72.5,22.324843890011906,1.0,-1.0,1.0,-1.0
257321,73.55,23.33089924013835,1.0,-1.0,1.0,-1.0
257322,73.56,23.296954590264807,0.0,-1.0,1.0,-1.0
257324,71.14,20.789065290517694,0.0,-1.0,0.0,-1.0
257328,70.76,20.23328669102348,0.0,-1.0,0.0,-1.0
257336,71.55,20.671729492035027,0.0,-1.0,0.0,-1.0
257340,68.15,17.095950892540813,0.0,1.0,0.0,1.0
257350,63.07,11.57650439380526,0.0,1.0,0.0,1.0
257352,65.04,13.45861509405816,0.0,1.0,0.0,1.0
257360,68.81,16.87705789506971,0.0,-1.0,0.0,-1.0
257366,69.46,17.263389995828376,0.0,-1.0,0.0,-1.0
257377,73.38,20.69999884721927,0.0,-1.0,0.0,-1.0
257389,68.06,14.852663048736614,0.0,1.0,0.0,1.0
257731,60.64,-7.596407208019214,0.0,1.0,0.0,1.0
257744,66.5,-2.3076876563754354,0.0,-1.0,0.0,-1.0
257755,67.35,-1.9410788049845424,0.0,-1.0,0.0,-1.0
257762,64.16,-5.438691354099434,0.0,1.0,0.0,1.0
257766,64.52,-5.254469953593642,0.0,0.0,0.0,-1.0
257908,70.06,-5.954610235638455,0.0,0.0,0.0,0.0
257978,72.85,-6.240735726787322,0.0,1.0,0.0,1.0
257981,72.75,-6.472569676407971,0.0,1.0,0.0,1.0
