,Close,Target(1),Target(30),Prediction(1),Prediction(30)
258082,25.54,-1.0,1.0,-1.0,1.0
258083,25.46,1.0,1.0,1.0,1.0
258084,25.56,-1.0,1.0,-1.0,1.0
258085,25.46,-1.0,1.0,-1.0,1.0
258086,25.32,1.0,1.0,1.0,1.0
258087,25.63,1.0,1.0,1.0,1.0
258088,25.99,-1.0,1.0,-1.0,1.0
258089,25.94,-1.0,1.0,-1.0,1.0
258090,25.22,-1.0,1.0,-1.0,1.0
258091,25.14,-1.0,1.0,1.0,1.0
258092,24.78,1.0,1.0,1.0,1.0
258093,25.04,-1.0,1.0,-1.0,1.0
258094,24.99,1.0,1.0,1.0,1.0
258095,25.22,-1.0,1.0,-1.0,1.0
258096,25.13,1.0,1.0,1.0,1.0
258097,25.79,1.0,1.0,1.0,1.0
258098,25.85,1.0,1.0,1.0,1.0
258099,26.14,1.0,1.0,1.0,1.0
258100,26.67,1.0,1.0,-1.0,1.0
258101,26.68,-1.0,1.0,-1.0,1.0
258102,26.33,-1.0,1.0,-1.0,1.0
258103,26.26,-1.0,1.0,-1.0,1.0
258104,25.57,1.0,1.0,1.0,1.0
258105,25.6,1.0,1.0,1.0,1.0
258106,26.11,1.0,1.0,1.0,1.0
258107,26.23,-1.0,1.0,-1.0,1.0
258108,26.16,1.0,1.0,1.0,1.0
258109,26.26,1.0,1.0,1.0,1.0
258110,26.51,1.0,1.0,1.0,1.0
258111,26.58,-1.0,1.0,1.0,1.0
258112,26.49,1.0,1.0,1.0,1.0
258113,26.73,-1.0,1.0,-1.0,1.0
258114,26.67,1.0,1.0,1.0,1.0
258115,26.81,1.0,1.0,1.0,1.0
258116,27.0,1.0,1.0,-1.0,1.0
258117,27.25,-1.0,1.0,-1.0,1.0
258118,27.16,1.0,1.0,1.0,1.0
258119,27.17,-1.0,1.0,-1.0,1.0
258120,27.16,-1.0,1.0,-1.0,1.0
258121,27.09,1.0,1.0,1.0,1.0
258122,27.24,-1.0,-1.0,-1.0,-1.0
258123,26.95,1.0,-1.0,1.0,-1.0
258124,27.09,-1.0,-1.0,-1.0,-1.0
258125,27.02,1.0,-1.0,1.0,-1.0
258126,27.54,1.0,-1.0,1.0,-1.0
258127,27.83,-1.0,-1.0,-1.0,-1.0
258128,27.64,1.0,-1.0,1.0,-1.0
258129,27.97,1.0,-1.0,1.0,1.0
258130,28.04,1.0,-1.0,1.0,-1.0
258131,28.2,-1.0,-1.0,-1.0,-1.0
258132,27.92,-1.0,-1.0,-1.0,-1.0
258133,27.7,1.0,-1.0,1.0,-1.0
258134,27.81,-1.0,-1.0,-1.0,-1.0
258135,27.8,-1.0,-1.0,-1.0,-1.0
258136,27.74,1.0,-1.0,1.0,-1.0
258137,27.87,1.0,-1.0,-1.0,-1.0
258138,27.89,-1.0,-1.0,1.0,-1.0
258139,27.38,1.0,-1.0,1.0,-1.0
258140,27.46,1.0,-1.0,1.0,-1.0
258141,27.58,1.0,-1.0,1.0,-1.0
258142,27.65,1.0,-1.0,1.0,-1.0
258143,27.77,-1.0,-1.0,-1.0,-1.0
258144,27.76,-1.0,-1.0,-1.0,-1.0
258145,27.65,-1.0,-1.0,-1.0,-1.0
258146,27.02,1.0,-1.0,1.0,-1.0
258147,27.33,1.0,-1.0,1.0,-1.0
258148,27.57,1.0,-1.0,1.0,-1.0
258149,27.79,-1.0,-1.0,-1.0,-1.0
258150,27.75,-1.0,-1.0,-1.0,-1.0
258151,27.38,-1.0,-1.0,-1.0,-1.0
258152,27.09,-1.0,-1.0,-1.0,-1.0
258153,26.0,-1.0,1.0,-1.0,1.0
258154,25.53,1.0,1.0,1.0,1.0
258155,26.33,1.0,-1.0,1.0,-1.0
258156,26.51,1.0,-1.0,1.0,-1.0
258157,26.93,-1.0,-1.0,-1.0,-1.0
258158,26.63,-1.0,-1.0,-1.0,-1.0
258159,26.6,-1.0,-1.0,-1.0,-1.0
258160,26.58,-1.0,-1.0,-1.0,1.0
