,Close,Target(1),Target(30),Prediction(1),Prediction(30)
263682,16.6,-1.0,1.0,-1.0,1.0
263683,16.2,1.0,1.0,1.0,1.0
263684,16.5,-1.0,1.0,-1.0,-1.0
263685,16.0,-1.0,1.0,1.0,1.0
263686,15.2,1.0,1.0,1.0,1.0
263687,15.9,-1.0,1.0,-1.0,1.0
263688,15.3,1.0,1.0,1.0,-1.0
263689,15.4,-1.0,1.0,-1.0,1.0
263690,14.5,1.0,1.0,1.0,1.0
263691,14.6,1.0,1.0,1.0,1.0
263692,14.9,1.0,1.0,1.0,-1.0
263693,15.0,-1.0,1.0,-1.0,1.0
263694,14.5,1.0,1.0,-1.0,-1.0
263695,14.9,0.0,1.0,0.0,1.0
263696,14.9,1.0,1.0,1.0,1.0
263697,15.2,1.0,1.0,1.0,1.0
263698,15.3,1.0,1.0,1.0,1.0
263699,15.5,1.0,1.0,-1.0,1.0
263700,15.6,1.0,1.0,1.0,1.0
263701,15.7,-1.0,1.0,-1.0,1.0
263702,15.5,0.0,1.0,0.0,1.0
263703,15.5,1.0,1.0,1.0,1.0
263704,15.6,1.0,1.0,1.0,1.0
263705,16.1,1.0,1.0,1.0,1.0
263706,16.5,-1.0,1.0,-1.0,1.0
263707,16.2,1.0,1.0,1.0,1.0
263708,16.5,1.0,1.0,1.0,1.0
263709,16.6,0.0,1.0,0.0,1.0
263710,16.6,1.0,1.0,1.0,1.0
263711,16.7,1.0,1.0,1.0,1.0
263712,16.8,-1.0,1.0,-1.0,1.0
263713,16.7,0.0,1.0,-1.0,1.0
263714,16.7,-1.0,1.0,-1.0,1.0
263715,16.5,1.0,1.0,1.0,1.0
263716,16.6,1.0,1.0,1.0,1.0
263717,16.9,-1.0,1.0,-1.0,1.0
263718,16.72,-1.0,1.0,-1.0,1.0
263719,16.4,-1.0,1.0,-1.0,1.0
263720,15.7,-1.0,1.0,-1.0,1.0
263721,15.1,1.0,1.0,1.0,1.0
263722,16.2,-1.0,-1.0,1.0,-1.0
263723,15.9,0.0,-1.0,0.0,-1.0
263724,15.9,-1.0,1.0,-1.0,-1.0
263725,15.5,1.0,1.0,1.0,1.0
263726,15.9,1.0,1.0,1.0,1.0
263727,16.6,-1.0,-1.0,-1.0,-1.0
263728,16.52,1.0,-1.0,1.0,-1.0
263729,16.9,1.0,-1.0,1.0,-1.0
263730,17.1,0.0,-1.0,0.0,-1.0
263731,17.1,-1.0,-1.0,-1.0,-1.0
263732,17.0,1.0,-1.0,1.0,-1.0
263733,17.1,0.0,-1.0,0.0,1.0
263734,17.1,-1.0,-1.0,-1.0,-1.0
263735,16.8,1.0,-1.0,1.0,1.0
263736,17.0,1.0,-1.0,1.0,-1.0
263737,17.8,-1.0,-1.0,-1.0,-1.0
263738,17.4,-1.0,-1.0,-1.0,-1.0
263739,17.3,1.0,-1.0,1.0,-1.0
263740,17.7,1.0,-1.0,1.0,-1.0
263741,18.2,1.0,-1.0,1.0,-1.0
263742,18.3,1.0,-1.0,1.0,-1.0
263743,19.0,-1.0,-1.0,-1.0,-1.0
263744,18.7,-1.0,-1.0,-1.0,-1.0
263745,18.3,1.0,-1.0,1.0,-1.0
263746,18.4,-1.0,-1.0,-1.0,-1.0
263747,17.4,-1.0,-1.0,-1.0,-1.0
263748,16.9,1.0,-1.0,1.0,-1.0
263749,17.5,-1.0,-1.0,-1.0,-1.0
263750,16.58,-1.0,-1.0,-1.0,-1.0
263751,16.48,-1.0,-1.0,-1.0,-1.0
263752,15.6,-1.0,-1.0,-1.0,-1.0
263753,15.0,1.0,-1.0,-1.0,-1.0
263754,16.1,-1.0,-1.0,-1.0,-1.0
263755,15.9,1.0,-1.0,1.0,-1.0
263756,16.0,0.0,-1.0,1.0,-1.0
263757,16.0,-1.0,-1.0,-1.0,-1.0
263758,15.7,-1.0,-1.0,-1.0,1.0
263759,15.3,-1.0,-1.0,-1.0,-1.0
263760,14.9,1.0,-1.0,1.0,-1.0
263761,15.5,-1.0,-1.0,-1.0,-1.0
263762,14.3,1.0,-1.0,1.0,-1.0
263763,14.6,0.0,-1.0,0.0,-1.0
263764,14.6,-1.0,-1.0,-1.0,-1.0
263765,14.2,1.0,-1.0,1.0,-1.0
263766,14.4,1.0,-1.0,1.0,-1.0
263767,15.1,-1.0,-1.0,-1.0,-1.0
263768,14.8,-1.0,-1.0,1.0,-1.0
263769,14.2,1.0,-1.0,1.0,-1.0
263770,14.99,1.0,-1.0,1.0,-1.0
263771,15.07,-1.0,-1.0,-1.0,1.0
263772,14.06,-1.0,-1.0,1.0,-1.0
263773,13.13,-1.0,-1.0,-1.0,-1.0
263774,12.99,1.0,-1.0,1.0,-1.0
263775,13.02,1.0,1.0,1.0,1.0
263776,13.78,1.0,1.0,1.0,1.0
263777,13.88,-1.0,1.0,-1.0,1.0
263778,13.78,1.0,1.0,-1.0,1.0
263779,14.02,1.0,1.0,1.0,1.0
263780,14.16,-1.0,1.0,-1.0,1.0
263781,13.69,1.0,1.0,1.0,1.0
263782,13.83,1.0,1.0,1.0,1.0
263783,13.98,-1.0,1.0,-1.0,1.0
263784,13.75,-1.0,1.0,-1.0,1.0
263785,13.61,-1.0,1.0,-1.0,1.0
263786,13.12,-1.0,1.0,-1.0,1.0
263787,13.03,-1.0,1.0,-1.0,-1.0
263788,13.0,-1.0,1.0,-1.0,1.0
263789,12.03,-1.0,1.0,-1.0,-1.0
263790,11.82,-1.0,1.0,-1.0,1.0
263791,11.72,-1.0,1.0,-1.0,1.0
263792,11.61,1.0,1.0,-1.0,1.0
263793,11.65,1.0,1.0,1.0,1.0
263794,11.7,1.0,1.0,1.0,1.0
263795,12.0,1.0,1.0,1.0,1.0
263796,12.2,-1.0,1.0,-1.0,1.0
263797,12.14,1.0,1.0,1.0,1.0
263798,12.8,1.0,1.0,1.0,1.0
263799,13.05,1.0,-1.0,-1.0,1.0
263800,13.58,-1.0,-1.0,-1.0,1.0
263801,12.96,1.0,-1.0,1.0,-1.0
263802,13.04,1.0,-1.0,1.0,-1.0
263803,13.06,-1.0,-1.0,-1.0,-1.0
263804,12.78,1.0,1.0,1.0,1.0
263805,13.35,1.0,1.0,1.0,1.0
263806,14.36,1.0,-1.0,1.0,-1.0
263807,14.51,-1.0,-1.0,1.0,-1.0
263808,14.3,1.0,-1.0,1.0,-1.0
263809,14.36,1.0,-1.0,1.0,-1.0
263810,14.43,1.0,-1.0,1.0,-1.0
263811,14.63,1.0,-1.0,1.0,-1.0
263812,15.11,-1.0,-1.0,-1.0,-1.0
263813,14.83,1.0,-1.0,1.0,-1.0
263814,15.46,-1.0,-1.0,-1.0,-1.0
263815,15.28,-1.0,-1.0,-1.0,-1.0
263816,15.12,1.0,-1.0,1.0,-1.0
263817,15.32,-1.0,-1.0,-1.0,-1.0
263818,14.8,-1.0,-1.0,1.0,-1.0
263819,14.06,-1.0,1.0,-1.0,1.0
263820,13.97,-1.0,1.0,-1.0,1.0
263821,13.95,-1.0,1.0,1.0,1.0
263822,13.79,1.0,1.0,1.0,1.0
263823,14.16,1.0,1.0,1.0,1.0
263824,14.44,-1.0,1.0,-1.0,1.0
263825,14.02,-1.0,1.0,-1.0,1.0
263826,13.62,-1.0,1.0,-1.0,1.0
263827,13.46,-1.0,1.0,-1.0,1.0
263828,12.94,0.0,1.0,1.0,1.0
263829,12.94,-1.0,1.0,1.0,1.0
263830,12.57,1.0,1.0,1.0,1.0
263831,12.84,-1.0,1.0,1.0,1.0
263832,12.46,-1.0,1.0,-1.0,1.0
263833,12.4,1.0,1.0,1.0,1.0
263834,13.06,1.0,1.0,1.0,1.0
263835,13.61,1.0,1.0,1.0,1.0
263836,14.13,-1.0,1.0,-1.0,1.0
263837,13.9,-1.0,1.0,-1.0,1.0
263838,13.83,1.0,1.0,1.0,1.0
263839,14.34,-1.0,-1.0,1.0,-1.0
263840,14.19,1.0,-1.0,-1.0,-1.0
263841,14.43,-1.0,-1.0,-1.0,1.0
263842,14.26,-1.0,-1.0,-1.0,-1.0
263843,14.23,-1.0,0.0,-1.0,0.0
263844,14.0,0.0,1.0,1.0,1.0
263845,14.0,1.0,1.0,1.0,1.0
263846,14.36,-1.0,-1.0,-1.0,-1.0
263847,14.32,1.0,1.0,1.0,-1.0
263848,14.6,-1.0,-1.0,-1.0,-1.0
263849,14.55,1.0,1.0,1.0,1.0
263850,15.27,1.0,1.0,1.0,1.0
263851,15.32,-1.0,-1.0,-1.0,-1.0
263852,14.79,-1.0,1.0,-1.0,1.0
263853,14.51,1.0,1.0,1.0,1.0
263854,14.57,1.0,1.0,1.0,1.0
263855,14.89,-1.0,1.0,-1.0,1.0
263856,14.46,1.0,1.0,1.0,1.0
263857,14.84,-1.0,-1.0,1.0,-1.0
