,Close,Target(1),Target(30),Prediction(1),Prediction(30)
266680,78.73,1.0,1.0,1.0,1.0
266681,79.31,-1.0,1.0,-1.0,1.0
266682,78.72,-1.0,1.0,-1.0,1.0
266683,77.1,-1.0,1.0,-1.0,-1.0
266684,76.31,1.0,1.0,1.0,1.0
266685,77.23,1.0,1.0,1.0,1.0
266686,78.78,1.0,1.0,1.0,1.0
266687,79.74,-1.0,1.0,-1.0,1.0
266688,77.11,-1.0,1.0,-1.0,1.0
266689,77.09,-1.0,1.0,-1.0,1.0
266690,76.29,-1.0,1.0,-1.0,1.0
266691,76.26,1.0,1.0,1.0,1.0
266692,76.67,1.0,1.0,1.0,1.0
266693,77.55,-1.0,1.0,-1.0,1.0
266694,77.14,1.0,1.0,1.0,1.0
266695,78.99,-1.0,1.0,-1.0,1.0
266696,78.26,-1.0,1.0,-1.0,1.0
266697,78.04,1.0,1.0,1.0,1.0
266698,78.75,-1.0,1.0,-1.0,1.0
266699,77.72,-1.0,1.0,-1.0,1.0
266700,77.4,-1.0,1.0,-1.0,1.0
266701,76.73,-1.0,1.0,-1.0,1.0
266702,76.52,-1.0,1.0,-1.0,1.0
266703,75.97,1.0,1.0,1.0,1.0
266704,77.77,1.0,1.0,1.0,1.0
266705,78.45,-1.0,1.0,-1.0,1.0
266706,77.83,1.0,1.0,1.0,1.0
266707,78.24,1.0,1.0,1.0,1.0
266708,79.45,1.0,1.0,1.0,1.0
266709,79.55,-1.0,1.0,-1.0,1.0
266710,79.17,1.0,1.0,1.0,1.0
266711,79.52,1.0,1.0,1.0,1.0
266712,79.8,-1.0,1.0,-1.0,1.0
266713,78.25,1.0,1.0,1.0,1.0
266714,78.81,1.0,1.0,1.0,-1.0
266715,80.26,1.0,-1.0,1.0,-1.0
266716,80.58,-1.0,-1.0,-1.0,-1.0
266717,80.37,1.0,1.0,1.0,1.0
266718,80.69,-1.0,1.0,-1.0,-1.0
266719,79.91,1.0,-1.0,1.0,-1.0
266720,80.07,-1.0,-1.0,-1.0,-1.0
266721,79.2,1.0,-1.0,1.0,-1.0
266722,79.39,1.0,-1.0,-1.0,-1.0
266723,80.28,1.0,-1.0,1.0,-1.0
266724,81.61,1.0,-1.0,1.0,-1.0
266725,82.05,-1.0,-1.0,-1.0,-1.0
266726,81.35,1.0,-1.0,-1.0,-1.0
266727,82.32,-1.0,-1.0,-1.0,-1.0
266728,81.61,1.0,-1.0,1.0,1.0
266729,84.07,-1.0,-1.0,-1.0,-1.0
266730,82.1,-1.0,-1.0,1.0,-1.0
266731,81.97,1.0,-1.0,1.0,-1.0
266732,82.26,-1.0,-1.0,-1.0,-1.0
266733,82.21,-1.0,-1.0,-1.0,-1.0
266734,81.66,-1.0,-1.0,-1.0,-1.0
266735,81.38,-1.0,-1.0,-1.0,1.0
266736,81.06,-1.0,-1.0,-1.0,-1.0
266737,80.19,1.0,-1.0,1.0,-1.0
266738,80.55,1.0,-1.0,1.0,-1.0
266739,81.7,1.0,-1.0,1.0,-1.0
266740,82.0,1.0,-1.0,1.0,-1.0
266741,82.08,1.0,-1.0,1.0,-1.0
266742,82.28,-1.0,-1.0,-1.0,-1.0
266743,81.73,-1.0,-1.0,-1.0,-1.0
266744,80.36,-1.0,-1.0,-1.0,-1.0
266745,79.95,1.0,-1.0,1.0,-1.0
266746,80.55,1.0,-1.0,1.0,-1.0
266747,81.29,1.0,-1.0,1.0,-1.0
266748,81.57,-1.0,-1.0,-1.0,-1.0
266749,79.64,-1.0,-1.0,-1.0,-1.0
266750,79.19,-1.0,-1.0,-1.0,1.0
266751,76.6,-1.0,1.0,-1.0,1.0
266752,75.79,1.0,1.0,1.0,1.0
266753,76.66,1.0,-1.0,1.0,-1.0
266754,77.63,1.0,-1.0,1.0,-1.0
266755,78.97,-1.0,-1.0,-1.0,-1.0
266756,78.67,-1.0,-1.0,-1.0,-1.0
266757,77.42,1.0,-1.0,1.0,-1.0
266758,77.47,-1.0,-1.0,-1.0,-1.0
266759,76.95,-1.0,-1.0,1.0,-1.0
266760,76.8,-1.0,-1.0,-1.0,-1.0
266761,74.74,-1.0,-1.0,1.0,1.0
266762,74.6,-1.0,-1.0,-1.0,-1.0
266763,73.8,-1.0,1.0,-1.0,1.0
266764,72.82,1.0,1.0,1.0,1.0
266765,73.17,1.0,1.0,1.0,-1.0
266766,75.82,-1.0,1.0,-1.0,1.0
266767,75.07,-1.0,1.0,-1.0,1.0
266768,73.23,1.0,1.0,1.0,1.0
266769,74.27,1.0,1.0,1.0,1.0
266770,74.55,-1.0,1.0,-1.0,1.0
266771,71.99,1.0,1.0,1.0,1.0
266772,72.35,1.0,1.0,1.0,1.0
266773,72.79,-1.0,1.0,-1.0,1.0
266774,72.26,1.0,1.0,1.0,1.0
266775,73.42,1.0,1.0,1.0,-1.0
266776,74.39,1.0,1.0,1.0,1.0
266777,75.1,1.0,1.0,1.0,1.0
266778,76.79,1.0,1.0,1.0,1.0
266779,77.48,1.0,1.0,1.0,1.0
266780,77.97,1.0,-1.0,1.0,1.0
266781,78.1,-1.0,1.0,-1.0,1.0
266782,77.38,-1.0,1.0,-1.0,1.0
266783,74.74,-1.0,1.0,-1.0,1.0
266784,73.51,-1.0,1.0,-1.0,1.0
266785,73.09,1.0,1.0,1.0,1.0
266786,73.43,1.0,1.0,1.0,1.0
