,Close,Target(1),Target(30),Prediction(1),Prediction(30)
268547,64.96,1.0,1.0,1.0,1.0
268548,65.34,1.0,1.0,1.0,1.0
268549,65.78,-1.0,1.0,-1.0,1.0
268550,64.61,-1.0,1.0,-1.0,1.0
268551,64.31,-1.0,1.0,-1.0,1.0
268552,63.29,1.0,1.0,1.0,-1.0
268553,63.31,1.0,1.0,1.0,-1.0
268554,66.52,-1.0,1.0,-1.0,-1.0
268555,65.94,-1.0,1.0,-1.0,-1.0
268556,65.62,1.0,1.0,1.0,1.0
268557,67.25,-1.0,1.0,-1.0,1.0
268558,65.22,1.0,1.0,1.0,1.0
268559,66.98,1.0,1.0,1.0,1.0
268560,67.83,-1.0,1.0,-1.0,1.0
268561,67.27,1.0,1.0,1.0,1.0
268562,68.54,1.0,-1.0,1.0,-1.0
268563,68.92,-1.0,-1.0,-1.0,-1.0
268564,67.43,-1.0,1.0,-1.0,1.0
268565,67.19,1.0,1.0,1.0,1.0
268566,67.5,1.0,-1.0,1.0,-1.0
268567,68.18,1.0,-1.0,1.0,-1.0
268568,68.95,-1.0,-1.0,1.0,-1.0
268569,68.02,1.0,-1.0,-1.0,-1.0
268570,68.14,-1.0,-1.0,-1.0,-1.0
268571,66.94,1.0,-1.0,1.0,-1.0
268572,68.0,1.0,-1.0,1.0,-1.0
268573,68.9,-1.0,-1.0,-1.0,-1.0
268574,68.84,1.0,-1.0,1.0,-1.0
268575,69.39,-1.0,-1.0,-1.0,-1.0
268576,68.88,1.0,-1.0,1.0,-1.0
268577,68.99,1.0,-1.0,1.0,-1.0
268578,69.92,1.0,-1.0,1.0,-1.0
268579,70.87,-1.0,-1.0,-1.0,-1.0
268580,68.44,-1.0,-1.0,-1.0,-1.0
268581,67.65,1.0,-1.0,1.0,-1.0
268582,68.09,1.0,-1.0,1.0,-1.0
268583,70.18,-1.0,-1.0,-1.0,-1.0
268584,69.26,1.0,-1.0,1.0,-1.0
268585,71.59,1.0,-1.0,1.0,-1.0
268586,72.48,-1.0,-1.0,-1.0,-1.0
268587,71.23,-1.0,-1.0,-1.0,-1.0
268588,70.55,1.0,-1.0,1.0,-1.0
268589,71.39,1.0,-1.0,1.0,-1.0
268590,72.41,-1.0,-1.0,-1.0,-1.0
268591,70.0,-1.0,-1.0,-1.0,-1.0
268592,65.59,1.0,-1.0,1.0,-1.0
268593,66.01,1.0,-1.0,1.0,-1.0
268594,67.71,1.0,-1.0,1.0,-1.0
268595,67.75,-1.0,-1.0,-1.0,-1.0
268596,66.14,1.0,-1.0,1.0,-1.0
268597,66.75,-1.0,-1.0,-1.0,-1.0
268598,65.75,1.0,-1.0,1.0,-1.0
268599,66.8,-1.0,-1.0,-1.0,-1.0
268600,65.76,-1.0,-1.0,-1.0,-1.0
268601,64.44,1.0,-1.0,-1.0,-1.0
268602,64.76,-1.0,-1.0,-1.0,-1.0
268603,64.32,-1.0,-1.0,-1.0,-1.0
268604,63.9,-1.0,-1.0,-1.0,-1.0
268605,63.16,-1.0,-1.0,-1.0,-1.0
268606,62.09,-1.0,-1.0,-1.0,-1.0
268607,61.89,1.0,-1.0,1.0,-1.0
268608,62.27,1.0,-1.0,1.0,-1.0
268609,64.25,1.0,-1.0,1.0,-1.0
268610,64.78,-1.0,-1.0,-1.0,-1.0
268611,63.9,-1.0,-1.0,-1.0,-1.0
268612,62.38,-1.0,-1.0,-1.0,-1.0
268613,61.38,-1.0,-1.0,-1.0,-1.0
268614,61.32,-1.0,-1.0,-1.0,-1.0
268615,60.99,-1.0,-1.0,-1.0,-1.0
268616,60.18,1.0,-1.0,1.0,-1.0
268617,60.36,1.0,-1.0,1.0,-1.0
268618,60.44,-1.0,-1.0,-1.0,-1.0
268619,60.14,1.0,-1.0,1.0,-1.0
268620,60.67,1.0,-1.0,1.0,-1.0
268621,60.76,-1.0,-1.0,-1.0,-1.0
268622,60.3,-1.0,-1.0,-1.0,-1.0
268623,60.07,-1.0,-1.0,-1.0,-1.0
268624,59.43,-1.0,-1.0,-1.0,-1.0
268625,58.65,-1.0,-1.0,-1.0,-1.0
268626,57.46,-1.0,-1.0,-1.0,-1.0
268627,55.36,-1.0,1.0,-1.0,1.0
