,Close,Target(1),Target(30),Prediction(1),Prediction(30)
268672,22.96,-1.0,1.0,-1.0,1.0
268673,22.92,-1.0,1.0,-1.0,1.0
268674,22.89,-1.0,1.0,-1.0,1.0
268675,22.64,-1.0,1.0,-1.0,1.0
268676,22.4,1.0,1.0,1.0,1.0
268677,22.56,1.0,1.0,1.0,1.0
268678,23.26,-1.0,1.0,-1.0,1.0
268679,23.11,-1.0,1.0,-1.0,1.0
268680,22.42,1.0,1.0,1.0,1.0
268681,22.43,-1.0,1.0,-1.0,1.0
268682,21.76,-1.0,1.0,1.0,1.0
268683,21.66,-1.0,1.0,-1.0,1.0
268684,21.45,1.0,1.0,1.0,1.0
268685,21.59,1.0,1.0,1.0,1.0
268686,21.83,1.0,1.0,1.0,1.0
268687,22.03,1.0,1.0,1.0,1.0
268688,22.45,1.0,1.0,1.0,1.0
268689,22.67,-1.0,1.0,-1.0,1.0
268690,22.62,1.0,1.0,1.0,1.0
268691,22.84,-1.0,1.0,-1.0,1.0
268692,22.54,1.0,1.0,1.0,1.0
268693,22.75,1.0,1.0,1.0,1.0
268694,22.82,1.0,1.0,1.0,1.0
268695,22.96,1.0,1.0,1.0,1.0
268696,23.41,1.0,1.0,1.0,1.0
268697,23.78,1.0,1.0,1.0,1.0
268698,23.86,1.0,1.0,-1.0,1.0
268699,23.95,1.0,1.0,-1.0,1.0
268700,24.23,-1.0,1.0,-1.0,1.0
268701,24.2,-1.0,1.0,-1.0,1.0
268702,24.09,1.0,1.0,1.0,1.0
268703,24.3,0.0,1.0,0.0,1.0
268704,24.3,1.0,1.0,1.0,1.0
268705,24.46,1.0,1.0,1.0,1.0
268706,24.7,-1.0,1.0,-1.0,1.0
268707,24.68,-1.0,1.0,-1.0,1.0
268708,24.61,1.0,1.0,1.0,1.0
268709,24.78,1.0,1.0,1.0,1.0
268710,24.98,1.0,1.0,1.0,1.0
268711,25.32,-1.0,1.0,-1.0,1.0
268712,25.14,-1.0,1.0,-1.0,1.0
268713,25.0,-1.0,-1.0,-1.0,-1.0
268714,24.74,-1.0,-1.0,-1.0,1.0
268715,24.55,1.0,1.0,1.0,1.0
268716,24.88,1.0,1.0,1.0,1.0
268717,25.03,-1.0,1.0,-1.0,1.0
268718,24.72,1.0,1.0,1.0,1.0
268719,25.1,1.0,1.0,1.0,1.0
268720,25.8,-1.0,-1.0,-1.0,-1.0
268721,25.61,1.0,-1.0,1.0,-1.0
268722,25.75,-1.0,-1.0,-1.0,-1.0
268723,25.7,1.0,-1.0,1.0,-1.0
268724,26.0,-1.0,-1.0,-1.0,-1.0
268725,25.61,1.0,-1.0,1.0,-1.0
268726,26.13,-1.0,-1.0,1.0,-1.0
268727,26.08,1.0,-1.0,1.0,-1.0
268728,26.34,-1.0,-1.0,-1.0,-1.0
268729,26.09,-1.0,-1.0,-1.0,-1.0
268730,25.9,1.0,1.0,1.0,1.0
268731,26.16,-1.0,1.0,1.0,1.0
268732,25.08,1.0,1.0,1.0,1.0
268733,25.4,1.0,1.0,1.0,1.0
268734,25.68,-1.0,1.0,-1.0,1.0
268735,25.54,1.0,1.0,-1.0,1.0
268736,25.7,1.0,1.0,1.0,1.0
268737,26.13,1.0,1.0,1.0,1.0
268738,26.38,-1.0,1.0,-1.0,1.0
268739,25.77,1.0,1.0,1.0,1.0
268740,26.46,-1.0,1.0,-1.0,1.0
268741,25.86,-1.0,1.0,-1.0,1.0
268742,25.73,-1.0,1.0,-1.0,1.0
268743,24.96,-1.0,1.0,-1.0,1.0
268744,24.37,1.0,1.0,1.0,1.0
268745,25.23,-1.0,1.0,-1.0,1.0
268746,24.95,1.0,1.0,1.0,1.0
268747,25.37,1.0,1.0,1.0,1.0
268748,25.48,-1.0,1.0,-1.0,1.0
268749,25.15,1.0,1.0,1.0,1.0
268750,25.42,-1.0,1.0,-1.0,1.0
268751,25.31,-1.0,1.0,-1.0,1.0
268752,24.91,-1.0,1.0,-1.0,1.0
268753,24.04,1.0,1.0,1.0,1.0
268754,24.6,1.0,1.0,1.0,1.0
268755,25.06,-1.0,1.0,-1.0,1.0
268756,24.78,1.0,1.0,1.0,1.0
268757,25.46,1.0,1.0,1.0,1.0
268758,25.96,-1.0,1.0,-1.0,-1.0
268759,25.26,1.0,1.0,1.0,1.0
268760,26.04,1.0,1.0,1.0,1.0
268761,26.62,1.0,1.0,1.0,1.0
268762,26.9,-1.0,1.0,1.0,1.0
268763,26.23,-1.0,1.0,1.0,1.0
