,Close,Target(1),Target(30),Prediction(1),Prediction(30)
288178,53.48,-1.0,1.0,-1.0,1.0
288179,52.39,-1.0,1.0,-1.0,1.0
288180,51.63,-1.0,1.0,-1.0,1.0
288181,50.72,-1.0,1.0,-1.0,1.0
288182,49.43,1.0,1.0,1.0,1.0
288183,50.39,1.0,1.0,1.0,1.0
288184,50.48,-1.0,1.0,-1.0,1.0
288185,50.46,-1.0,1.0,-1.0,1.0
288186,48.36,1.0,1.0,1.0,1.0
288187,48.43,1.0,1.0,1.0,1.0
288188,48.52,1.0,1.0,1.0,1.0
288189,50.25,-1.0,1.0,-1.0,1.0
288190,49.96,1.0,1.0,1.0,1.0
288191,53.71,-1.0,1.0,-1.0,1.0
288192,53.35,1.0,1.0,1.0,1.0
288193,53.57,1.0,1.0,1.0,1.0
288194,53.77,1.0,1.0,1.0,1.0
288195,54.68,1.0,1.0,1.0,1.0
288196,54.94,-1.0,1.0,-1.0,1.0
288197,54.9,-1.0,1.0,-1.0,1.0
288198,54.33,1.0,1.0,-1.0,1.0
288199,55.57,-1.0,1.0,-1.0,1.0
288200,55.37,1.0,1.0,1.0,1.0
288201,55.8,1.0,1.0,1.0,1.0
288202,58.25,1.0,1.0,1.0,1.0
288203,59.69,1.0,1.0,1.0,1.0
288204,61.32,-1.0,1.0,-1.0,1.0
288205,60.7,1.0,1.0,1.0,1.0
288206,61.22,-1.0,1.0,-1.0,1.0
288207,60.88,1.0,1.0,1.0,1.0
288208,61.66,1.0,1.0,1.0,1.0
288209,62.67,1.0,1.0,1.0,1.0
288210,63.74,-1.0,1.0,-1.0,1.0
288211,63.1,-1.0,1.0,1.0,1.0
288212,63.07,-1.0,1.0,-1.0,1.0
288213,62.51,1.0,1.0,1.0,1.0
288214,64.6,-1.0,1.0,1.0,1.0
288215,64.31,-1.0,1.0,-1.0,1.0
288216,61.75,1.0,1.0,1.0,1.0
288217,62.78,1.0,1.0,1.0,1.0
288218,63.6,1.0,1.0,1.0,1.0
288219,63.99,-1.0,-1.0,-1.0,1.0
288220,62.65,-1.0,1.0,-1.0,1.0
288221,62.56,1.0,1.0,1.0,1.0
288222,62.62,-1.0,1.0,-1.0,1.0
288223,62.47,-1.0,1.0,-1.0,1.0
288224,61.63,1.0,1.0,1.0,1.0
288225,65.29,-1.0,1.0,-1.0,1.0
288226,65.12,-1.0,1.0,-1.0,1.0
288227,64.56,-1.0,1.0,-1.0,1.0
288228,63.92,1.0,1.0,1.0,1.0
288229,64.76,-1.0,1.0,-1.0,1.0
288230,63.99,1.0,1.0,1.0,1.0
288231,65.21,1.0,1.0,1.0,1.0
288232,67.34,-1.0,1.0,-1.0,1.0
288233,67.13,-1.0,1.0,-1.0,1.0
288234,66.25,-1.0,1.0,-1.0,1.0
288235,65.76,1.0,1.0,1.0,1.0
288236,65.96,1.0,1.0,1.0,1.0
288237,66.96,1.0,1.0,1.0,1.0
288238,71.79,-1.0,-1.0,-1.0,-1.0
288239,71.28,-1.0,-1.0,-1.0,-1.0
288240,70.41,-1.0,-1.0,-1.0,-1.0
288241,69.61,-1.0,-1.0,-1.0,-1.0
288242,69.57,1.0,-1.0,1.0,-1.0
288243,70.39,-1.0,-1.0,-1.0,-1.0
288244,68.43,1.0,1.0,1.0,1.0
288245,71.08,-1.0,1.0,-1.0,1.0
288246,69.33,-1.0,1.0,-1.0,1.0
288247,69.23,-1.0,1.0,-1.0,1.0
288248,65.74,-1.0,1.0,1.0,1.0
288249,63.33,1.0,1.0,1.0,1.0
288250,68.57,1.0,1.0,1.0,1.0
288251,69.79,1.0,1.0,-1.0,1.0
288252,72.85,-1.0,-1.0,-1.0,-1.0
288253,70.69,-1.0,1.0,-1.0,1.0
288254,70.0,-1.0,1.0,-1.0,1.0
288255,69.61,-1.0,-1.0,-1.0,-1.0
288256,68.87,-1.0,-1.0,-1.0,1.0
288257,68.65,-1.0,1.0,-1.0,1.0
288258,64.73,1.0,1.0,1.0,1.0
288259,66.9,1.0,1.0,1.0,1.0
288260,67.32,1.0,1.0,1.0,1.0
288261,68.59,1.0,1.0,-1.0,1.0
288262,68.69,1.0,1.0,1.0,1.0
288263,73.22,-1.0,1.0,-1.0,1.0
288264,70.33,-1.0,1.0,-1.0,1.0
288265,67.76,1.0,1.0,-1.0,1.0
288266,69.28,1.0,1.0,1.0,1.0
288267,71.96,-1.0,1.0,-1.0,1.0
288268,69.01,-1.0,1.0,-1.0,1.0
288269,67.05,-1.0,1.0,-1.0,1.0
288270,66.83,-1.0,1.0,-1.0,1.0
288271,66.81,1.0,1.0,-1.0,1.0
288272,68.1,1.0,1.0,1.0,1.0
288273,69.95,1.0,1.0,1.0,1.0
288274,70.47,1.0,1.0,1.0,1.0
288275,72.97,1.0,1.0,1.0,1.0
288276,74.69,-1.0,1.0,-1.0,1.0
288277,73.42,1.0,1.0,-1.0,1.0
288278,73.81,1.0,1.0,1.0,1.0
288279,74.22,-1.0,1.0,-1.0,1.0
288280,73.17,1.0,1.0,1.0,1.0
288281,74.36,-1.0,1.0,1.0,1.0
288282,71.98,-1.0,1.0,-1.0,1.0
288283,71.89,1.0,1.0,1.0,1.0
288284,73.51,-1.0,1.0,-1.0,1.0
288285,69.09,-1.0,1.0,-1.0,1.0
288286,68.57,1.0,1.0,1.0,1.0
288287,69.6,-1.0,1.0,-1.0,1.0
288288,68.65,1.0,1.0,-1.0,1.0
288289,70.14,1.0,1.0,1.0,1.0
288290,75.12,1.0,1.0,-1.0,1.0
288291,75.53,-1.0,1.0,-1.0,1.0
288292,75.23,1.0,1.0,1.0,1.0
288293,76.67,1.0,1.0,-1.0,1.0
288294,76.86,1.0,1.0,1.0,1.0
288295,77.87,1.0,1.0,1.0,1.0
288296,78.7,-1.0,1.0,-1.0,1.0
288297,76.37,-1.0,1.0,1.0,1.0
288298,76.25,1.0,1.0,1.0,1.0
288299,76.79,-1.0,1.0,1.0,-1.0
288300,73.11,1.0,1.0,1.0,1.0
288301,83.4,1.0,1.0,1.0,1.0
288302,87.21,1.0,1.0,1.0,1.0
288303,87.48,-1.0,1.0,-1.0,1.0
288304,86.09,-1.0,1.0,1.0,1.0
288305,85.78,1.0,1.0,1.0,1.0
288306,86.53,1.0,1.0,1.0,1.0
288307,87.83,1.0,1.0,1.0,1.0
288308,88.6,-1.0,1.0,-1.0,1.0
288309,88.59,1.0,1.0,1.0,1.0
288310,89.82,-1.0,1.0,-1.0,1.0
288311,88.95,-1.0,1.0,-1.0,1.0
288312,88.48,1.0,1.0,1.0,1.0
288313,91.41,1.0,1.0,1.0,1.0
288314,92.23,-1.0,1.0,-1.0,1.0
288315,86.82,-1.0,1.0,-1.0,1.0
288316,82.77,1.0,1.0,1.0,1.0
288317,83.88,1.0,1.0,1.0,1.0
288318,83.89,1.0,1.0,1.0,1.0
288319,87.91,1.0,1.0,1.0,1.0
288320,88.86,-1.0,1.0,-1.0,1.0
288321,88.73,1.0,1.0,1.0,1.0
288322,91.04,-1.0,1.0,-1.0,1.0
288323,89.27,-1.0,1.0,-1.0,1.0
288324,86.27,1.0,1.0,1.0,1.0
288325,86.89,1.0,1.0,1.0,1.0
288326,87.66,1.0,1.0,1.0,1.0
288327,89.02,1.0,1.0,1.0,1.0
288328,89.24,-1.0,1.0,-1.0,1.0
288329,87.43,1.0,1.0,1.0,1.0
288330,90.74,1.0,1.0,1.0,1.0
288331,91.11,1.0,1.0,1.0,1.0
288332,93.8,-1.0,-1.0,-1.0,-1.0
288333,93.52,1.0,-1.0,1.0,-1.0
288334,96.36,-1.0,-1.0,-1.0,1.0
288335,95.73,-1.0,-1.0,1.0,-1.0
288336,94.15,1.0,1.0,1.0,1.0
288337,98.87,-1.0,1.0,-1.0,1.0
288338,98.66,1.0,1.0,1.0,1.0
288339,99.14,1.0,1.0,1.0,1.0
288340,100.52,1.0,1.0,1.0,1.0
288341,100.98,1.0,1.0,1.0,1.0
288342,104.64,-1.0,1.0,1.0,1.0
288343,103.38,-1.0,1.0,1.0,1.0
288344,100.49,1.0,1.0,1.0,1.0
288345,102.49,1.0,1.0,1.0,1.0
288346,103.07,1.0,1.0,1.0,1.0
288347,103.23,1.0,1.0,1.0,1.0
288348,104.06,1.0,1.0,1.0,1.0
288349,104.41,-1.0,1.0,1.0,1.0
288350,103.81,-1.0,1.0,1.0,1.0
288351,103.29,1.0,1.0,1.0,1.0
288352,105.89,1.0,1.0,-1.0,1.0
288353,111.5,-1.0,1.0,-1.0,-1.0
288354,97.54,1.0,1.0,1.0,1.0
288355,98.98,-1.0,1.0,-1.0,1.0
288356,94.69,-1.0,1.0,1.0,1.0
288357,91.18,1.0,1.0,1.0,1.0
288358,95.61,1.0,1.0,1.0,1.0
288359,96.74,-1.0,1.0,-1.0,1.0
288360,95.66,1.0,1.0,1.0,1.0
288361,97.2,-1.0,1.0,-1.0,1.0
288362,93.17,-1.0,1.0,-1.0,1.0
288363,90.99,1.0,1.0,1.0,1.0
288364,91.93,1.0,1.0,1.0,1.0
288365,92.82,1.0,1.0,1.0,1.0
288366,98.45,1.0,1.0,1.0,1.0
288367,100.83,1.0,1.0,1.0,1.0
288368,102.54,1.0,1.0,1.0,1.0
288369,117.58,-1.0,1.0,-1.0,1.0
288370,116.78,1.0,1.0,-1.0,1.0
288371,117.7,-1.0,1.0,-1.0,1.0
288372,116.37,1.0,1.0,1.0,1.0
288373,117.35,1.0,1.0,1.0,1.0
288374,122.92,-1.0,1.0,-1.0,1.0
288375,120.89,1.0,1.0,1.0,1.0
288376,123.0,-1.0,1.0,-1.0,1.0
288377,122.82,-1.0,1.0,-1.0,1.0
288378,120.42,1.0,1.0,1.0,1.0
288379,122.89,1.0,1.0,-1.0,1.0
288380,123.7,1.0,1.0,1.0,1.0
288381,123.86,-1.0,1.0,-1.0,1.0
288382,119.55,-1.0,1.0,-1.0,1.0
288383,115.95,-1.0,1.0,-1.0,1.0
288384,115.01,1.0,1.0,1.0,1.0
288385,120.51,1.0,1.0,1.0,1.0
288386,122.69,1.0,1.0,1.0,1.0
288387,131.94,-1.0,1.0,-1.0,1.0
288388,129.14,1.0,1.0,1.0,1.0
288389,132.55,1.0,1.0,1.0,1.0
288390,135.04,-1.0,1.0,-1.0,-1.0
288391,134.18,-1.0,1.0,1.0,1.0
288392,131.88,1.0,1.0,1.0,1.0
288393,138.96,-1.0,1.0,-1.0,1.0
288394,137.15,1.0,1.0,1.0,1.0
288395,139.28,1.0,1.0,1.0,1.0
288396,139.8,-1.0,-1.0,-1.0,-1.0
288397,137.61,-1.0,-1.0,-1.0,-1.0
288398,137.17,1.0,-1.0,1.0,-1.0
288399,138.92,1.0,-1.0,1.0,-1.0
288400,143.09,-1.0,-1.0,-1.0,-1.0
288401,139.06,-1.0,-1.0,1.0,-1.0
288402,133.65,-1.0,-1.0,1.0,-1.0
288403,130.38,1.0,-1.0,-1.0,-1.0
288404,134.07,1.0,-1.0,-1.0,-1.0
288405,136.01,-1.0,-1.0,-1.0,-1.0
288406,135.6,1.0,-1.0,1.0,-1.0
288407,136.64,-1.0,-1.0,-1.0,-1.0
288408,136.17,-1.0,-1.0,-1.0,-1.0
288409,135.6,-1.0,-1.0,-1.0,-1.0
288410,134.9,-1.0,-1.0,-1.0,-1.0
288411,133.38,1.0,-1.0,1.0,-1.0
288412,133.68,-1.0,-1.0,-1.0,-1.0
