,Close,Target(1),Target(30),Prediction(1),Prediction(30)
290044,24.07,-1.0,-1.0,-1.0,-1.0
290045,24.01,1.0,-1.0,1.0,-1.0
290046,24.22,-1.0,-1.0,-1.0,-1.0
290047,23.75,-1.0,-1.0,-1.0,1.0
290048,23.56,1.0,-1.0,1.0,-1.0
290049,23.76,1.0,-1.0,1.0,-1.0
290050,23.95,1.0,-1.0,1.0,-1.0
290051,23.99,-1.0,-1.0,-1.0,-1.0
290052,23.54,-1.0,1.0,-1.0,1.0
290053,23.04,-1.0,1.0,-1.0,1.0
290054,22.92,-1.0,1.0,-1.0,1.0
290055,22.78,-1.0,1.0,-1.0,1.0
290056,22.28,1.0,1.0,1.0,1.0
290057,22.47,-1.0,1.0,-1.0,1.0
290058,22.36,1.0,1.0,1.0,1.0
290059,22.52,1.0,1.0,-1.0,1.0
290060,22.61,0.0,1.0,0.0,1.0
290061,22.61,1.0,1.0,1.0,1.0
290062,22.68,-1.0,1.0,-1.0,1.0
290063,22.65,-1.0,1.0,-1.0,1.0
290064,22.6,1.0,1.0,1.0,1.0
290065,22.88,-1.0,1.0,-1.0,1.0
290066,22.8,-1.0,1.0,-1.0,1.0
290067,22.54,1.0,1.0,1.0,1.0
290068,23.07,-1.0,1.0,-1.0,1.0
290069,22.98,-1.0,1.0,-1.0,1.0
290070,22.93,1.0,1.0,1.0,1.0
290071,23.03,1.0,1.0,1.0,1.0
290072,23.48,-1.0,1.0,-1.0,1.0
290073,23.4,-1.0,1.0,-1.0,1.0
290074,23.14,1.0,1.0,1.0,1.0
290075,23.18,1.0,1.0,1.0,1.0
290076,23.2,-1.0,1.0,1.0,1.0
290077,23.19,1.0,1.0,1.0,1.0
290078,23.35,1.0,1.0,1.0,1.0
290079,23.52,1.0,1.0,1.0,1.0
290080,23.83,-1.0,1.0,-1.0,1.0
290081,23.57,1.0,1.0,1.0,1.0
290082,23.63,1.0,1.0,1.0,1.0
290083,23.71,1.0,1.0,1.0,1.0
290084,23.77,-1.0,1.0,-1.0,1.0
290085,23.59,-1.0,1.0,1.0,1.0
290086,23.39,1.0,1.0,1.0,1.0
290087,23.66,-1.0,1.0,-1.0,1.0
290088,23.57,-1.0,1.0,-1.0,1.0
290089,23.43,1.0,1.0,1.0,1.0
290090,23.44,1.0,1.0,1.0,1.0
290091,23.69,1.0,1.0,1.0,1.0
290092,23.82,1.0,1.0,1.0,1.0
290093,23.9,1.0,1.0,1.0,1.0
290094,24.21,1.0,1.0,1.0,1.0
290095,24.32,1.0,1.0,1.0,1.0
290096,24.52,1.0,1.0,1.0,1.0
290097,24.79,-1.0,1.0,-1.0,1.0
290098,24.67,1.0,1.0,1.0,1.0
290099,24.86,1.0,1.0,1.0,1.0
290100,25.35,-1.0,1.0,-1.0,1.0
290101,25.19,-1.0,1.0,-1.0,1.0
290102,25.16,1.0,1.0,-1.0,1.0
290103,25.63,-1.0,1.0,-1.0,1.0
290104,25.57,1.0,1.0,1.0,1.0
290105,25.75,1.0,1.0,1.0,1.0
290106,25.76,-1.0,1.0,-1.0,1.0
290107,25.65,-1.0,1.0,-1.0,1.0
290108,25.04,1.0,1.0,1.0,1.0
290109,26.34,1.0,1.0,1.0,1.0
290110,26.73,-1.0,1.0,-1.0,1.0
290111,26.29,1.0,1.0,1.0,1.0
290112,26.3,-1.0,1.0,-1.0,1.0
290113,25.96,1.0,1.0,1.0,1.0
290114,26.0,1.0,1.0,1.0,1.0
290115,28.68,1.0,-1.0,1.0,-1.0
290116,28.76,1.0,-1.0,1.0,-1.0
290117,29.63,-1.0,-1.0,-1.0,-1.0
290118,28.86,1.0,-1.0,1.0,-1.0
290119,29.7,1.0,-1.0,1.0,-1.0
290120,29.9,-1.0,-1.0,-1.0,-1.0
290121,29.69,-1.0,-1.0,-1.0,-1.0
290122,28.88,-1.0,-1.0,-1.0,-1.0
290123,27.15,-1.0,-1.0,-1.0,-1.0
290124,27.01,-1.0,-1.0,-1.0,-1.0
290125,25.81,1.0,1.0,1.0,1.0
290126,26.17,-1.0,1.0,-1.0,1.0
290127,26.12,1.0,1.0,1.0,1.0
290128,26.56,1.0,1.0,1.0,1.0
290129,27.47,1.0,1.0,1.0,1.0
290130,27.95,-1.0,-1.0,-1.0,-1.0
290131,27.52,-1.0,1.0,-1.0,-1.0
290132,27.3,1.0,1.0,-1.0,1.0
290133,27.56,-1.0,1.0,-1.0,1.0
290134,27.48,-1.0,1.0,-1.0,1.0
290135,27.14,-1.0,1.0,-1.0,1.0
290136,26.75,1.0,1.0,1.0,1.0
290137,26.88,-1.0,1.0,1.0,1.0
290138,26.74,1.0,1.0,1.0,1.0
290139,27.3,-1.0,1.0,-1.0,1.0
290140,27.21,-1.0,1.0,-1.0,1.0
290141,27.04,1.0,1.0,1.0,1.0
290142,27.27,1.0,1.0,1.0,1.0
290143,27.64,1.0,1.0,1.0,1.0
290144,27.79,-1.0,1.0,-1.0,-1.0
290145,27.48,1.0,1.0,1.0,1.0
290146,27.64,-1.0,1.0,-1.0,1.0
290147,27.27,-1.0,1.0,1.0,1.0
290148,27.26,-1.0,1.0,-1.0,1.0
290149,27.14,1.0,1.0,1.0,1.0
290150,27.54,-1.0,1.0,1.0,1.0
290151,27.4,-1.0,-1.0,-1.0,-1.0
290152,27.05,-1.0,-1.0,-1.0,-1.0
290153,26.82,-1.0,-1.0,-1.0,-1.0
290154,26.53,-1.0,-1.0,-1.0,-1.0
290155,26.41,1.0,-1.0,1.0,-1.0
290156,27.17,1.0,-1.0,1.0,-1.0
290157,27.55,1.0,-1.0,1.0,1.0
290158,27.65,1.0,-1.0,1.0,1.0
290159,27.7,1.0,-1.0,1.0,-1.0
290160,27.75,1.0,-1.0,1.0,-1.0
290161,27.77,1.0,-1.0,1.0,-1.0
290162,27.93,1.0,-1.0,1.0,-1.0
290163,27.97,-1.0,-1.0,-1.0,-1.0
290164,27.52,1.0,-1.0,1.0,-1.0
290165,27.63,1.0,-1.0,1.0,-1.0
290166,27.9,-1.0,-1.0,-1.0,-1.0
290167,27.71,1.0,-1.0,-1.0,-1.0
290168,28.03,1.0,-1.0,1.0,-1.0
290169,28.1,1.0,-1.0,1.0,1.0
290170,28.2,1.0,-1.0,1.0,-1.0
290171,28.36,1.0,-1.0,1.0,-1.0
290172,28.5,1.0,-1.0,1.0,-1.0
290173,28.65,1.0,-1.0,1.0,-1.0
290174,28.67,1.0,-1.0,1.0,-1.0
290175,28.72,1.0,-1.0,1.0,-1.0
290176,28.79,-1.0,-1.0,-1.0,-1.0
290177,27.5,1.0,-1.0,1.0,-1.0
290178,27.66,1.0,-1.0,1.0,-1.0
290179,27.7,1.0,-1.0,1.0,-1.0
290180,27.88,-1.0,-1.0,-1.0,-1.0
290181,27.1,-1.0,1.0,-1.0,-1.0
290182,26.36,1.0,1.0,1.0,1.0
290183,26.37,1.0,1.0,1.0,1.0
290184,26.5,-1.0,1.0,1.0,1.0
290185,26.34,1.0,1.0,1.0,1.0
290186,26.84,-1.0,1.0,-1.0,1.0
290187,26.82,-1.0,1.0,-1.0,1.0
290188,26.43,1.0,1.0,1.0,1.0
290189,26.49,-1.0,1.0,-1.0,1.0
290190,26.25,-1.0,1.0,-1.0,1.0
290191,25.83,-1.0,1.0,-1.0,1.0
290192,25.66,0.0,1.0,0.0,1.0
290193,25.66,1.0,1.0,1.0,1.0
290194,26.59,-1.0,1.0,-1.0,1.0
290195,26.13,-1.0,1.0,-1.0,1.0
290196,25.85,1.0,1.0,1.0,1.0
290197,26.44,1.0,1.0,-1.0,1.0
290198,27.25,1.0,1.0,1.0,1.0
290199,27.5,-1.0,1.0,1.0,1.0
290200,27.23,1.0,1.0,1.0,1.0
290201,27.36,1.0,1.0,1.0,1.0
290202,27.41,-1.0,1.0,1.0,1.0
290203,27.37,1.0,1.0,1.0,1.0
290204,27.67,-1.0,1.0,-1.0,1.0
290205,27.5,-1.0,1.0,-1.0,1.0
290206,27.49,0.0,-1.0,-1.0,1.0
290207,27.49,-1.0,-1.0,-1.0,-1.0
290208,27.4,1.0,-1.0,1.0,-1.0
290209,27.64,-1.0,-1.0,-1.0,-1.0
290210,27.39,-1.0,1.0,-1.0,1.0
290211,27.32,-1.0,1.0,-1.0,1.0
290212,27.08,1.0,1.0,1.0,1.0
290213,27.54,-1.0,1.0,-1.0,1.0
290214,27.4,1.0,1.0,1.0,1.0
290215,27.52,-1.0,1.0,-1.0,1.0
290216,27.37,-1.0,1.0,-1.0,1.0
290217,27.13,-1.0,1.0,-1.0,1.0
290218,26.99,-1.0,1.0,1.0,1.0
290219,26.57,1.0,1.0,1.0,1.0
290220,26.85,-1.0,1.0,-1.0,1.0
290221,26.81,-1.0,-1.0,-1.0,-1.0
290222,26.68,1.0,1.0,1.0,1.0
290223,26.8,1.0,1.0,1.0,1.0
290224,27.08,1.0,1.0,1.0,1.0
290225,27.56,1.0,-1.0,1.0,-1.0
290226,27.89,-1.0,-1.0,1.0,1.0
290227,27.88,1.0,-1.0,1.0,-1.0
290228,28.07,1.0,-1.0,1.0,-1.0
