,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
291911,23.04,13.791452885739538,-1.0,1.0,1.0,1.0
291912,22.76,13.457877866188007,1.0,1.0,1.0,1.0
291913,23.0,13.644302846636464,-1.0,1.0,1.0,1.0
291914,22.71,13.30072782708493,-1.0,1.0,-1.0,1.0
291915,22.52,13.057152807533393,1.0,1.0,1.0,1.0
291916,22.9,13.383577787981851,1.0,1.0,1.0,1.0
291917,23.2,13.630002768430314,1.0,1.0,1.0,1.0
291918,23.5,13.876427748878779,-1.0,1.0,1.0,1.0
291919,22.85,13.172852729327245,1.0,1.0,1.0,1.0
291920,22.86,13.129277709775705,-1.0,1.0,-1.0,1.0
291921,22.63,12.845702690224169,1.0,1.0,1.0,1.0
291922,22.74,12.90212767067263,1.0,1.0,1.0,1.0
291923,22.76,12.868552651121096,1.0,1.0,1.0,1.0
291924,23.22,13.274977631569556,-1.0,1.0,1.0,1.0
291925,23.18,13.18140261201802,1.0,1.0,1.0,1.0
291926,23.48,13.427827592466485,1.0,1.0,1.0,1.0
291927,23.56,13.454252572914946,-1.0,1.0,-1.0,1.0
291928,23.53,13.370677553363409,1.0,1.0,1.0,1.0
291929,23.8,13.587102533811873,-1.0,1.0,-1.0,1.0
291930,23.66,13.393527514260334,-1.0,1.0,1.0,1.0
291931,23.52,13.199952494708798,1.0,1.0,1.0,1.0
291932,23.84,13.46637747515726,1.0,1.0,-1.0,1.0
291933,23.96,13.532802455605724,1.0,1.0,1.0,1.0
291934,24.1,13.619227436054187,1.0,1.0,1.0,1.0
291935,24.46,13.92565241650265,1.0,1.0,1.0,1.0
291936,24.52,13.932077396951113,1.0,1.0,1.0,1.0
291937,24.6,13.958502377399578,-1.0,1.0,1.0,1.0
291938,24.58,13.884927357848037,1.0,1.0,1.0,1.0
291939,24.86,14.111352338296498,1.0,1.0,1.0,1.0
291940,24.96,14.157777318744964,1.0,1.0,1.0,1.0
291941,25.03,14.174202299193428,1.0,1.0,1.0,1.0
291942,25.25,14.34062727964189,-1.0,1.0,-1.0,1.0
291943,25.12,14.157052260090351,1.0,1.0,-1.0,1.0
291944,25.21,14.193477240538813,1.0,1.0,1.0,1.0
291945,25.34,14.269902220987277,-1.0,1.0,-1.0,-1.0
291946,25.33,14.20632720143574,1.0,1.0,-1.0,1.0
291947,25.63,14.452752181884206,-1.0,-1.0,-1.0,-1.0
291948,25.54,14.309177162332663,-1.0,1.0,1.0,-1.0
291949,25.34,14.055602142781131,1.0,1.0,1.0,1.0
291950,25.64,14.302027123229596,-1.0,-1.0,1.0,-1.0
291951,25.5,14.108452103678054,-1.0,1.0,-1.0,1.0
291952,25.36,13.914877084126518,-1.0,1.0,-1.0,1.0
291953,25.14,13.641302064574985,1.0,1.0,1.0,1.0
291954,25.2,13.647727045023446,1.0,1.0,1.0,1.0
291955,25.26,13.654152025471909,1.0,1.0,1.0,1.0
291956,25.38,13.72057700592037,0.0,-1.0,0.0,-1.0
291957,25.38,13.667001986368833,1.0,-1.0,1.0,1.0
291958,25.7,13.933426966817295,1.0,-1.0,1.0,-1.0
291959,25.74,13.919851947265757,-1.0,-1.0,-1.0,-1.0
291960,25.58,13.706276927714221,1.0,-1.0,1.0,-1.0
291961,25.63,13.702701908162684,1.0,-1.0,1.0,1.0
291962,25.88,13.899126888611145,0.0,-1.0,-1.0,-1.0
291963,25.88,13.84555186905961,1.0,-1.0,1.0,-1.0
291964,25.9,13.811976849508074,1.0,-1.0,1.0,-1.0
