,Close,Target(1),Target(30),Prediction(1),Prediction(30)
295643,11.82,-1.0,1.0,-1.0,1.0
295644,11.73,1.0,1.0,1.0,1.0
295645,11.74,-1.0,1.0,-1.0,1.0
295646,11.49,-1.0,1.0,-1.0,1.0
295647,11.29,1.0,1.0,1.0,1.0
295648,11.69,1.0,1.0,1.0,1.0
295649,11.94,1.0,1.0,1.0,1.0
295650,11.96,-1.0,1.0,-1.0,1.0
295651,11.65,-1.0,1.0,1.0,1.0
295652,11.61,1.0,1.0,1.0,1.0
295653,11.64,1.0,1.0,1.0,1.0
295654,11.67,-1.0,1.0,1.0,1.0
295655,11.61,1.0,1.0,1.0,1.0
295656,11.82,-1.0,1.0,-1.0,1.0
295657,11.74,1.0,1.0,1.0,1.0
295658,12.06,1.0,1.0,1.0,1.0
295659,12.52,1.0,1.0,1.0,1.0
295660,12.73,1.0,1.0,1.0,1.0
295661,12.82,1.0,1.0,-1.0,1.0
295662,13.04,1.0,1.0,-1.0,1.0
295663,13.05,-1.0,1.0,-1.0,1.0
295664,12.88,-1.0,1.0,-1.0,1.0
295665,12.77,1.0,1.0,1.0,1.0
295666,12.97,1.0,1.0,1.0,1.0
295667,13.45,-1.0,1.0,-1.0,1.0
295668,13.21,-1.0,1.0,-1.0,1.0
295669,13.01,1.0,1.0,1.0,1.0
295670,13.68,1.0,1.0,1.0,1.0
295671,14.24,-1.0,1.0,-1.0,1.0
295672,13.95,-1.0,1.0,-1.0,1.0
295673,13.54,-1.0,1.0,-1.0,1.0
295674,13.49,1.0,1.0,1.0,1.0
295675,13.95,1.0,1.0,1.0,-1.0
295676,14.55,-1.0,1.0,-1.0,1.0
295677,14.45,1.0,1.0,1.0,1.0
295678,14.7,-1.0,1.0,-1.0,1.0
295679,14.67,-1.0,1.0,-1.0,1.0
295680,14.59,0.0,1.0,-1.0,1.0
295681,14.59,1.0,1.0,1.0,1.0
295682,14.99,1.0,-1.0,1.0,-1.0
295683,15.1,-1.0,-1.0,-1.0,-1.0
295684,14.87,-1.0,-1.0,-1.0,-1.0
295685,14.71,1.0,-1.0,1.0,-1.0
295686,15.06,1.0,-1.0,1.0,-1.0
295687,15.14,-1.0,-1.0,-1.0,-1.0
295688,15.04,0.0,1.0,0.0,1.0
295689,15.04,1.0,-1.0,1.0,-1.0
295690,15.41,1.0,-1.0,1.0,-1.0
295691,15.5,1.0,-1.0,-1.0,-1.0
295692,15.56,-1.0,-1.0,-1.0,-1.0
295693,15.3,-1.0,-1.0,-1.0,-1.0
295694,15.26,1.0,-1.0,1.0,-1.0
295695,15.3,-1.0,-1.0,-1.0,-1.0
295696,15.25,1.0,-1.0,1.0,-1.0
295697,15.43,1.0,-1.0,1.0,-1.0
295698,15.67,1.0,-1.0,1.0,-1.0
295699,15.97,-1.0,-1.0,-1.0,-1.0
295700,15.78,-1.0,-1.0,1.0,-1.0
295701,15.54,1.0,-1.0,1.0,-1.0
295702,15.73,1.0,-1.0,1.0,-1.0
295703,15.93,1.0,-1.0,-1.0,-1.0
295704,16.5,-1.0,-1.0,-1.0,1.0
295705,16.48,1.0,-1.0,1.0,-1.0
295706,16.75,-1.0,-1.0,-1.0,-1.0
295707,15.92,1.0,-1.0,1.0,-1.0
295708,15.93,1.0,-1.0,1.0,-1.0
295709,16.32,-1.0,-1.0,-1.0,-1.0
295710,15.35,1.0,-1.0,1.0,-1.0
295711,15.63,-1.0,-1.0,-1.0,-1.0
295712,14.86,1.0,-1.0,1.0,-1.0
295713,14.87,-1.0,-1.0,-1.0,-1.0
295714,14.17,-1.0,1.0,-1.0,1.0
295715,13.94,1.0,-1.0,1.0,-1.0
