,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
299376,46.81,-12.334101332016013,-1.0,-1.0,-1.0,1.0
299377,46.76,-12.382886021373599,1.0,-1.0,-1.0,1.0
299378,47.13,-12.011670710731176,-1.0,-1.0,-1.0,-1.0
299379,46.05,-13.090455400088766,-1.0,-1.0,1.0,-1.0
299380,45.34,-13.799240089446347,1.0,1.0,1.0,1.0
299381,45.96,-13.178024778803925,1.0,-1.0,1.0,-1.0
299382,47.6,-11.536809468161506,-1.0,-1.0,-1.0,-1.0
299383,46.8,-12.33559415751909,-1.0,-1.0,-1.0,-1.0
299384,44.31,-14.82437884687667,-1.0,1.0,-1.0,1.0
299385,43.06,-16.073163536234247,-1.0,1.0,-1.0,1.0
299386,42.44,-16.691948225591837,1.0,1.0,1.0,1.0
299387,43.28,-15.850732914949413,1.0,1.0,1.0,1.0
299388,43.53,-15.599517604306994,1.0,1.0,1.0,1.0
299389,44.42,-14.708302293664572,-1.0,1.0,-1.0,1.0
299390,44.11,-15.01708698302216,1.0,1.0,1.0,1.0
299391,45.49,-13.635871672379745,1.0,1.0,1.0,1.0
299392,45.58,-13.544656361737324,1.0,1.0,-1.0,1.0
299393,46.81,-12.313441051094904,-1.0,1.0,-1.0,1.0
299394,45.94,-13.182225740452488,1.0,1.0,1.0,1.0
299395,46.4,-12.721010429810073,-1.0,1.0,-1.0,1.0
299396,45.01,-14.10979511916765,1.0,1.0,-1.0,1.0
299397,45.28,-13.838579808525234,-1.0,1.0,-1.0,1.0
299398,45.05,-14.067364497882814,-1.0,1.0,1.0,1.0
299399,42.8,-16.316149187240402,1.0,1.0,1.0,1.0
299400,42.87,-16.244933876597983,-1.0,1.0,-1.0,1.0
299401,42.75,-16.363718565955562,1.0,1.0,1.0,1.0
299402,43.33,-15.782503255313143,1.0,1.0,1.0,1.0
299403,43.66,-15.451287944670725,1.0,1.0,1.0,1.0
299404,44.65,-14.460072634028306,1.0,1.0,-1.0,1.0
299405,44.89,-14.218857323385885,1.0,1.0,1.0,1.0
299406,45.14,-13.967642012743466,1.0,1.0,1.0,1.0
299407,45.28,-13.826426702101045,1.0,1.0,-1.0,1.0
299408,45.86,-13.245211391458634,1.0,1.0,1.0,1.0
299409,45.99,-13.113996080816214,-1.0,1.0,1.0,1.0
299410,45.68,-13.422780770173794,1.0,1.0,1.0,1.0
299411,45.85,-13.251565459531376,1.0,1.0,1.0,1.0
299412,46.2,-12.900350148888956,-1.0,1.0,-1.0,1.0
299413,45.94,-13.159134838246546,-1.0,1.0,-1.0,1.0
299414,45.25,-13.84791952760412,1.0,1.0,1.0,1.0
299415,45.36,-13.736704216961705,1.0,1.0,1.0,1.0
299416,45.85,-13.245488906319279,1.0,1.0,1.0,1.0
299417,46.77,-12.324273595676866,-1.0,1.0,-1.0,1.0
299418,46.22,-12.873058285034453,1.0,-1.0,1.0,-1.0
299419,46.26,-12.831842974392032,1.0,1.0,1.0,1.0
299420,46.98,-12.110627663749616,1.0,1.0,1.0,1.0
299421,47.08,-12.009412353107194,-1.0,1.0,-1.0,1.0
299422,46.51,-12.578197042464778,1.0,1.0,1.0,1.0
299423,47.6,-11.486981731822354,1.0,1.0,1.0,1.0
299424,49.5,-9.58576642117994,1.0,1.0,1.0,-1.0
299425,49.97,-9.11455111053752,-1.0,1.0,-1.0,-1.0
299426,49.34,-9.7433357998951,1.0,-1.0,1.0,-1.0
299427,49.74,-9.342120489252679,1.0,-1.0,1.0,-1.0
299428,50.77,-8.310905178610263,1.0,-1.0,1.0,-1.0
299429,51.19,-7.889689867967852,-1.0,-1.0,-1.0,-1.0
299430,51.08,-7.99847455732543,1.0,-1.0,1.0,-1.0
299431,51.69,-7.387259246683017,-1.0,-1.0,-1.0,-1.0
299432,51.34,-7.736043936040588,-1.0,-1.0,-1.0,-1.0
299433,50.66,-8.41482862539818,1.0,-1.0,1.0,-1.0
299434,50.8,-8.273613314755758,1.0,-1.0,-1.0,-1.0
299435,52.36,-6.712398004113339,1.0,-1.0,1.0,-1.0
299436,52.61,-6.461182693470918,1.0,-1.0,1.0,-1.0
299437,53.11,-5.959967382828503,1.0,-1.0,1.0,-1.0
299438,53.39,-5.678752072186086,-1.0,-1.0,-1.0,1.0
299439,53.01,-6.057536761543666,-1.0,-1.0,1.0,-1.0
299440,52.25,-6.816321450901248,1.0,-1.0,1.0,1.0
299441,53.2,-5.865106140258824,1.0,-1.0,1.0,-1.0
299442,55.13,-3.933890829616409,-1.0,-1.0,-1.0,1.0
299443,52.84,-6.222675518973986,1.0,-1.0,1.0,-1.0
299444,53.61,-5.451460208331575,-1.0,-1.0,-1.0,1.0
299445,51.39,-7.670244897689152,-1.0,-1.0,-1.0,-1.0
299446,50.81,-8.249029587046735,-1.0,-1.0,-1.0,-1.0
299447,49.25,-9.807814276404322,-1.0,-1.0,-1.0,-1.0
299448,45.95,-13.106598965761895,1.0,1.0,1.0,1.0
299449,48.96,-10.095383655119484,1.0,-1.0,1.0,-1.0
299450,50.47,-8.584168344477064,1.0,-1.0,-1.0,-1.0
299451,53.39,-5.662953033834647,-1.0,-1.0,-1.0,-1.0
299452,53.1,-5.951737723192223,-1.0,-1.0,1.0,-1.0
299453,51.28,-7.770522412549808,-1.0,-1.0,-1.0,1.0
299454,50.31,-8.739307101907388,-1.0,-1.0,-1.0,-1.0
299455,50.09,-8.95809179126497,-1.0,-1.0,-1.0,-1.0
299456,48.28,-10.766876480622557,-1.0,-1.0,-1.0,-1.0
299457,45.3,-13.74566116998014,1.0,-1.0,1.0,-1.0
299458,45.79,-13.254445859337721,-1.0,-1.0,-1.0,-1.0
299459,45.01,-14.0332305486953,1.0,-1.0,1.0,-1.0
299460,45.15,-13.892015238052885,-1.0,1.0,-1.0,1.0
299461,44.28,-14.760799927410462,1.0,1.0,1.0,1.0
299462,47.81,-11.229584616768044,-1.0,-1.0,-1.0,-1.0
299463,46.92,-12.118369306125624,-1.0,-1.0,-1.0,-1.0
299464,44.56,-14.477153995483205,1.0,1.0,1.0,-1.0
299465,45.6,-13.435938684840783,1.0,-1.0,1.0,1.0
299466,46.09,-12.944723374198368,-1.0,-1.0,-1.0,-1.0
299467,43.99,-15.043508063555956,-1.0,-1.0,1.0,1.0
299468,42.64,-16.392292752913534,1.0,1.0,1.0,1.0
299469,43.87,-15.161077442271123,-1.0,1.0,-1.0,1.0
299470,43.63,-15.399862131628694,1.0,1.0,1.0,1.0
299471,45.59,-13.438646820986278,1.0,1.0,1.0,1.0
299472,45.61,-13.417431510343858,1.0,1.0,1.0,1.0
299473,45.81,-13.216216199701442,1.0,1.0,1.0,1.0
299474,47.3,-11.725000889059027,-1.0,1.0,-1.0,1.0
299475,47.03,-11.993785578416604,-1.0,1.0,-1.0,1.0
299476,46.18,-12.842570267774192,1.0,1.0,1.0,1.0
299477,46.47,-12.551354957131775,-1.0,1.0,1.0,1.0
299478,46.32,-12.700139646489356,-1.0,1.0,-1.0,1.0
299479,45.42,-13.598924335846933,-1.0,1.0,-1.0,1.0
299480,45.08,-13.937709025204521,-1.0,1.0,-1.0,1.0
299481,43.81,-15.206493714562091,1.0,1.0,1.0,1.0
299482,44.36,-14.65527840391968,-1.0,1.0,-1.0,1.0
299483,43.46,-15.554063093277257,-1.0,1.0,-1.0,1.0
299484,42.22,-16.792847782634844,1.0,1.0,1.0,1.0
299485,42.5,-16.511632471992428,-1.0,1.0,-1.0,1.0
299486,41.76,-17.250417161350008,0.0,1.0,0.0,1.0
299487,41.76,-17.249201850707593,1.0,1.0,1.0,1.0
299488,42.56,-16.447986540065166,1.0,1.0,1.0,1.0
299489,44.4,-14.606771229422755,1.0,1.0,1.0,1.0
299490,45.2,-13.80555591878033,1.0,1.0,1.0,1.0
299491,45.41,-13.59434060813792,-1.0,1.0,-1.0,1.0
299492,44.67,-14.333125297495492,1.0,1.0,1.0,1.0
299493,45.74,-13.261909986853075,-1.0,-1.0,-1.0,-1.0
299494,44.98,-14.020694676210669,-1.0,-1.0,-1.0,-1.0
299495,44.39,-14.60947936556824,-1.0,1.0,-1.0,1.0
299496,42.79,-16.208264054925827,1.0,1.0,1.0,1.0
299497,43.1,-15.897048744283405,1.0,1.0,1.0,1.0
299498,44.38,-14.615833433640988,-1.0,1.0,-1.0,1.0
299499,43.96,-15.034618122998564,1.0,1.0,1.0,1.0
299500,46.02,-12.973402812356147,1.0,1.0,1.0,1.0
299501,47.04,-11.95218750171373,1.0,1.0,1.0,1.0
299502,47.85,-11.140972191071313,1.0,-1.0,1.0,-1.0
299503,49.1,-9.889756880428893,-1.0,-1.0,-1.0,-1.0
299504,48.59,-10.398541569786476,-1.0,-1.0,-1.0,-1.0
299505,47.97,-11.017326259144065,1.0,1.0,-1.0,1.0
299506,48.29,-10.69611094850164,1.0,1.0,1.0,1.0
299507,49.61,-9.374895637859224,-1.0,-1.0,-1.0,-1.0
299508,48.97,-10.013680327216806,1.0,1.0,1.0,1.0
299509,49.22,-9.762465016574387,-1.0,-1.0,-1.0,-1.0
299510,48.86,-10.121249705931966,-1.0,-1.0,-1.0,-1.0
299511,48.75,-10.23003439528955,1.0,1.0,1.0,1.0
299512,49.23,-9.748819084647133,-1.0,1.0,-1.0,1.0
299513,48.74,-10.237603774004713,-1.0,1.0,-1.0,1.0
299514,46.66,-12.3163884633623,-1.0,1.0,-1.0,1.0
299515,46.3,-12.675173152719882,-1.0,1.0,-1.0,1.0
299516,46.08,-12.893957842077462,-1.0,1.0,-1.0,1.0
299517,45.9,-13.07274253143504,1.0,1.0,1.0,1.0
