,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
303110,26.65,-14.10635197760854,-1.0,1.0,-1.0,1.0
303111,26.26,-14.507899601249779,-1.0,1.0,-1.0,1.0
303112,26.18,-14.599447224891026,-1.0,1.0,-1.0,1.0
303113,25.58,-15.210994848532266,-1.0,1.0,-1.0,1.0
303114,25.47,-15.332542472173508,1.0,1.0,-1.0,1.0
303115,26.31,-14.50409009581475,1.0,1.0,1.0,1.0
303116,26.61,-14.21563771945599,-1.0,1.0,-1.0,1.0
303117,26.42,-14.41718534309723,-1.0,1.0,-1.0,1.0
303118,25.4,-15.448732966738474,1.0,1.0,1.0,1.0
303119,26.56,-14.300280590379716,1.0,1.0,1.0,1.0
303120,26.68,-14.191828214020958,1.0,1.0,1.0,1.0
303121,27.46,-13.4233758376622,-1.0,1.0,-1.0,1.0
303122,27.34,-13.554923461303444,1.0,1.0,1.0,1.0
303123,28.04,-12.866471084944685,-1.0,1.0,-1.0,1.0
303124,27.84,-13.078018708585924,1.0,1.0,1.0,1.0
303125,28.24,-12.689566332227171,1.0,1.0,1.0,1.0
303126,28.49,-12.45111395586842,1.0,1.0,1.0,1.0
303127,28.64,-12.312661579509658,1.0,1.0,1.0,1.0
303128,28.7,-12.264209203150902,-1.0,1.0,1.0,1.0
303129,28.4,-12.575756826792144,-1.0,1.0,-1.0,1.0
303130,27.97,-13.017304450433386,1.0,1.0,1.0,1.0
303131,28.16,-12.838852074074627,-1.0,1.0,-1.0,1.0
303132,28.02,-12.990399697715867,1.0,1.0,1.0,1.0
303133,28.58,-12.441947321357114,1.0,1.0,1.0,1.0
303134,28.86,-12.173494944998353,1.0,1.0,1.0,1.0
303135,29.2,-11.845042568639595,1.0,1.0,1.0,1.0
303136,29.33,-11.726590192280838,1.0,1.0,1.0,1.0
303137,29.4,-11.66813781592208,1.0,1.0,1.0,1.0
303138,29.9,-11.179685439563322,-1.0,1.0,1.0,1.0
303139,29.78,-11.31123306320456,-1.0,1.0,-1.0,1.0
303140,29.73,-11.372780686845806,1.0,1.0,1.0,1.0
303141,29.74,-11.374328310487046,1.0,1.0,1.0,1.0
303142,29.83,-11.29587593412829,1.0,1.0,1.0,1.0
303143,30.15,-10.987423557769532,-1.0,1.0,-1.0,1.0
303144,30.0,-11.148971181410772,1.0,1.0,1.0,1.0
303145,30.13,-11.030518805052015,1.0,1.0,1.0,1.0
303146,30.26,-10.912066428693254,-1.0,1.0,-1.0,1.0
303147,30.21,-10.973614052334497,-1.0,1.0,-1.0,1.0
303148,30.0,-11.19516167597574,1.0,1.0,1.0,1.0
303149,30.3,-10.906709299616981,1.0,1.0,1.0,1.0
303150,30.71,-10.508256923258225,1.0,1.0,1.0,1.0
303151,30.82,-10.409804546899467,-1.0,1.0,-1.0,1.0
303152,30.22,-11.021352170540707,-1.0,1.0,-1.0,1.0
303153,30.15,-11.102899794181953,1.0,1.0,1.0,1.0
303154,30.22,-11.044447417823193,1.0,1.0,1.0,1.0
303155,30.7,-10.575995041464434,-1.0,1.0,-1.0,1.0
303156,30.27,-11.017542665105676,1.0,1.0,1.0,1.0
303157,30.58,-10.71909028874692,1.0,1.0,1.0,1.0
303158,31.12,-10.19063791238816,1.0,1.0,1.0,1.0
303159,31.62,-9.7021855360294,1.0,-1.0,1.0,-1.0
303160,31.76,-9.573733159670642,-1.0,-1.0,-1.0,-1.0
303161,31.71,-9.635280783311883,1.0,-1.0,1.0,-1.0
303162,32.13,-9.226828406953123,-1.0,-1.0,1.0,-1.0
303163,32.02,-9.348376030594366,1.0,-1.0,1.0,-1.0
303164,32.11,-9.269923654235614,-1.0,-1.0,-1.0,-1.0
303165,32.1,-9.291471277876852,-1.0,-1.0,-1.0,-1.0
303166,32.0,-9.403018901518095,0.0,-1.0,0.0,-1.0
303167,32.0,-9.414566525159337,1.0,-1.0,1.0,-1.0
303168,32.06,-9.366114148800575,1.0,-1.0,1.0,-1.0
303169,32.32,-9.11766177244182,-1.0,-1.0,-1.0,-1.0
303170,32.09,-9.359209396083061,1.0,-1.0,1.0,-1.0
303171,32.27,-9.190757019724302,1.0,-1.0,1.0,-1.0
303172,32.58,-8.892304643365549,-1.0,-1.0,-1.0,-1.0
303173,32.21,-9.273852267006786,-1.0,-1.0,-1.0,-1.0
303174,31.86,-9.635399890648033,1.0,-1.0,1.0,-1.0
303175,32.04,-9.466947514289274,1.0,-1.0,1.0,-1.0
303176,32.54,-8.978495137930516,-1.0,-1.0,-1.0,-1.0
303177,31.82,-9.710042761571755,1.0,-1.0,1.0,-1.0
303178,32.15,-9.391590385213,-1.0,-1.0,1.0,-1.0
303179,32.01,-9.543138008854244,-1.0,-1.0,-1.0,-1.0
303180,32.0,-9.564685632495484,0.0,-1.0,0.0,-1.0
303181,32.0,-9.576233256136724,-1.0,-1.0,-1.0,-1.0
303182,31.4,-10.187780879777966,1.0,-1.0,1.0,-1.0
303183,32.28,-9.319328503419207,-1.0,-1.0,1.0,-1.0
303184,32.04,-9.570876127060453,1.0,-1.0,1.0,-1.0
303185,32.57,-9.0524237507017,-1.0,-1.0,-1.0,-1.0
303186,32.27,-9.363971374342931,-1.0,-1.0,-1.0,-1.0
303187,31.18,-10.465518997984184,1.0,-1.0,1.0,-1.0
303188,31.44,-10.217066621625424,-1.0,-1.0,1.0,-1.0
303189,30.55,-11.118614245266668,-1.0,-1.0,-1.0,-1.0
303190,30.36,-11.32016186890791,-1.0,-1.0,-1.0,-1.0
303191,29.44,-12.25170949254915,1.0,-1.0,1.0,-1.0
303192,29.81,-11.893257116190396,-1.0,-1.0,-1.0,-1.0
303193,29.15,-12.564804739831636,1.0,-1.0,1.0,-1.0
303194,29.44,-12.286352363472874,1.0,-1.0,1.0,-1.0
303195,29.54,-12.19789998711412,1.0,1.0,1.0,-1.0
303196,30.74,-11.009447610755362,-1.0,-1.0,-1.0,-1.0
303197,30.28,-11.4809952343966,-1.0,-1.0,-1.0,-1.0
303198,29.34,-12.432542858037847,1.0,1.0,1.0,1.0
303199,30.7,-11.08409048167909,-1.0,-1.0,-1.0,-1.0
303200,30.44,-11.355638105320327,-1.0,-1.0,-1.0,-1.0
303201,29.12,-12.68718572896157,-1.0,-1.0,-1.0,1.0
303202,28.95,-12.868733352602813,1.0,1.0,1.0,1.0
303203,29.66,-12.170280976244054,-1.0,-1.0,-1.0,-1.0
303204,29.6,-12.241828599885295,1.0,1.0,1.0,1.0
303205,30.66,-11.193376223526537,1.0,-1.0,1.0,1.0
303206,30.96,-10.90492384716778,-1.0,-1.0,-1.0,-1.0
303207,30.88,-10.996471470809023,1.0,0.0,1.0,1.0
303208,31.64,-10.248019094450264,-1.0,-1.0,-1.0,-1.0
303209,31.58,-10.319566718091508,1.0,-1.0,1.0,-1.0
303210,31.74,-10.17111434173275,-1.0,-1.0,-1.0,-1.0
303211,31.22,-10.702661965373991,1.0,1.0,1.0,1.0
303212,31.26,-10.67420958901523,-1.0,1.0,-1.0,1.0
303213,30.84,-11.105757212656474,-1.0,1.0,-1.0,1.0
303214,30.79,-11.167304836297717,-1.0,1.0,-1.0,1.0
303215,30.18,-11.788852459938958,-1.0,1.0,1.0,1.0
303216,30.16,-11.820400083580198,-1.0,1.0,1.0,1.0
303217,30.13,-11.861947707221447,-1.0,1.0,-1.0,1.0
303218,29.12,-12.883495330862687,-1.0,1.0,-1.0,1.0
303219,28.72,-13.295042954503927,-1.0,1.0,1.0,1.0
303220,28.66,-13.366590578145168,-1.0,1.0,-1.0,1.0
303221,28.28,-13.758138201786409,-1.0,1.0,-1.0,1.0
303222,28.12,-13.92968582542765,1.0,1.0,1.0,1.0
303223,28.74,-13.321233449068894,1.0,1.0,1.0,1.0
303224,29.34,-12.732781072710136,1.0,1.0,1.0,1.0
303225,29.72,-12.36432869635138,-1.0,1.0,-1.0,1.0
303226,29.2,-12.895876319992619,1.0,1.0,1.0,1.0
303227,29.92,-12.18742394363386,-1.0,1.0,-1.0,1.0
303228,29.81,-12.308971567275105,-1.0,1.0,-1.0,1.0
303229,29.64,-12.490519190916345,-1.0,1.0,-1.0,1.0
303230,29.02,-13.122066814557588,0.0,1.0,0.0,1.0
303231,29.02,-13.133614438198832,1.0,1.0,1.0,1.0
303232,29.57,-12.595162061840071,-1.0,1.0,-1.0,1.0
303233,29.32,-12.856709685481313,1.0,1.0,1.0,1.0
303234,29.73,-12.458257309122555,1.0,1.0,1.0,1.0
303235,30.2,-11.999804932763796,1.0,1.0,1.0,1.0
303236,30.88,-11.331352556405038,0.0,1.0,0.0,1.0
303237,30.88,-11.342900180046284,1.0,1.0,-1.0,1.0
303238,30.97,-11.264447803687524,1.0,1.0,1.0,1.0
303239,31.5,-10.745995427328763,-1.0,1.0,-1.0,1.0
303240,31.24,-11.017543050970009,1.0,1.0,1.0,1.0
303241,31.78,-10.489090674611248,-1.0,1.0,1.0,1.0
303242,31.74,-10.540638298252492,1.0,1.0,1.0,1.0
303243,32.22,-10.072185921893736,0.0,1.0,0.0,1.0
303244,32.22,-10.083733545534976,-1.0,1.0,-1.0,1.0
303245,32.1,-10.215281169176217,1.0,1.0,1.0,1.0
303246,32.18,-10.146828792817466,-1.0,1.0,1.0,1.0
303247,31.38,-10.958376416458707,-1.0,1.0,1.0,1.0
303248,30.5,-11.84992404009995,-1.0,1.0,-1.0,1.0
