,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
308709,65.63,-4.311707647385262,-1.0,1.0,-1.0,1.0
308710,65.37,-4.618172443032663,-1.0,1.0,-1.0,1.0
308711,65.07,-4.964637238680068,-1.0,1.0,-1.0,1.0
308712,64.54,-5.541102034327466,-1.0,1.0,-1.0,1.0
308713,64.38,-5.747566829974872,1.0,1.0,-1.0,1.0
308714,65.88,-4.2940316256222815,1.0,1.0,1.0,1.0
308715,67.81,-2.41049642126967,-1.0,1.0,1.0,1.0
308716,66.75,-3.516961216917082,-1.0,1.0,-1.0,1.0
308717,63.73,-6.583426012564495,1.0,1.0,1.0,1.0
308718,65.02,-5.339890808211892,-1.0,1.0,-1.0,1.0
308719,63.58,-6.826355603859298,-1.0,1.0,-1.0,1.0
308720,63.1,-7.35282039950669,-1.0,1.0,-1.0,1.0
308721,63.07,-7.429285195154102,1.0,1.0,-1.0,1.0
308722,63.74,-6.805749990801496,1.0,1.0,1.0,1.0
308723,64.46,-6.1322147864489125,1.0,1.0,1.0,1.0
308724,66.22,-4.418679582096303,1.0,1.0,1.0,1.0
308725,67.13,-3.555144377743716,1.0,1.0,-1.0,1.0
308726,68.08,-2.651609173391108,1.0,1.0,1.0,1.0
308727,68.49,-2.288073969038521,1.0,1.0,1.0,1.0
308728,68.58,-2.244538764685913,-1.0,1.0,-1.0,1.0
308729,68.27,-2.6010035603333255,1.0,1.0,1.0,1.0
308730,68.62,-2.297468355980726,1.0,1.0,1.0,1.0
308731,69.05,-1.9139331516281288,-1.0,1.0,-1.0,1.0
308732,68.96,-2.050397947275542,1.0,1.0,1.0,1.0
308733,69.57,-1.4868627429229375,1.0,1.0,1.0,1.0
308734,69.96,-1.1433275385703467,-1.0,1.0,-1.0,1.0
308735,69.78,-1.3697923342177347,1.0,1.0,1.0,1.0
308736,69.91,-1.2862571298651488,1.0,1.0,1.0,1.0
308737,71.45,0.20727807448746205,1.0,1.0,1.0,1.0
308738,72.21,0.9208132788400434,-1.0,1.0,-1.0,1.0
308739,71.81,0.4743484831926423,1.0,1.0,1.0,1.0
308740,71.87,0.4878836875452493,-1.0,1.0,-1.0,1.0
308741,71.78,0.35141889189783626,1.0,1.0,1.0,1.0
308742,72.36,0.8849540962504392,-1.0,1.0,-1.0,1.0
308743,71.6,0.0784893006030245,1.0,1.0,1.0,1.0
308744,73.09,1.5220245049556382,1.0,1.0,1.0,1.0
308745,73.67,2.0555597093082265,-1.0,1.0,-1.0,1.0
308746,73.5,1.8390949136608297,-1.0,1.0,1.0,1.0
308747,72.78,1.0726301180134217,1.0,1.0,1.0,1.0
308748,73.55,1.7961653223660219,1.0,1.0,1.0,1.0
308749,73.56,1.7597005267186177,1.0,1.0,1.0,1.0
308750,73.82,1.9732357310712128,1.0,1.0,1.0,1.0
308751,74.11,2.2167709354238103,-1.0,-1.0,-1.0,1.0
308752,73.43,1.4903061397764077,1.0,1.0,1.0,1.0
308753,73.6,1.6138413441289998,-1.0,1.0,-1.0,1.0
308754,72.91,0.8773765484815925,-1.0,1.0,-1.0,1.0
308755,72.81,0.7309117528342028,-1.0,1.0,-1.0,1.0
308756,72.67,0.5444469571867927,1.0,1.0,-1.0,1.0
308757,74.59,2.417982161539399,1.0,1.0,1.0,1.0
308758,76.07,3.8515173658919792,-1.0,-1.0,1.0,-1.0
308759,74.07,1.805052570244584,-1.0,-1.0,-1.0,-1.0
308760,74.06,1.7485877745971834,1.0,-1.0,1.0,-1.0
308761,75.15,2.7921229789497914,-1.0,-1.0,-1.0,-1.0
308762,74.53,2.1256581833023773,1.0,-1.0,-1.0,-1.0
308763,75.87,3.4191933876549716,-1.0,-1.0,-1.0,-1.0
308764,75.15,2.6527285920075765,-1.0,-1.0,-1.0,-1.0
308765,73.62,1.0762637963601662,-1.0,1.0,-1.0,-1.0
308766,73.28,0.6897990007127675,1.0,1.0,1.0,-1.0
308767,73.43,0.7933342050653636,1.0,-1.0,1.0,-1.0
308768,74.56,1.876869409417964,1.0,-1.0,1.0,-1.0
308769,76.07,3.340404613770545,1.0,-1.0,-1.0,-1.0
308770,77.83,5.053939818123156,1.0,-1.0,1.0,-1.0
308771,78.55,5.727475022475745,1.0,-1.0,1.0,-1.0
308772,78.6,5.731010226828346,-1.0,-1.0,-1.0,-1.0
308773,76.07,3.154545431180935,1.0,-1.0,1.0,-1.0
308774,76.17,3.2080806355335336,1.0,-1.0,-1.0,-1.0
308775,78.8,5.791615839886133,-1.0,-1.0,-1.0,-1.0
308776,77.39,4.335151044238728,1.0,-1.0,1.0,-1.0
308777,79.52,6.418686248591328,-1.0,-1.0,-1.0,-1.0
308778,77.96,4.812221452943915,-1.0,-1.0,-1.0,-1.0
308779,76.84,3.6457566572965305,-1.0,-1.0,-1.0,-1.0
308780,74.25,1.0092918616491175,-1.0,1.0,-1.0,1.0
308781,73.53,0.2428270660017233,1.0,1.0,1.0,1.0
308782,78.3,4.96636227035431,-1.0,-1.0,-1.0,-1.0
308783,78.24,4.859897474706912,1.0,-1.0,1.0,-1.0
308784,78.86,5.433432679059506,-1.0,-1.0,-1.0,-1.0
308785,77.43,3.9569678834121187,-1.0,-1.0,-1.0,-1.0
308786,75.49,1.9705030877646976,-1.0,-1.0,1.0,1.0
308787,74.87,1.3040382921172975,-1.0,-1.0,-1.0,-1.0
308788,72.79,-0.8224265035300959,-1.0,-1.0,-1.0,-1.0
308789,71.89,-1.7688912991775112,-1.0,-1.0,-1.0,-1.0
308790,68.35,-5.355356094824913,1.0,1.0,1.0,1.0
308791,70.72,-3.0318208904723187,-1.0,-1.0,-1.0,-1.0
308792,69.67,-4.12828568611971,1.0,1.0,1.0,1.0
308793,70.57,-3.2747504817671285,-1.0,1.0,1.0,1.0
308794,70.45,-3.4412152774145137,1.0,1.0,1.0,1.0
308795,74.23,0.2923199269380774,-1.0,-1.0,-1.0,-1.0
308796,73.7,-0.2841448687093333,-1.0,1.0,-1.0,1.0
308797,72.53,-1.5006096643567304,1.0,1.0,1.0,1.0
308798,74.27,0.19292553999585493,-1.0,-1.0,-1.0,-1.0
308799,73.58,-0.5435392556515382,-1.0,-1.0,-1.0,-1.0
308800,70.08,-4.090004051298949,1.0,1.0,1.0,1.0
308801,70.32,-3.8964688469463478,1.0,1.0,1.0,1.0
308802,70.93,-3.3329336425937437,1.0,1.0,1.0,1.0
308803,71.47,-2.8393984382411475,1.0,1.0,1.0,1.0
308804,73.7,-0.655863233888553,1.0,1.0,1.0,1.0
308805,74.5,0.09767197046404874,1.0,1.0,1.0,1.0
308806,75.26,0.8112071748166443,1.0,1.0,1.0,1.0
308807,76.47,1.974742379169243,-1.0,1.0,-1.0,1.0
308808,75.99,1.4482775835218291,1.0,1.0,1.0,1.0
308809,76.15,1.5618127878744303,-1.0,1.0,-1.0,1.0
308810,75.31,0.6753479922270316,-1.0,1.0,-1.0,1.0
308811,74.65,-0.031116803420374595,-1.0,1.0,-1.0,1.0
308812,72.09,-2.637581599067772,1.0,1.0,1.0,1.0
308813,72.76,-2.0140463947151797,-1.0,1.0,-1.0,1.0
308814,71.39,-3.43051119036258,1.0,1.0,1.0,1.0
308815,73.55,-1.316975986009993,-1.0,1.0,-1.0,1.0
308816,72.9,-2.01344078165738,-1.0,1.0,-1.0,1.0
308817,71.03,-3.9299055773047944,-1.0,1.0,-1.0,1.0
308818,70.27,-4.7363703729522095,1.0,1.0,1.0,1.0
308819,70.54,-4.512835168599594,-1.0,1.0,-1.0,1.0
308820,69.89,-5.209299964247008,-1.0,1.0,-1.0,1.0
308821,68.91,-6.235764759894407,1.0,1.0,1.0,1.0
308822,72.27,-2.9222295555418185,1.0,1.0,1.0,1.0
308823,73.08,-2.158694351189212,1.0,1.0,1.0,1.0
308824,73.41,-1.8751591468366229,1.0,1.0,-1.0,1.0
308825,73.43,-1.901623942484008,1.0,1.0,1.0,1.0
308826,74.53,-0.8480887381314233,-1.0,1.0,-1.0,1.0
308827,73.9,-1.524553533778814,-1.0,1.0,-1.0,1.0
308828,73.87,-1.6010183294262248,-1.0,1.0,-1.0,1.0
308829,72.35,-3.1674831250736304,1.0,1.0,1.0,1.0
308830,73.22,-2.3439479207210354,1.0,1.0,1.0,1.0
308831,74.59,-1.0204127163684404,-1.0,1.0,-1.0,1.0
308832,73.12,-2.5368775120158347,1.0,1.0,1.0,1.0
