,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
310576,32.03,-1.2194629001627817,-1.0,-1.0,-1.0,-1.0
310577,31.47,-1.7463819180683728,-1.0,1.0,-1.0,1.0
310578,31.22,-1.9633009359739615,1.0,1.0,1.0,1.0
310579,31.25,-1.9002199538795492,1.0,1.0,1.0,1.0
310580,31.76,-1.3571389717851368,1.0,-1.0,1.0,-1.0
310581,31.85,-1.2340579896907258,1.0,1.0,1.0,1.0
310582,32.33,-0.7209770075963178,1.0,1.0,1.0,1.0
310583,32.68,-0.33789602550190523,-1.0,-1.0,-1.0,-1.0
310584,32.48,-0.5048150434074969,-1.0,1.0,-1.0,1.0
310585,32.1,-0.8517340613130813,1.0,1.0,1.0,1.0
310586,32.71,-0.2086530792186707,-1.0,-1.0,-1.0,-1.0
310587,32.69,-0.1955720971242627,1.0,1.0,-1.0,1.0
310588,32.88,0.027508884970153247,-1.0,1.0,-1.0,1.0
310589,32.3,-0.519410132935441,1.0,1.0,1.0,1.0
310590,33.03,0.2436708491589741,-1.0,1.0,-1.0,1.0
310591,32.32,-0.4332481687466157,1.0,1.0,-1.0,1.0
310592,33.19,0.4698328133477929,-1.0,1.0,-1.0,-1.0
310593,33.14,0.4529137954422069,-1.0,-1.0,-1.0,-1.0
310594,32.52,-0.13400522246337945,-1.0,1.0,-1.0,1.0
310595,32.28,-0.3409242403689703,-1.0,1.0,-1.0,1.0
310596,31.9,-0.6878432582745617,-1.0,1.0,-1.0,1.0
310597,31.59,-0.9647622761801422,-1.0,1.0,-1.0,1.0
310598,31.5,-1.021681294085731,1.0,1.0,1.0,-1.0
310599,31.7,-0.7886003119913205,1.0,1.0,-1.0,1.0
310600,31.79,-0.6655193298969095,-1.0,1.0,-1.0,1.0
310601,31.37,-1.0524383478024966,1.0,1.0,1.0,1.0
310602,32.04,-0.3493573657080873,-1.0,-1.0,-1.0,-1.0
310603,31.82,-0.536276383613675,-1.0,-1.0,-1.0,1.0
310604,31.69,-0.6331954015192629,-1.0,-1.0,-1.0,-1.0
310605,31.39,-0.9001144194248525,1.0,-1.0,1.0,-1.0
310606,31.86,-0.3970334373304425,1.0,-1.0,-1.0,-1.0
310607,32.06,-0.16395245523602853,-1.0,-1.0,-1.0,-1.0
310608,31.41,-0.7808714731416195,-1.0,1.0,-1.0,1.0
310609,31.3,-0.8577904910472078,1.0,1.0,1.0,1.0
310610,31.41,-0.7147095089527973,1.0,1.0,-1.0,1.0
310611,31.97,-0.12162852685838745,1.0,1.0,-1.0,1.0
310612,32.98,0.9214524552360216,-1.0,-1.0,-1.0,-1.0
310613,32.18,0.15453343733043567,1.0,-1.0,1.0,1.0
310614,32.5,0.5076144194248471,-1.0,-1.0,-1.0,-1.0
310615,32.46,0.5006954015192591,1.0,-1.0,1.0,-1.0
310616,32.63,0.7037763836136754,1.0,-1.0,1.0,-1.0
310617,32.96,1.0668573657080849,1.0,-1.0,1.0,-1.0
310618,33.63,1.7699383478024977,-1.0,-1.0,-1.0,-1.0
310619,33.5,1.6730193298969065,1.0,-1.0,1.0,-1.0
310620,33.64,1.8461003119913182,-1.0,-1.0,-1.0,-1.0
310621,33.53,1.7691812940857297,-1.0,-1.0,-1.0,-1.0
310622,33.33,1.6022622761801384,-1.0,-1.0,-1.0,-1.0
310623,32.52,0.8253432582745539,1.0,-1.0,1.0,-1.0
310624,32.57,0.9084242403689622,-1.0,-1.0,-1.0,-1.0
310625,32.46,0.8315052224633739,-1.0,-1.0,-1.0,-1.0
310626,32.04,0.4445862045577869,1.0,-1.0,-1.0,-1.0
310627,32.16,0.5976671866521954,-1.0,-1.0,-1.0,-1.0
