,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
316476,22.86,12.577041326737499,-1.0,1.0,-1.0,1.0
316477,22.44,12.104733467089538,1.0,1.0,-1.0,-1.0
316478,24.02,13.632425607441574,-1.0,-1.0,-1.0,-1.0
316479,23.76,13.320117747793619,1.0,-1.0,1.0,-1.0
316480,24.14,13.647809888145654,-1.0,-1.0,-1.0,-1.0
316481,23.9,13.355502028497696,1.0,-1.0,1.0,-1.0
316482,24.28,13.683194168849734,-1.0,-1.0,-1.0,-1.0
316483,23.77,13.120886309201774,-1.0,-1.0,-1.0,-1.0
316484,23.24,12.538578449553814,-1.0,1.0,-1.0,1.0
316485,23.19,12.436270589905856,-1.0,1.0,-1.0,1.0
316486,23.04,12.233962730257893,1.0,1.0,1.0,1.0
316487,23.15,12.291654870609932,-1.0,1.0,-1.0,1.0
316488,22.98,12.069347010961973,1.0,0.0,1.0,-1.0
316489,23.38,12.417039151314011,1.0,-1.0,1.0,1.0
316490,23.5,12.484731291666053,-1.0,-1.0,-1.0,-1.0
316491,23.44,12.372423432018092,1.0,-1.0,-1.0,-1.0
316492,24.32,13.20011557237013,1.0,-1.0,1.0,-1.0
316493,24.72,13.547807712722168,-1.0,-1.0,-1.0,-1.0
316494,24.42,13.195499853074212,-1.0,-1.0,-1.0,-1.0
316495,23.94,12.66319199342625,-1.0,-1.0,-1.0,-1.0
316496,23.68,12.350884133778287,1.0,-1.0,1.0,-1.0
316497,23.78,12.398576274130328,-1.0,-1.0,-1.0,-1.0
316498,23.7,12.266268414482367,1.0,-1.0,1.0,-1.0
316499,23.8,12.31396055483441,-1.0,-1.0,-1.0,-1.0
316500,23.76,12.221652695186448,1.0,-1.0,-1.0,-1.0
316501,23.77,12.179344835538485,1.0,-1.0,1.0,-1.0
316502,23.78,12.137036975890524,-1.0,-1.0,-1.0,-1.0
316503,23.53,11.834729116242563,1.0,-1.0,1.0,-1.0
316504,23.8,12.052421256594606,-1.0,-1.0,1.0,-1.0
316505,23.5,11.700113396946644,1.0,-1.0,1.0,-1.0
316506,23.72,11.867805537298679,-1.0,-1.0,-1.0,-1.0
316507,23.64,11.735497677650724,-1.0,-1.0,-1.0,-1.0
316508,23.55,11.593189818002761,1.0,-1.0,1.0,-1.0
316509,23.71,11.700881958354799,1.0,-1.0,1.0,-1.0
316510,23.76,11.698574098706839,-1.0,-1.0,-1.0,-1.0
316511,23.74,11.62626623905888,-1.0,-1.0,-1.0,-1.0
316512,23.59,11.42395837941092,1.0,-1.0,1.0,-1.0
316513,23.71,11.491650519762961,1.0,-1.0,-1.0,-1.0
316514,23.94,11.669342660115,1.0,-1.0,1.0,-1.0
316515,24.08,11.757034800467036,-1.0,-1.0,-1.0,-1.0
316516,23.88,11.504726940819076,-1.0,-1.0,-1.0,-1.0
316517,23.64,11.212419081171117,-1.0,-1.0,-1.0,-1.0
316518,22.98,10.500111221523156,-1.0,-1.0,-1.0,-1.0
316519,22.67,10.137803361875196,1.0,-1.0,1.0,-1.0
316520,22.94,10.355495502227235,-1.0,-1.0,-1.0,-1.0
316521,22.8,10.163187642579272,-1.0,-1.0,-1.0,-1.0
316522,22.74,10.050879782931313,1.0,-1.0,-1.0,-1.0
316523,22.92,10.178571923283354,-1.0,-1.0,-1.0,-1.0
316524,22.76,9.966264063635393,-1.0,-1.0,-1.0,-1.0
316525,22.72,9.87395620398743,1.0,-1.0,1.0,-1.0
316526,22.91,10.011648344339473,-1.0,-1.0,-1.0,-1.0
316527,22.9,9.949340484691508,1.0,-1.0,-1.0,-1.0
316528,22.94,9.937032625043553,1.0,-1.0,-1.0,-1.0
316529,23.18,10.124724765395587,-1.0,-1.0,-1.0,-1.0
316530,23.03,9.92241690574763,-1.0,-1.0,-1.0,-1.0
316531,22.66,9.500109046099668,1.0,-1.0,1.0,-1.0
316532,22.85,9.637801186451707,1.0,-1.0,1.0,-1.0
316533,22.87,9.60549332680375,-1.0,-1.0,-1.0,-1.0
316534,22.54,9.223185467155783,-1.0,-1.0,1.0,-1.0
316535,20.38,7.010877607507823,-1.0,-1.0,-1.0,-1.0
316536,20.3,6.878569747859865,1.0,-1.0,1.0,-1.0
316537,20.84,7.366261888211904,-1.0,-1.0,-1.0,-1.0
316538,20.28,6.753954028563943,-1.0,-1.0,1.0,-1.0
316539,20.18,6.601646168915983,1.0,-1.0,1.0,-1.0
316540,20.34,6.7093383092680225,-1.0,-1.0,-1.0,-1.0
316541,20.2,6.517030449620062,-1.0,-1.0,-1.0,-1.0
316542,19.86,6.1247225899721025,1.0,-1.0,1.0,-1.0
316543,19.88,6.0924147303241405,-1.0,-1.0,-1.0,-1.0
316544,19.26,5.4201068706761815,1.0,-1.0,-1.0,-1.0
316545,20.1,6.2077990110282215,-1.0,-1.0,-1.0,-1.0
316546,19.59,5.645491151380258,-1.0,-1.0,-1.0,-1.0
316547,19.18,5.183183291732298,1.0,-1.0,1.0,-1.0
316548,19.19,5.140875432084338,1.0,-1.0,1.0,-1.0
316549,19.63,5.528567572436375,1.0,-1.0,1.0,-1.0
316550,20.08,5.926259712788415,-1.0,-1.0,-1.0,-1.0
316551,19.74,5.533951853140454,-1.0,-1.0,-1.0,-1.0
316552,18.89,4.631643993492496,1.0,-1.0,1.0,-1.0
316553,19.12,4.809336133844536,1.0,-1.0,1.0,-1.0
316554,19.14,4.777028274196574,1.0,-1.0,1.0,-1.0
316555,19.5,5.084720414548613,-1.0,-1.0,1.0,-1.0
316556,18.48,4.012412554900654,-1.0,-1.0,1.0,-1.0
316557,18.28,3.7601046952526933,-1.0,-1.0,-1.0,-1.0
316558,18.18,3.6077968356047303,-1.0,-1.0,-1.0,-1.0
