,Close,Target(1),Target(30),Prediction(1),Prediction(30)
323977,22.65,-1.0,-1.0,-1.0,-1.0
323978,22.62,1.0,1.0,1.0,1.0
323979,22.76,-1.0,-1.0,-1.0,-1.0
323980,22.64,-1.0,-1.0,-1.0,-1.0
323981,22.25,1.0,1.0,-1.0,1.0
323982,22.5,1.0,0.0,-1.0,0.0
323983,22.66,-1.0,1.0,-1.0,1.0
323984,22.63,-1.0,1.0,-1.0,1.0
323985,22.61,-1.0,1.0,-1.0,1.0
323986,22.56,-1.0,1.0,-1.0,1.0
323987,22.49,1.0,1.0,1.0,1.0
323988,22.74,-1.0,-1.0,-1.0,-1.0
323989,22.6,1.0,1.0,1.0,1.0
323990,22.8,-1.0,0.0,-1.0,0.0
323991,22.24,1.0,1.0,1.0,1.0
323992,22.3,-1.0,1.0,-1.0,1.0
323993,21.85,1.0,1.0,1.0,1.0
323994,21.92,-1.0,1.0,-1.0,-1.0
323995,21.8,-1.0,1.0,1.0,-1.0
323996,21.51,-1.0,1.0,-1.0,1.0
323997,21.36,1.0,1.0,1.0,1.0
323998,21.54,-1.0,1.0,-1.0,1.0
323999,21.47,-1.0,1.0,-1.0,1.0
324000,21.4,1.0,1.0,1.0,1.0
324001,21.88,-1.0,-1.0,-1.0,-1.0
324002,21.76,-1.0,1.0,-1.0,1.0
324003,21.41,-1.0,1.0,-1.0,1.0
324004,21.38,1.0,1.0,1.0,1.0
324005,21.82,1.0,1.0,1.0,1.0
324006,21.98,1.0,1.0,1.0,1.0
324007,22.52,1.0,1.0,1.0,1.0
324008,22.7,-1.0,-1.0,-1.0,-1.0
324009,22.63,-1.0,1.0,-1.0,1.0
324010,22.6,-1.0,1.0,-1.0,1.0
324011,22.31,1.0,-1.0,1.0,-1.0
324012,22.5,1.0,-1.0,1.0,-1.0
324013,23.03,1.0,-1.0,1.0,-1.0
324014,23.22,-1.0,-1.0,-1.0,-1.0
324015,23.01,1.0,-1.0,1.0,-1.0
324016,23.37,-1.0,-1.0,-1.0,-1.0
324017,23.19,-1.0,-1.0,-1.0,1.0
324018,22.56,1.0,-1.0,1.0,-1.0
324019,22.72,1.0,-1.0,1.0,-1.0
324020,22.8,1.0,-1.0,1.0,-1.0
324021,22.94,1.0,-1.0,1.0,-1.0
324022,23.16,-1.0,-1.0,-1.0,-1.0
324023,22.78,1.0,-1.0,1.0,-1.0
324024,22.82,-1.0,-1.0,-1.0,-1.0
324025,22.34,1.0,-1.0,1.0,-1.0
324026,22.61,-1.0,-1.0,-1.0,-1.0
324027,22.1,-1.0,-1.0,-1.0,-1.0
324028,21.82,-1.0,-1.0,-1.0,-1.0
324029,21.64,1.0,-1.0,1.0,-1.0
324030,21.96,-1.0,-1.0,-1.0,-1.0
324031,21.78,1.0,-1.0,1.0,-1.0
324032,22.13,1.0,-1.0,1.0,-1.0
324033,22.82,1.0,-1.0,1.0,-1.0
324034,22.94,-1.0,-1.0,-1.0,-1.0
324035,22.92,-1.0,-1.0,-1.0,-1.0
324036,22.68,1.0,-1.0,1.0,-1.0
324037,22.74,-1.0,-1.0,1.0,-1.0
324038,22.63,1.0,-1.0,1.0,-1.0
324039,22.96,-1.0,-1.0,-1.0,-1.0
324040,22.65,-1.0,-1.0,-1.0,-1.0
324041,22.3,-1.0,-1.0,-1.0,-1.0
324042,22.21,-1.0,-1.0,1.0,-1.0
324043,22.14,-1.0,-1.0,1.0,-1.0
324044,21.4,1.0,-1.0,1.0,-1.0
324045,21.61,-1.0,-1.0,-1.0,-1.0
324046,21.44,1.0,-1.0,1.0,-1.0
324047,21.5,-1.0,-1.0,1.0,-1.0
324048,21.46,-1.0,-1.0,-1.0,-1.0
324049,20.24,1.0,-1.0,1.0,-1.0
324050,20.8,-1.0,-1.0,-1.0,-1.0
324051,20.58,1.0,-1.0,1.0,-1.0
324052,20.99,1.0,-1.0,1.0,1.0
324053,21.43,-1.0,-1.0,1.0,-1.0
324054,20.8,1.0,-1.0,1.0,-1.0
324055,21.17,1.0,-1.0,1.0,-1.0
324056,21.26,-1.0,-1.0,-1.0,-1.0
324057,21.16,-1.0,-1.0,-1.0,-1.0
324058,20.51,1.0,-1.0,1.0,-1.0
324059,21.02,-1.0,-1.0,-1.0,-1.0
324060,20.64,-1.0,-1.0,1.0,-1.0
324061,20.59,1.0,-1.0,1.0,-1.0
324062,20.61,1.0,-1.0,1.0,-1.0
324063,21.15,-1.0,-1.0,-1.0,-1.0
324064,21.1,-1.0,-1.0,1.0,-1.0
324065,20.72,1.0,-1.0,1.0,-1.0
324066,20.79,1.0,-1.0,1.0,1.0
324067,21.15,-1.0,-1.0,-1.0,-1.0
324068,20.44,-1.0,-1.0,-1.0,-1.0
324069,20.03,1.0,-1.0,1.0,1.0
324070,20.05,-1.0,-1.0,-1.0,-1.0
324071,20.0,1.0,-1.0,1.0,-1.0
324072,20.74,1.0,-1.0,1.0,-1.0
324073,20.78,-1.0,-1.0,-1.0,-1.0
324074,20.73,1.0,-1.0,1.0,1.0
324075,21.32,-1.0,-1.0,-1.0,-1.0
324076,21.28,0.0,-1.0,0.0,-1.0
324077,21.28,1.0,-1.0,1.0,-1.0
324078,21.3,-1.0,-1.0,-1.0,-1.0
324079,19.44,1.0,-1.0,1.0,-1.0
324080,19.7,-1.0,-1.0,1.0,-1.0
324081,19.46,-1.0,-1.0,-1.0,-1.0
324082,19.08,1.0,1.0,1.0,1.0
324083,19.32,-1.0,1.0,-1.0,1.0
324084,19.3,-1.0,1.0,-1.0,1.0
324085,18.59,-1.0,1.0,-1.0,1.0
324086,18.27,-1.0,1.0,-1.0,1.0
324087,18.05,1.0,1.0,1.0,1.0
324088,18.08,1.0,1.0,1.0,1.0
324089,18.12,1.0,1.0,1.0,1.0
324090,18.72,-1.0,1.0,1.0,1.0
324091,18.54,1.0,1.0,1.0,1.0
324092,18.8,-1.0,1.0,-1.0,1.0
324093,18.78,1.0,-1.0,1.0,-1.0
324094,19.13,1.0,-1.0,1.0,-1.0
324095,19.2,-1.0,-1.0,-1.0,-1.0
324096,19.12,-1.0,-1.0,1.0,-1.0
324097,18.48,1.0,1.0,1.0,1.0
324098,18.62,1.0,1.0,1.0,1.0
324099,18.7,0.0,1.0,0.0,1.0
324100,18.7,1.0,1.0,1.0,1.0
324101,19.4,1.0,1.0,-1.0,1.0
324102,19.84,1.0,-1.0,1.0,-1.0
324103,20.04,-1.0,-1.0,-1.0,-1.0
324104,19.96,-1.0,-1.0,-1.0,-1.0
324105,18.28,1.0,1.0,-1.0,1.0
324106,18.7,1.0,1.0,1.0,1.0
324107,18.86,1.0,1.0,1.0,1.0
324108,19.26,-1.0,1.0,1.0,1.0
324109,19.14,-1.0,1.0,1.0,1.0
324110,19.12,-1.0,1.0,1.0,1.0
324111,19.08,1.0,1.0,1.0,1.0
324112,19.3,1.0,1.0,1.0,1.0
324113,19.57,-1.0,1.0,-1.0,1.0
324114,19.4,-1.0,1.0,-1.0,1.0
324115,18.96,-1.0,1.0,-1.0,1.0
324116,18.75,-1.0,1.0,-1.0,1.0
324117,18.6,1.0,1.0,1.0,1.0
324118,18.68,1.0,1.0,1.0,1.0
324119,18.86,1.0,1.0,1.0,1.0
324120,19.0,-1.0,1.0,-1.0,1.0
324121,18.8,1.0,1.0,1.0,1.0
324122,18.94,-1.0,1.0,-1.0,1.0
324123,18.73,-1.0,1.0,-1.0,1.0
324124,18.7,1.0,1.0,1.0,1.0
324125,18.84,1.0,1.0,-1.0,1.0
324126,18.89,1.0,1.0,1.0,1.0
324127,19.18,-1.0,1.0,-1.0,1.0
324128,18.96,-1.0,1.0,-1.0,1.0
324129,18.79,1.0,1.0,1.0,1.0
324130,19.4,1.0,-1.0,1.0,-1.0
324131,19.53,1.0,-1.0,1.0,-1.0
324132,19.75,-1.0,-1.0,1.0,-1.0
324133,19.42,1.0,-1.0,1.0,-1.0
324134,19.51,1.0,-1.0,1.0,-1.0
324135,19.78,1.0,-1.0,1.0,-1.0
324136,19.94,1.0,-1.0,1.0,-1.0
324137,20.28,-1.0,-1.0,1.0,-1.0
324138,20.21,1.0,-1.0,1.0,-1.0
324139,20.32,1.0,-1.0,1.0,-1.0
324140,20.44,-1.0,-1.0,-1.0,-1.0
324141,20.39,1.0,-1.0,1.0,-1.0
324142,20.66,-1.0,-1.0,-1.0,-1.0
324143,20.46,-1.0,-1.0,-1.0,-1.0
324144,20.37,-1.0,-1.0,-1.0,-1.0
324145,20.18,1.0,-1.0,1.0,1.0
324146,20.71,1.0,-1.0,1.0,-1.0
324147,20.96,1.0,-1.0,1.0,-1.0
324148,21.0,1.0,-1.0,1.0,-1.0
324149,21.24,1.0,-1.0,1.0,-1.0
324150,21.44,-1.0,-1.0,1.0,-1.0
324151,21.04,-1.0,-1.0,-1.0,-1.0
324152,20.82,1.0,-1.0,1.0,-1.0
324153,20.95,-1.0,-1.0,-1.0,-1.0
324154,20.88,1.0,-1.0,1.0,-1.0
324155,20.89,1.0,-1.0,1.0,-1.0
324156,21.02,1.0,-1.0,1.0,-1.0
324157,21.17,-1.0,-1.0,-1.0,-1.0
324158,19.45,-1.0,1.0,-1.0,1.0
324159,19.38,-1.0,1.0,1.0,1.0
324160,19.3,1.0,1.0,1.0,1.0
324161,19.45,1.0,1.0,1.0,1.0
324162,19.54,-1.0,1.0,-1.0,1.0
324163,19.18,1.0,1.0,1.0,1.0
324164,19.2,1.0,1.0,1.0,1.0
324165,19.22,1.0,1.0,1.0,1.0
324166,19.65,1.0,1.0,1.0,1.0
324167,19.92,1.0,1.0,1.0,1.0
324168,19.93,-1.0,1.0,-1.0,1.0
324169,19.65,-1.0,1.0,-1.0,1.0
324170,19.5,-1.0,1.0,-1.0,1.0
324171,19.48,0.0,1.0,0.0,1.0
324172,19.48,1.0,1.0,1.0,1.0
324173,19.84,-1.0,1.0,-1.0,1.0
324174,19.83,1.0,1.0,1.0,1.0
324175,20.12,1.0,1.0,1.0,1.0
324176,20.16,1.0,1.0,1.0,1.0
324177,20.46,-1.0,1.0,-1.0,1.0
324178,20.44,1.0,1.0,1.0,1.0
324179,20.72,-1.0,1.0,-1.0,1.0
324180,20.7,-1.0,1.0,-1.0,1.0
324181,20.62,-1.0,1.0,-1.0,1.0
324182,20.55,-1.0,1.0,-1.0,1.0
324183,20.15,-1.0,1.0,1.0,1.0
324184,20.11,1.0,1.0,1.0,1.0
324185,20.6,-1.0,1.0,-1.0,1.0
324186,20.52,0.0,1.0,0.0,1.0
324187,20.52,-1.0,1.0,-1.0,1.0
324188,20.24,1.0,1.0,1.0,1.0
324189,20.66,1.0,1.0,1.0,1.0
324190,20.78,-1.0,1.0,1.0,1.0
324191,20.6,1.0,1.0,1.0,1.0
324192,20.78,1.0,1.0,1.0,1.0
324193,21.15,1.0,1.0,1.0,1.0
324194,21.18,1.0,1.0,1.0,1.0
324195,21.38,-1.0,1.0,-1.0,1.0
324196,21.08,1.0,1.0,1.0,1.0
324197,21.5,1.0,1.0,1.0,1.0
324198,21.7,1.0,1.0,1.0,1.0
324199,22.02,1.0,1.0,1.0,1.0
324200,22.05,-1.0,1.0,-1.0,1.0
