,Close,Target(1),Target(30),Prediction(1),Prediction(30)
333302,100.94,-1.0,1.0,1.0,1.0
333303,99.42,1.0,1.0,1.0,1.0
333304,100.12,1.0,1.0,1.0,1.0
333305,100.76,-1.0,1.0,-1.0,1.0
333306,99.28,1.0,1.0,1.0,1.0
333307,99.94,1.0,1.0,1.0,1.0
333308,102.39,-1.0,1.0,-1.0,1.0
333309,102.26,-1.0,1.0,-1.0,1.0
333310,99.18,1.0,1.0,1.0,1.0
333311,99.33,-1.0,1.0,-1.0,1.0
333312,98.57,1.0,1.0,1.0,1.0
333313,100.26,-1.0,1.0,-1.0,1.0
333314,99.65,1.0,1.0,1.0,1.0
333315,100.81,1.0,1.0,1.0,1.0
333316,100.85,1.0,1.0,1.0,1.0
333317,102.04,1.0,1.0,1.0,1.0
333318,102.64,1.0,1.0,1.0,1.0
333319,104.27,-1.0,1.0,-1.0,1.0
333320,104.14,-1.0,1.0,-1.0,1.0
333321,103.64,-1.0,1.0,-1.0,1.0
333322,102.84,1.0,1.0,1.0,1.0
333323,103.51,-1.0,1.0,-1.0,1.0
333324,102.49,-1.0,1.0,-1.0,1.0
333325,101.65,1.0,1.0,1.0,1.0
333326,104.21,-1.0,1.0,1.0,1.0
333327,103.58,1.0,1.0,1.0,1.0
333328,104.54,1.0,1.0,1.0,1.0
333329,104.7,1.0,1.0,1.0,1.0
333330,106.89,-1.0,-1.0,1.0,1.0
333331,106.65,1.0,1.0,1.0,1.0
333332,107.56,1.0,1.0,1.0,1.0
333333,108.08,1.0,1.0,1.0,1.0
333334,108.67,-1.0,1.0,-1.0,1.0
333335,107.83,-1.0,1.0,-1.0,1.0
333336,107.13,1.0,1.0,1.0,1.0
333337,107.75,1.0,1.0,1.0,1.0
333338,108.35,1.0,1.0,1.0,1.0
333339,108.37,-1.0,1.0,-1.0,1.0
333340,107.56,1.0,1.0,1.0,1.0
333341,108.4,1.0,1.0,1.0,-1.0
333342,109.34,-1.0,-1.0,-1.0,-1.0
333343,108.88,-1.0,-1.0,-1.0,-1.0
333344,108.75,1.0,-1.0,1.0,-1.0
333345,109.05,1.0,1.0,1.0,1.0
333346,109.47,-1.0,1.0,-1.0,1.0
333347,109.26,-1.0,1.0,-1.0,1.0
333348,108.12,1.0,1.0,1.0,1.0
333349,109.53,1.0,-1.0,1.0,-1.0
333350,112.19,1.0,-1.0,1.0,-1.0
333351,112.7,1.0,-1.0,1.0,1.0
333352,113.92,1.0,-1.0,1.0,-1.0
333353,114.17,1.0,-1.0,1.0,1.0
333354,114.77,-1.0,-1.0,-1.0,-1.0
333355,114.23,1.0,-1.0,1.0,-1.0
