,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
336798,4.8,0.1006439685145466,-1.0,1.0,-1.0,1.0
336799,4.6,-0.10339844746918203,1.0,1.0,1.0,1.0
336800,4.88,0.17255913654708974,1.0,1.0,-1.0,1.0
336801,4.99,0.27851672056336163,-1.0,1.0,-1.0,1.0
336802,4.79,0.07447430457963211,1.0,1.0,1.0,1.0
336803,4.9,0.180431888595904,1.0,1.0,-1.0,1.0
336804,4.93,0.20638947261217488,-1.0,1.0,-1.0,1.0
336805,4.71,-0.01765294337155332,-1.0,1.0,-1.0,1.0
336806,4.54,-0.1916953593552817,1.0,1.0,1.0,1.0
336807,4.63,-0.1057377753390112,-1.0,1.0,-1.0,1.0
336808,4.58,-0.15978019132273946,1.0,1.0,1.0,1.0
336809,4.65,-0.09382260730646763,1.0,1.0,1.0,1.0
336810,4.71,-0.03786502329019648,1.0,1.0,1.0,1.0
336811,4.79,0.038092560726075135,-1.0,1.0,1.0,1.0
336812,4.68,-0.07594985525765452,1.0,1.0,1.0,1.0
336813,4.82,0.0600077287586176,-1.0,1.0,1.0,1.0
336814,4.76,-0.004034687225111354,-1.0,1.0,-1.0,1.0
336815,4.72,-0.04807710320883984,1.0,1.0,1.0,1.0
336816,4.85,0.0778804808074316,1.0,1.0,1.0,1.0
336817,4.93,0.1538380648237032,-1.0,1.0,-1.0,1.0
336818,4.81,0.02979564883997376,1.0,1.0,1.0,1.0
336819,4.89,0.10575323285624537,-1.0,1.0,-1.0,1.0
336820,4.8,0.011710816872517071,1.0,1.0,1.0,1.0
336821,4.81,0.017668400888788405,-1.0,1.0,-1.0,1.0
336822,4.8,0.003625984905060165,1.0,1.0,1.0,1.0
336823,4.83,0.029583568921331068,-1.0,1.0,-1.0,1.0
336824,4.81,0.005541152937602156,0.0,1.0,0.0,1.0
336825,4.81,0.0014987369538737028,1.0,1.0,-1.0,1.0
336826,4.96,0.1474563209701456,0.0,1.0,1.0,1.0
336827,4.96,0.14341390498641715,1.0,1.0,1.0,1.0
336828,5.03,0.2093714890026881,1.0,1.0,1.0,1.0
336829,5.25,0.4253290730189594,1.0,1.0,1.0,1.0
336830,5.4,0.5712866570352313,1.0,1.0,1.0,1.0
336831,5.47,0.6372442410515022,-1.0,1.0,1.0,1.0
336832,5.41,0.5732018250677742,1.0,1.0,1.0,1.0
336833,5.53,0.6891594090840458,1.0,1.0,1.0,1.0
336834,5.76,0.9151169931003159,-1.0,1.0,-1.0,1.0
336835,5.5,0.6510745771165878,-1.0,1.0,-1.0,1.0
336836,5.32,0.4670321611328596,1.0,1.0,1.0,1.0
336837,5.47,0.6129897451491306,1.0,1.0,1.0,1.0
336838,5.48,0.6189473291654028,0.0,1.0,0.0,1.0
336839,5.48,0.6149049131816735,1.0,1.0,1.0,1.0
