,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
343967,29.36,-9.781911247504267,-1.0,1.0,-1.0,1.0
343968,28.48,-10.661279160218195,1.0,1.0,1.0,1.0
343969,28.72,-10.42064707293212,-1.0,1.0,-1.0,1.0
343970,28.57,-10.570014985646047,-1.0,1.0,-1.0,1.0
343971,28.35,-10.789382898359966,1.0,1.0,1.0,1.0
343972,28.93,-10.208750811073898,1.0,1.0,-1.0,1.0
343973,29.6,-9.538118723787818,-1.0,1.0,-1.0,1.0
343974,29.23,-9.907486636501748,-1.0,1.0,-1.0,1.0
343975,27.77,-11.36685454921567,1.0,1.0,1.0,1.0
343976,28.03,-11.106222461929598,-1.0,1.0,-1.0,1.0
343977,27.28,-11.85559037464352,-1.0,1.0,-1.0,1.0
343978,27.06,-12.07495828735745,1.0,1.0,1.0,1.0
343979,27.58,-11.554326200071372,1.0,1.0,1.0,1.0
343980,28.04,-11.0936941127853,-1.0,1.0,-1.0,1.0
343981,27.54,-11.593062025499222,1.0,1.0,1.0,1.0
343982,28.94,-10.192429938213149,1.0,1.0,1.0,1.0
343983,29.3,-9.831797850927073,1.0,1.0,1.0,1.0
343984,29.76,-9.371165763641,1.0,1.0,1.0,1.0
343985,29.88,-9.250533676354923,-1.0,1.0,-1.0,1.0
343986,29.57,-9.559901589068849,-1.0,1.0,1.0,1.0
343987,29.0,-10.129269501782774,1.0,1.0,1.0,1.0
343988,29.38,-9.748637414496702,-1.0,1.0,-1.0,1.0
343989,29.01,-10.11800532721062,-1.0,1.0,-1.0,1.0
343990,28.78,-10.34737323992455,1.0,1.0,1.0,1.0
343991,29.04,-10.086741152638474,1.0,1.0,1.0,1.0
343992,29.25,-9.876109065352402,-1.0,1.0,-1.0,1.0
343993,29.24,-9.885476978066324,1.0,1.0,1.0,1.0
343994,29.59,-9.534844890780253,1.0,1.0,1.0,1.0
343995,30.4,-8.724212803494176,1.0,1.0,1.0,1.0
343996,30.54,-8.583580716208104,1.0,1.0,1.0,1.0
343997,30.57,-8.552948628922024,1.0,1.0,1.0,1.0
343998,31.1,-8.022316541635952,1.0,1.0,1.0,1.0
343999,31.67,-7.4516844543498735,1.0,1.0,1.0,1.0
344000,32.13,-6.991052367063801,0.0,1.0,0.0,-1.0
344001,32.13,-6.990420279777722,1.0,1.0,1.0,1.0
344002,33.01,-6.109788192491656,1.0,-1.0,1.0,-1.0
344003,33.8,-5.319156105205579,-1.0,-1.0,1.0,-1.0
344004,33.5,-5.618524017919505,-1.0,-1.0,1.0,-1.0
344005,33.11,-6.007891930633428,1.0,1.0,1.0,1.0
344006,33.98,-5.137259843347358,-1.0,-1.0,-1.0,-1.0
344007,33.83,-5.286627756061279,1.0,-1.0,1.0,-1.0
344008,33.88,-5.235995668775203,-1.0,-1.0,-1.0,-1.0
344009,33.57,-5.545363581489127,-1.0,-1.0,-1.0,-1.0
344010,33.37,-5.744731494203059,-1.0,1.0,-1.0,-1.0
344011,33.13,-5.984099406916974,1.0,1.0,1.0,1.0
344012,33.14,-5.973467319630907,-1.0,1.0,-1.0,1.0
344013,33.0,-6.112835232344827,-1.0,1.0,-1.0,1.0
344014,32.96,-6.152203145058756,1.0,-1.0,1.0,-1.0
344015,33.28,-5.8315710577726785,1.0,-1.0,1.0,-1.0
344016,33.61,-5.500938970486602,-1.0,-1.0,-1.0,-1.0
344017,32.61,-6.50030688320053,1.0,-1.0,1.0,-1.0
344018,32.76,-6.349674795914452,1.0,-1.0,1.0,-1.0
344019,33.26,-5.8490427086283825,-1.0,-1.0,-1.0,1.0
344020,32.9,-6.208410621342303,1.0,-1.0,1.0,-1.0
344021,33.08,-6.027778534056232,-1.0,-1.0,1.0,-1.0
344022,32.6,-6.50714644677015,-1.0,-1.0,-1.0,-1.0
344023,31.67,-7.436514359484079,-1.0,1.0,1.0,1.0
344024,31.17,-7.935882272198,1.0,1.0,1.0,1.0
344025,31.45,-7.6552501849119325,1.0,-1.0,-1.0,-1.0
344026,31.89,-7.214618097625853,1.0,1.0,1.0,1.0
344027,32.22,-6.883986010339783,1.0,-1.0,1.0,-1.0
344028,32.78,-6.323353923053702,1.0,-1.0,1.0,1.0
344029,33.09,-6.0127218357676275,1.0,-1.0,1.0,-1.0
344030,33.66,-5.442089748481556,-1.0,-1.0,-1.0,-1.0
344031,32.17,-6.931457661195482,1.0,-1.0,1.0,1.0
344032,32.27,-6.830825573909402,1.0,1.0,1.0,1.0
344033,32.89,-6.210193486623332,-1.0,-1.0,-1.0,-1.0
344034,32.12,-6.979561399337259,1.0,1.0,1.0,1.0
344035,33.2,-5.898929312051179,-1.0,1.0,-1.0,1.0
344036,32.21,-6.888297224765104,-1.0,1.0,-1.0,1.0
344037,31.8,-7.297665137479032,-1.0,1.0,-1.0,1.0
344038,30.91,-8.187033050192955,1.0,1.0,1.0,1.0
344039,31.02,-8.076400962906884,1.0,1.0,1.0,1.0
344040,33.72,-5.375768875620806,1.0,-1.0,1.0,1.0
344041,33.76,-5.3351367883347365,1.0,-1.0,1.0,-1.0
344042,33.98,-5.114504701048659,-1.0,-1.0,-1.0,-1.0
344043,33.47,-5.623872613762586,-1.0,-1.0,-1.0,-1.0
344044,32.59,-6.503240526476502,1.0,-1.0,1.0,-1.0
344045,32.63,-6.462608439190433,-1.0,-1.0,-1.0,-1.0
344046,31.85,-7.2419763519043565,-1.0,1.0,1.0,1.0
344047,31.64,-7.451344264618284,-1.0,1.0,-1.0,1.0
344048,30.01,-9.080712177332208,1.0,1.0,1.0,1.0
344049,31.04,-8.050080090046137,-1.0,1.0,-1.0,1.0
344050,30.54,-8.549448002760059,1.0,1.0,-1.0,1.0
344051,30.83,-8.258815915473987,-1.0,1.0,-1.0,1.0
344052,30.73,-8.358183828187906,1.0,1.0,1.0,1.0
344053,32.47,-6.617551740901837,-1.0,1.0,1.0,1.0
344054,31.86,-7.2269196536157585,-1.0,1.0,-1.0,1.0
344055,31.35,-7.736287566329687,1.0,1.0,1.0,1.0
344056,32.31,-6.775655479043608,-1.0,1.0,-1.0,1.0
344057,31.8,-7.285023391757537,-1.0,1.0,-1.0,1.0
344058,30.18,-8.90439130447146,-1.0,1.0,-1.0,1.0
344059,30.15,-8.933759217185392,1.0,1.0,1.0,1.0
344060,31.06,-8.023127129899311,-1.0,1.0,-1.0,1.0
344061,30.93,-8.152495042613241,1.0,1.0,1.0,1.0
344062,32.46,-6.621862955327161,1.0,1.0,1.0,1.0
344063,32.85,-6.231230868041087,1.0,1.0,1.0,1.0
344064,33.44,-5.640598780755013,1.0,1.0,-1.0,1.0
344065,34.35,-4.729966693468938,-1.0,1.0,-1.0,1.0
344066,34.19,-4.889334606182863,1.0,1.0,1.0,1.0
344067,34.35,-4.728702518896789,-1.0,1.0,-1.0,1.0
344068,32.72,-6.358070431610713,-1.0,1.0,-1.0,1.0
344069,32.5,-6.577438344324642,-1.0,1.0,1.0,1.0
344070,32.05,-7.026806257038566,1.0,1.0,1.0,1.0
344071,32.41,-6.666174169752495,-1.0,1.0,-1.0,1.0
344072,32.04,-7.035542082466414,1.0,1.0,1.0,1.0
344073,32.75,-6.3249099951803425,-1.0,1.0,-1.0,1.0
344074,32.49,-6.584277907894262,-1.0,1.0,-1.0,1.0
344075,32.25,-6.823645820608193,0.0,1.0,0.0,1.0
344076,32.25,-6.823013733322114,-1.0,1.0,-1.0,1.0
344077,32.13,-6.94238164603604,-1.0,1.0,-1.0,1.0
344078,31.75,-7.321749558749964,-1.0,1.0,-1.0,1.0
344079,31.42,-7.651117471463891,1.0,1.0,1.0,1.0
344080,32.84,-6.230485384177811,-1.0,1.0,-1.0,1.0
344081,32.83,-6.239853296891737,1.0,1.0,1.0,1.0
