,Close,Target(1),Target(30),Prediction(1),Prediction(30)
345834,27.62,1.0,1.0,1.0,1.0
345835,27.73,1.0,1.0,1.0,1.0
345836,27.84,-1.0,1.0,-1.0,1.0
345837,27.34,1.0,1.0,1.0,1.0
345838,28.01,1.0,1.0,-1.0,1.0
345839,28.39,1.0,1.0,1.0,1.0
345840,29.03,-1.0,1.0,-1.0,1.0
345841,28.47,-1.0,1.0,-1.0,1.0
345842,27.93,1.0,1.0,1.0,1.0
345843,27.98,1.0,1.0,1.0,1.0
345844,28.59,1.0,1.0,1.0,1.0
345845,28.87,-1.0,1.0,-1.0,1.0
345846,28.65,1.0,1.0,1.0,1.0
345847,28.99,1.0,1.0,-1.0,1.0
345848,29.0,1.0,1.0,1.0,1.0
345849,29.44,1.0,1.0,1.0,1.0
345850,30.02,1.0,1.0,1.0,1.0
345851,30.3,-1.0,1.0,-1.0,1.0
345852,30.15,1.0,1.0,1.0,1.0
345853,30.32,1.0,1.0,1.0,1.0
345854,30.75,1.0,1.0,1.0,1.0
345855,31.36,0.0,1.0,0.0,1.0
345856,31.36,-1.0,1.0,-1.0,1.0
345857,31.2,1.0,1.0,1.0,1.0
345858,31.43,-1.0,1.0,-1.0,1.0
345859,31.36,1.0,1.0,1.0,1.0
345860,31.47,-1.0,1.0,-1.0,1.0
345861,31.44,1.0,1.0,1.0,1.0
345862,31.8,1.0,1.0,1.0,1.0
345863,31.96,-1.0,1.0,-1.0,1.0
345864,31.68,1.0,1.0,1.0,1.0
345865,31.71,1.0,1.0,1.0,-1.0
345866,32.13,1.0,1.0,1.0,1.0
345867,32.45,1.0,1.0,1.0,1.0
345868,32.69,-1.0,1.0,-1.0,1.0
345869,32.55,-1.0,1.0,-1.0,1.0
345870,32.52,-1.0,1.0,-1.0,1.0
345871,32.4,-1.0,1.0,-1.0,1.0
345872,32.36,1.0,1.0,-1.0,1.0
345873,32.67,-1.0,1.0,-1.0,1.0
345874,32.59,-1.0,1.0,1.0,1.0
345875,32.32,1.0,1.0,1.0,1.0
345876,32.62,1.0,1.0,1.0,1.0
345877,32.75,-1.0,1.0,-1.0,1.0
345878,32.6,1.0,1.0,1.0,1.0
345879,32.69,-1.0,1.0,1.0,1.0
345880,32.35,1.0,1.0,1.0,1.0
345881,32.38,1.0,1.0,1.0,1.0
