,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
351457,14.53,1.7289728182985848,-1.0,-1.0,-1.0,-1.0
351474,13.84,0.488580517468641,1.0,1.0,1.0,1.0
351481,13.97,0.3919483935974899,0.0,1.0,0.0,1.0
351510,15.13,0.6130438804169955,-1.0,1.0,-1.0,1.0
351539,15.68,0.2241393672365017,1.0,1.0,1.0,1.0
351550,16.5,0.6880031725818334,1.0,-1.0,1.0,-1.0
351596,15.38,-1.921293641428603,-1.0,1.0,-1.0,1.0
351634,17.04,-1.4915823138720086,-1.0,1.0,-1.0,1.0
351653,17.41,-1.7367266500937113,1.0,-1.0,1.0,1.0
351905,26.91,-0.39548310945523824,0.0,-1.0,0.0,-1.0
351906,26.91,-0.4278591271511161,1.0,1.0,1.0,1.0
351927,26.34,-1.6777554987645755,-1.0,1.0,-1.0,1.0
351936,27.32,-0.9891396580274864,-1.0,1.0,-1.0,1.0
351949,28.39,-0.3400278880739158,-1.0,1.0,-1.0,1.0
351956,27.88,-1.0766600119450729,-1.0,1.0,-1.0,1.0
351972,28.37,-1.104676295079134,-1.0,1.0,-1.0,1.0
351973,28.24,-1.2670523127750144,-1.0,1.0,-1.0,1.0
351974,28.23,-1.3094283304708902,1.0,1.0,-1.0,1.0
351975,28.44,-1.1318043481667708,1.0,1.0,1.0,1.0
351976,30.0,0.3958196341373501,-1.0,-1.0,-1.0,-1.0
351977,29.56,-0.07655638355853256,1.0,-1.0,1.0,-1.0
351978,29.86,0.19106759874559032,1.0,-1.0,1.0,-1.0
351979,31.03,1.3286915810497106,1.0,-1.0,1.0,-1.0
351980,31.19,1.456315563353833,1.0,-1.0,1.0,-1.0
351981,31.57,1.803939545657954,1.0,-1.0,1.0,-1.0
351982,32.05,2.2515635279620736,-1.0,-1.0,-1.0,-1.0
351983,31.46,1.629187510266199,1.0,-1.0,1.0,-1.0
351984,31.47,1.6068114925703156,-1.0,-1.0,-1.0,-1.0
351985,30.99,1.0944354748744338,-1.0,-1.0,-1.0,-1.0
351986,30.81,0.8820594571785563,-1.0,-1.0,-1.0,-1.0
351987,30.43,0.4696834394826794,1.0,-1.0,1.0,-1.0
351988,30.49,0.4973074217867968,1.0,-1.0,1.0,-1.0
351989,30.75,0.7249314040909205,-1.0,-1.0,-1.0,-1.0
351990,29.83,-0.22744461360495905,1.0,-1.0,1.0,-1.0
351991,30.04,-0.049820631300836034,-1.0,-1.0,-1.0,-1.0
351992,29.56,-0.5621966489967178,1.0,-1.0,1.0,-1.0
351993,30.08,-0.07457266669259965,1.0,-1.0,1.0,-1.0
351994,30.71,0.5230513156115251,1.0,-1.0,1.0,-1.0
351995,30.87,0.6506752979156474,-1.0,-1.0,-1.0,1.0
351996,30.54,0.2882992802197677,-1.0,-1.0,-1.0,-1.0
351997,29.46,-0.8240767374761084,1.0,1.0,1.0,1.0
351998,29.75,-0.5664527551719907,1.0,1.0,1.0,1.0
351999,29.88,-0.4688287728678695,1.0,1.0,1.0,1.0
352000,30.05,-0.3312047905637492,-1.0,1.0,-1.0,1.0
352001,29.55,-0.863580808259627,1.0,1.0,1.0,1.0
352002,29.56,-0.8859568259555104,-1.0,1.0,1.0,1.0
352003,29.47,-1.008332843651388,1.0,1.0,1.0,1.0
352004,30.29,-0.22070886134726564,-1.0,-1.0,-1.0,-1.0
352005,29.06,-1.483084879043144,1.0,1.0,1.0,1.0
352006,29.19,-1.3854608967390192,-1.0,1.0,-1.0,1.0
352007,29.07,-1.5378369144349016,-1.0,1.0,-1.0,1.0
352008,29.04,-1.600212932130784,-1.0,1.0,-1.0,1.0
352009,29.02,-1.6525889498266615,-1.0,1.0,-1.0,1.0
352010,28.98,-1.7249649675225385,-1.0,1.0,-1.0,1.0
352011,28.62,-2.1173409852184197,-1.0,1.0,-1.0,1.0
352012,28.58,-2.1897170029143,1.0,1.0,1.0,1.0
352013,29.0,-1.802093020610176,-1.0,1.0,-1.0,1.0
352014,28.79,-2.044469038306054,-1.0,1.0,-1.0,1.0
352015,28.48,-2.3868450560019348,-1.0,1.0,1.0,1.0
352016,28.38,-2.5192210736978176,1.0,1.0,1.0,1.0
352017,28.46,-2.471597091393693,1.0,1.0,1.0,1.0
352018,28.66,-2.3039731090895716,1.0,1.0,1.0,1.0
352019,28.83,-2.166349126785452,1.0,1.0,1.0,1.0
352020,28.96,-2.068725144481327,1.0,1.0,1.0,1.0
352021,29.13,-1.9311011621772105,1.0,1.0,1.0,1.0
352022,29.14,-1.9534771798730863,-1.0,1.0,-1.0,1.0
352023,29.11,-2.015853197568969,1.0,1.0,1.0,1.0
352024,29.28,-1.8782292152648448,1.0,1.0,1.0,1.0
352025,29.44,-1.7506052329607265,1.0,1.0,1.0,1.0
352026,29.78,-1.4429812506566044,1.0,1.0,1.0,1.0
352027,29.96,-1.2953572683524823,1.0,1.0,1.0,1.0
352028,30.29,-0.997733286048362,-1.0,1.0,1.0,1.0
352029,29.98,-1.3401093037442386,1.0,1.0,1.0,1.0
352030,30.26,-1.092485321440119,-1.0,1.0,-1.0,1.0
352031,30.16,-1.2248613391360017,1.0,1.0,1.0,1.0
352032,30.17,-1.247237356831878,-1.0,1.0,-1.0,1.0
352033,30.06,-1.3896133745277588,-1.0,1.0,-1.0,1.0
352034,29.84,-1.6419893922236393,-1.0,1.0,-1.0,1.0
352035,29.61,-1.9043654099195173,-1.0,1.0,-1.0,1.0
352036,29.51,-2.036741427615393,-1.0,1.0,-1.0,1.0
352037,29.49,-2.0891174453112744,-1.0,1.0,-1.0,1.0
352038,29.34,-2.2714934630071544,-1.0,1.0,-1.0,1.0
352039,29.22,-2.4238694807030328,1.0,1.0,1.0,1.0
352040,29.3,-2.3762454983989123,1.0,1.0,1.0,1.0
352041,29.32,-2.3886215160947906,-1.0,1.0,-1.0,1.0
352042,29.28,-2.4609975337906675,1.0,1.0,1.0,1.0
352043,29.48,-2.2933735514865456,-1.0,1.0,-1.0,1.0
352044,29.29,-2.5157495691824288,1.0,1.0,1.0,1.0
352045,29.48,-2.3581255868783053,-1.0,1.0,-1.0,1.0
352046,29.3,-2.5705016045741864,-1.0,1.0,1.0,1.0
352047,29.28,-2.6228776222700643,1.0,1.0,1.0,1.0
352048,29.33,-2.605253639965948,1.0,1.0,1.0,1.0
352049,34.86,2.8923703423381752,-1.0,1.0,-1.0,1.0
352050,34.65,2.6499943246422997,-1.0,1.0,-1.0,1.0
352051,34.59,2.557618306946424,1.0,1.0,-1.0,1.0
352052,34.85,2.78524228925054,-1.0,1.0,1.0,1.0
352053,34.75,2.6528662715546574,1.0,1.0,1.0,1.0
352054,34.96,2.830490253858777,1.0,1.0,1.0,1.0
352055,34.97,2.808114236162901,0.0,1.0,0.0,1.0
352056,34.97,2.7757382184670263,-1.0,1.0,-1.0,1.0
352057,34.95,2.723362200771149,0.0,-1.0,0.0,-1.0
