,Close,Target(1),Target(30),Prediction(1),Prediction(30)
354046,40.22,-1.0,1.0,1.0,1.0
354047,39.97,1.0,1.0,1.0,1.0
354048,40.26,-1.0,1.0,1.0,1.0
354049,39.82,-1.0,1.0,-1.0,1.0
354050,38.64,1.0,1.0,1.0,1.0
354051,39.37,1.0,1.0,1.0,1.0
354052,39.52,-1.0,1.0,-1.0,1.0
354053,39.21,-1.0,1.0,-1.0,1.0
354054,37.73,-1.0,1.0,1.0,1.0
354055,37.47,-1.0,1.0,1.0,1.0
354056,36.87,1.0,1.0,1.0,1.0
354057,37.82,-1.0,1.0,1.0,1.0
354058,37.72,1.0,1.0,1.0,1.0
354059,38.23,-1.0,1.0,-1.0,1.0
354060,37.86,1.0,1.0,1.0,1.0
354061,38.92,1.0,1.0,1.0,1.0
354062,39.09,1.0,1.0,1.0,1.0
354063,39.85,1.0,1.0,1.0,1.0
354064,40.22,-1.0,1.0,-1.0,1.0
354065,40.15,-1.0,1.0,-1.0,1.0
354066,39.93,1.0,1.0,1.0,1.0
354067,40.58,-1.0,1.0,-1.0,1.0
354068,40.19,-1.0,1.0,-1.0,1.0
354069,40.16,1.0,1.0,1.0,1.0
354070,40.57,1.0,1.0,1.0,1.0
354071,40.68,1.0,1.0,1.0,1.0
354072,40.92,1.0,1.0,1.0,1.0
354073,41.18,1.0,1.0,1.0,1.0
354074,41.91,-1.0,1.0,-1.0,1.0
354075,41.49,1.0,1.0,1.0,1.0
354076,42.27,1.0,1.0,1.0,1.0
354077,42.34,1.0,1.0,1.0,1.0
354078,42.62,1.0,1.0,1.0,1.0
354079,42.93,1.0,1.0,1.0,1.0
354080,42.97,1.0,1.0,1.0,1.0
354081,43.03,-1.0,1.0,-1.0,1.0
354082,42.91,1.0,1.0,1.0,1.0
354083,43.43,1.0,1.0,1.0,1.0
354084,43.82,-1.0,1.0,-1.0,1.0
354085,43.56,1.0,1.0,1.0,1.0
354086,44.19,1.0,1.0,1.0,1.0
354087,44.48,-1.0,-1.0,1.0,-1.0
354088,44.34,1.0,-1.0,1.0,-1.0
354089,44.6,1.0,1.0,1.0,1.0
354090,44.87,1.0,1.0,1.0,1.0
354091,44.95,1.0,1.0,1.0,1.0
354092,45.27,-1.0,1.0,-1.0,1.0
354093,45.03,1.0,1.0,1.0,1.0
354094,45.45,1.0,-1.0,1.0,-1.0
354095,45.46,-1.0,-1.0,-1.0,-1.0
354096,45.25,1.0,-1.0,1.0,-1.0
354097,45.49,1.0,-1.0,1.0,-1.0
354098,45.77,1.0,-1.0,1.0,-1.0
354099,45.99,-1.0,-1.0,-1.0,-1.0
354100,45.66,1.0,-1.0,-1.0,-1.0
354101,46.33,1.0,-1.0,1.0,1.0
354102,46.47,-1.0,-1.0,-1.0,-1.0
354103,45.82,-1.0,-1.0,-1.0,-1.0
354104,45.75,1.0,-1.0,1.0,1.0
354105,46.38,1.0,-1.0,1.0,-1.0
354106,46.69,1.0,-1.0,1.0,-1.0
354107,47.44,1.0,-1.0,1.0,-1.0
354108,47.72,1.0,-1.0,1.0,-1.0
354109,48.27,-1.0,-1.0,-1.0,-1.0
354110,46.94,1.0,-1.0,1.0,-1.0
354111,47.05,1.0,-1.0,1.0,-1.0
354112,48.52,-1.0,-1.0,-1.0,-1.0
354113,47.47,1.0,-1.0,1.0,-1.0
354114,48.51,-1.0,-1.0,1.0,-1.0
354115,46.86,-1.0,-1.0,-1.0,-1.0
354116,45.88,-1.0,-1.0,-1.0,1.0
354117,44.3,-1.0,-1.0,-1.0,1.0
354118,43.52,1.0,-1.0,1.0,-1.0
354119,46.07,-1.0,-1.0,-1.0,-1.0
354120,45.85,1.0,-1.0,-1.0,-1.0
354121,46.87,-1.0,-1.0,-1.0,-1.0
354122,46.19,-1.0,-1.0,1.0,-1.0
354123,45.48,-1.0,-1.0,-1.0,-1.0
