,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
365657,54.9,13.885570412196046,-1.0,1.0,-1.0,1.0
365658,54.53,13.443238032588608,-1.0,1.0,-1.0,1.0
365659,53.92,12.760905652981172,-1.0,1.0,-1.0,1.0
365660,53.33,12.09857327337373,1.0,1.0,1.0,1.0
365661,54.05,12.7462408937663,1.0,1.0,1.0,1.0
365662,54.86,13.483908514158866,1.0,1.0,1.0,1.0
365663,55.86,14.411576134551424,-1.0,1.0,-1.0,1.0
365664,55.24,13.719243754943989,-1.0,1.0,-1.0,1.0
365665,53.79,12.196911375336548,1.0,1.0,1.0,1.0
365666,54.07,12.404578995729118,-1.0,1.0,-1.0,1.0
365667,53.86,12.12224661612168,1.0,1.0,1.0,1.0
365668,54.91,13.09991423651424,1.0,1.0,1.0,1.0
365669,55.0,13.117581856906805,1.0,1.0,1.0,1.0
365670,55.87,13.915249477299364,1.0,1.0,-1.0,1.0
365671,56.17,14.142917097691926,1.0,1.0,1.0,1.0
365672,56.73,14.630584718084492,1.0,1.0,1.0,1.0
365673,57.05,14.878252338477054,1.0,1.0,1.0,1.0
365674,57.1,14.85591995886962,1.0,1.0,1.0,1.0
365675,57.22,14.90358757926218,-1.0,1.0,-1.0,1.0
365676,57.18,14.791255199654742,-1.0,1.0,-1.0,1.0
365677,57.1,14.638922820047311,0.0,1.0,0.0,1.0
365678,57.1,14.566590440439874,-1.0,1.0,-1.0,1.0
365679,56.86,14.254258060832436,-1.0,1.0,-1.0,1.0
365680,56.83,14.151925681224995,1.0,1.0,1.0,1.0
365681,56.89,14.13959330161756,1.0,1.0,1.0,1.0
365682,56.97,14.147260922010119,-1.0,1.0,-1.0,1.0
365683,56.56,13.664928542402695,-1.0,1.0,-1.0,1.0
365684,56.35,13.382596162795252,1.0,1.0,1.0,1.0
365685,56.88,13.840263783187813,-1.0,1.0,-1.0,1.0
365686,56.61,13.497931403580374,-1.0,1.0,-1.0,1.0
365687,55.99,12.805599023972938,1.0,1.0,1.0,1.0
365688,56.03,12.773266644365506,1.0,1.0,1.0,1.0
365689,56.39,13.06093426475807,1.0,1.0,1.0,1.0
365690,56.63,13.228601885150633,1.0,1.0,1.0,1.0
365691,56.87,13.396269505543186,1.0,1.0,1.0,1.0
365692,57.13,13.583937125935755,1.0,1.0,1.0,1.0
365693,57.36,13.74160474632832,1.0,1.0,1.0,1.0
365694,57.59,13.899272366720885,1.0,1.0,1.0,1.0
365695,57.63,13.866939987113447,1.0,1.0,1.0,1.0
365696,58.21,14.374607607506007,1.0,1.0,1.0,1.0
365697,58.35,14.442275227898572,-1.0,1.0,-1.0,1.0
365698,58.34,14.359942848291139,-1.0,-1.0,-1.0,-1.0
365699,57.8,13.747610468683696,1.0,1.0,1.0,1.0
365700,57.81,13.685278089076267,1.0,1.0,1.0,1.0
365701,58.2,14.002945709468825,1.0,1.0,1.0,1.0
365702,59.21,14.940613329861385,-1.0,-1.0,-1.0,-1.0
365703,58.9,14.558280950253945,1.0,-1.0,-1.0,-1.0
365704,59.58,15.165948570646513,-1.0,-1.0,-1.0,-1.0
365705,59.26,14.773616191039073,-1.0,-1.0,-1.0,-1.0
365706,59.21,14.651283811431641,-1.0,-1.0,-1.0,-1.0
365707,59.12,14.488951431824198,1.0,-1.0,1.0,-1.0
365708,59.36,14.656619052216762,-1.0,-1.0,1.0,-1.0
365709,59.26,14.48428667260933,1.0,-1.0,1.0,-1.0
365710,59.64,14.791954293001892,1.0,-1.0,1.0,-1.0
365711,60.78,15.859621913394456,1.0,-1.0,1.0,-1.0
365712,60.98,15.987289533787012,-1.0,-1.0,-1.0,-1.0
365713,60.86,15.794957154179578,-1.0,-1.0,-1.0,-1.0
365714,60.65,15.51262477457214,1.0,-1.0,1.0,-1.0
365715,61.23,16.020292394964706,-1.0,-1.0,-1.0,-1.0
365716,60.57,15.287960015357273,1.0,-1.0,-1.0,-1.0
365717,61.12,15.765627635749832,1.0,-1.0,1.0,-1.0
365718,62.39,16.963295256142395,-1.0,-1.0,1.0,-1.0
365719,61.24,15.740962876534958,-1.0,-1.0,-1.0,-1.0
365720,61.16,15.588630496927523,1.0,-1.0,1.0,-1.0
365721,61.54,15.896298117320088,1.0,-1.0,1.0,-1.0
365722,61.95,16.23396573771265,-1.0,-1.0,1.0,-1.0
365723,60.5,14.711633358105212,1.0,-1.0,1.0,-1.0
365724,61.1,15.239300978497775,-1.0,-1.0,-1.0,-1.0
365725,60.55,14.616968598890338,-1.0,-1.0,-1.0,-1.0
365726,60.37,14.364636219282902,-1.0,-1.0,-1.0,-1.0
365727,58.77,12.692303839675468,-1.0,-1.0,-1.0,-1.0
365728,57.0,10.849971460068026,1.0,-1.0,1.0,-1.0
365729,59.22,12.997639080460589,-1.0,-1.0,-1.0,-1.0
365730,58.7,12.40530670085316,1.0,-1.0,1.0,-1.0
365731,59.53,13.16297432124572,-1.0,-1.0,-1.0,-1.0
365732,58.75,12.310641941638279,-1.0,-1.0,-1.0,-1.0
365733,57.64,11.128309562030845,1.0,-1.0,1.0,-1.0
365734,57.94,11.355977182423404,-1.0,-1.0,1.0,-1.0
365735,57.26,10.603644802815962,-1.0,-1.0,-1.0,-1.0
365736,57.21,10.481312423208538,-1.0,-1.0,-1.0,-1.0
365737,55.27,8.4689800436011,1.0,-1.0,1.0,-1.0
365738,55.94,9.066647663993656,-1.0,-1.0,-1.0,-1.0
365739,55.38,8.434315284386223,-1.0,-1.0,-1.0,-1.0
365740,54.94,7.92198290477878,1.0,-1.0,1.0,-1.0
365741,55.13,8.039650525171353,1.0,-1.0,1.0,-1.0
365742,56.81,9.647318145563917,-1.0,-1.0,-1.0,-1.0
365743,56.41,9.174985765956473,-1.0,-1.0,1.0,-1.0
365744,55.42,8.112653386349036,1.0,1.0,1.0,1.0
365745,57.06,9.6803210067416,1.0,-1.0,1.0,-1.0
365746,57.19,9.73798862713416,-1.0,-1.0,-1.0,-1.0
365747,55.0,7.475656247526729,-1.0,-1.0,-1.0,-1.0
365748,54.43,6.83332386791929,-1.0,-1.0,-1.0,-1.0
365749,53.98,6.310991488311848,-1.0,-1.0,1.0,-1.0
365750,53.8,6.05865910870441,1.0,-1.0,1.0,-1.0
365751,54.51,6.696326729096974,1.0,-1.0,1.0,-1.0
365752,55.07,7.183994349489545,1.0,-1.0,1.0,-1.0
365753,55.74,7.781661969882108,1.0,-1.0,1.0,-1.0
365754,55.87,7.839329590274667,1.0,-1.0,-1.0,-1.0
365755,55.89,7.786997210667231,1.0,-1.0,1.0,-1.0
365756,55.91,7.7346648310597885,1.0,-1.0,-1.0,-1.0
365757,56.42,8.172332451452363,1.0,-1.0,1.0,-1.0
365758,56.81,8.490000071844925,-1.0,-1.0,-1.0,-1.0
365759,56.59,8.197667692237486,-1.0,-1.0,-1.0,-1.0
365760,56.47,8.005335312630045,-1.0,-1.0,-1.0,-1.0
365761,55.52,6.983002933022611,1.0,-1.0,1.0,-1.0
365762,55.72,7.110670553415176,1.0,-1.0,-1.0,-1.0
365763,56.74,8.05833817380774,-1.0,-1.0,-1.0,-1.0
365764,55.31,6.556005794200303,-1.0,-1.0,-1.0,-1.0
365765,54.9,6.073673414592861,-1.0,-1.0,-1.0,-1.0
365766,54.53,5.631341034985424,-1.0,-1.0,-1.0,-1.0
365767,54.25,5.279008655377993,-1.0,-1.0,-1.0,-1.0
365768,54.17,5.126676275770548,1.0,1.0,1.0,1.0
365769,54.73,5.614343896163113,1.0,1.0,1.0,-1.0
365770,54.92,5.73201151655568,-1.0,-1.0,-1.0,-1.0
365771,54.85,5.5896791369482415,-1.0,-1.0,1.0,-1.0
365772,54.76,5.427346757340807,1.0,-1.0,-1.0,-1.0
365773,56.01,6.605014377733369,-1.0,-1.0,-1.0,-1.0
365774,55.61,6.132681998125932,1.0,-1.0,1.0,-1.0
365775,55.62,6.070349618518492,-1.0,-1.0,-1.0,-1.0
365776,53.34,3.71801723891106,-1.0,-1.0,-1.0,-1.0
365777,52.57,2.875684859303618,-1.0,1.0,-1.0,1.0
365778,51.96,2.1933524796961805,-1.0,1.0,-1.0,1.0
365779,51.3,1.4610201000887455,1.0,1.0,1.0,1.0
365780,52.77,2.858687720481313,-1.0,1.0,-1.0,1.0
365781,52.52,2.5363553408738757,1.0,1.0,1.0,1.0
365782,53.56,3.504022961266436,-1.0,1.0,-1.0,1.0
365783,53.41,3.2816905816589923,-1.0,1.0,-1.0,1.0
365784,52.53,2.3293582020515657,-1.0,1.0,1.0,1.0
365785,51.64,1.367025822444127,1.0,1.0,1.0,1.0
365786,52.49,2.14469344283669,1.0,1.0,-1.0,1.0
365787,53.27,2.8523610632292526,1.0,1.0,1.0,1.0
365788,53.6,3.110028683621813,1.0,1.0,1.0,1.0
365789,54.51,3.947696304014378,1.0,1.0,1.0,1.0
365790,54.59,3.9553639244069463,-1.0,1.0,-1.0,1.0
365791,54.49,3.783031544799506,-1.0,1.0,-1.0,1.0
365792,54.2,3.420699165192069,1.0,1.0,1.0,1.0
365793,54.87,4.018366785584625,-1.0,1.0,-1.0,1.0
365794,54.43,3.5060344059771964,-1.0,1.0,-1.0,1.0
365795,54.01,3.0137020263697565,-1.0,1.0,-1.0,1.0
365796,53.7,2.6313696467623235,-1.0,1.0,-1.0,1.0
365797,53.66,2.519037267154878,1.0,1.0,1.0,1.0
365798,55.0,3.7867048875474443,1.0,1.0,1.0,1.0
365799,55.22,3.934372507940012,-1.0,1.0,-1.0,1.0
365800,54.08,2.7220401283325657,1.0,1.0,1.0,1.0
365801,54.24,2.8097077487251383,1.0,1.0,1.0,1.0
365802,54.31,2.8073753691177004,-1.0,1.0,-1.0,1.0
365803,53.26,1.685042989510258,1.0,1.0,-1.0,1.0
365804,53.71,2.0627106099028225,-1.0,1.0,-1.0,1.0
365805,51.97,0.2503782302953894,1.0,1.0,1.0,1.0
365806,53.14,1.348045850687953,1.0,1.0,1.0,1.0
365807,53.18,1.3157134710805138,-1.0,1.0,-1.0,1.0
365808,52.8,0.8633810914730731,1.0,1.0,1.0,1.0
365809,54.62,2.6110487118656347,1.0,1.0,1.0,1.0
365810,54.75,2.6687163322581995,1.0,1.0,1.0,1.0
365811,54.97,2.8163839526507672,-1.0,1.0,1.0,1.0
365812,54.72,2.494051573043329,1.0,1.0,1.0,1.0
365813,55.03,2.731719193435893,1.0,1.0,1.0,1.0
365814,55.51,3.139386813828452,1.0,1.0,1.0,1.0
365815,56.16,3.717054434221012,1.0,1.0,1.0,1.0
365816,56.78,4.2647220546135856,1.0,1.0,1.0,1.0
365817,56.99,4.402389675006148,1.0,1.0,1.0,1.0
365818,57.23,4.570057295398705,-1.0,1.0,-1.0,1.0
365819,57.17,4.437724915791272,-1.0,1.0,-1.0,1.0
365820,56.35,3.545392536183833,1.0,-1.0,-1.0,-1.0
365821,57.19,4.313060156576398,-1.0,-1.0,-1.0,-1.0
365822,56.66,3.710727776968959,1.0,1.0,1.0,1.0
365823,56.68,3.658395397361524,-1.0,1.0,-1.0,1.0
365824,56.22,3.1260630177540847,1.0,1.0,1.0,1.0
365825,57.33,4.163730638146647,-1.0,1.0,-1.0,1.0
365826,57.06,3.8213982585392183,1.0,1.0,-1.0,1.0
365827,57.59,4.279065878931782,1.0,1.0,-1.0,1.0
365828,57.61,4.22673349932434,1.0,1.0,-1.0,1.0
365829,58.58,5.1244011197169,-1.0,-1.0,-1.0,-1.0
365830,57.95,4.4220687401094665,-1.0,-1.0,-1.0,-1.0
365831,57.04,3.439736360502032,1.0,1.0,1.0,1.0
365832,58.63,4.95740398089459,-1.0,-1.0,-1.0,-1.0
365833,58.48,4.735071601287153,1.0,-1.0,1.0,-1.0
365834,58.55,4.732739221679715,1.0,-1.0,1.0,-1.0
365835,59.31,5.420406842072282,1.0,-1.0,1.0,-1.0
365836,59.75,5.7880744624648415,-1.0,-1.0,-1.0,-1.0
365837,59.69,5.655742082857407,-1.0,-1.0,-1.0,-1.0
365838,59.25,5.143409703249972,1.0,-1.0,1.0,-1.0
365839,59.28,5.101077323642535,1.0,-1.0,1.0,-1.0
365840,59.65,5.398744944035093,-1.0,-1.0,-1.0,-1.0
365841,59.29,4.9664125644276575,-1.0,-1.0,-1.0,-1.0
365842,58.23,3.834080184820216,1.0,1.0,1.0,1.0
365843,58.72,4.251747805212787,1.0,1.0,1.0,1.0
365844,59.44,4.899415425605348,1.0,1.0,1.0,1.0
365845,59.46,4.847083045997913,-1.0,-1.0,-1.0,-1.0
365846,58.96,4.2747506663904735,1.0,1.0,1.0,1.0
365847,59.15,4.392418286783034,1.0,-1.0,1.0,-1.0
365848,59.5,4.670085907175603,-1.0,-1.0,-1.0,-1.0
365849,58.62,3.717753527568164,-1.0,1.0,-1.0,-1.0
365850,56.15,1.1754211479607264,1.0,1.0,1.0,1.0
365851,56.22,1.1730887683532885,1.0,1.0,1.0,1.0
365852,57.02,1.9007563887458545,1.0,1.0,1.0,1.0
365853,57.55,2.358424009138417,1.0,1.0,1.0,1.0
365854,57.82,2.5560916295309823,-1.0,1.0,-1.0,1.0
365855,57.39,2.0537592499235444,1.0,1.0,1.0,1.0
365856,57.66,2.2514268703161022,1.0,1.0,1.0,1.0
365857,57.72,2.2390944907086663,1.0,1.0,1.0,1.0
365858,57.95,2.396762111101239,-1.0,1.0,1.0,1.0
365859,57.61,1.9844297314937973,-1.0,1.0,1.0,1.0
365860,57.1,1.4020973518863613,1.0,1.0,1.0,1.0
365861,57.56,1.789764972278924,-1.0,1.0,-1.0,1.0
365862,56.64,0.797432592671484,1.0,1.0,1.0,1.0
365863,57.02,1.1051002130640557,1.0,1.0,1.0,1.0
365864,57.86,1.8727678334566065,1.0,1.0,1.0,1.0
365865,58.44,2.3804354538491737,-1.0,1.0,-1.0,1.0
365866,57.56,1.4281030742417402,-1.0,1.0,-1.0,1.0
