,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
367523,11.27,-3.791606611890657,-1.0,1.0,-1.0,1.0
367524,10.93,-4.133995593682304,1.0,1.0,1.0,1.0
367525,10.97,-4.09638457547395,-1.0,1.0,-1.0,1.0
367526,10.87,-4.198773557265598,-1.0,1.0,-1.0,1.0
367527,10.6,-4.471162539057246,1.0,1.0,1.0,1.0
367528,10.94,-4.1335515208488935,1.0,1.0,1.0,1.0
367529,11.37,-3.7059405026405408,-1.0,1.0,-1.0,1.0
367530,11.34,-3.738329484432187,-1.0,1.0,-1.0,1.0
367531,10.69,-4.390718466223834,1.0,1.0,1.0,1.0
367532,10.9,-4.183107448015482,-1.0,1.0,-1.0,1.0
367533,10.78,-4.30549642980713,-1.0,1.0,-1.0,1.0
367534,10.77,-4.317885411598777,1.0,1.0,1.0,1.0
367535,10.84,-4.250274393390424,1.0,1.0,1.0,1.0
367536,11.08,-4.012663375182072,1.0,1.0,1.0,1.0
367537,11.27,-3.82505235697372,1.0,1.0,1.0,1.0
367538,11.62,-3.4774413387653667,1.0,1.0,1.0,1.0
367539,11.81,-3.2898303205570123,-1.0,1.0,1.0,1.0
367540,11.68,-3.4222193023486605,1.0,1.0,1.0,1.0
367541,11.71,-3.394608284140308,1.0,1.0,1.0,1.0
367542,11.72,-3.3869972659319547,-1.0,1.0,-1.0,1.0
367543,11.53,-3.5793862477236034,1.0,1.0,1.0,1.0
367544,11.63,-3.4817752295152484,1.0,1.0,1.0,1.0
367545,11.64,-3.4741642113068973,1.0,1.0,1.0,1.0
367546,11.71,-3.406553193098544,1.0,1.0,1.0,1.0
367547,11.76,-3.358942174890192,-1.0,1.0,-1.0,1.0
367548,11.73,-3.3913311566818383,1.0,1.0,1.0,1.0
367549,11.86,-3.263720138473488,1.0,1.0,1.0,1.0
367550,12.05,-3.0761091202651336,1.0,1.0,1.0,1.0
367551,12.54,-2.5884981020567817,1.0,1.0,1.0,1.0
367552,12.59,-2.5408870838484283,-1.0,1.0,-1.0,1.0
367553,12.55,-2.583276065640076,1.0,1.0,1.0,1.0
367554,12.7,-2.4356650474317245,1.0,1.0,1.0,1.0
367555,12.81,-2.3280540292233702,1.0,1.0,1.0,1.0
367556,13.09,-2.050443011015018,-1.0,1.0,-1.0,1.0
367557,13.0,-2.1428319928066646,1.0,1.0,1.0,1.0
367558,13.35,-1.7952209745983136,1.0,1.0,1.0,1.0
367559,13.64,-1.5076099563899596,1.0,1.0,1.0,1.0
367560,13.68,-1.4699989381816074,-1.0,1.0,-1.0,1.0
367561,13.55,-1.6023879199732534,1.0,1.0,1.0,1.0
367562,13.91,-1.2447769017649026,1.0,1.0,1.0,1.0
367563,13.95,-1.2071658835565504,1.0,1.0,1.0,1.0
367564,14.4,-0.7595548653481963,1.0,1.0,1.0,1.0
367565,14.54,-0.6219438471398444,1.0,1.0,1.0,1.0
367566,14.6,-0.5643328289314926,1.0,1.0,1.0,1.0
367567,14.62,-0.54672181072314,1.0,1.0,1.0,1.0
367568,14.76,-0.4091107925147863,-1.0,1.0,-1.0,1.0
367569,14.65,-0.5214997743064327,1.0,1.0,1.0,1.0
367570,14.81,-0.3638887560980813,1.0,1.0,1.0,1.0
367571,15.13,-0.04627773788972789,1.0,-1.0,1.0,-1.0
367572,15.38,0.2013332803186252,-1.0,-1.0,-1.0,-1.0
367573,14.93,-0.2510557014730228,1.0,-1.0,1.0,-1.0
367574,14.96,-0.2234446832646686,1.0,-1.0,1.0,-1.0
367575,15.12,-0.06583366505631894,-1.0,-1.0,-1.0,-1.0
367576,14.98,-0.20822264684796465,1.0,-1.0,1.0,-1.0
367577,15.4,0.20938837136038835,1.0,-1.0,1.0,-1.0
367578,15.49,0.2969993895687413,-1.0,-1.0,-1.0,-1.0
367579,15.03,-0.16538959222290828,-1.0,-1.0,-1.0,-1.0
367580,14.61,-0.5877785740145551,1.0,-1.0,-1.0,-1.0
367581,14.83,-0.3701675558062014,1.0,-1.0,1.0,-1.0
367582,15.18,-0.022556537597848703,1.0,-1.0,1.0,-1.0
367583,15.71,0.5050544806105037,1.0,-1.0,1.0,-1.0
367584,16.32,1.1126654988188562,1.0,-1.0,1.0,-1.0
367585,16.54,1.3302765170272082,1.0,-1.0,1.0,-1.0
367586,16.78,1.5678875352355632,-1.0,-1.0,-1.0,-1.0
367587,16.17,0.9554985534439168,-1.0,-1.0,-1.0,-1.0
367588,15.99,0.7731095716522667,1.0,-1.0,1.0,-1.0
367589,16.77,1.5507205898606191,-1.0,-1.0,1.0,-1.0
367590,16.26,1.0383316080689742,1.0,-1.0,1.0,-1.0
367591,16.94,1.715942626277327,-1.0,-1.0,-1.0,-1.0
367592,16.37,1.143553644485678,-1.0,-1.0,-1.0,1.0
367593,15.92,0.69116466269403,-1.0,-1.0,1.0,-1.0
367594,15.37,0.13877568090238235,-1.0,1.0,-1.0,1.0
367595,14.74,-0.4936133008892636,1.0,1.0,-1.0,-1.0
367596,16.04,0.8039977173190866,-1.0,-1.0,-1.0,-1.0
367597,15.92,0.6816087355274405,1.0,-1.0,1.0,-1.0
367598,16.26,1.0192197537357952,-1.0,-1.0,1.0,-1.0
367599,16.08,0.836830771944145,-1.0,-1.0,-1.0,-1.0
367600,14.89,-0.3555582098475014,1.0,-1.0,1.0,-1.0
367601,14.97,-0.2779471916391483,-1.0,-1.0,-1.0,-1.0
367602,14.42,-0.8303361734307959,-1.0,-1.0,-1.0,-1.0
367603,14.41,-0.8427251552224426,-1.0,-1.0,-1.0,-1.0
367604,13.36,-1.8951141370140905,1.0,-1.0,1.0,-1.0
367605,14.08,-1.1775031188057383,-1.0,-1.0,-1.0,-1.0
367606,13.68,-1.5798921005973856,0.0,1.0,1.0,1.0
