,Close,Target(1),Target(30),Prediction(1),Prediction(30)
371260,42.02,1.0,1.0,1.0,1.0
371264,41.75,1.0,1.0,1.0,1.0
371266,45.0,1.0,-1.0,1.0,1.0
371267,45.3,-1.0,-1.0,-1.0,1.0
371270,43.32,-1.0,1.0,-1.0,1.0
371280,45.52,1.0,1.0,1.0,1.0
371285,45.1,1.0,1.0,1.0,1.0
371316,49.6,-1.0,1.0,-1.0,1.0
371326,51.65,-1.0,1.0,-1.0,1.0
371327,51.26,-1.0,1.0,-1.0,1.0
371335,55.0,1.0,1.0,1.0,1.0
371336,56.02,-1.0,1.0,-1.0,1.0
371339,56.75,-1.0,-1.0,-1.0,-1.0
371342,54.95,1.0,1.0,1.0,1.0
371346,56.11,-1.0,1.0,-1.0,1.0
371360,54.75,-1.0,-1.0,-1.0,-1.0
371362,57.34,-1.0,-1.0,-1.0,-1.0
371363,57.28,-1.0,-1.0,-1.0,-1.0
371365,57.81,-1.0,-1.0,-1.0,-1.0
371368,57.74,-1.0,-1.0,-1.0,1.0
371370,56.11,1.0,-1.0,1.0,-1.0
371374,57.45,-1.0,-1.0,-1.0,-1.0
371377,57.07,-1.0,-1.0,-1.0,-1.0
371380,57.72,-1.0,-1.0,-1.0,-1.0
371381,56.17,1.0,-1.0,1.0,-1.0
371382,56.4,-1.0,-1.0,-1.0,-1.0
371386,54.3,-1.0,-1.0,-1.0,1.0
371390,50.55,1.0,1.0,1.0,1.0
371391,52.02,-1.0,1.0,-1.0,1.0
371393,51.0,-1.0,1.0,-1.0,1.0
371394,50.6,-1.0,1.0,-1.0,1.0
371395,49.05,-1.0,1.0,-1.0,1.0
371396,48.87,-1.0,1.0,-1.0,1.0
371400,51.2,1.0,1.0,1.0,1.0
371407,49.04,1.0,1.0,1.0,1.0
371419,53.99,-1.0,-1.0,-1.0,-1.0
371426,58.0,-1.0,1.0,-1.0,1.0
371429,55.81,1.0,1.0,-1.0,-1.0
371430,56.1,1.0,1.0,1.0,1.0
371436,55.43,-1.0,1.0,-1.0,1.0
371443,52.65,1.0,1.0,1.0,1.0
371450,54.49,-1.0,1.0,-1.0,1.0
371456,58.32,1.0,1.0,1.0,1.0
371460,63.16,-1.0,1.0,-1.0,1.0
371462,63.79,-1.0,1.0,-1.0,1.0
371465,64.68,-1.0,1.0,-1.0,1.0
371475,60.98,1.0,1.0,1.0,1.0
371477,65.42,-1.0,1.0,-1.0,1.0
371479,66.34,-1.0,1.0,1.0,1.0
371481,65.95,-1.0,1.0,-1.0,1.0
371485,64.36,1.0,1.0,-1.0,1.0
371489,64.63,-1.0,1.0,1.0,1.0
371491,64.93,-1.0,1.0,-1.0,1.0
371496,69.01,-1.0,-1.0,-1.0,-1.0
371497,68.48,1.0,-1.0,1.0,-1.0
371498,68.54,1.0,-1.0,1.0,-1.0
371499,68.89,-1.0,-1.0,-1.0,-1.0
371500,68.03,1.0,-1.0,1.0,-1.0
371501,68.25,-1.0,-1.0,-1.0,-1.0
371504,72.98,-1.0,-1.0,-1.0,-1.0
371505,72.81,1.0,-1.0,1.0,-1.0
371506,74.54,-1.0,-1.0,-1.0,-1.0
371507,73.56,1.0,-1.0,1.0,-1.0
371508,74.16,-1.0,-1.0,1.0,-1.0
371509,73.58,1.0,-1.0,1.0,-1.0
371510,74.87,1.0,-1.0,-1.0,-1.0
371511,75.75,-1.0,-1.0,-1.0,-1.0
371514,71.87,-1.0,-1.0,-1.0,-1.0
371515,71.47,-1.0,-1.0,-1.0,-1.0
371517,67.5,-1.0,-1.0,-1.0,-1.0
371518,65.12,1.0,1.0,-1.0,1.0
371519,66.14,1.0,-1.0,1.0,-1.0
371521,68.28,-1.0,-1.0,1.0,-1.0
371523,68.7,-1.0,-1.0,-1.0,-1.0
371524,67.66,-1.0,-1.0,-1.0,-1.0
371525,65.4,-1.0,1.0,-1.0,1.0
371530,65.75,1.0,1.0,1.0,1.0
371531,67.1,1.0,-1.0,1.0,1.0
371532,67.41,-1.0,-1.0,-1.0,-1.0
371534,66.99,1.0,1.0,1.0,1.0
371536,68.16,1.0,1.0,1.0,1.0
371537,68.51,-1.0,1.0,-1.0,1.0
371539,65.24,1.0,1.0,1.0,1.0
371540,66.35,-1.0,1.0,-1.0,1.0
371543,65.15,1.0,1.0,1.0,1.0
371545,65.7,1.0,1.0,1.0,-1.0
371546,66.0,-1.0,1.0,-1.0,1.0
371550,66.04,-1.0,1.0,-1.0,1.0
371556,65.6,-1.0,-1.0,-1.0,-1.0
371558,63.59,1.0,-1.0,1.0,-1.0
371560,65.8,-1.0,-1.0,-1.0,-1.0
371562,66.55,-1.0,-1.0,-1.0,-1.0
371563,66.33,1.0,-1.0,1.0,-1.0
371565,69.07,-1.0,-1.0,-1.0,-1.0
371566,68.95,-1.0,-1.0,-1.0,-1.0
371568,69.13,-1.0,-1.0,-1.0,-1.0
371569,68.28,-1.0,-1.0,-1.0,-1.0
371579,67.57,-1.0,-1.0,-1.0,-1.0
371583,62.04,1.0,1.0,1.0,1.0
371585,61.45,1.0,1.0,1.0,1.0
371586,61.55,-1.0,1.0,-1.0,1.0
371587,61.38,1.0,1.0,-1.0,1.0
371590,61.45,-1.0,1.0,-1.0,1.0
371591,60.85,-1.0,1.0,-1.0,1.0
371593,60.53,-1.0,1.0,-1.0,1.0
371608,61.72,1.0,-1.0,1.0,-1.0
371615,62.1,1.0,-1.0,1.0,-1.0
371619,62.56,1.0,-1.0,1.0,-1.0
371621,62.91,1.0,-1.0,1.0,-1.0
371625,61.92,1.0,-1.0,1.0,1.0
371632,61.6,1.0,-1.0,1.0,-1.0
371636,61.1,-1.0,-1.0,-1.0,-1.0
371638,59.6,1.0,-1.0,1.0,-1.0
371640,59.62,1.0,-1.0,1.0,-1.0
371643,56.58,-1.0,-1.0,-1.0,-1.0
371644,55.94,-1.0,-1.0,-1.0,1.0
371648,49.78,1.0,1.0,-1.0,1.0
371650,51.22,-1.0,1.0,-1.0,1.0
371651,50.52,1.0,1.0,1.0,1.0
371652,50.94,1.0,1.0,1.0,1.0
371653,52.82,1.0,1.0,1.0,1.0
371654,54.02,1.0,-1.0,1.0,-1.0
371655,54.13,1.0,-1.0,1.0,-1.0
371657,54.47,-1.0,-1.0,-1.0,-1.0
371660,54.55,1.0,-1.0,-1.0,-1.0
371662,54.59,-1.0,1.0,-1.0,1.0
371664,55.68,-1.0,1.0,-1.0,1.0
371678,53.6,-1.0,1.0,-1.0,1.0
371682,53.98,-1.0,1.0,-1.0,1.0
371689,54.22,-1.0,1.0,-1.0,1.0
371711,57.28,0.0,-1.0,0.0,-1.0
371717,59.0,-1.0,-1.0,-1.0,-1.0
371722,54.25,-1.0,-1.0,-1.0,-1.0
371723,53.67,-1.0,-1.0,-1.0,-1.0
371724,52.33,-1.0,-1.0,-1.0,-1.0
371725,52.03,-1.0,-1.0,-1.0,-1.0
371727,52.02,-1.0,1.0,-1.0,1.0
371728,52.01,-1.0,-1.0,-1.0,-1.0
371755,51.14,1.0,1.0,1.0,1.0
371757,52.04,-1.0,1.0,-1.0,1.0
371765,53.3,-1.0,-1.0,-1.0,-1.0
371773,56.0,-1.0,-1.0,-1.0,1.0
371776,58.74,-1.0,-1.0,-1.0,-1.0
371778,59.59,1.0,-1.0,1.0,1.0
371787,53.72,1.0,1.0,-1.0,1.0
371788,54.22,1.0,1.0,1.0,1.0
371790,56.04,-1.0,1.0,-1.0,-1.0
371794,52.43,-1.0,1.0,-1.0,1.0
371795,52.01,-1.0,1.0,-1.0,1.0
371796,51.98,-1.0,1.0,-1.0,1.0
371797,51.05,1.0,1.0,-1.0,1.0
371798,51.37,-1.0,1.0,-1.0,1.0
371799,51.33,-1.0,1.0,-1.0,1.0
371800,51.24,1.0,1.0,1.0,1.0
371801,52.05,1.0,1.0,1.0,1.0
371802,52.11,1.0,1.0,1.0,1.0
371803,52.33,1.0,1.0,1.0,1.0
371804,52.85,1.0,1.0,1.0,1.0
371805,52.97,-1.0,1.0,-1.0,1.0
371806,52.83,1.0,1.0,1.0,1.0
371807,54.05,1.0,1.0,1.0,1.0
371808,54.29,-1.0,1.0,-1.0,1.0
371809,53.44,-1.0,1.0,-1.0,1.0
371810,51.3,1.0,1.0,1.0,1.0
371811,51.58,-1.0,1.0,-1.0,1.0
371812,51.18,1.0,1.0,1.0,1.0
371813,51.6,1.0,1.0,1.0,1.0
371814,53.51,1.0,1.0,1.0,1.0
371815,63.22,-1.0,-1.0,-1.0,-1.0
371816,61.57,1.0,-1.0,1.0,-1.0
371817,61.87,-1.0,-1.0,-1.0,-1.0
371818,61.3,-1.0,1.0,-1.0,1.0
371819,60.01,-1.0,1.0,-1.0,1.0
371820,59.29,1.0,1.0,1.0,1.0
371821,59.37,1.0,1.0,1.0,1.0
371822,60.42,-1.0,1.0,-1.0,-1.0
371823,59.84,-1.0,1.0,1.0,1.0
371824,59.02,-1.0,1.0,1.0,1.0
371825,57.8,-1.0,1.0,-1.0,1.0
371826,57.63,-1.0,1.0,-1.0,1.0
371827,56.86,-1.0,1.0,-1.0,1.0
371828,54.96,1.0,1.0,1.0,1.0
371829,55.78,-1.0,1.0,-1.0,1.0
371830,55.18,1.0,1.0,1.0,1.0
371831,55.96,-1.0,1.0,-1.0,1.0
371832,55.01,1.0,1.0,1.0,1.0
371833,55.83,-1.0,1.0,1.0,1.0
371834,55.7,1.0,1.0,1.0,1.0
371835,55.8,1.0,1.0,1.0,1.0
371836,58.72,-1.0,1.0,-1.0,1.0
371837,57.36,-1.0,1.0,-1.0,1.0
371838,56.06,1.0,1.0,1.0,1.0
371839,58.27,1.0,1.0,1.0,1.0
371840,58.36,1.0,1.0,1.0,1.0
371841,59.55,-1.0,1.0,-1.0,1.0
371842,59.34,1.0,1.0,1.0,1.0
371843,61.39,-1.0,1.0,-1.0,1.0
371844,61.07,1.0,1.0,1.0,1.0
371845,61.29,1.0,1.0,1.0,1.0
371846,61.49,-1.0,1.0,-1.0,1.0
371847,61.38,1.0,1.0,1.0,1.0
371848,62.33,-1.0,1.0,-1.0,1.0
371849,61.43,-1.0,1.0,-1.0,1.0
371850,61.27,-1.0,1.0,-1.0,1.0
371851,61.05,1.0,1.0,1.0,1.0
371852,61.38,-1.0,1.0,-1.0,1.0
371853,60.78,-1.0,1.0,-1.0,1.0
371854,60.76,1.0,1.0,1.0,1.0
371855,62.38,-1.0,1.0,-1.0,1.0
371856,62.27,1.0,1.0,1.0,1.0
371857,63.36,-1.0,1.0,-1.0,1.0
371858,61.41,-1.0,1.0,-1.0,1.0
371859,61.4,-1.0,1.0,1.0,1.0
371860,60.99,-1.0,1.0,-1.0,1.0
371861,60.26,-1.0,1.0,-1.0,1.0
371862,60.05,1.0,1.0,1.0,1.0
371863,61.08,1.0,1.0,1.0,1.0
371864,61.3,1.0,1.0,1.0,1.0
371865,61.55,-1.0,1.0,-1.0,1.0
371866,59.76,1.0,1.0,-1.0,1.0
371867,60.75,1.0,1.0,1.0,1.0
371868,61.25,1.0,1.0,1.0,1.0
371869,61.36,1.0,1.0,1.0,1.0
371870,62.1,1.0,1.0,1.0,1.0
371871,63.17,-1.0,1.0,-1.0,1.0
371872,62.84,1.0,1.0,1.0,1.0
371873,64.49,-1.0,1.0,-1.0,1.0
371874,64.1,-1.0,1.0,-1.0,1.0
371875,64.09,1.0,1.0,1.0,1.0
371876,64.3,1.0,1.0,1.0,1.0
371877,64.85,-1.0,1.0,-1.0,1.0
371878,64.12,1.0,1.0,1.0,1.0
371879,64.87,-1.0,1.0,-1.0,1.0
371880,63.67,-1.0,1.0,1.0,1.0
371881,63.54,1.0,1.0,1.0,1.0
371882,64.17,1.0,1.0,1.0,1.0
371883,64.92,1.0,1.0,1.0,1.0
371884,65.04,1.0,1.0,1.0,1.0
371885,66.26,-1.0,1.0,-1.0,1.0
371886,65.04,1.0,1.0,1.0,1.0
371887,65.58,-1.0,1.0,-1.0,1.0
371888,65.12,-1.0,1.0,-1.0,1.0
371889,64.68,-1.0,1.0,-1.0,1.0
371890,64.5,1.0,1.0,1.0,1.0
371891,64.89,1.0,1.0,1.0,1.0
371892,66.96,1.0,1.0,1.0,1.0
371893,67.23,1.0,1.0,1.0,1.0
371894,67.87,1.0,1.0,1.0,1.0
371895,68.32,1.0,1.0,1.0,1.0
371896,68.96,-1.0,1.0,-1.0,1.0
371897,67.72,-1.0,1.0,1.0,1.0
371898,67.26,1.0,1.0,1.0,1.0
371899,68.0,-1.0,1.0,-1.0,1.0
371900,66.56,1.0,1.0,1.0,1.0
371901,68.0,1.0,1.0,1.0,1.0
371902,68.78,-1.0,1.0,-1.0,1.0
371903,67.38,1.0,1.0,1.0,1.0
371904,68.51,1.0,1.0,1.0,1.0
371905,68.63,-1.0,1.0,-1.0,1.0
371906,68.5,1.0,1.0,1.0,1.0
371907,69.7,1.0,-1.0,1.0,1.0
371908,70.56,-1.0,1.0,-1.0,1.0
371909,69.78,1.0,1.0,1.0,1.0
371910,70.01,-1.0,-1.0,1.0,-1.0
371911,69.41,-1.0,-1.0,1.0,-1.0
371912,68.18,1.0,1.0,1.0,1.0
371913,68.36,1.0,1.0,1.0,1.0
371914,68.38,-1.0,1.0,-1.0,1.0
371915,68.02,1.0,1.0,1.0,1.0
371916,68.24,1.0,1.0,1.0,1.0
371917,69.74,1.0,1.0,-1.0,1.0
371918,70.16,-1.0,-1.0,-1.0,-1.0
371919,69.9,-1.0,-1.0,-1.0,-1.0
371920,68.93,1.0,-1.0,1.0,1.0
371921,69.42,1.0,1.0,1.0,1.0
371922,70.01,-1.0,-1.0,-1.0,-1.0
371923,69.7,1.0,1.0,1.0,1.0
371924,69.95,1.0,-1.0,1.0,-1.0
371925,71.3,1.0,-1.0,1.0,-1.0
371926,71.54,1.0,-1.0,1.0,-1.0
371927,72.96,-1.0,-1.0,-1.0,-1.0
371928,72.13,-1.0,-1.0,-1.0,-1.0
371929,71.56,1.0,-1.0,-1.0,-1.0
371930,72.92,1.0,-1.0,1.0,-1.0
371931,73.33,-1.0,-1.0,-1.0,-1.0
371932,73.28,1.0,-1.0,1.0,-1.0
371933,74.62,-1.0,-1.0,-1.0,-1.0
371934,74.27,-1.0,-1.0,-1.0,-1.0
371935,74.18,-1.0,-1.0,-1.0,-1.0
371936,71.32,-1.0,-1.0,-1.0,-1.0
371937,69.62,1.0,1.0,1.0,1.0
371938,70.97,-1.0,0.0,-1.0,-1.0
371939,70.89,-1.0,1.0,-1.0,1.0
371940,69.17,-1.0,1.0,-1.0,1.0
371941,69.11,-1.0,1.0,-1.0,1.0
371942,68.74,-1.0,1.0,-1.0,1.0
371943,68.59,1.0,1.0,1.0,1.0
371944,70.2,-1.0,1.0,-1.0,1.0
371945,69.41,-1.0,1.0,-1.0,1.0
371946,68.91,1.0,1.0,1.0,1.0
371947,70.43,-1.0,1.0,-1.0,1.0
371948,69.45,-1.0,1.0,-1.0,1.0
371949,68.49,1.0,1.0,1.0,1.0
371950,68.71,1.0,1.0,1.0,1.0
371951,70.38,-1.0,1.0,-1.0,1.0
371952,69.82,1.0,1.0,1.0,1.0
371953,70.18,-1.0,1.0,-1.0,1.0
371954,69.79,1.0,1.0,1.0,1.0
371955,70.94,-1.0,1.0,-1.0,1.0
371956,68.31,-1.0,1.0,-1.0,1.0
371957,66.67,-1.0,1.0,-1.0,1.0
371958,66.63,1.0,1.0,1.0,1.0
371959,67.05,-1.0,1.0,-1.0,1.0
371960,66.13,-1.0,1.0,-1.0,1.0
371961,65.75,1.0,1.0,1.0,1.0
371962,65.94,1.0,1.0,1.0,1.0
371963,66.06,1.0,1.0,1.0,1.0
371964,66.36,-1.0,1.0,-1.0,1.0
371965,65.79,1.0,1.0,1.0,1.0
371966,67.5,1.0,1.0,1.0,1.0
371970,71.65,0.0,1.0,0.0,-1.0
371977,72.86,0.0,1.0,0.0,1.0
371990,75.79,0.0,-1.0,-1.0,-1.0
372029,67.89,0.0,0.0,0.0,0.0
372101,89.12,0.0,1.0,0.0,1.0
372112,92.44,0.0,1.0,0.0,1.0
372114,93.39,0.0,1.0,0.0,1.0
372118,91.64,-1.0,1.0,-1.0,1.0
372119,90.35,0.0,1.0,0.0,1.0
372124,93.99,0.0,-1.0,0.0,-1.0
372133,95.01,0.0,-1.0,0.0,-1.0
372143,98.15,0.0,-1.0,0.0,-1.0
372148,94.71,0.0,1.0,0.0,1.0
372151,92.66,0.0,1.0,0.0,1.0
372183,99.66,0.0,1.0,0.0,1.0
372188,105.0,0.0,1.0,0.0,1.0
372201,98.5,0.0,1.0,0.0,1.0
372202,98.5,1.0,1.0,1.0,1.0
372203,100.49,0.0,1.0,0.0,1.0
372205,98.65,0.0,1.0,0.0,1.0
372210,105.9,0.0,1.0,0.0,1.0
372217,112.02,-1.0,1.0,-1.0,1.0
372218,111.58,0.0,1.0,0.0,1.0
372223,107.1,1.0,1.0,1.0,1.0
372224,108.47,1.0,1.0,1.0,1.0
372225,109.0,1.0,1.0,1.0,1.0
372226,111.0,1.0,1.0,1.0,1.0
