,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
372885,43.26,5.544052024618424,-1.0,1.0,-1.0,1.0
372886,42.66,4.920616569019089,1.0,1.0,1.0,-1.0
372887,42.88,5.117181113419769,-1.0,1.0,-1.0,-1.0
372888,42.66,4.873745657820437,1.0,1.0,1.0,-1.0
372889,42.98,5.170310202221111,-1.0,-1.0,1.0,-1.0
372890,42.54,4.706874746621787,-1.0,-1.0,1.0,-1.0
372891,42.46,4.603439291022454,1.0,-1.0,1.0,-1.0
372892,42.53,4.650003835423128,1.0,-1.0,1.0,-1.0
372893,43.64,5.7365683798238,-1.0,-1.0,1.0,-1.0
372894,43.47,5.543132924224473,-1.0,-1.0,1.0,-1.0
372895,43.35,5.399697468625141,1.0,-1.0,1.0,-1.0
372896,43.7,5.726262013025818,-1.0,-1.0,-1.0,-1.0
372897,43.57,5.572826557426488,1.0,-1.0,-1.0,-1.0
372898,44.09,6.069391101827165,1.0,-1.0,1.0,-1.0
372899,44.37,6.325955646227832,1.0,-1.0,1.0,-1.0
372900,44.44,6.3725201906284985,1.0,-1.0,1.0,-1.0
372901,45.03,6.9390847350291756,-1.0,-1.0,-1.0,-1.0
372902,44.53,6.415649279429849,1.0,-1.0,1.0,-1.0
372903,44.89,6.752213823830522,1.0,-1.0,1.0,-1.0
372904,45.21,7.048778368231191,-1.0,-1.0,-1.0,-1.0
372905,45.2,7.015342912631866,-1.0,-1.0,-1.0,-1.0
372906,44.97,6.761907457032535,-1.0,-1.0,-1.0,-1.0
372907,44.95,6.718472001433213,-1.0,-1.0,-1.0,-1.0
372908,44.7,6.445036545833887,1.0,-1.0,1.0,-1.0
372909,44.98,6.701601090234548,-1.0,-1.0,-1.0,-1.0
372910,44.92,6.6181656346352264,1.0,-1.0,1.0,-1.0
372911,45.18,6.854730179035897,1.0,-1.0,1.0,-1.0
372912,45.29,6.94129472343657,1.0,-1.0,-1.0,-1.0
372913,45.56,7.187859267837241,-1.0,-1.0,-1.0,-1.0
372914,45.4,7.00442381223791,1.0,-1.0,-1.0,-1.0
372915,45.51,7.090988356638582,-1.0,-1.0,-1.0,-1.0
372916,45.07,6.627552901039258,-1.0,-1.0,-1.0,-1.0
372917,44.1,5.634117445439934,-1.0,-1.0,-1.0,-1.0
372918,43.96,5.4706819898406,-1.0,-1.0,-1.0,-1.0
372919,42.18,3.667246534241272,-1.0,-1.0,-1.0,-1.0
372920,41.87,3.3338110786419435,-1.0,1.0,-1.0,1.0
372921,41.37,2.8103756230426167,1.0,1.0,1.0,1.0
372922,41.6,3.016940167443288,1.0,1.0,1.0,1.0
372923,42.0,3.39350471184396,-1.0,1.0,-1.0,1.0
372924,41.38,2.7500692562446356,-1.0,1.0,-1.0,1.0
372925,40.87,2.216633800645305,-1.0,1.0,1.0,1.0
372926,40.63,1.9531983450459836,1.0,1.0,1.0,1.0
372927,41.4,2.699762889446646,-1.0,1.0,-1.0,1.0
372928,40.96,2.236327433847322,1.0,-1.0,1.0,-1.0
372929,41.86,3.1128919782479936,-1.0,-1.0,-1.0,-1.0
372930,41.76,2.9894565226486662,-1.0,1.0,-1.0,1.0
372931,40.69,1.8960210670493325,1.0,1.0,1.0,1.0
372932,41.77,2.9525856114500115,-1.0,-1.0,-1.0,-1.0
372933,41.51,2.66915015585068,1.0,-1.0,1.0,-1.0
372934,42.08,3.2157147002513535,1.0,-1.0,-1.0,-1.0
372935,43.11,4.222279244652029,-1.0,-1.0,-1.0,-1.0
372936,42.42,3.5088437890526976,1.0,-1.0,1.0,-1.0
372937,43.3,4.365408333453367,1.0,-1.0,1.0,-1.0
372938,43.48,4.52197287785404,-1.0,-1.0,-1.0,-1.0
372939,43.38,4.398537422254718,-1.0,-1.0,1.0,-1.0
372940,42.97,3.9651019666553817,1.0,-1.0,1.0,-1.0
372941,43.39,4.3616665110560575,-1.0,-1.0,-1.0,-1.0
372942,42.36,3.30823105545673,-1.0,-1.0,-1.0,-1.0
372943,42.05,2.9747955998574014,1.0,-1.0,1.0,-1.0
372944,42.58,3.481360144258076,1.0,-1.0,-1.0,-1.0
372945,43.06,3.9379246886587462,-1.0,-1.0,-1.0,-1.0
372946,42.85,3.70448923305942,-1.0,-1.0,-1.0,-1.0
372947,41.78,2.6110537774600933,1.0,-1.0,-1.0,-1.0
372948,41.82,2.6276183218607656,-1.0,-1.0,-1.0,-1.0
372949,41.77,2.554182866261435,1.0,-1.0,1.0,-1.0
372950,42.0,2.760747410662105,1.0,-1.0,1.0,-1.0
372951,42.98,3.717311955062776,-1.0,-1.0,-1.0,-1.0
372952,42.78,3.493876499463454,1.0,-1.0,1.0,-1.0
372953,42.99,3.680441043864128,-1.0,-1.0,-1.0,-1.0
372954,42.53,3.1970055882647936,-1.0,-1.0,-1.0,-1.0
372955,42.06,2.703570132665469,-1.0,-1.0,-1.0,-1.0
372956,41.69,2.310134677066138,1.0,-1.0,1.0,-1.0
372957,41.83,2.4266992214668117,-1.0,-1.0,-1.0,-1.0
