,Close,Target(1),Target(30),Prediction(1),Prediction(30)
377518,36.45,-1.0,1.0,-1.0,1.0
377519,36.28,1.0,1.0,1.0,1.0
377520,37.04,-1.0,1.0,-1.0,1.0
377521,36.3,1.0,1.0,1.0,1.0
377522,36.69,1.0,1.0,1.0,1.0
377523,37.24,1.0,1.0,1.0,1.0
377524,37.83,1.0,1.0,-1.0,1.0
377525,37.85,-1.0,1.0,-1.0,1.0
377526,36.62,-1.0,1.0,-1.0,1.0
377527,35.48,1.0,1.0,1.0,1.0
377528,35.67,1.0,1.0,1.0,1.0
377529,35.83,-1.0,1.0,-1.0,1.0
377530,35.59,1.0,1.0,1.0,1.0
377531,36.63,1.0,1.0,1.0,1.0
377532,37.01,1.0,1.0,1.0,1.0
377533,37.18,-1.0,1.0,1.0,1.0
377534,36.73,-1.0,1.0,-1.0,1.0
377535,36.64,-1.0,1.0,-1.0,1.0
377536,36.6,-1.0,1.0,-1.0,1.0
377537,36.37,-1.0,1.0,-1.0,1.0
377538,36.01,1.0,1.0,1.0,1.0
377539,36.14,1.0,1.0,1.0,1.0
377540,36.47,-1.0,1.0,-1.0,1.0
377541,36.32,1.0,1.0,1.0,1.0
377542,37.99,1.0,1.0,1.0,1.0
377543,38.02,1.0,1.0,1.0,1.0
377544,38.88,-1.0,-1.0,-1.0,-1.0
377545,38.27,1.0,-1.0,1.0,-1.0
377546,38.82,-1.0,-1.0,-1.0,-1.0
377547,38.67,1.0,-1.0,1.0,-1.0
377548,39.0,1.0,-1.0,1.0,-1.0
377549,39.44,1.0,-1.0,1.0,-1.0
377550,40.3,1.0,-1.0,1.0,1.0
377551,40.51,-1.0,-1.0,-1.0,1.0
377552,39.98,1.0,-1.0,-1.0,1.0
377553,40.15,-1.0,1.0,-1.0,1.0
377554,39.85,-1.0,1.0,-1.0,1.0
377555,39.65,1.0,1.0,1.0,1.0
377556,39.85,1.0,1.0,1.0,1.0
377557,40.19,-1.0,1.0,-1.0,1.0
377558,40.02,-1.0,1.0,-1.0,1.0
377559,39.3,-1.0,1.0,-1.0,1.0
377560,39.02,1.0,1.0,1.0,1.0
377561,39.17,1.0,1.0,1.0,1.0
377562,39.2,-1.0,1.0,-1.0,1.0
377563,39.17,-1.0,1.0,-1.0,1.0
377564,38.9,1.0,1.0,-1.0,1.0
377565,39.26,-1.0,1.0,-1.0,1.0
377566,39.2,-1.0,1.0,-1.0,1.0
377567,38.94,-1.0,1.0,1.0,1.0
377568,38.25,1.0,1.0,-1.0,1.0
377569,38.51,-1.0,1.0,-1.0,1.0
377570,38.11,1.0,1.0,1.0,1.0
377571,38.22,1.0,1.0,1.0,1.0
377572,38.57,-1.0,1.0,-1.0,1.0
