,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
381995,20.32,1.5588316759681715,-1.0,1.0,-1.0,1.0
381996,20.0,1.2296347235372522,1.0,1.0,1.0,1.0
381997,20.24,1.460437771106328,-1.0,1.0,-1.0,1.0
381998,19.92,1.1312408186754122,-1.0,1.0,-1.0,1.0
381999,19.4,0.602043866244486,1.0,1.0,-1.0,1.0
382000,19.61,0.8028469138135677,1.0,1.0,1.0,1.0
382001,19.91,1.0936499613826456,-1.0,1.0,-1.0,1.0
382002,19.68,0.8544530089517259,-1.0,1.0,-1.0,1.0
382003,19.02,0.185256056520803,1.0,1.0,1.0,1.0
382004,19.47,0.6260591040898831,-1.0,1.0,-1.0,1.0
382005,19.35,0.4968621516589629,1.0,1.0,1.0,1.0
382006,19.65,0.7876651992280408,1.0,1.0,1.0,1.0
382007,19.69,0.8184682467971207,1.0,1.0,1.0,1.0
382008,20.06,1.179271294366199,1.0,1.0,-1.0,1.0
382009,20.43,1.5400743419352771,1.0,1.0,1.0,1.0
382010,20.72,1.820877389504357,-1.0,1.0,-1.0,1.0
382011,20.66,1.7516804370734356,1.0,1.0,1.0,1.0
382012,20.84,1.9224834846425158,-1.0,1.0,-1.0,1.0
382013,20.82,1.8932865322115937,1.0,1.0,1.0,1.0
382014,20.87,1.9340895797806752,-1.0,1.0,-1.0,1.0
382015,20.39,1.444892627349752,1.0,1.0,1.0,1.0
382016,20.7,1.7456956749188317,-1.0,1.0,-1.0,1.0
382017,20.63,1.6664987224879084,-1.0,1.0,-1.0,1.0
382018,20.53,1.557301770056991,1.0,1.0,1.0,1.0
382019,20.87,1.8881048176260684,-1.0,1.0,-1.0,1.0
382020,20.7,1.7089078651951441,-1.0,1.0,-1.0,1.0
382021,20.52,1.519710912764225,1.0,1.0,1.0,1.0
382022,20.53,1.5205139603333038,1.0,1.0,-1.0,1.0
382023,20.79,1.7713170079023826,-1.0,1.0,-1.0,1.0
382024,20.77,1.7421200554714602,1.0,1.0,1.0,1.0
382025,20.94,1.902923103040543,1.0,1.0,1.0,1.0
