,Close,Target(1),Target(30),Prediction(1),Prediction(30)
383861,30.36,-1.0,1.0,1.0,1.0
383862,30.03,-1.0,1.0,1.0,1.0
383863,30.01,-1.0,1.0,-1.0,1.0
383864,29.66,-1.0,1.0,-1.0,1.0
383865,29.61,1.0,1.0,1.0,1.0
383866,29.91,1.0,1.0,1.0,1.0
383867,29.96,1.0,1.0,1.0,1.0
383868,29.99,-1.0,1.0,-1.0,1.0
383869,29.26,1.0,1.0,-1.0,1.0
383870,29.44,-1.0,1.0,-1.0,1.0
383871,29.36,-1.0,1.0,-1.0,1.0
383872,29.31,1.0,1.0,1.0,1.0
383873,29.39,1.0,1.0,1.0,1.0
383874,29.6,-1.0,1.0,-1.0,1.0
383875,29.39,1.0,1.0,1.0,1.0
383876,29.79,1.0,1.0,1.0,1.0
383877,29.91,1.0,1.0,1.0,1.0
383878,30.32,1.0,1.0,1.0,1.0
383879,32.72,-1.0,1.0,1.0,1.0
383880,32.36,-1.0,1.0,-1.0,1.0
383881,31.87,1.0,1.0,1.0,1.0
383882,32.27,1.0,1.0,-1.0,1.0
383883,32.46,-1.0,1.0,-1.0,1.0
383884,32.36,1.0,1.0,1.0,1.0
383885,32.9,1.0,1.0,1.0,1.0
383886,33.13,1.0,1.0,1.0,1.0
383887,33.21,1.0,1.0,1.0,1.0
383888,33.43,1.0,1.0,1.0,1.0
383889,33.91,1.0,1.0,1.0,1.0
383890,33.98,-1.0,1.0,1.0,1.0
383891,33.95,1.0,1.0,1.0,1.0
383892,34.47,1.0,1.0,1.0,1.0
383893,34.54,1.0,1.0,1.0,1.0
383894,34.61,1.0,1.0,1.0,1.0
383895,34.64,0.0,1.0,0.0,1.0
383896,34.64,-1.0,1.0,-1.0,1.0
383897,34.53,1.0,1.0,1.0,1.0
383898,34.65,-1.0,1.0,-1.0,1.0
383899,34.61,1.0,1.0,-1.0,1.0
383900,34.9,-1.0,1.0,-1.0,1.0
383901,34.6,1.0,1.0,1.0,1.0
383902,34.74,-1.0,-1.0,-1.0,-1.0
383903,34.4,-1.0,1.0,-1.0,1.0
383904,34.24,1.0,1.0,1.0,1.0
383905,34.32,1.0,1.0,1.0,1.0
383906,34.36,-1.0,1.0,-1.0,1.0
383907,34.32,1.0,1.0,1.0,1.0
383908,34.88,1.0,1.0,1.0,1.0
383909,34.97,-1.0,1.0,-1.0,1.0
383910,34.58,-1.0,1.0,-1.0,1.0
383911,34.51,1.0,-1.0,1.0,1.0
383912,34.53,0.0,1.0,0.0,1.0
383913,34.53,1.0,-1.0,1.0,-1.0
383914,35.05,1.0,-1.0,1.0,-1.0
383915,35.17,1.0,-1.0,1.0,-1.0
383916,35.35,1.0,1.0,1.0,1.0
383917,35.47,-1.0,1.0,1.0,1.0
383918,35.31,1.0,-1.0,1.0,-1.0
383919,35.43,1.0,1.0,1.0,1.0
383920,35.72,1.0,1.0,1.0,1.0
383921,35.99,1.0,-1.0,1.0,-1.0
383922,36.19,-1.0,-1.0,1.0,1.0
383923,36.18,-1.0,-1.0,1.0,-1.0
383924,35.76,1.0,-1.0,1.0,-1.0
383925,35.78,1.0,1.0,1.0,1.0
383926,36.17,1.0,1.0,-1.0,1.0
383927,36.19,1.0,1.0,1.0,1.0
383928,37.35,-1.0,1.0,-1.0,1.0
383929,36.09,1.0,1.0,1.0,1.0
383930,36.64,-1.0,1.0,-1.0,1.0
383931,35.21,-1.0,1.0,-1.0,1.0
383932,34.01,1.0,1.0,1.0,1.0
383933,35.71,1.0,1.0,1.0,1.0
383934,35.96,1.0,1.0,1.0,1.0
383935,37.06,-1.0,-1.0,-1.0,-1.0
383936,36.35,-1.0,0.0,-1.0,0.0
383937,35.53,1.0,1.0,1.0,1.0
383938,36.07,1.0,-1.0,1.0,-1.0
383939,36.6,-1.0,-1.0,-1.0,-1.0
383940,35.57,-1.0,-1.0,-1.0,-1.0
383941,33.75,1.0,1.0,1.0,1.0
383942,35.01,-1.0,-1.0,1.0,1.0
383943,34.52,1.0,1.0,1.0,1.0
383944,34.82,-1.0,1.0,-1.0,1.0
383945,34.42,1.0,1.0,1.0,1.0
383946,35.67,1.0,1.0,-1.0,1.0
383947,35.74,-1.0,1.0,-1.0,1.0
383948,35.24,1.0,1.0,1.0,1.0
383949,36.43,1.0,1.0,1.0,1.0
383950,36.87,-1.0,-1.0,-1.0,-1.0
383951,35.41,-1.0,1.0,-1.0,1.0
383952,34.81,1.0,1.0,1.0,1.0
383953,35.25,-1.0,1.0,-1.0,1.0
383954,35.14,1.0,1.0,1.0,1.0
383955,36.09,1.0,1.0,-1.0,1.0
383956,36.32,1.0,1.0,1.0,1.0
383957,36.55,1.0,1.0,1.0,1.0
383958,37.44,1.0,1.0,1.0,1.0
383959,37.54,1.0,1.0,1.0,1.0
383960,37.73,-1.0,1.0,1.0,1.0
383961,37.56,-1.0,1.0,1.0,1.0
383962,37.2,-1.0,1.0,-1.0,1.0
383963,36.77,-1.0,1.0,-1.0,1.0
383964,36.74,-1.0,1.0,-1.0,1.0
383965,36.25,1.0,1.0,1.0,1.0
383966,36.35,-1.0,1.0,-1.0,1.0
383967,36.03,-1.0,1.0,-1.0,1.0
383968,34.98,-1.0,1.0,-1.0,1.0
383969,34.77,-1.0,1.0,-1.0,1.0
383970,34.57,-1.0,1.0,-1.0,1.0
383971,34.3,1.0,1.0,1.0,1.0
383972,34.78,1.0,1.0,1.0,1.0
383973,35.97,-1.0,1.0,-1.0,1.0
383974,35.92,1.0,1.0,1.0,1.0
383975,36.28,1.0,1.0,1.0,1.0
383976,36.55,1.0,1.0,1.0,1.0
383977,37.46,-1.0,1.0,-1.0,1.0
383978,37.25,1.0,1.0,1.0,1.0
383979,37.51,-1.0,1.0,-1.0,1.0
383980,36.61,1.0,1.0,1.0,1.0
383981,37.0,1.0,1.0,1.0,1.0
383982,37.61,-1.0,1.0,-1.0,1.0
383983,37.4,1.0,1.0,1.0,1.0
383984,37.98,1.0,1.0,1.0,1.0
383985,38.65,1.0,1.0,1.0,1.0
383986,39.38,1.0,1.0,1.0,1.0
383987,39.56,1.0,1.0,1.0,1.0
383988,39.58,0.0,1.0,0.0,1.0
383989,39.58,1.0,1.0,1.0,1.0
383990,39.75,1.0,1.0,1.0,1.0
383991,40.22,1.0,1.0,1.0,1.0
383992,40.28,1.0,1.0,1.0,1.0
383993,40.77,-1.0,1.0,-1.0,1.0
383994,40.43,1.0,1.0,1.0,1.0
383995,40.67,-1.0,1.0,-1.0,1.0
383996,40.64,-1.0,1.0,-1.0,1.0
383997,40.43,-1.0,1.0,-1.0,1.0
383998,39.25,-1.0,1.0,-1.0,1.0
383999,38.61,-1.0,1.0,-1.0,1.0
384000,38.56,-1.0,1.0,-1.0,1.0
384001,38.4,1.0,1.0,1.0,1.0
384002,39.3,1.0,1.0,1.0,1.0
384003,39.35,-1.0,1.0,-1.0,1.0
384004,38.77,1.0,1.0,1.0,1.0
384005,44.6,-1.0,-1.0,-1.0,-1.0
384006,42.83,-1.0,1.0,-1.0,1.0
384007,42.68,-1.0,1.0,-1.0,1.0
384008,42.6,-1.0,1.0,-1.0,1.0
384009,42.32,1.0,1.0,1.0,1.0
384010,42.94,-1.0,1.0,-1.0,1.0
384011,42.22,1.0,1.0,1.0,1.0
384012,42.74,1.0,1.0,1.0,1.0
384013,43.62,1.0,1.0,1.0,1.0
384014,44.0,1.0,1.0,1.0,1.0
384015,44.01,1.0,1.0,-1.0,1.0
384016,44.41,-1.0,1.0,-1.0,1.0
384017,44.33,-1.0,1.0,-1.0,1.0
384018,43.98,-1.0,1.0,-1.0,1.0
384019,43.47,1.0,1.0,1.0,1.0
384020,44.08,-1.0,1.0,-1.0,1.0
384021,43.9,1.0,1.0,1.0,1.0
384022,44.1,1.0,1.0,1.0,1.0
384023,44.87,1.0,1.0,1.0,1.0
384024,44.88,1.0,1.0,1.0,1.0
384025,45.52,1.0,1.0,-1.0,1.0
384026,45.83,-1.0,1.0,-1.0,1.0
384027,45.69,-1.0,1.0,-1.0,1.0
384028,45.07,1.0,1.0,1.0,1.0
384029,45.46,-1.0,1.0,-1.0,1.0
384030,44.96,-1.0,1.0,-1.0,1.0
384031,44.81,-1.0,1.0,-1.0,1.0
384032,44.45,-1.0,1.0,-1.0,1.0
384033,43.81,1.0,1.0,1.0,1.0
384034,44.91,-1.0,1.0,1.0,1.0
384035,44.15,1.0,1.0,1.0,1.0
384036,45.46,-1.0,1.0,1.0,1.0
384037,44.92,1.0,1.0,1.0,1.0
384038,45.91,-1.0,1.0,-1.0,1.0
384039,45.83,1.0,-1.0,1.0,1.0
384040,45.86,1.0,-1.0,1.0,-1.0
384041,46.92,1.0,-1.0,1.0,-1.0
384042,47.57,-1.0,-1.0,1.0,-1.0
384043,47.31,-1.0,-1.0,1.0,-1.0
384044,46.63,-1.0,-1.0,-1.0,1.0
384045,45.99,-1.0,-1.0,-1.0,-1.0
384046,45.85,1.0,1.0,1.0,1.0
384047,46.02,1.0,1.0,-1.0,1.0
384048,46.12,1.0,1.0,1.0,1.0
384049,47.21,-1.0,-1.0,-1.0,-1.0
384050,47.19,1.0,-1.0,1.0,-1.0
384051,47.63,1.0,1.0,1.0,1.0
384052,47.71,1.0,1.0,1.0,1.0
384053,48.23,-1.0,1.0,-1.0,1.0
384054,47.98,1.0,1.0,1.0,1.0
384055,48.16,1.0,1.0,-1.0,1.0
384056,48.44,-1.0,-1.0,-1.0,-1.0
384057,48.18,1.0,1.0,1.0,1.0
384058,48.7,-1.0,1.0,-1.0,1.0
384059,48.45,1.0,1.0,1.0,1.0
