,Close,Target(1),Target(30),Prediction(1),Prediction(30)
385727,24.5,-1.0,1.0,-1.0,1.0
385728,24.47,-1.0,1.0,-1.0,1.0
385729,23.88,-1.0,1.0,-1.0,1.0
385730,23.07,-1.0,1.0,-1.0,1.0
385731,22.91,1.0,1.0,-1.0,1.0
385732,23.9,1.0,1.0,-1.0,1.0
385733,24.02,-1.0,1.0,-1.0,1.0
385734,22.67,-1.0,1.0,-1.0,1.0
385735,22.15,1.0,1.0,1.0,1.0
385736,22.67,-1.0,1.0,-1.0,1.0
385737,22.51,1.0,1.0,1.0,1.0
385738,22.92,-1.0,1.0,-1.0,1.0
385739,22.41,-1.0,1.0,-1.0,1.0
385740,22.37,1.0,1.0,1.0,1.0
385741,22.57,1.0,1.0,1.0,1.0
385742,24.1,-1.0,1.0,-1.0,1.0
385743,23.71,1.0,1.0,-1.0,1.0
385744,24.23,1.0,1.0,1.0,1.0
385745,24.25,-1.0,1.0,-1.0,1.0
385746,23.99,1.0,1.0,-1.0,1.0
385747,24.01,-1.0,1.0,-1.0,1.0
385748,23.9,-1.0,1.0,-1.0,1.0
385749,23.89,-1.0,1.0,-1.0,1.0
385750,23.17,1.0,1.0,1.0,-1.0
385751,24.18,1.0,1.0,1.0,-1.0
385752,25.03,1.0,1.0,1.0,1.0
385753,25.2,-1.0,1.0,-1.0,1.0
385754,24.98,1.0,1.0,1.0,1.0
385755,25.35,-1.0,1.0,-1.0,1.0
385756,25.25,-1.0,1.0,-1.0,1.0
385757,25.09,1.0,1.0,1.0,1.0
385758,25.11,1.0,1.0,1.0,1.0
385759,25.2,1.0,1.0,1.0,1.0
385760,25.34,-1.0,1.0,-1.0,1.0
385761,24.91,1.0,1.0,1.0,1.0
385762,25.38,1.0,1.0,1.0,1.0
385763,27.02,-1.0,1.0,-1.0,1.0
385764,26.42,-1.0,1.0,-1.0,1.0
385765,25.82,1.0,1.0,1.0,1.0
385766,26.05,1.0,-1.0,1.0,-1.0
385767,26.16,1.0,-1.0,1.0,-1.0
385768,26.21,-1.0,-1.0,-1.0,-1.0
385769,25.21,-1.0,-1.0,-1.0,-1.0
385770,24.99,1.0,-1.0,1.0,-1.0
385771,25.15,1.0,-1.0,1.0,-1.0
385772,25.26,-1.0,-1.0,-1.0,-1.0
385773,24.61,1.0,-1.0,1.0,-1.0
385774,25.24,1.0,-1.0,-1.0,1.0
385775,25.5,1.0,-1.0,1.0,-1.0
385776,25.91,1.0,-1.0,1.0,-1.0
385777,27.01,1.0,-1.0,1.0,-1.0
385778,27.42,1.0,-1.0,1.0,-1.0
385779,27.47,-1.0,-1.0,1.0,-1.0
385780,27.14,1.0,-1.0,1.0,-1.0
385781,27.23,1.0,-1.0,1.0,-1.0
385782,28.1,0.0,-1.0,-1.0,-1.0
385783,28.1,-1.0,-1.0,-1.0,-1.0
385784,27.85,-1.0,-1.0,-1.0,-1.0
385785,27.44,-1.0,-1.0,-1.0,-1.0
385786,27.42,1.0,-1.0,1.0,-1.0
385787,28.17,1.0,-1.0,1.0,-1.0
385788,28.37,1.0,-1.0,1.0,-1.0
385789,28.63,-1.0,-1.0,-1.0,-1.0
385790,28.41,-1.0,-1.0,-1.0,-1.0
385791,27.05,1.0,-1.0,1.0,-1.0
385792,27.18,1.0,-1.0,1.0,1.0
385793,28.0,-1.0,-1.0,-1.0,-1.0
385794,26.74,-1.0,-1.0,-1.0,-1.0
385795,26.64,-1.0,-1.0,-1.0,1.0
385796,25.01,-1.0,1.0,-1.0,1.0
385797,24.76,-1.0,1.0,-1.0,1.0
385798,23.34,-1.0,1.0,-1.0,1.0
385799,23.16,1.0,1.0,-1.0,1.0
385800,24.79,-1.0,-1.0,-1.0,-1.0
