,Close,Target(1),Target(30),Prediction(1),Prediction(30)
387594,6.78,-1.0,1.0,-1.0,1.0
387595,6.66,-1.0,1.0,-1.0,1.0
387596,6.47,1.0,1.0,1.0,1.0
387597,6.52,-1.0,1.0,-1.0,1.0
387598,6.46,1.0,1.0,1.0,1.0
387599,6.6,1.0,1.0,1.0,1.0
387600,6.72,-1.0,1.0,-1.0,1.0
387601,6.69,-1.0,1.0,-1.0,1.0
387602,6.41,-1.0,1.0,-1.0,1.0
387603,6.39,-1.0,1.0,-1.0,1.0
387604,6.35,1.0,1.0,1.0,1.0
387605,6.4,1.0,1.0,-1.0,1.0
387606,6.5,1.0,1.0,1.0,1.0
387607,6.73,-1.0,1.0,1.0,1.0
387608,6.72,1.0,1.0,1.0,1.0
387609,6.87,1.0,1.0,1.0,1.0
387610,6.98,1.0,1.0,1.0,1.0
387611,7.09,1.0,1.0,1.0,1.0
387612,7.11,-1.0,1.0,1.0,1.0
387613,7.06,-1.0,1.0,-1.0,1.0
387614,6.85,-1.0,1.0,1.0,1.0
387615,6.82,-1.0,1.0,-1.0,1.0
387616,6.75,1.0,1.0,1.0,1.0
387617,7.5,1.0,1.0,-1.0,1.0
387618,8.26,-1.0,1.0,-1.0,1.0
387619,8.17,1.0,1.0,1.0,1.0
387620,8.18,1.0,1.0,1.0,1.0
387621,8.29,1.0,1.0,1.0,1.0
387622,8.45,1.0,1.0,1.0,1.0
387623,8.51,1.0,1.0,1.0,1.0
387624,8.52,1.0,1.0,1.0,1.0
387625,8.58,-1.0,1.0,-1.0,1.0
387626,8.53,-1.0,1.0,-1.0,1.0
387627,8.42,-1.0,1.0,-1.0,1.0
387628,8.34,1.0,1.0,1.0,1.0
387629,8.43,1.0,1.0,1.0,1.0
387630,8.54,1.0,1.0,1.0,1.0
387631,8.64,-1.0,1.0,1.0,1.0
387632,8.61,1.0,1.0,1.0,1.0
387633,8.73,1.0,-1.0,1.0,-1.0
387634,8.79,-1.0,-1.0,-1.0,1.0
387635,8.53,-1.0,-1.0,-1.0,1.0
387636,8.39,-1.0,-1.0,-1.0,-1.0
387637,8.33,1.0,1.0,1.0,1.0
387638,8.49,1.0,-1.0,1.0,-1.0
387639,8.5,-1.0,-1.0,-1.0,-1.0
387640,8.32,1.0,1.0,1.0,1.0
387641,8.49,1.0,-1.0,1.0,-1.0
387642,8.67,-1.0,-1.0,-1.0,-1.0
387643,8.52,1.0,-1.0,-1.0,-1.0
387644,8.54,-1.0,-1.0,-1.0,-1.0
387645,8.47,1.0,-1.0,1.0,-1.0
387646,8.72,1.0,-1.0,1.0,-1.0
387647,8.77,-1.0,-1.0,1.0,-1.0
387648,8.64,1.0,-1.0,1.0,-1.0
387649,9.05,1.0,-1.0,1.0,-1.0
387650,9.22,-1.0,-1.0,-1.0,-1.0
387651,8.96,1.0,-1.0,1.0,-1.0
387652,9.06,1.0,-1.0,1.0,-1.0
387653,9.74,-1.0,-1.0,-1.0,-1.0
387654,9.64,1.0,-1.0,1.0,-1.0
387655,9.85,-1.0,-1.0,-1.0,-1.0
387656,9.73,1.0,-1.0,1.0,-1.0
387657,9.87,-1.0,-1.0,-1.0,-1.0
387658,9.42,-1.0,-1.0,-1.0,-1.0
387659,9.27,1.0,-1.0,1.0,-1.0
387660,9.5,-1.0,-1.0,-1.0,-1.0
387661,8.91,1.0,-1.0,1.0,-1.0
387662,8.99,-1.0,-1.0,-1.0,-1.0
387663,8.45,-1.0,-1.0,-1.0,-1.0
387664,8.4,-1.0,-1.0,-1.0,-1.0
387665,8.05,-1.0,1.0,-1.0,-1.0
387666,7.72,1.0,1.0,1.0,1.0
387667,8.36,-1.0,-1.0,-1.0,-1.0
387668,8.17,1.0,1.0,1.0,-1.0
387669,8.42,-1.0,-1.0,1.0,-1.0
387670,8.38,-1.0,-1.0,-1.0,-1.0
387671,8.05,1.0,-1.0,1.0,-1.0
387672,8.09,-1.0,-1.0,-1.0,-1.0
387673,8.04,-1.0,-1.0,-1.0,-1.0
387674,7.9,-1.0,-1.0,-1.0,-1.0
387675,7.58,1.0,-1.0,1.0,1.0
387676,7.77,1.0,-1.0,1.0,-1.0
387677,7.87,-1.0,-1.0,-1.0,-1.0
387678,7.8,1.0,-1.0,1.0,-1.0
387679,7.92,1.0,-1.0,1.0,-1.0
387680,8.58,-1.0,-1.0,-1.0,-1.0
387681,8.35,-1.0,-1.0,1.0,1.0
387682,7.92,1.0,-1.0,1.0,-1.0
387683,8.12,1.0,-1.0,1.0,-1.0
387684,8.31,-1.0,-1.0,1.0,-1.0
387685,7.84,-1.0,-1.0,-1.0,1.0
387686,7.52,1.0,1.0,1.0,1.0
387687,7.64,1.0,0.0,1.0,1.0
387688,7.66,1.0,1.0,1.0,1.0
387689,8.07,-1.0,1.0,-1.0,1.0
387690,7.98,-1.0,1.0,-1.0,1.0
387691,7.97,1.0,1.0,1.0,1.0
387692,8.09,-1.0,1.0,-1.0,1.0
387693,8.06,1.0,1.0,1.0,1.0
387694,8.27,1.0,1.0,1.0,1.0
387695,8.32,-1.0,1.0,1.0,1.0
387696,8.31,-1.0,1.0,-1.0,1.0
387697,8.16,1.0,1.0,1.0,1.0
387698,8.25,-1.0,1.0,1.0,1.0
387699,7.96,-1.0,1.0,-1.0,1.0
387700,7.71,-1.0,1.0,-1.0,1.0
387701,7.53,-1.0,1.0,-1.0,1.0
387702,7.27,-1.0,1.0,-1.0,1.0
387703,7.13,-1.0,1.0,-1.0,1.0
387704,7.0,-1.0,1.0,-1.0,1.0
387705,6.93,1.0,1.0,1.0,1.0
387706,7.1,1.0,1.0,1.0,1.0
387707,7.31,1.0,1.0,1.0,1.0
387708,7.63,1.0,1.0,1.0,1.0
387709,7.72,-1.0,1.0,-1.0,1.0
387710,7.68,1.0,1.0,1.0,1.0
387711,7.9,-1.0,1.0,-1.0,1.0
387712,7.85,-1.0,1.0,-1.0,1.0
387713,7.83,-1.0,1.0,-1.0,1.0
387714,7.32,1.0,1.0,1.0,1.0
387715,7.54,1.0,1.0,1.0,1.0
387716,7.88,-1.0,1.0,-1.0,1.0
387717,7.64,1.0,1.0,1.0,1.0
387718,8.03,1.0,1.0,1.0,1.0
387719,8.18,1.0,1.0,1.0,1.0
387720,8.38,-1.0,1.0,1.0,1.0
387721,8.32,-1.0,1.0,1.0,1.0
387722,8.25,1.0,1.0,1.0,1.0
387723,8.98,1.0,1.0,1.0,1.0
387724,9.14,1.0,1.0,-1.0,1.0
387725,9.21,-1.0,1.0,-1.0,1.0
387726,8.94,1.0,1.0,-1.0,1.0
387727,9.16,1.0,1.0,1.0,1.0
387728,9.39,-1.0,1.0,1.0,1.0
387729,9.29,1.0,1.0,1.0,1.0
387730,9.59,-1.0,1.0,-1.0,1.0
387731,9.32,-1.0,1.0,-1.0,1.0
387732,8.89,-1.0,1.0,1.0,1.0
387733,8.69,-1.0,1.0,-1.0,1.0
387734,8.64,-1.0,1.0,-1.0,1.0
387735,8.57,1.0,1.0,1.0,1.0
387736,8.66,-1.0,1.0,-1.0,-1.0
387737,8.65,-1.0,1.0,-1.0,1.0
387738,8.53,1.0,1.0,1.0,1.0
387739,8.57,-1.0,1.0,-1.0,1.0
387740,8.41,1.0,1.0,1.0,1.0
387741,8.43,1.0,1.0,1.0,1.0
387742,8.55,1.0,1.0,1.0,1.0
387743,8.6,1.0,1.0,1.0,1.0
387744,8.69,-1.0,1.0,-1.0,1.0
387745,8.48,1.0,1.0,1.0,1.0
387746,8.53,1.0,1.0,1.0,1.0
387747,8.81,1.0,1.0,1.0,-1.0
387748,9.03,1.0,1.0,1.0,1.0
387749,9.2,-1.0,1.0,-1.0,1.0
387750,9.0,1.0,1.0,1.0,1.0
387751,9.18,1.0,1.0,1.0,1.0
387752,9.21,1.0,1.0,-1.0,1.0
387753,9.54,1.0,1.0,1.0,1.0
387754,9.61,-1.0,1.0,-1.0,1.0
387755,9.57,-1.0,1.0,-1.0,1.0
387756,9.43,-1.0,1.0,-1.0,1.0
387757,9.21,1.0,1.0,1.0,1.0
387758,9.65,1.0,1.0,1.0,1.0
387759,9.89,-1.0,1.0,-1.0,1.0
387760,9.76,-1.0,1.0,-1.0,1.0
387761,9.65,-1.0,1.0,-1.0,1.0
387762,9.64,1.0,1.0,1.0,1.0
387763,10.07,1.0,1.0,1.0,1.0
387764,10.17,-1.0,1.0,-1.0,1.0
387765,10.13,-1.0,1.0,-1.0,1.0
387766,10.04,-1.0,1.0,-1.0,1.0
387767,10.03,1.0,1.0,1.0,1.0
387768,10.15,-1.0,1.0,-1.0,1.0
387769,9.98,1.0,1.0,1.0,1.0
387770,10.49,-1.0,1.0,1.0,1.0
387771,10.25,0.0,1.0,-1.0,1.0
387772,10.25,1.0,1.0,1.0,1.0
387773,10.47,1.0,1.0,1.0,1.0
387774,10.71,-1.0,-1.0,-1.0,-1.0
387775,10.65,1.0,-1.0,1.0,1.0
