,Close,Target(1),Target(30),Prediction(1),Prediction(30)
391328,39.75,1.0,-1.0,1.0,-1.0
391329,39.86,1.0,-1.0,1.0,-1.0
391330,40.47,-1.0,-1.0,-1.0,-1.0
391331,39.37,-1.0,-1.0,-1.0,-1.0
391332,39.08,1.0,-1.0,-1.0,-1.0
391333,39.53,-1.0,-1.0,-1.0,-1.0
391334,38.83,-1.0,-1.0,-1.0,-1.0
391335,36.71,-1.0,1.0,-1.0,1.0
391336,36.29,1.0,1.0,1.0,1.0
391337,36.58,-1.0,1.0,-1.0,1.0
391338,36.48,1.0,1.0,1.0,1.0
391339,36.85,-1.0,1.0,-1.0,1.0
391340,36.75,1.0,1.0,1.0,1.0
391341,37.49,-1.0,-1.0,-1.0,-1.0
391342,37.39,-1.0,-1.0,-1.0,-1.0
391343,36.49,1.0,1.0,1.0,1.0
391344,36.59,-1.0,1.0,-1.0,1.0
391345,36.28,1.0,1.0,1.0,1.0
391346,36.56,-1.0,-1.0,-1.0,-1.0
391347,36.25,-1.0,1.0,-1.0,1.0
391348,35.97,1.0,1.0,1.0,1.0
391349,36.7,1.0,-1.0,1.0,-1.0
391350,36.87,1.0,-1.0,1.0,-1.0
391351,37.6,1.0,-1.0,1.0,-1.0
391352,37.74,1.0,-1.0,1.0,-1.0
391353,38.57,-1.0,-1.0,-1.0,-1.0
391354,38.27,1.0,-1.0,1.0,-1.0
391355,38.65,-1.0,-1.0,-1.0,-1.0
391356,38.33,-1.0,-1.0,-1.0,-1.0
391357,37.82,-1.0,-1.0,-1.0,-1.0
391358,36.43,-1.0,-1.0,-1.0,-1.0
391359,36.37,1.0,-1.0,1.0,-1.0
391360,36.64,1.0,-1.0,1.0,-1.0
391361,36.75,-1.0,-1.0,-1.0,-1.0
391362,36.48,-1.0,-1.0,-1.0,-1.0
391363,36.29,1.0,1.0,1.0,-1.0
391364,37.15,1.0,-1.0,1.0,-1.0
391365,37.75,-1.0,-1.0,-1.0,-1.0
391366,36.79,1.0,1.0,1.0,-1.0
391367,37.57,-1.0,-1.0,-1.0,-1.0
391368,37.37,-1.0,-1.0,1.0,-1.0
391369,37.17,-1.0,-1.0,-1.0,-1.0
391370,36.93,-1.0,-1.0,-1.0,-1.0
391371,36.88,-1.0,1.0,1.0,-1.0
391372,36.41,1.0,1.0,1.0,1.0
391373,36.88,0.0,-1.0,0.0,-1.0
391374,36.88,-1.0,-1.0,-1.0,-1.0
391375,36.79,-1.0,-1.0,-1.0,-1.0
391376,36.49,-1.0,-1.0,1.0,-1.0
391377,36.39,1.0,-1.0,-1.0,-1.0
391378,36.5,1.0,-1.0,1.0,-1.0
391379,36.52,-1.0,-1.0,-1.0,-1.0
391380,36.24,1.0,-1.0,1.0,-1.0
391381,37.28,-1.0,-1.0,-1.0,-1.0
391382,35.4,-1.0,-1.0,-1.0,-1.0
391383,34.49,1.0,-1.0,1.0,-1.0
391384,34.6,1.0,-1.0,1.0,-1.0
391385,34.85,-1.0,-1.0,-1.0,-1.0
391386,34.21,1.0,-1.0,1.0,-1.0
391387,34.25,1.0,-1.0,1.0,-1.0
391388,34.93,1.0,-1.0,1.0,-1.0
391389,35.44,1.0,-1.0,1.0,-1.0
391390,35.67,1.0,-1.0,1.0,-1.0
391391,35.88,1.0,-1.0,1.0,-1.0
391392,36.14,1.0,-1.0,1.0,-1.0
391393,36.58,1.0,-1.0,1.0,-1.0
391394,36.99,1.0,-1.0,-1.0,-1.0
391395,37.22,1.0,-1.0,1.0,-1.0
391396,37.6,-1.0,-1.0,-1.0,-1.0
391397,37.23,-1.0,-1.0,-1.0,-1.0
391398,36.73,-1.0,-1.0,-1.0,-1.0
391399,36.64,-1.0,-1.0,-1.0,-1.0
391400,36.5,1.0,-1.0,1.0,-1.0
391401,36.91,-1.0,-1.0,-1.0,-1.0
391402,36.75,-1.0,-1.0,1.0,-1.0
391403,36.47,1.0,-1.0,1.0,-1.0
391404,36.83,-1.0,-1.0,-1.0,-1.0
391405,34.68,-1.0,-1.0,-1.0,-1.0
391406,34.28,-1.0,-1.0,-1.0,-1.0
391407,32.89,-1.0,-1.0,-1.0,-1.0
391408,32.65,-1.0,-1.0,-1.0,-1.0
391409,32.3,-1.0,-1.0,-1.0,-1.0
391410,31.95,-1.0,-1.0,-1.0,-1.0
391411,31.85,1.0,-1.0,1.0,-1.0
391412,31.86,1.0,-1.0,1.0,-1.0
391413,32.02,-1.0,-1.0,-1.0,-1.0
391414,31.88,-1.0,-1.0,-1.0,-1.0
391415,31.7,1.0,-1.0,1.0,-1.0
391416,32.03,1.0,-1.0,1.0,-1.0
391417,32.71,-1.0,-1.0,-1.0,-1.0
391418,32.5,1.0,-1.0,1.0,-1.0
391419,32.78,-1.0,-1.0,-1.0,-1.0
391420,32.57,-1.0,-1.0,-1.0,-1.0
391421,31.65,-1.0,-1.0,-1.0,-1.0
391422,31.45,1.0,-1.0,1.0,-1.0
391423,31.86,-1.0,-1.0,-1.0,1.0
391424,31.09,-1.0,-1.0,-1.0,-1.0
391425,31.0,1.0,-1.0,1.0,-1.0
391426,31.48,1.0,-1.0,1.0,-1.0
391427,31.55,-1.0,-1.0,-1.0,-1.0
391428,31.23,-1.0,-1.0,-1.0,-1.0
391429,30.96,-1.0,-1.0,-1.0,-1.0
391430,30.54,1.0,-1.0,-1.0,-1.0
391431,30.67,1.0,-1.0,1.0,-1.0
391432,30.92,1.0,-1.0,-1.0,-1.0
391433,31.15,1.0,-1.0,1.0,-1.0
391434,31.51,-1.0,-1.0,-1.0,-1.0
391435,31.41,1.0,-1.0,1.0,-1.0
391436,31.77,-1.0,-1.0,-1.0,-1.0
391437,31.73,-1.0,-1.0,-1.0,-1.0
391438,31.4,-1.0,-1.0,-1.0,-1.0
391439,31.36,1.0,-1.0,1.0,-1.0
391440,31.58,-1.0,-1.0,-1.0,-1.0
391441,31.2,-1.0,-1.0,-1.0,-1.0
391442,31.12,-1.0,-1.0,-1.0,-1.0
391443,30.76,1.0,-1.0,-1.0,-1.0
391444,30.9,-1.0,-1.0,-1.0,-1.0
391445,30.66,-1.0,-1.0,-1.0,-1.0
391446,29.91,1.0,-1.0,1.0,-1.0
391447,30.05,1.0,-1.0,1.0,-1.0
391448,30.23,-1.0,-1.0,-1.0,-1.0
391449,29.97,-1.0,-1.0,-1.0,-1.0
391450,29.81,-1.0,-1.0,-1.0,-1.0
391451,29.27,0.0,1.0,0.0,1.0
391452,29.27,-1.0,1.0,-1.0,1.0
391453,29.07,-1.0,1.0,-1.0,1.0
391454,28.91,1.0,1.0,1.0,1.0
391455,29.75,-1.0,1.0,-1.0,1.0
391456,29.52,1.0,1.0,1.0,1.0
391457,30.19,1.0,-1.0,1.0,-1.0
391458,30.29,-1.0,1.0,-1.0,1.0
391459,30.22,-1.0,1.0,-1.0,1.0
391460,30.15,1.0,1.0,1.0,1.0
391461,30.24,-1.0,1.0,1.0,1.0
391462,29.24,-1.0,1.0,-1.0,1.0
391463,27.62,-1.0,1.0,-1.0,1.0
391464,26.52,1.0,1.0,1.0,1.0
391465,27.41,1.0,1.0,1.0,1.0
391466,28.21,1.0,1.0,1.0,1.0
391467,28.54,-1.0,1.0,-1.0,1.0
391468,28.34,-1.0,1.0,-1.0,1.0
391469,27.63,1.0,1.0,1.0,1.0
391470,28.12,1.0,1.0,1.0,1.0
391471,28.44,-1.0,1.0,-1.0,1.0
391472,28.21,1.0,1.0,1.0,1.0
391473,28.46,-1.0,1.0,-1.0,1.0
391474,28.01,1.0,1.0,1.0,1.0
391475,28.04,1.0,1.0,1.0,1.0
391476,28.38,1.0,1.0,1.0,1.0
391477,28.54,1.0,1.0,1.0,1.0
391478,28.89,1.0,1.0,1.0,1.0
391479,29.19,1.0,1.0,1.0,1.0
391480,29.48,1.0,1.0,1.0,1.0
391481,30.0,-1.0,1.0,-1.0,1.0
391482,29.87,-1.0,1.0,-1.0,1.0
391483,29.49,1.0,1.0,1.0,1.0
391484,29.81,1.0,1.0,-1.0,1.0
391485,30.31,1.0,1.0,1.0,1.0
391486,30.55,-1.0,-1.0,-1.0,1.0
391487,30.17,1.0,-1.0,1.0,1.0
391488,30.36,1.0,-1.0,1.0,-1.0
391489,31.02,1.0,-1.0,1.0,-1.0
391490,31.16,0.0,-1.0,0.0,-1.0
391491,31.16,1.0,-1.0,1.0,-1.0
391492,31.71,1.0,-1.0,1.0,-1.0
391493,31.75,1.0,-1.0,1.0,-1.0
391494,31.83,1.0,-1.0,1.0,-1.0
391495,32.3,-1.0,-1.0,-1.0,-1.0
391496,31.28,1.0,-1.0,1.0,1.0
391497,31.78,-1.0,-1.0,1.0,1.0
391498,31.68,-1.0,-1.0,-1.0,1.0
391499,31.39,-1.0,-1.0,-1.0,-1.0
391500,31.25,1.0,-1.0,1.0,-1.0
391501,31.6,1.0,-1.0,1.0,-1.0
391502,31.68,-1.0,-1.0,-1.0,-1.0
391503,31.41,-1.0,-1.0,-1.0,-1.0
391504,31.34,-1.0,-1.0,-1.0,-1.0
391505,31.28,-1.0,-1.0,-1.0,-1.0
391506,31.06,1.0,-1.0,-1.0,-1.0
391507,31.16,-1.0,-1.0,-1.0,-1.0
391508,30.25,1.0,-1.0,1.0,-1.0
391509,30.62,-1.0,-1.0,-1.0,-1.0
391510,30.3,1.0,-1.0,-1.0,-1.0
391511,30.64,1.0,-1.0,1.0,-1.0
391512,31.81,1.0,-1.0,1.0,-1.0
391513,32.08,-1.0,-1.0,1.0,1.0
391514,31.41,1.0,-1.0,1.0,-1.0
391515,31.44,-1.0,-1.0,-1.0,-1.0
391516,30.29,-1.0,-1.0,-1.0,-1.0
391517,29.96,-1.0,-1.0,-1.0,-1.0
391518,29.59,-1.0,-1.0,-1.0,-1.0
391519,29.5,-1.0,-1.0,-1.0,-1.0
391520,29.12,-1.0,-1.0,-1.0,-1.0
391521,28.61,1.0,-1.0,-1.0,-1.0
391522,28.8,-1.0,-1.0,-1.0,-1.0
391523,28.45,1.0,-1.0,1.0,-1.0
391524,28.89,-1.0,-1.0,-1.0,-1.0
391525,28.86,1.0,-1.0,-1.0,-1.0
391526,28.93,1.0,-1.0,-1.0,-1.0
391527,28.94,-1.0,-1.0,-1.0,-1.0
391528,28.7,-1.0,-1.0,-1.0,-1.0
391529,28.41,-1.0,-1.0,-1.0,-1.0
391530,28.06,-1.0,-1.0,-1.0,-1.0
391531,27.78,1.0,-1.0,1.0,-1.0
391532,28.04,-1.0,-1.0,-1.0,-1.0
391533,27.49,-1.0,-1.0,-1.0,-1.0
391534,27.37,1.0,-1.0,1.0,-1.0
391535,27.6,-1.0,-1.0,-1.0,-1.0
391536,27.3,-1.0,-1.0,-1.0,-1.0
391537,26.98,1.0,-1.0,1.0,-1.0
391538,27.07,-1.0,-1.0,-1.0,-1.0
391539,26.84,-1.0,-1.0,-1.0,-1.0
391540,26.75,-1.0,-1.0,1.0,-1.0
391541,26.13,1.0,-1.0,1.0,-1.0
391542,26.72,1.0,1.0,1.0,1.0
391543,27.5,-1.0,-1.0,-1.0,-1.0
391544,27.16,-1.0,-1.0,-1.0,-1.0
391545,26.77,1.0,1.0,1.0,1.0
391546,26.96,1.0,1.0,1.0,1.0
391547,27.1,1.0,-1.0,1.0,1.0
391548,27.54,-1.0,-1.0,-1.0,-1.0
391549,27.34,1.0,-1.0,1.0,-1.0
