,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
395658,45.43,10.772332883578684,-1.0,1.0,-1.0,1.0
395659,45.19,10.486777722439276,-1.0,1.0,-1.0,1.0
395660,43.99,9.241222561299876,-1.0,1.0,-1.0,1.0
395661,43.93,9.135667400160472,-1.0,1.0,-1.0,1.0
395662,43.59,8.750112239021071,1.0,1.0,1.0,1.0
395663,43.7,8.814557077881657,1.0,1.0,1.0,1.0
395664,44.02,9.089001916742255,-1.0,1.0,-1.0,1.0
395665,43.74,8.76344675560285,-1.0,1.0,-1.0,1.0
395666,42.53,7.507891594463445,1.0,1.0,1.0,1.0
395667,42.66,7.592336433324037,-1.0,1.0,-1.0,1.0
395668,42.25,7.136781272184629,1.0,1.0,1.0,1.0
395669,43.29,8.131226111045223,-1.0,1.0,-1.0,1.0
395670,42.99,7.785670949905821,1.0,1.0,1.0,1.0
395671,43.9,8.650115788766414,-1.0,1.0,-1.0,-1.0
395672,43.64,8.344560627627011,1.0,1.0,1.0,1.0
395673,44.69,9.349005466487602,1.0,1.0,1.0,-1.0
395674,45.45,10.063450305348198,1.0,1.0,1.0,-1.0
395675,46.57,11.137895144208793,1.0,1.0,1.0,1.0
395676,46.76,11.282339983069384,-1.0,1.0,-1.0,1.0
395677,46.46,10.936784821929985,-1.0,1.0,-1.0,1.0
395678,45.61,10.041229660790576,-1.0,1.0,-1.0,1.0
395679,45.43,9.815674499651172,-1.0,1.0,-1.0,1.0
395680,45.22,9.560119338511761,1.0,1.0,1.0,1.0
395681,45.52,9.81456417737236,1.0,1.0,1.0,1.0
395682,46.09,10.339009016232957,-1.0,1.0,-1.0,1.0
395683,46.04,10.243453855093547,1.0,1.0,1.0,1.0
395684,46.2,10.357898693954148,1.0,1.0,-1.0,1.0
395685,46.48,10.59234353281473,1.0,1.0,1.0,1.0
395686,47.27,11.33678837167533,-1.0,1.0,-1.0,1.0
395687,46.66,10.681233210535922,-1.0,1.0,-1.0,1.0
395688,46.64,10.61567804939652,1.0,1.0,1.0,1.0
395689,46.74,10.67012288825712,-1.0,1.0,-1.0,-1.0
395690,46.66,10.544567727117707,-1.0,1.0,-1.0,-1.0
395691,46.65,10.489012565978301,-1.0,1.0,-1.0,1.0
395692,45.47,9.263457404838897,1.0,1.0,1.0,1.0
