,Close,Target(1),Target(30),Prediction(1),Prediction(30)
399392,32.4,-1.0,1.0,1.0,1.0
399393,32.39,1.0,1.0,1.0,1.0
399394,32.83,-1.0,1.0,1.0,1.0
399395,30.96,-1.0,1.0,-1.0,1.0
399396,30.66,1.0,1.0,1.0,1.0
399397,30.87,-1.0,1.0,1.0,1.0
399398,30.66,1.0,1.0,1.0,1.0
399399,31.17,-1.0,1.0,-1.0,1.0
399400,30.29,1.0,1.0,1.0,1.0
399401,30.49,-1.0,1.0,-1.0,1.0
399402,30.43,1.0,1.0,1.0,1.0
399403,30.68,1.0,1.0,1.0,1.0
399404,31.45,1.0,1.0,1.0,1.0
399405,31.57,1.0,1.0,-1.0,1.0
399406,31.68,1.0,1.0,-1.0,1.0
399407,32.09,1.0,1.0,-1.0,1.0
399408,32.66,-1.0,1.0,-1.0,1.0
399409,32.35,1.0,1.0,-1.0,1.0
399410,32.95,1.0,1.0,1.0,1.0
399411,33.4,1.0,1.0,1.0,1.0
399412,33.45,1.0,1.0,1.0,1.0
399413,34.21,1.0,1.0,1.0,1.0
399414,34.72,1.0,1.0,1.0,1.0
399415,35.48,-1.0,1.0,1.0,1.0
399416,34.93,1.0,1.0,1.0,1.0
399417,35.1,-1.0,1.0,-1.0,1.0
399418,34.6,-1.0,1.0,-1.0,1.0
399419,34.3,1.0,1.0,-1.0,1.0
399420,34.98,1.0,1.0,1.0,1.0
399421,35.27,1.0,1.0,1.0,1.0
399422,36.15,-1.0,1.0,-1.0,1.0
399423,35.78,-1.0,1.0,-1.0,1.0
399424,35.62,-1.0,1.0,-1.0,1.0
399425,35.41,1.0,1.0,1.0,1.0
399426,35.69,1.0,1.0,1.0,1.0
399427,36.54,-1.0,1.0,-1.0,1.0
399428,36.02,1.0,1.0,1.0,1.0
399429,36.35,-1.0,1.0,-1.0,1.0
399430,35.91,1.0,1.0,1.0,1.0
399431,36.26,1.0,-1.0,1.0,-1.0
399432,36.54,-1.0,-1.0,-1.0,-1.0
399433,36.38,-1.0,-1.0,-1.0,-1.0
399434,35.76,-1.0,-1.0,1.0,-1.0
399435,35.64,0.0,1.0,0.0,1.0
