,Close,Target(1),Target(30),Prediction(1),Prediction(30)
401898,19.98,-1.0,1.0,1.0,1.0
401899,19.47,1.0,1.0,1.0,1.0
401900,19.71,-1.0,1.0,1.0,1.0
401901,19.04,-1.0,1.0,-1.0,1.0
401902,18.9,1.0,1.0,-1.0,1.0
401903,19.16,-1.0,1.0,-1.0,1.0
401904,18.68,1.0,1.0,-1.0,1.0
401905,18.78,-1.0,1.0,-1.0,1.0
401906,18.09,-1.0,1.0,-1.0,1.0
401907,17.96,1.0,1.0,-1.0,1.0
401908,18.12,1.0,1.0,1.0,1.0
401909,18.35,-1.0,1.0,-1.0,1.0
401910,18.14,1.0,1.0,-1.0,1.0
401911,18.4,-1.0,1.0,-1.0,1.0
401912,18.25,1.0,1.0,1.0,1.0
401913,19.14,1.0,1.0,-1.0,1.0
401914,19.37,1.0,1.0,1.0,1.0
401915,19.68,-1.0,1.0,-1.0,1.0
401916,19.66,0.0,1.0,0.0,1.0
401917,19.66,-1.0,1.0,-1.0,1.0
401918,19.44,1.0,1.0,1.0,1.0
401919,19.74,-1.0,1.0,1.0,1.0
401920,19.7,-1.0,1.0,-1.0,1.0
401921,19.4,1.0,1.0,1.0,1.0
401922,19.72,1.0,1.0,1.0,1.0
401923,19.94,1.0,1.0,1.0,1.0
401924,20.16,-1.0,1.0,-1.0,1.0
401925,20.1,1.0,1.0,1.0,1.0
401926,20.72,1.0,1.0,1.0,1.0
401927,21.0,1.0,1.0,1.0,1.0
401928,21.42,1.0,1.0,1.0,1.0
401929,21.45,1.0,1.0,1.0,1.0
401930,21.62,1.0,1.0,1.0,1.0
401931,21.78,-1.0,1.0,1.0,1.0
401932,21.72,1.0,1.0,1.0,1.0
401933,21.98,1.0,1.0,1.0,1.0
401934,22.22,-1.0,1.0,-1.0,1.0
401935,21.92,-1.0,1.0,-1.0,1.0
401936,21.55,1.0,1.0,1.0,1.0
401937,21.7,1.0,1.0,1.0,1.0
401938,22.12,1.0,1.0,1.0,1.0
401939,22.98,-1.0,-1.0,-1.0,-1.0
401940,22.7,-1.0,-1.0,-1.0,-1.0
401941,22.44,1.0,1.0,1.0,1.0
401942,22.82,-1.0,-1.0,-1.0,-1.0
401943,22.7,-1.0,1.0,-1.0,1.0
401944,22.6,1.0,1.0,1.0,1.0
