,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
403765,63.22,10.803217700275924,-1.0,1.0,-1.0,1.0
403766,62.79,10.335847152163543,1.0,1.0,1.0,1.0
403767,63.44,10.948476604051166,1.0,1.0,1.0,1.0
403768,63.8,11.271106055938795,-1.0,1.0,-1.0,1.0
403769,62.86,10.29373550782642,1.0,1.0,1.0,1.0
403770,63.09,10.486364959714043,1.0,1.0,1.0,1.0
403771,63.99,11.348994411601666,-1.0,1.0,-1.0,1.0
403772,63.63,10.951623863489296,-1.0,1.0,1.0,1.0
403773,62.64,9.924253315376916,0.0,1.0,-1.0,1.0
403774,62.64,9.886882767264536,-1.0,1.0,-1.0,1.0
403775,62.37,9.579512219152164,1.0,1.0,1.0,1.0
403776,62.76,9.932141671039787,-1.0,1.0,-1.0,1.0
403777,62.73,9.864771122927408,1.0,1.0,-1.0,1.0
403778,62.91,10.007400574815037,-1.0,1.0,-1.0,1.0
403779,62.72,9.78003002670266,1.0,1.0,1.0,1.0
403780,63.61,10.632659478590284,1.0,1.0,1.0,1.0
403781,63.98,10.96528893047791,1.0,1.0,1.0,1.0
403782,64.53,11.477918382365534,-1.0,1.0,-1.0,1.0
403783,63.81,10.72054783425316,-1.0,1.0,-1.0,-1.0
403784,63.49,10.363177286140782,-1.0,1.0,1.0,1.0
403785,63.31,10.145806738028412,1.0,1.0,1.0,1.0
403786,63.45,10.248436189916037,-1.0,1.0,-1.0,1.0
403787,63.28,10.041065641803657,-1.0,1.0,-1.0,1.0
403788,63.0,9.723695093691283,1.0,1.0,1.0,1.0
403789,63.39,10.076324545578906,1.0,1.0,1.0,1.0
403790,63.44,10.088953997466524,-1.0,1.0,1.0,1.0
403791,63.4,10.011583449354156,1.0,1.0,1.0,1.0
403792,63.57,10.14421290124178,1.0,1.0,1.0,1.0
403793,64.04,10.576842353129408,1.0,1.0,1.0,-1.0
403794,64.2,10.699471805017033,1.0,1.0,-1.0,1.0
403795,64.27,10.732101256904649,1.0,1.0,1.0,1.0
403796,64.29,10.71473070879228,-1.0,1.0,-1.0,-1.0
