,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
409366,34.32,-10.574758675806237,1.0,1.0,1.0,1.0
409367,35.03,-9.875020788307287,-1.0,1.0,1.0,1.0
409368,34.75,-10.165282900808345,1.0,1.0,1.0,1.0
409369,34.8,-10.1255450133094,-1.0,1.0,-1.0,1.0
409370,34.54,-10.39580712581045,1.0,1.0,1.0,1.0
409371,35.19,-9.756069238311504,1.0,1.0,1.0,1.0
409372,36.42,-8.536331350812553,-1.0,1.0,-1.0,1.0
409373,36.05,-8.916593463313609,-1.0,1.0,-1.0,1.0
409374,35.11,-9.86685557581466,-1.0,1.0,-1.0,1.0
409375,33.94,-11.047117688315716,1.0,1.0,1.0,-1.0
409376,34.0,-10.997379800816764,1.0,1.0,1.0,1.0
409377,34.11,-10.897641913317822,-1.0,1.0,-1.0,1.0
409378,33.61,-11.407904025818873,1.0,1.0,1.0,1.0
409379,33.81,-11.218166138319924,1.0,1.0,1.0,1.0
409380,34.2,-10.838428250820982,1.0,1.0,1.0,1.0
409381,35.08,-9.968690363322038,1.0,1.0,1.0,1.0
409382,35.12,-9.938952475823092,-1.0,1.0,-1.0,1.0
409383,35.02,-10.04921458832414,1.0,1.0,1.0,1.0
409384,35.7,-9.379476700825194,1.0,1.0,1.0,1.0
409385,36.13,-8.959738813326249,1.0,1.0,1.0,1.0
409386,36.19,-8.910000925827305,1.0,1.0,1.0,1.0
409387,36.59,-8.520263038328352,1.0,1.0,1.0,1.0
409388,36.88,-8.240525150829406,1.0,1.0,1.0,1.0
409389,36.94,-8.190787263330463,1.0,1.0,1.0,1.0
409390,37.59,-7.5510493758315125,1.0,1.0,1.0,1.0
409391,37.7,-7.451311488332563,1.0,1.0,1.0,1.0
409392,37.81,-7.351573600833618,1.0,1.0,1.0,1.0
409393,38.32,-6.851835713334673,1.0,1.0,1.0,1.0
409394,39.01,-6.172097825835728,1.0,1.0,1.0,1.0
409395,39.33,-5.86235993833678,-1.0,1.0,1.0,1.0
409396,39.14,-6.062622050837832,1.0,1.0,1.0,1.0
409397,39.15,-6.062884163338887,-1.0,1.0,1.0,1.0
409398,38.94,-6.283146275839941,1.0,1.0,1.0,1.0
409399,39.83,-5.403408388340999,1.0,1.0,1.0,1.0
409400,40.0,-5.243670500842049,-1.0,1.0,-1.0,1.0
409401,39.72,-5.533932613343103,1.0,1.0,1.0,1.0
409402,39.91,-5.3541947258441605,1.0,1.0,1.0,1.0
409403,40.26,-5.014456838345211,1.0,1.0,1.0,1.0
409404,40.42,-4.864718950846259,1.0,1.0,1.0,1.0
409405,41.29,-4.004981063347317,1.0,1.0,1.0,1.0
409406,41.46,-3.8452431758483665,-1.0,1.0,-1.0,1.0
409407,40.88,-4.435505288349418,1.0,-1.0,1.0,-1.0
409408,41.19,-4.135767400850476,1.0,-1.0,1.0,-1.0
409409,41.75,-3.5860295133515265,1.0,1.0,1.0,1.0
409410,41.81,-3.5362916258525763,-1.0,1.0,-1.0,1.0
409411,41.36,-3.9965537383536334,-1.0,1.0,-1.0,1.0
409412,40.85,-4.516815850854684,1.0,1.0,1.0,-1.0
409413,41.5,-3.8770779633557386,1.0,-1.0,1.0,-1.0
409414,42.76,-2.627340075856793,1.0,-1.0,1.0,-1.0
409415,43.37,-2.0276021883578466,-1.0,-1.0,-1.0,-1.0
409416,42.1,-3.3078643008588955,-1.0,-1.0,-1.0,-1.0
409417,41.44,-3.978126413359951,1.0,-1.0,1.0,-1.0
409418,42.55,-2.8783885258610127,-1.0,-1.0,-1.0,-1.0
409419,42.01,-3.4286506383620647,-1.0,-1.0,-1.0,-1.0
409420,41.83,-3.618912750863117,1.0,-1.0,-1.0,-1.0
409421,42.95,-2.5091748633641657,1.0,-1.0,1.0,-1.0
409422,43.46,-2.0094369758652206,-1.0,-1.0,-1.0,-1.0
409423,42.95,-2.529699088366272,-1.0,-1.0,-1.0,-1.0
409424,42.19,-3.2999612008673296,1.0,-1.0,1.0,-1.0
409425,42.88,-2.6202233133683777,1.0,-1.0,1.0,-1.0
409426,43.72,-1.7904854258694345,1.0,-1.0,1.0,-1.0
