,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
413102,6.49,1.9977858675641729,-1.0,1.0,-1.0,1.0
413109,6.82,2.2828291885973826,1.0,-1.0,1.0,-1.0
413111,7.13,2.5799844231782996,-1.0,-1.0,-1.0,-1.0
413118,7.06,2.4650277442115094,-1.0,-1.0,-1.0,-1.0
413124,6.63,1.996493447954261,-1.0,-1.0,-1.0,-1.0
413153,6.09,1.2702443493775617,-1.0,-1.0,-1.0,-1.0
413167,5.92,1.0103309914439826,-1.0,-1.0,-1.0,-1.0
413181,5.88,0.8804176335104028,-1.0,-1.0,-1.0,-1.0
413216,5.71,0.4856342386764547,-1.0,-1.0,-1.0,-1.0
413222,5.6,0.33709994241920604,1.0,-1.0,1.0,-1.0
413223,5.74,0.4706775597096655,1.0,-1.0,1.0,-1.0
413246,4.29,-1.1270372426097872,-1.0,1.0,1.0,1.0
413249,4.55,-0.8863043907384114,-1.0,-1.0,-1.0,-1.0
413251,4.51,-0.9391491561574936,1.0,1.0,1.0,1.0
413282,4.69,-0.958243020153276,1.0,1.0,1.0,1.0
413304,5.34,-0.4495354397631868,-1.0,1.0,1.0,1.0
413305,5.3,-0.4959578224727288,1.0,1.0,1.0,1.0
413314,4.95,-0.903759266858601,-1.0,1.0,1.0,1.0
413331,5.53,-0.43293977292080393,1.0,1.0,1.0,1.0
413332,5.59,-0.3793621556303455,1.0,1.0,1.0,1.0
413333,5.75,-0.2257845383398873,1.0,1.0,1.0,1.0
413334,5.87,-0.11220692104942832,1.0,1.0,-1.0,1.0
413337,5.9,-0.10147406917805224,-1.0,1.0,-1.0,1.0
413339,6.06,0.04568116540286393,-1.0,-1.0,-1.0,-1.0
413341,6.08,0.0528363999837822,-1.0,0.0,-1.0,0.0
413347,6.32,0.2543021037265341,-1.0,-1.0,-1.0,-1.0
413348,6.31,0.2378797210169923,1.0,-1.0,1.0,-1.0
413349,6.32,0.24145733830745095,1.0,-1.0,1.0,-1.0
413351,6.42,0.32861257288836754,-1.0,-1.0,-1.0,-1.0
413353,6.39,0.2857678074692851,-1.0,-1.0,-1.0,-1.0
413354,6.36,0.24934542475974464,-1.0,-1.0,-1.0,-1.0
413356,6.16,0.03650065934066138,1.0,-1.0,1.0,-1.0
413359,5.95,-0.1927664887879628,1.0,-1.0,-1.0,-1.0
