,Close,Target(1),Target(30),Prediction(1),Prediction(30)
414725,76.41,1.0,-1.0,1.0,-1.0
414726,77.38,1.0,-1.0,1.0,-1.0
414727,78.32,-1.0,-1.0,1.0,-1.0
414728,77.91,1.0,-1.0,1.0,-1.0
414729,79.21,1.0,-1.0,1.0,-1.0
414730,79.47,1.0,-1.0,1.0,-1.0
414731,80.37,-1.0,-1.0,-1.0,-1.0
414732,79.81,1.0,-1.0,1.0,-1.0
414733,80.48,-1.0,-1.0,-1.0,-1.0
414734,79.76,-1.0,-1.0,-1.0,-1.0
414735,78.46,1.0,-1.0,1.0,1.0
414736,78.81,-1.0,-1.0,1.0,-1.0
414737,77.97,-1.0,-1.0,-1.0,1.0
414738,76.69,-1.0,-1.0,-1.0,1.0
414739,75.99,1.0,-1.0,1.0,-1.0
414740,76.42,-1.0,-1.0,1.0,-1.0
414741,75.8,-1.0,-1.0,-1.0,-1.0
414742,75.19,-1.0,-1.0,-1.0,-1.0
414743,74.78,-1.0,-1.0,-1.0,-1.0
414744,74.25,-1.0,-1.0,-1.0,-1.0
414745,72.27,-1.0,-1.0,-1.0,-1.0
414746,70.87,-1.0,1.0,-1.0,1.0
414747,70.21,1.0,1.0,1.0,1.0
414748,73.91,1.0,1.0,1.0,1.0
414749,75.18,-1.0,-1.0,1.0,1.0
414750,74.69,-1.0,-1.0,1.0,-1.0
414751,72.66,-1.0,1.0,-1.0,1.0
414752,70.12,1.0,1.0,1.0,1.0
414753,72.07,1.0,1.0,1.0,1.0
414754,72.16,-1.0,1.0,-1.0,1.0
414755,70.57,1.0,1.0,1.0,1.0
414756,74.07,-1.0,1.0,-1.0,1.0
414757,72.17,-1.0,1.0,-1.0,1.0
414758,72.16,1.0,1.0,1.0,1.0
414759,73.76,1.0,1.0,1.0,1.0
414760,74.55,1.0,1.0,1.0,1.0
414761,75.39,1.0,1.0,1.0,1.0
414762,76.37,1.0,1.0,1.0,1.0
414763,76.43,-1.0,1.0,-1.0,1.0
414764,75.44,-1.0,1.0,-1.0,1.0
414765,75.2,-1.0,1.0,-1.0,1.0
414766,74.31,-1.0,1.0,-1.0,1.0
414767,73.31,-1.0,1.0,-1.0,1.0
414768,72.92,1.0,1.0,1.0,1.0
414769,73.35,-1.0,-1.0,-1.0,1.0
414770,69.99,-1.0,1.0,-1.0,1.0
414771,69.2,1.0,1.0,1.0,1.0
414772,70.58,1.0,1.0,1.0,1.0
414773,70.83,1.0,1.0,1.0,1.0
414774,71.41,1.0,-1.0,1.0,-1.0
414775,72.24,1.0,-1.0,1.0,-1.0
414776,72.47,1.0,-1.0,1.0,-1.0
414777,73.15,1.0,-1.0,1.0,1.0
414778,74.43,-1.0,-1.0,-1.0,-1.0
414779,74.39,-1.0,-1.0,-1.0,1.0
414780,73.72,-1.0,1.0,-1.0,1.0
414781,73.38,1.0,1.0,1.0,1.0
414782,73.77,1.0,1.0,1.0,1.0
414783,75.22,1.0,-1.0,1.0,-1.0
414784,77.39,-1.0,-1.0,-1.0,-1.0
414785,76.8,1.0,-1.0,1.0,-1.0
414786,76.87,1.0,-1.0,1.0,-1.0
414787,77.05,1.0,-1.0,1.0,1.0
414788,79.94,-1.0,-1.0,-1.0,-1.0
414789,77.98,-1.0,-1.0,1.0,-1.0
414790,76.81,1.0,-1.0,1.0,1.0
414791,77.17,1.0,-1.0,1.0,-1.0
414792,79.18,-1.0,-1.0,-1.0,-1.0
414793,78.65,-1.0,-1.0,-1.0,-1.0
414794,77.97,1.0,-1.0,1.0,-1.0
414795,78.27,-1.0,-1.0,-1.0,-1.0
414796,76.43,-1.0,-1.0,-1.0,-1.0
414797,75.82,-1.0,-1.0,-1.0,-1.0
414798,75.42,-1.0,-1.0,-1.0,-1.0
414799,72.01,-1.0,-1.0,-1.0,-1.0
414800,71.24,1.0,1.0,1.0,1.0
414801,72.08,1.0,1.0,1.0,1.0
414802,72.11,-1.0,1.0,-1.0,1.0
414803,70.9,-1.0,1.0,-1.0,1.0
414804,70.77,1.0,1.0,1.0,1.0
414805,71.66,-1.0,1.0,1.0,1.0
414806,71.45,1.0,1.0,1.0,1.0
414807,72.58,1.0,1.0,-1.0,1.0
414808,73.34,1.0,1.0,1.0,1.0
414809,73.65,1.0,-1.0,1.0,-1.0
414810,74.07,1.0,-1.0,1.0,1.0
414811,74.47,1.0,-1.0,-1.0,-1.0
414812,74.64,-1.0,-1.0,-1.0,-1.0
414813,74.61,-1.0,-1.0,-1.0,-1.0
414814,73.69,1.0,-1.0,1.0,-1.0
414815,74.47,-1.0,-1.0,-1.0,1.0
414816,73.04,-1.0,-1.0,-1.0,-1.0
414817,71.46,1.0,-1.0,1.0,-1.0
414818,72.22,-1.0,-1.0,-1.0,1.0
414819,71.43,1.0,1.0,1.0,1.0
414820,71.53,-1.0,1.0,1.0,1.0
414821,70.9,-1.0,1.0,-1.0,1.0
414822,70.84,-1.0,1.0,-1.0,1.0
414823,69.69,1.0,1.0,1.0,1.0
414824,70.98,1.0,1.0,1.0,1.0
414825,72.01,1.0,1.0,1.0,1.0
414826,73.01,-1.0,1.0,-1.0,1.0
414827,71.92,-1.0,1.0,-1.0,1.0
414828,70.67,1.0,1.0,1.0,1.0
414829,71.38,1.0,1.0,1.0,1.0
414830,72.93,1.0,-1.0,1.0,-1.0
414831,74.51,-1.0,-1.0,-1.0,-1.0
414832,73.96,-1.0,-1.0,1.0,1.0
414833,73.42,1.0,-1.0,1.0,-1.0
414834,74.69,-1.0,-1.0,-1.0,-1.0
414835,73.75,-1.0,-1.0,-1.0,-1.0
414836,72.76,-1.0,-1.0,1.0,-1.0
414837,72.7,1.0,1.0,-1.0,1.0
414838,73.39,1.0,1.0,1.0,1.0
414839,73.53,-1.0,-1.0,1.0,1.0
414840,71.9,-1.0,1.0,-1.0,1.0
414841,71.18,1.0,1.0,1.0,1.0
414842,72.27,1.0,1.0,1.0,1.0
414843,73.23,-1.0,1.0,-1.0,1.0
414844,70.81,-1.0,1.0,-1.0,1.0
414845,70.74,-1.0,1.0,-1.0,1.0
414846,69.2,1.0,1.0,1.0,1.0
414847,70.17,1.0,1.0,1.0,1.0
414848,71.17,1.0,1.0,1.0,1.0
414849,73.05,1.0,1.0,1.0,-1.0
414850,74.39,-1.0,1.0,-1.0,1.0
414851,74.03,1.0,1.0,-1.0,1.0
414852,75.98,-1.0,1.0,-1.0,1.0
414853,75.97,1.0,1.0,1.0,1.0
414854,76.16,1.0,1.0,-1.0,1.0
