,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
415208,13.05,-1.996912393295997,-1.0,1.0,-1.0,1.0
415209,12.84,-2.213889962334393,-1.0,1.0,-1.0,1.0
415210,12.83,-2.2308675313727893,-1.0,1.0,-1.0,1.0
415211,12.59,-2.477845100411187,1.0,1.0,1.0,1.0
415212,12.62,-2.454822669449584,1.0,1.0,1.0,1.0
415213,12.93,-2.1518002384879797,1.0,1.0,1.0,1.0
415214,13.01,-2.078777807526375,-1.0,1.0,-1.0,1.0
415215,12.66,-2.435755376564771,0.0,1.0,0.0,1.0
415216,12.66,-2.4427329456031672,1.0,1.0,1.0,1.0
415217,12.97,-2.139710514641564,-1.0,1.0,-1.0,1.0
415218,12.6,-2.516688083679961,1.0,1.0,1.0,1.0
415219,12.8,-2.323665652718356,-1.0,1.0,-1.0,1.0
415220,12.76,-2.3706432217567532,-1.0,1.0,1.0,1.0
415221,12.73,-2.407620790795148,1.0,1.0,1.0,1.0
415222,12.82,-2.324598359833546,1.0,1.0,1.0,1.0
415223,13.23,-1.9215759288719416,1.0,1.0,1.0,1.0
415224,13.42,-1.7385534979103383,1.0,1.0,-1.0,1.0
415225,13.74,-1.4255310669487342,-1.0,1.0,-1.0,1.0
415226,13.71,-1.462508635987129,-1.0,1.0,-1.0,1.0
415227,13.64,-1.5394862050255274,-1.0,1.0,-1.0,1.0
415228,13.44,-1.7464637740639244,1.0,1.0,1.0,1.0
415229,13.8,-1.3934413431023192,1.0,1.0,1.0,1.0
415230,13.95,-1.2504189121407163,-1.0,1.0,-1.0,1.0
415231,13.89,-1.3173964811791112,1.0,1.0,1.0,1.0
415232,14.0,-1.2143740502175095,1.0,1.0,1.0,1.0
415233,14.02,-1.201351619255906,-1.0,1.0,-1.0,1.0
415234,14.0,-1.2283291882943017,1.0,1.0,1.0,1.0
415235,14.04,-1.1953067573326983,1.0,1.0,1.0,1.0
415236,14.61,-0.632284326371094,1.0,1.0,1.0,1.0
415237,14.75,-0.4992618954094912,-1.0,1.0,1.0,1.0
415238,14.68,-0.5762394644478874,1.0,1.0,1.0,1.0
415239,14.75,-0.5132170334862831,1.0,1.0,1.0,1.0
415240,14.93,-0.34019460252467937,1.0,1.0,1.0,1.0
415241,15.12,-0.15717217156307586,-1.0,1.0,-1.0,1.0
