,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
417075,30.96,-1.1296021007484498,-1.0,-1.0,-1.0,-1.0
417076,30.67,-1.446651149380216,1.0,-1.0,1.0,-1.0
417077,30.85,-1.2937001980119829,-1.0,-1.0,-1.0,-1.0
417078,29.38,-2.7907492466437525,-1.0,1.0,-1.0,-1.0
417079,28.2,-3.9977982952755116,1.0,-1.0,1.0,-1.0
417080,29.19,-3.034847343907277,-1.0,-1.0,-1.0,-1.0
417081,29.1,-3.151896392539044,1.0,1.0,1.0,-1.0
417082,29.29,-2.988945441170813,-1.0,-1.0,-1.0,-1.0
417083,28.31,-3.995994489802573,1.0,1.0,1.0,1.0
417084,28.79,-3.54304353843434,-1.0,1.0,-1.0,1.0
417085,28.72,-3.640092587066107,1.0,1.0,1.0,1.0
417086,29.17,-3.217141635697871,-1.0,1.0,-1.0,1.0
417087,28.99,-3.4241906843296337,1.0,1.0,-1.0,1.0
417088,29.48,-2.961239732961399,1.0,1.0,1.0,1.0
417089,29.67,-2.7982887815931647,1.0,1.0,1.0,-1.0
417090,30.82,-1.6753378302249262,-1.0,1.0,-1.0,1.0
417091,30.43,-2.092386878856693,-1.0,1.0,-1.0,1.0
417092,30.25,-2.29943592748846,1.0,1.0,1.0,1.0
417093,30.58,-1.9964849761202288,-1.0,1.0,-1.0,1.0
417094,30.33,-2.2735340247519886,-1.0,1.0,-1.0,1.0
417095,28.89,-3.740583073383753,1.0,1.0,1.0,1.0
417096,29.09,-3.5676321220155214,-1.0,1.0,-1.0,1.0
417097,28.9,-3.7846811706472887,1.0,1.0,1.0,1.0
417098,29.13,-3.581730219279049,1.0,1.0,1.0,1.0
417099,30.14,-2.598779267910814,1.0,1.0,1.0,1.0
417100,30.26,-2.5058283165425803,-1.0,1.0,-1.0,1.0
417101,30.23,-2.562877365174348,-1.0,1.0,-1.0,1.0
417102,30.03,-2.789926413806107,1.0,1.0,-1.0,1.0
417103,30.29,-2.556975462437876,-1.0,1.0,-1.0,1.0
417104,30.13,-2.744024511069643,-1.0,1.0,-1.0,1.0
417105,29.75,-3.1510735597014015,1.0,1.0,1.0,1.0
417106,30.13,-2.79812260833317,-1.0,1.0,-1.0,1.0
417107,29.99,-2.9651716569649373,-1.0,1.0,-1.0,1.0
417108,29.45,-3.5322207055967034,-1.0,1.0,-1.0,1.0
417109,28.09,-4.919269754228464,1.0,1.0,1.0,1.0
417110,29.01,-4.026318802860228,1.0,1.0,-1.0,1.0
417111,29.42,-3.6433678514919943,-1.0,1.0,-1.0,1.0
417112,29.09,-4.000416900123764,-1.0,1.0,-1.0,1.0
417113,28.79,-4.327465948755524,1.0,1.0,1.0,1.0
417114,29.77,-3.3745149973872905,1.0,1.0,1.0,1.0
417115,31.09,-2.0815640460190568,-1.0,1.0,-1.0,1.0
417116,30.66,-2.538613094650824,1.0,1.0,1.0,-1.0
417117,30.88,-2.345662143282585,-1.0,1.0,-1.0,1.0
417118,30.41,-2.8427111919143506,1.0,1.0,1.0,-1.0
417119,30.61,-2.6697602405461183,1.0,1.0,1.0,1.0
417120,30.88,-2.4268092891778785,1.0,1.0,-1.0,1.0
417121,30.92,-2.4138583378096428,1.0,1.0,-1.0,-1.0
417122,32.11,-1.2509073864414122,-1.0,-1.0,-1.0,-1.0
417123,31.94,-1.4479564350731766,-1.0,-1.0,-1.0,-1.0
417124,31.69,-1.725005483704937,-1.0,-1.0,-1.0,-1.0
417125,31.09,-2.3520545323367053,1.0,-1.0,1.0,-1.0
417126,31.52,-1.9491035809684725,1.0,-1.0,-1.0,-1.0
417127,31.66,-1.8361526296002388,1.0,-1.0,1.0,-1.0
417128,31.98,-1.5432016782319984,1.0,-1.0,1.0,-1.0
417129,33.29,-0.2602507268637666,-1.0,-1.0,-1.0,1.0
417130,33.19,-0.38729977549553496,1.0,-1.0,1.0,-1.0
417131,33.38,-0.22434882412729704,-1.0,-1.0,-1.0,-1.0
417132,33.26,-0.37139787275906144,1.0,-1.0,1.0,-1.0
417133,33.45,-0.20844692139082355,-1.0,-1.0,-1.0,-1.0
417134,33.44,-0.2454959700225956,1.0,-1.0,1.0,-1.0
417135,34.45,0.7374549813456497,1.0,-1.0,-1.0,-1.0
417136,34.48,0.7404059327138768,1.0,-1.0,1.0,-1.0
417137,34.61,0.8433568840821124,-1.0,-1.0,-1.0,-1.0
417138,33.66,-0.13369216454965738,-1.0,-1.0,1.0,-1.0
417139,33.6,-0.2207412131814124,1.0,-1.0,1.0,-1.0
417140,34.69,0.842209738186817,-1.0,-1.0,-1.0,-1.0
417141,34.06,0.1851606895550546,1.0,-1.0,1.0,-1.0
417142,35.3,1.3981116409232826,-1.0,-1.0,-1.0,-1.0
417143,33.89,-0.03893740770847387,-1.0,-1.0,-1.0,-1.0
417144,33.04,-0.9159864563402422,-1.0,-1.0,-1.0,-1.0
417145,31.9,-2.0830355049720097,-1.0,-1.0,-1.0,-1.0
417146,31.14,-2.8700845536037747,1.0,1.0,-1.0,-1.0
417147,32.69,-1.3471336022355374,-1.0,-1.0,-1.0,-1.0
417148,32.67,-1.3941826508673003,1.0,-1.0,-1.0,-1.0
417149,33.22,-0.8712316994990701,-1.0,-1.0,-1.0,-1.0
417150,32.12,-1.9982807481308316,-1.0,-1.0,-1.0,-1.0
417151,30.98,-3.1653297967625957,1.0,-1.0,1.0,-1.0
417152,31.57,-2.6023788453943624,-1.0,-1.0,-1.0,-1.0
417153,30.55,-3.6494278940261284,1.0,-1.0,1.0,-1.0
417154,30.7,-3.52647694265789,-1.0,-1.0,-1.0,-1.0
417155,29.86,-4.393525991289657,1.0,-1.0,1.0,1.0
417156,30.23,-4.050575039921423,-1.0,-1.0,-1.0,-1.0
417157,29.51,-4.797624088553189,1.0,-1.0,1.0,-1.0
417158,29.75,-4.58467313718495,-1.0,-1.0,-1.0,-1.0
417159,29.58,-4.781722185816719,1.0,1.0,1.0,1.0
417160,31.26,-3.1287712344484824,-1.0,-1.0,-1.0,1.0
417161,30.77,-3.6458202830802513,-1.0,1.0,-1.0,1.0
417162,29.93,-4.512869331712012,1.0,1.0,1.0,1.0
417163,30.85,-3.619918380343776,1.0,-1.0,1.0,1.0
417164,31.63,-2.8669674289755456,-1.0,-1.0,-1.0,-1.0
417165,29.92,-4.604016477607303,-1.0,1.0,-1.0,1.0
417166,28.41,-6.141065526239071,-1.0,1.0,-1.0,1.0
417167,28.35,-6.228114574870838,-1.0,1.0,1.0,1.0
417168,28.08,-6.525163623502607,1.0,1.0,1.0,1.0
417169,29.02,-5.6122126721343655,1.0,1.0,1.0,1.0
417170,29.16,-5.499261720766132,1.0,1.0,1.0,1.0
417171,29.3,-5.386310769397899,1.0,1.0,1.0,1.0
417172,30.39,-4.323359818029664,-1.0,1.0,-1.0,1.0
417173,30.26,-4.480408866661424,1.0,1.0,1.0,1.0
417174,30.4,-4.367457915293194,1.0,1.0,1.0,1.0
417175,30.8,-3.994506963924959,1.0,1.0,1.0,1.0
417176,31.55,-3.2715560125567262,-1.0,1.0,-1.0,1.0
417177,30.78,-4.068605061188485,1.0,1.0,1.0,1.0
417178,30.91,-3.9656541098202527,-1.0,1.0,-1.0,1.0
417179,29.79,-5.112703158452021,1.0,1.0,1.0,1.0
417180,29.88,-5.049752207083781,1.0,1.0,1.0,1.0
417181,30.01,-4.9468012557155445,-1.0,1.0,-1.0,1.0
